metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Skin_FACS,logcounts,spca,4,0.5170375445284804
euclidean,TabulaMuris_Skin_FACS,logcounts,spca,32,0.5942630726894407
euclidean,TabulaMuris_Skin_FACS,logcounts,spca,2,0.5321864471071417
euclidean,TabulaMuris_Skin_FACS,logcounts,spca,16,0.5868552436154507
euclidean,TabulaMuris_Skin_FACS,logcounts,spca,96,0.7061772852125403
euclidean,TabulaMuris_Skin_FACS,logcounts,spca,8,0.5507594875460109
euclidean,TabulaMuris_Skin_FACS,logcounts,spca,48,0.6224314424658929
euclidean,TabulaMuris_Skin_FACS,logcounts,tsvd,4,0.548012286693187
euclidean,TabulaMuris_Skin_FACS,logcounts,tsvd,32,0.6171207004530969
euclidean,TabulaMuris_Skin_FACS,logcounts,tsvd,2,0.5244020547871061
euclidean,TabulaMuris_Skin_FACS,logcounts,tsvd,16,0.5906483882844399
euclidean,TabulaMuris_Skin_FACS,logcounts,tsvd,96,0.7053168161076806
euclidean,TabulaMuris_Skin_FACS,logcounts,tsvd,8,0.561381674090317
euclidean,TabulaMuris_Skin_FACS,logcounts,tsvd,48,0.6399777009981329
euclidean,TabulaMuris_Skin_FACS,logcounts,spca-batch,4,0.5156320441019128
euclidean,TabulaMuris_Skin_FACS,logcounts,spca-batch,32,0.5445624679778224
euclidean,TabulaMuris_Skin_FACS,logcounts,spca-batch,2,0.5312618827715133
euclidean,TabulaMuris_Skin_FACS,logcounts,spca-batch,16,0.5036758100359078
euclidean,TabulaMuris_Skin_FACS,logcounts,spca-batch,96,0.5605886139571973
euclidean,TabulaMuris_Skin_FACS,logcounts,spca-batch,8,0.49986654551939663
euclidean,TabulaMuris_Skin_FACS,logcounts,spca-batch,48,0.5439196611915457
euclidean,TabulaMuris_Skin_FACS,logcounts,zifa,4,0.40106469221220875
euclidean,TabulaMuris_Skin_FACS,logcounts,zifa,32,0.46640522042069144
