metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Spleen_10X,logcounts,spca,4,0.6601648453960878
euclidean,TabulaMuris_Spleen_10X,logcounts,spca,32,0.68934339701219
euclidean,TabulaMuris_Spleen_10X,logcounts,spca,2,0.597619847254974
euclidean,TabulaMuris_Spleen_10X,logcounts,spca,16,0.6981162335206015
euclidean,TabulaMuris_Spleen_10X,logcounts,spca,96,0.669878860125255
euclidean,TabulaMuris_Spleen_10X,logcounts,spca,8,0.6699025882849113
euclidean,TabulaMuris_Spleen_10X,logcounts,spca,48,0.6808884620348848
euclidean,TabulaMuris_Spleen_10X,logcounts,tsvd,4,0.6519804437780061
euclidean,TabulaMuris_Spleen_10X,logcounts,tsvd,32,0.7292667170472705
euclidean,TabulaMuris_Spleen_10X,logcounts,tsvd,2,0.5744653055163053
euclidean,TabulaMuris_Spleen_10X,logcounts,tsvd,16,0.7209164551135562
euclidean,TabulaMuris_Spleen_10X,logcounts,tsvd,96,0.7510980565090125
euclidean,TabulaMuris_Spleen_10X,logcounts,tsvd,8,0.6924989923946931
euclidean,TabulaMuris_Spleen_10X,logcounts,tsvd,48,0.7344307554617713
euclidean,TabulaMuris_Spleen_10X,logcounts,spca-batch,4,0.6314664498040494
euclidean,TabulaMuris_Spleen_10X,logcounts,spca-batch,32,0.6535709249743846
euclidean,TabulaMuris_Spleen_10X,logcounts,spca-batch,2,0.6011623566998697
euclidean,TabulaMuris_Spleen_10X,logcounts,spca-batch,16,0.5375781455587126
euclidean,TabulaMuris_Spleen_10X,logcounts,spca-batch,96,0.6371072514759534
euclidean,TabulaMuris_Spleen_10X,logcounts,spca-batch,8,0.574893823947499
euclidean,TabulaMuris_Spleen_10X,logcounts,spca-batch,48,0.6493146163232266
euclidean,TabulaMuris_Spleen_10X,logcounts,zifa,4,0.5835703304179897
euclidean,TabulaMuris_Spleen_10X,logcounts,zifa,2,0.4378197372574209
euclidean,TabulaMuris_Spleen_10X,logcounts,zifa,16,0.5927216938152549
euclidean,TabulaMuris_Spleen_10X,logcounts,zifa,8,0.5945067348488895
euclidean,TabulaMuris_Spleen_10X,logcounts,nsnmf,4,0.5372988945778828
euclidean,TabulaMuris_Spleen_10X,logcounts,nsnmf,32,0.7753111636633756
euclidean,TabulaMuris_Spleen_10X,logcounts,nsnmf,2,0.4716636614773751
euclidean,TabulaMuris_Spleen_10X,logcounts,nsnmf,16,0.7023936034506685
euclidean,TabulaMuris_Spleen_10X,logcounts,nsnmf,96,0.8233866607056618
euclidean,TabulaMuris_Spleen_10X,logcounts,nsnmf,8,0.6042951904519827
euclidean,TabulaMuris_Spleen_10X,logcounts,nsnmf,48,0.8033797786091544
euclidean,TabulaMuris_Spleen_10X,logcounts,vpac,4,0.34490122985203414
euclidean,TabulaMuris_Spleen_10X,logcounts,vpac,32,0.6545971312297605
euclidean,TabulaMuris_Spleen_10X,logcounts,vpac,2,0.47199333418321776
euclidean,TabulaMuris_Spleen_10X,logcounts,vpac,16,0.5222265062852391
euclidean,TabulaMuris_Spleen_10X,logcounts,vpac,96,0.7202902076822582
euclidean,TabulaMuris_Spleen_10X,logcounts,vpac,8,0.49258256503261055
euclidean,TabulaMuris_Spleen_10X,logcounts,vpac,48,0.7129923962741151
euclidean,TabulaMuris_Spleen_10X,logcounts,umap,4,0.3106147265355972
euclidean,TabulaMuris_Spleen_10X,logcounts,umap,32,0.3519696908788466
euclidean,TabulaMuris_Spleen_10X,logcounts,umap,2,0.3124054545274879
euclidean,TabulaMuris_Spleen_10X,logcounts,umap,16,0.3414327287422859
euclidean,TabulaMuris_Spleen_10X,logcounts,umap,96,0.36626643964559247
euclidean,TabulaMuris_Spleen_10X,logcounts,umap,8,0.3427234168732241
euclidean,TabulaMuris_Spleen_10X,logcounts,umap,48,0.3415169387896145
euclidean,TabulaMuris_Spleen_10X,logcounts,kpca-sig,4,0.15473759013836483
euclidean,TabulaMuris_Spleen_10X,logcounts,kpca-sig,32,0.017424752198072595
euclidean,TabulaMuris_Spleen_10X,logcounts,kpca-sig,2,0.20989442965808044
