metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Spleen_FACS,logcounts,spca,4,0.6133405113244558
euclidean,TabulaMuris_Spleen_FACS,logcounts,spca,32,0.7049780808615134
euclidean,TabulaMuris_Spleen_FACS,logcounts,spca,2,0.5647742401786765
euclidean,TabulaMuris_Spleen_FACS,logcounts,spca,16,0.6867857999472234
euclidean,TabulaMuris_Spleen_FACS,logcounts,spca,96,0.7940046380877163
euclidean,TabulaMuris_Spleen_FACS,logcounts,spca,8,0.6488319301601039
euclidean,TabulaMuris_Spleen_FACS,logcounts,spca,48,0.7298987622080046
euclidean,TabulaMuris_Spleen_FACS,logcounts,tsvd,4,0.6105627901310596
euclidean,TabulaMuris_Spleen_FACS,logcounts,tsvd,32,0.7223984944650373
euclidean,TabulaMuris_Spleen_FACS,logcounts,tsvd,2,0.503927117470102
euclidean,TabulaMuris_Spleen_FACS,logcounts,tsvd,16,0.6841288793812843
euclidean,TabulaMuris_Spleen_FACS,logcounts,tsvd,96,0.8308151053677216
euclidean,TabulaMuris_Spleen_FACS,logcounts,tsvd,8,0.6495611197635915
euclidean,TabulaMuris_Spleen_FACS,logcounts,tsvd,48,0.7557467702296944
euclidean,TabulaMuris_Spleen_FACS,logcounts,spca-batch,4,0.5398550450322054
euclidean,TabulaMuris_Spleen_FACS,logcounts,spca-batch,32,0.6214278494597536
euclidean,TabulaMuris_Spleen_FACS,logcounts,spca-batch,2,0.5496052637283553
euclidean,TabulaMuris_Spleen_FACS,logcounts,spca-batch,16,0.6082151770747273
euclidean,TabulaMuris_Spleen_FACS,logcounts,spca-batch,96,0.6177460215062948
euclidean,TabulaMuris_Spleen_FACS,logcounts,spca-batch,8,0.5666577183196527
euclidean,TabulaMuris_Spleen_FACS,logcounts,spca-batch,48,0.6217301794167
euclidean,TabulaMuris_Spleen_FACS,logcounts,zifa,4,0.5667367333444705
euclidean,TabulaMuris_Spleen_FACS,logcounts,zifa,32,0.5862681332828424
euclidean,TabulaMuris_Spleen_FACS,logcounts,zifa,2,0.5262658764301807
euclidean,TabulaMuris_Spleen_FACS,logcounts,zifa,16,0.5870570242894538
euclidean,TabulaMuris_Spleen_FACS,logcounts,zifa,96,0.5861931724729867
euclidean,TabulaMuris_Spleen_FACS,logcounts,zifa,8,0.5859132513263583
euclidean,TabulaMuris_Spleen_FACS,logcounts,zifa,48,0.5872185427289456
euclidean,TabulaMuris_Spleen_FACS,logcounts,nsnmf,4,0.4030395405300302
euclidean,TabulaMuris_Spleen_FACS,logcounts,nsnmf,32,0.7134823779983467
euclidean,TabulaMuris_Spleen_FACS,logcounts,nsnmf,2,0.32073379804283464
euclidean,TabulaMuris_Spleen_FACS,logcounts,nsnmf,16,0.6433908187578249
euclidean,TabulaMuris_Spleen_FACS,logcounts,nsnmf,96,0.7190764113210296
euclidean,TabulaMuris_Spleen_FACS,logcounts,nsnmf,8,0.5414043674193988
euclidean,TabulaMuris_Spleen_FACS,logcounts,nsnmf,48,0.7226365337344435
euclidean,TabulaMuris_Spleen_FACS,logcounts,vpac,4,0.3624725598512064
euclidean,TabulaMuris_Spleen_FACS,logcounts,vpac,32,0.6018900812116348
euclidean,TabulaMuris_Spleen_FACS,logcounts,vpac,2,0.5331541925475429
euclidean,TabulaMuris_Spleen_FACS,logcounts,vpac,16,0.5191279732938018
euclidean,TabulaMuris_Spleen_FACS,logcounts,vpac,96,0.6631441713979449
euclidean,TabulaMuris_Spleen_FACS,logcounts,vpac,8,0.2472751852775347
euclidean,TabulaMuris_Spleen_FACS,logcounts,vpac,48,0.6399409350498071
euclidean,TabulaMuris_Spleen_FACS,logcounts,umap,4,0.13149748388243293
euclidean,TabulaMuris_Spleen_FACS,logcounts,umap,32,0.17109307127497692
euclidean,TabulaMuris_Spleen_FACS,logcounts,umap,2,-0.02930738521078128
euclidean,TabulaMuris_Spleen_FACS,logcounts,umap,16,0.16582279685580342
euclidean,TabulaMuris_Spleen_FACS,logcounts,umap,96,0.17377497128891634
euclidean,TabulaMuris_Spleen_FACS,logcounts,umap,8,0.17495198599449058
euclidean,TabulaMuris_Spleen_FACS,logcounts,umap,48,0.17893801962868522
euclidean,TabulaMuris_Spleen_FACS,logcounts,kpca-sig,4,0.2336121861434118
euclidean,TabulaMuris_Spleen_FACS,logcounts,kpca-sig,32,0.09281825931842107
euclidean,TabulaMuris_Spleen_FACS,logcounts,kpca-sig,2,0.25313452955446886
euclidean,TabulaMuris_Spleen_FACS,logcounts,kpca-sig,16,0.19864786530507803
euclidean,TabulaMuris_Spleen_FACS,logcounts,kpca-sig,96,-0.19184533204333742
euclidean,TabulaMuris_Spleen_FACS,logcounts,kpca-sig,8,0.24852391118278552
euclidean,TabulaMuris_Spleen_FACS,logcounts,kpca-sig,48,-0.014329719070065656
euclidean,TabulaMuris_Spleen_FACS,logcounts,nmf2,4,0.5131425304240993
euclidean,TabulaMuris_Spleen_FACS,logcounts,nmf2,32,0.7210448281657796
euclidean,TabulaMuris_Spleen_FACS,logcounts,nmf2,2,0.4782799177543423
euclidean,TabulaMuris_Spleen_FACS,logcounts,nmf2,16,0.6509352896545499
euclidean,TabulaMuris_Spleen_FACS,logcounts,nmf2,96,0.7598253636288821
euclidean,TabulaMuris_Spleen_FACS,logcounts,nmf2,8,0.5806156157093236
euclidean,TabulaMuris_Spleen_FACS,logcounts,nmf2,48,0.7309683961123657
euclidean,TabulaMuris_Spleen_FACS,logcounts,srp,4,0.13484421131254012
euclidean,TabulaMuris_Spleen_FACS,logcounts,srp,32,0.37871469531158886
euclidean,TabulaMuris_Spleen_FACS,logcounts,srp,2,0.08552496217558371
euclidean,TabulaMuris_Spleen_FACS,logcounts,srp,16,0.25675085780063356
euclidean,TabulaMuris_Spleen_FACS,logcounts,srp,96,0.5421362157897637
euclidean,TabulaMuris_Spleen_FACS,logcounts,srp,8,0.18529981097501333
euclidean,TabulaMuris_Spleen_FACS,logcounts,srp,48,0.45389232780101396
euclidean,TabulaMuris_Spleen_FACS,logcounts,psmf,4,0.6127722674036852
euclidean,TabulaMuris_Spleen_FACS,logcounts,psmf,32,0.6565303639793277
euclidean,TabulaMuris_Spleen_FACS,logcounts,psmf,2,0.431851731122171
euclidean,TabulaMuris_Spleen_FACS,logcounts,psmf,16,0.6484996186717403
euclidean,TabulaMuris_Spleen_FACS,logcounts,psmf,96,0.5394059858688217
euclidean,TabulaMuris_Spleen_FACS,logcounts,psmf,8,0.6330237635309903
euclidean,TabulaMuris_Spleen_FACS,logcounts,psmf,48,0.6359880993773657
euclidean,TabulaMuris_Spleen_FACS,logcounts,fica,4,0.6079548481086587
euclidean,TabulaMuris_Spleen_FACS,logcounts,fica,32,0.6853375826442311
euclidean,TabulaMuris_Spleen_FACS,logcounts,fica,2,0.568564990112558
euclidean,TabulaMuris_Spleen_FACS,logcounts,fica,16,0.6266464730591568
euclidean,TabulaMuris_Spleen_FACS,logcounts,fica,96,0.7981038834214781
euclidean,TabulaMuris_Spleen_FACS,logcounts,fica,8,0.6067231437349169
euclidean,TabulaMuris_Spleen_FACS,logcounts,fica,48,0.7272330700305878
euclidean,TabulaMuris_Spleen_FACS,logcounts,lle,4,0.33863921375886197
euclidean,TabulaMuris_Spleen_FACS,logcounts,lle,32,0.4767572866658709
euclidean,TabulaMuris_Spleen_FACS,logcounts,lle,2,0.11752382084774932
euclidean,TabulaMuris_Spleen_FACS,logcounts,lle,16,0.3650546008170355
euclidean,TabulaMuris_Spleen_FACS,logcounts,lle,96,0.4597996651593674
euclidean,TabulaMuris_Spleen_FACS,logcounts,lle,8,0.23889971640461352
euclidean,TabulaMuris_Spleen_FACS,logcounts,lle,48,0.49591092885352483
euclidean,TabulaMuris_Spleen_FACS,logcounts,lsnmf,4,0.6124616784474737
euclidean,TabulaMuris_Spleen_FACS,logcounts,lsnmf,32,0.7668831701130163
euclidean,TabulaMuris_Spleen_FACS,logcounts,lsnmf,2,0.5132892770166425
euclidean,TabulaMuris_Spleen_FACS,logcounts,lsnmf,16,0.00990041555725668
euclidean,TabulaMuris_Spleen_FACS,logcounts,lsnmf,96,0.00047753969654962546
euclidean,TabulaMuris_Spleen_FACS,logcounts,lsnmf,8,0.22508774993764594
euclidean,TabulaMuris_Spleen_FACS,logcounts,lsnmf,48,0.13722501597426354
euclidean,TabulaMuris_Spleen_FACS,logcounts,phate,4,0.4068326919466513
euclidean,TabulaMuris_Spleen_FACS,logcounts,phate,32,0.41479136282693246
euclidean,TabulaMuris_Spleen_FACS,logcounts,phate,2,0.40266875478977926
euclidean,TabulaMuris_Spleen_FACS,logcounts,phate,16,0.4034622368089908
euclidean,TabulaMuris_Spleen_FACS,logcounts,phate,96,0.41713726845729787
euclidean,TabulaMuris_Spleen_FACS,logcounts,phate,8,0.4065341742205013
euclidean,TabulaMuris_Spleen_FACS,logcounts,phate,48,0.4061177130228994
euclidean,TabulaMuris_Spleen_FACS,logcounts,kpca-rbf,4,0.3467586949916039
euclidean,TabulaMuris_Spleen_FACS,logcounts,kpca-rbf,32,0.3120038207475962
euclidean,TabulaMuris_Spleen_FACS,logcounts,kpca-rbf,2,0.29727373040794974
euclidean,TabulaMuris_Spleen_FACS,logcounts,kpca-rbf,16,0.39379031167898815
euclidean,TabulaMuris_Spleen_FACS,logcounts,kpca-rbf,96,-0.13994581030183448
euclidean,TabulaMuris_Spleen_FACS,logcounts,kpca-rbf,8,0.376847645608367
euclidean,TabulaMuris_Spleen_FACS,logcounts,kpca-rbf,48,0.16312234332407527
euclidean,TabulaMuris_Spleen_FACS,logcounts,isomap,4,0.47647897658360394
euclidean,TabulaMuris_Spleen_FACS,logcounts,isomap,32,0.5341087565234574
euclidean,TabulaMuris_Spleen_FACS,logcounts,isomap,2,0.4805887144198384
euclidean,TabulaMuris_Spleen_FACS,logcounts,isomap,16,0.5138774484025704
euclidean,TabulaMuris_Spleen_FACS,logcounts,isomap,96,0.5442174760845029
euclidean,TabulaMuris_Spleen_FACS,logcounts,isomap,8,0.48712682309542454
euclidean,TabulaMuris_Spleen_FACS,logcounts,isomap,48,0.5440320919115587
euclidean,TabulaMuris_Spleen_FACS,logcounts,saucie,4,0.005307228360526488
euclidean,TabulaMuris_Spleen_FACS,logcounts,saucie,32,0.015997240913379326
euclidean,TabulaMuris_Spleen_FACS,logcounts,saucie,2,0.001382485170295229
euclidean,TabulaMuris_Spleen_FACS,logcounts,saucie,16,-0.008441342637222241
euclidean,TabulaMuris_Spleen_FACS,logcounts,saucie,96,-0.0092773161803767
euclidean,TabulaMuris_Spleen_FACS,logcounts,saucie,8,0.0038620254258972687
euclidean,TabulaMuris_Spleen_FACS,logcounts,saucie,48,-0.009872043329382536
euclidean,TabulaMuris_Spleen_FACS,logcounts,bd,4,0.5030839647517736
euclidean,TabulaMuris_Spleen_FACS,logcounts,bd,32,-0.06019732082814745
euclidean,TabulaMuris_Spleen_FACS,logcounts,bd,2,0.5573857515397396
euclidean,TabulaMuris_Spleen_FACS,logcounts,bd,16,0.21189063488996313
euclidean,TabulaMuris_Spleen_FACS,logcounts,bd,96,0.2359118694045859
euclidean,TabulaMuris_Spleen_FACS,logcounts,bd,8,0.5134096393893971
euclidean,TabulaMuris_Spleen_FACS,logcounts,bd,48,0.11264877572240323
euclidean,TabulaMuris_Spleen_FACS,logcounts,lda,4,0.49348998812711126
euclidean,TabulaMuris_Spleen_FACS,logcounts,lda,32,0.16768363973355804
euclidean,TabulaMuris_Spleen_FACS,logcounts,lda,2,0.44724319629695275
euclidean,TabulaMuris_Spleen_FACS,logcounts,lda,16,0.22030158399801972
euclidean,TabulaMuris_Spleen_FACS,logcounts,lda,96,-0.009755229804610646
euclidean,TabulaMuris_Spleen_FACS,logcounts,lda,8,0.3042728362029963
euclidean,TabulaMuris_Spleen_FACS,logcounts,lda,48,0.03859670247703591
euclidean,TabulaMuris_Spleen_FACS,logcounts,spectral,4,0.5896023834394115
euclidean,TabulaMuris_Spleen_FACS,logcounts,spectral,32,0.6073335475938326
euclidean,TabulaMuris_Spleen_FACS,logcounts,spectral,2,0.5606792467268553
euclidean,TabulaMuris_Spleen_FACS,logcounts,spectral,16,0.6638210621022572
euclidean,TabulaMuris_Spleen_FACS,logcounts,spectral,96,0.42137342691057544
euclidean,TabulaMuris_Spleen_FACS,logcounts,spectral,8,0.6207075770213112
euclidean,TabulaMuris_Spleen_FACS,logcounts,spectral,48,0.5207261278933235
euclidean,TabulaMuris_Spleen_FACS,logcounts,grp,4,0.15028642612280968
euclidean,TabulaMuris_Spleen_FACS,logcounts,grp,32,0.4339904534270338
euclidean,TabulaMuris_Spleen_FACS,logcounts,grp,2,0.10884866872288833
euclidean,TabulaMuris_Spleen_FACS,logcounts,grp,16,0.26745587607702165
euclidean,TabulaMuris_Spleen_FACS,logcounts,grp,96,0.5856014339905833
euclidean,TabulaMuris_Spleen_FACS,logcounts,grp,8,0.15087531986510205
euclidean,TabulaMuris_Spleen_FACS,logcounts,grp,48,0.43185130114906145
euclidean,TabulaMuris_Spleen_FACS,logcounts,fa,4,0.6212729849524227
euclidean,TabulaMuris_Spleen_FACS,logcounts,fa,32,0.5809291410241504
euclidean,TabulaMuris_Spleen_FACS,logcounts,fa,2,0.6219018289465099
euclidean,TabulaMuris_Spleen_FACS,logcounts,fa,16,0.5990474598865638
euclidean,TabulaMuris_Spleen_FACS,logcounts,fa,96,0.5380393653631406
euclidean,TabulaMuris_Spleen_FACS,logcounts,fa,8,0.6045911578907541
euclidean,TabulaMuris_Spleen_FACS,logcounts,fa,48,0.5584177599795038
euclidean,TabulaMuris_Spleen_FACS,logcounts,mctsne,4,0.5566254169826252
euclidean,TabulaMuris_Spleen_FACS,logcounts,mctsne,32,nan
