metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Thymus_10X,counts,spca,4,0.9287370600064786
euclidean,TabulaMuris_Thymus_10X,counts,spca,32,0.9856835842944658
euclidean,TabulaMuris_Thymus_10X,counts,spca,2,0.7413399747492185
euclidean,TabulaMuris_Thymus_10X,counts,spca,16,0.9818422276882112
euclidean,TabulaMuris_Thymus_10X,counts,spca,96,0.9934382746993302
euclidean,TabulaMuris_Thymus_10X,counts,spca,8,0.9781963528083624
euclidean,TabulaMuris_Thymus_10X,counts,spca,48,0.9886814752320808
euclidean,TabulaMuris_Thymus_10X,counts,tsvd,4,0.8771726154117039
euclidean,TabulaMuris_Thymus_10X,counts,tsvd,32,0.9864982183916294
euclidean,TabulaMuris_Thymus_10X,counts,tsvd,2,0.6730668545422004
euclidean,TabulaMuris_Thymus_10X,counts,tsvd,16,0.9819690888624522
euclidean,TabulaMuris_Thymus_10X,counts,tsvd,96,0.9942639660612126
euclidean,TabulaMuris_Thymus_10X,counts,tsvd,8,0.9773846536720847
euclidean,TabulaMuris_Thymus_10X,counts,tsvd,48,0.9895580848445518
euclidean,TabulaMuris_Thymus_10X,counts,spca-batch,4,0.6587903540112577
euclidean,TabulaMuris_Thymus_10X,counts,spca-batch,32,0.7193231164137003
euclidean,TabulaMuris_Thymus_10X,counts,spca-batch,2,0.8546016480417331
euclidean,TabulaMuris_Thymus_10X,counts,spca-batch,16,0.7030121643234063
euclidean,TabulaMuris_Thymus_10X,counts,spca-batch,96,0.6561715180948763
euclidean,TabulaMuris_Thymus_10X,counts,spca-batch,8,0.7136294286499031
euclidean,TabulaMuris_Thymus_10X,counts,spca-batch,48,0.6795843589569648
euclidean,TabulaMuris_Thymus_10X,counts,zifa,4,0.552201344218551
euclidean,TabulaMuris_Thymus_10X,counts,zifa,32,0.5579503419660775
euclidean,TabulaMuris_Thymus_10X,counts,zifa,2,0.48671948919757907
euclidean,TabulaMuris_Thymus_10X,counts,zifa,16,0.5559815881933241
euclidean,TabulaMuris_Thymus_10X,counts,zifa,96,0.5610291544924945
euclidean,TabulaMuris_Thymus_10X,counts,zifa,8,0.551036366832893
euclidean,TabulaMuris_Thymus_10X,counts,zifa,48,0.5598558829559585
euclidean,TabulaMuris_Thymus_10X,counts,nsnmf,4,0.4041971267547212
euclidean,TabulaMuris_Thymus_10X,counts,nsnmf,32,0.5875930190877966
euclidean,TabulaMuris_Thymus_10X,counts,nsnmf,2,0.29459073122318663
euclidean,TabulaMuris_Thymus_10X,counts,nsnmf,16,0.642514025206411
euclidean,TabulaMuris_Thymus_10X,counts,nsnmf,96,0.6507336160560468
euclidean,TabulaMuris_Thymus_10X,counts,nsnmf,8,0.5615067693035152
euclidean,TabulaMuris_Thymus_10X,counts,nsnmf,48,0.6297523555850428
euclidean,TabulaMuris_Thymus_10X,counts,vpac,4,0.4676996839024121
euclidean,TabulaMuris_Thymus_10X,counts,vpac,32,0.37247960502275923
euclidean,TabulaMuris_Thymus_10X,counts,vpac,2,0.38957463008434295
euclidean,TabulaMuris_Thymus_10X,counts,vpac,16,0.3764716727828785
euclidean,TabulaMuris_Thymus_10X,counts,vpac,96,0.37799950257075665
euclidean,TabulaMuris_Thymus_10X,counts,vpac,8,0.2886695728360213
euclidean,TabulaMuris_Thymus_10X,counts,vpac,48,0.3809988981258586
euclidean,TabulaMuris_Thymus_10X,counts,umap,4,0.607489662468359
euclidean,TabulaMuris_Thymus_10X,counts,umap,32,0.6030507325932819
euclidean,TabulaMuris_Thymus_10X,counts,umap,2,0.605358331768093
euclidean,TabulaMuris_Thymus_10X,counts,umap,16,0.6147405782030598
euclidean,TabulaMuris_Thymus_10X,counts,umap,96,0.6156639835717566
euclidean,TabulaMuris_Thymus_10X,counts,umap,8,0.6082682517991802
euclidean,TabulaMuris_Thymus_10X,counts,umap,48,0.606911749881151
euclidean,TabulaMuris_Thymus_10X,counts,kpca-sig,4,nan
euclidean,TabulaMuris_Thymus_10X,counts,kpca-sig,32,nan
euclidean,TabulaMuris_Thymus_10X,counts,kpca-sig,2,nan
euclidean,TabulaMuris_Thymus_10X,counts,kpca-sig,16,nan
euclidean,TabulaMuris_Thymus_10X,counts,kpca-sig,96,nan
