metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Thymus_10X,logcounts,spca,4,0.8301586493666185
euclidean,TabulaMuris_Thymus_10X,logcounts,spca,32,0.8155343148339461
euclidean,TabulaMuris_Thymus_10X,logcounts,spca,2,0.835415851993591
euclidean,TabulaMuris_Thymus_10X,logcounts,spca,16,0.8222723980753112
euclidean,TabulaMuris_Thymus_10X,logcounts,spca,96,0.7263122993825533
euclidean,TabulaMuris_Thymus_10X,logcounts,spca,8,0.818053652469966
euclidean,TabulaMuris_Thymus_10X,logcounts,spca,48,0.8136660447929936
euclidean,TabulaMuris_Thymus_10X,logcounts,tsvd,4,0.8423452426085075
euclidean,TabulaMuris_Thymus_10X,logcounts,tsvd,32,0.895607549168091
euclidean,TabulaMuris_Thymus_10X,logcounts,tsvd,2,0.823359652122833
euclidean,TabulaMuris_Thymus_10X,logcounts,tsvd,16,0.8749353454694706
euclidean,TabulaMuris_Thymus_10X,logcounts,tsvd,96,0.9456307793217215
euclidean,TabulaMuris_Thymus_10X,logcounts,tsvd,8,0.8579332889548706
euclidean,TabulaMuris_Thymus_10X,logcounts,tsvd,48,0.9128516029751313
euclidean,TabulaMuris_Thymus_10X,logcounts,spca-batch,4,0.7844006267115279
euclidean,TabulaMuris_Thymus_10X,logcounts,spca-batch,32,0.7953519188291379
euclidean,TabulaMuris_Thymus_10X,logcounts,spca-batch,2,0.8189167107100931
euclidean,TabulaMuris_Thymus_10X,logcounts,spca-batch,16,0.8170568601585491
euclidean,TabulaMuris_Thymus_10X,logcounts,spca-batch,96,0.7729849002102426
euclidean,TabulaMuris_Thymus_10X,logcounts,spca-batch,8,0.8202199690874011
euclidean,TabulaMuris_Thymus_10X,logcounts,spca-batch,48,0.8410531843210027
euclidean,TabulaMuris_Thymus_10X,logcounts,zifa,4,0.6869436503498534
euclidean,TabulaMuris_Thymus_10X,logcounts,zifa,32,0.6993920353969377
euclidean,TabulaMuris_Thymus_10X,logcounts,zifa,2,0.6918291767095575
euclidean,TabulaMuris_Thymus_10X,logcounts,zifa,16,0.6559815464663378
euclidean,TabulaMuris_Thymus_10X,logcounts,zifa,96,0.19463632595843863
euclidean,TabulaMuris_Thymus_10X,logcounts,zifa,8,0.7008058343425736
euclidean,TabulaMuris_Thymus_10X,logcounts,zifa,48,0.31874280444817865
euclidean,TabulaMuris_Thymus_10X,logcounts,nsnmf,4,0.5228661401875633
euclidean,TabulaMuris_Thymus_10X,logcounts,nsnmf,32,0.5893012733022557
euclidean,TabulaMuris_Thymus_10X,logcounts,nsnmf,2,0.5680955806435058
euclidean,TabulaMuris_Thymus_10X,logcounts,nsnmf,16,0.5790997043899033
euclidean,TabulaMuris_Thymus_10X,logcounts,nsnmf,96,0.6090172397892931
euclidean,TabulaMuris_Thymus_10X,logcounts,nsnmf,8,0.5732861077778708
euclidean,TabulaMuris_Thymus_10X,logcounts,nsnmf,48,0.6252778943465946
euclidean,TabulaMuris_Thymus_10X,logcounts,vpac,4,0.7151863694037658
euclidean,TabulaMuris_Thymus_10X,logcounts,vpac,32,0.8290897344482364
euclidean,TabulaMuris_Thymus_10X,logcounts,vpac,2,0.8044040389437733
euclidean,TabulaMuris_Thymus_10X,logcounts,vpac,16,0.8061108775113603
euclidean,TabulaMuris_Thymus_10X,logcounts,vpac,96,0.8344701762824792
euclidean,TabulaMuris_Thymus_10X,logcounts,vpac,8,0.7462950048925664
euclidean,TabulaMuris_Thymus_10X,logcounts,vpac,48,0.8328857766539941
