metric,dataset,count,method,dimensions,rho
euclidean,TabulaMuris_Trachea_FACS,counts,spca,4,0.9437236975780803
euclidean,TabulaMuris_Trachea_FACS,counts,spca,32,0.995179881767087
euclidean,TabulaMuris_Trachea_FACS,counts,spca,2,0.8817565140073205
euclidean,TabulaMuris_Trachea_FACS,counts,spca,16,0.987919828291104
euclidean,TabulaMuris_Trachea_FACS,counts,spca,96,0.9994411125288002
euclidean,TabulaMuris_Trachea_FACS,counts,spca,8,0.9736425930398411
euclidean,TabulaMuris_Trachea_FACS,counts,spca,48,0.9967189508590555
euclidean,TabulaMuris_Trachea_FACS,counts,tsvd,4,0.9295037289044552
euclidean,TabulaMuris_Trachea_FACS,counts,tsvd,32,0.9950238145287688
euclidean,TabulaMuris_Trachea_FACS,counts,tsvd,2,0.881410876205939
euclidean,TabulaMuris_Trachea_FACS,counts,tsvd,16,0.9853092846846208
euclidean,TabulaMuris_Trachea_FACS,counts,tsvd,96,0.9993155029985031
euclidean,TabulaMuris_Trachea_FACS,counts,tsvd,8,0.969897186410667
euclidean,TabulaMuris_Trachea_FACS,counts,tsvd,48,0.996597584393284
euclidean,TabulaMuris_Trachea_FACS,counts,spca-batch,4,0.8321774547487585
euclidean,TabulaMuris_Trachea_FACS,counts,spca-batch,32,0.7533634673198037
euclidean,TabulaMuris_Trachea_FACS,counts,spca-batch,2,0.6816862149136564
euclidean,TabulaMuris_Trachea_FACS,counts,spca-batch,16,0.8362688349891326
euclidean,TabulaMuris_Trachea_FACS,counts,spca-batch,96,0.6245535357977732
euclidean,TabulaMuris_Trachea_FACS,counts,spca-batch,8,0.7692461400388247
euclidean,TabulaMuris_Trachea_FACS,counts,spca-batch,48,0.6729452120939264
euclidean,TabulaMuris_Trachea_FACS,counts,zifa,4,0.36326675714404777
euclidean,TabulaMuris_Trachea_FACS,counts,zifa,32,0.2849020765128751
euclidean,TabulaMuris_Trachea_FACS,counts,zifa,2,0.26617533477050404
euclidean,TabulaMuris_Trachea_FACS,counts,zifa,16,0.3220183582608372
euclidean,TabulaMuris_Trachea_FACS,counts,zifa,8,0.32164468932933643
euclidean,TabulaMuris_Trachea_FACS,counts,zifa,48,0.24888695833492264
euclidean,TabulaMuris_Trachea_FACS,counts,nsnmf,4,0.5291831533900702
euclidean,TabulaMuris_Trachea_FACS,counts,nsnmf,32,0.5460733338735734
euclidean,TabulaMuris_Trachea_FACS,counts,nsnmf,2,0.44867418689947197
euclidean,TabulaMuris_Trachea_FACS,counts,nsnmf,16,0.4735873244820378
euclidean,TabulaMuris_Trachea_FACS,counts,nsnmf,96,0.3997834121121654
euclidean,TabulaMuris_Trachea_FACS,counts,nsnmf,8,0.5097232687096254
euclidean,TabulaMuris_Trachea_FACS,counts,nsnmf,48,0.45381985508099804
euclidean,TabulaMuris_Trachea_FACS,counts,vpac,4,0.5237509689019997
euclidean,TabulaMuris_Trachea_FACS,counts,vpac,32,0.4540951619948111
euclidean,TabulaMuris_Trachea_FACS,counts,vpac,2,0.4392746346994241
euclidean,TabulaMuris_Trachea_FACS,counts,vpac,16,0.43908111023810614
euclidean,TabulaMuris_Trachea_FACS,counts,vpac,96,0.4365254874929989
euclidean,TabulaMuris_Trachea_FACS,counts,vpac,8,0.4553240276367743
euclidean,TabulaMuris_Trachea_FACS,counts,vpac,48,0.4541455593959037
euclidean,TabulaMuris_Trachea_FACS,counts,umap,4,0.6860680416343585
euclidean,TabulaMuris_Trachea_FACS,counts,umap,32,0.6822217142059445
euclidean,TabulaMuris_Trachea_FACS,counts,umap,2,0.6589921803405552
euclidean,TabulaMuris_Trachea_FACS,counts,umap,16,0.6679027361846497
euclidean,TabulaMuris_Trachea_FACS,counts,umap,96,0.6776440545079866
euclidean,TabulaMuris_Trachea_FACS,counts,umap,8,0.6738042189602731
euclidean,TabulaMuris_Trachea_FACS,counts,umap,48,0.6627475200085382
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-sig,4,nan
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-sig,32,nan
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-sig,2,nan
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-sig,16,nan
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-sig,96,nan
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-sig,8,nan
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-sig,48,nan
euclidean,TabulaMuris_Trachea_FACS,counts,nmf2,4,0.6611736156352925
euclidean,TabulaMuris_Trachea_FACS,counts,nmf2,32,0.7555650733985723
euclidean,TabulaMuris_Trachea_FACS,counts,nmf2,2,0.6226182464840283
euclidean,TabulaMuris_Trachea_FACS,counts,nmf2,16,0.7748125045630763
euclidean,TabulaMuris_Trachea_FACS,counts,nmf2,96,0.7105699088652282
euclidean,TabulaMuris_Trachea_FACS,counts,nmf2,8,0.6956833372692106
euclidean,TabulaMuris_Trachea_FACS,counts,nmf2,48,0.8031630374926685
euclidean,TabulaMuris_Trachea_FACS,counts,srp,4,-0.03725394772382026
euclidean,TabulaMuris_Trachea_FACS,counts,srp,32,0.3036146356306524
euclidean,TabulaMuris_Trachea_FACS,counts,srp,2,0.037597524460876594
euclidean,TabulaMuris_Trachea_FACS,counts,srp,16,0.13700158874982327
euclidean,TabulaMuris_Trachea_FACS,counts,srp,96,0.21447117691136672
euclidean,TabulaMuris_Trachea_FACS,counts,srp,8,0.14364316758846246
euclidean,TabulaMuris_Trachea_FACS,counts,srp,48,0.16392627993096384
euclidean,TabulaMuris_Trachea_FACS,counts,psmf,4,0.4346596413059079
euclidean,TabulaMuris_Trachea_FACS,counts,psmf,32,0.3436024095098175
euclidean,TabulaMuris_Trachea_FACS,counts,psmf,2,0.4534414716064291
euclidean,TabulaMuris_Trachea_FACS,counts,psmf,16,0.2965201550950688
euclidean,TabulaMuris_Trachea_FACS,counts,psmf,96,0.34995866372544393
euclidean,TabulaMuris_Trachea_FACS,counts,psmf,8,0.41180795959810707
euclidean,TabulaMuris_Trachea_FACS,counts,psmf,48,0.3446800697299686
euclidean,TabulaMuris_Trachea_FACS,counts,fica,4,0.6878454039532725
euclidean,TabulaMuris_Trachea_FACS,counts,fica,32,0.4645064639710565
euclidean,TabulaMuris_Trachea_FACS,counts,fica,2,0.7812180087962828
euclidean,TabulaMuris_Trachea_FACS,counts,fica,16,0.626815979140083
euclidean,TabulaMuris_Trachea_FACS,counts,fica,96,0.15789931953981848
euclidean,TabulaMuris_Trachea_FACS,counts,fica,8,0.6339165198273637
euclidean,TabulaMuris_Trachea_FACS,counts,fica,48,0.318773338269366
euclidean,TabulaMuris_Trachea_FACS,counts,lle,4,0.46977623822486686
euclidean,TabulaMuris_Trachea_FACS,counts,lle,32,0.5281461948588697
euclidean,TabulaMuris_Trachea_FACS,counts,lle,2,0.404043330534744
euclidean,TabulaMuris_Trachea_FACS,counts,lle,16,0.5391234734521685
euclidean,TabulaMuris_Trachea_FACS,counts,lle,96,0.4698539416357405
euclidean,TabulaMuris_Trachea_FACS,counts,lle,8,0.5567761843114223
euclidean,TabulaMuris_Trachea_FACS,counts,lle,48,0.4669340987466075
euclidean,TabulaMuris_Trachea_FACS,counts,lsnmf,4,0.005657192455544008
euclidean,TabulaMuris_Trachea_FACS,counts,lsnmf,32,-0.0054733072722576576
euclidean,TabulaMuris_Trachea_FACS,counts,lsnmf,2,0.0014752072840883332
euclidean,TabulaMuris_Trachea_FACS,counts,lsnmf,16,0.008320641918474758
euclidean,TabulaMuris_Trachea_FACS,counts,lsnmf,96,-0.003998489974967188
euclidean,TabulaMuris_Trachea_FACS,counts,lsnmf,8,0.008423173036686557
euclidean,TabulaMuris_Trachea_FACS,counts,lsnmf,48,0.012869186464583092
euclidean,TabulaMuris_Trachea_FACS,counts,phate,4,0.8380968572296721
euclidean,TabulaMuris_Trachea_FACS,counts,phate,32,0.8407064619275258
euclidean,TabulaMuris_Trachea_FACS,counts,phate,2,0.8132644529573466
euclidean,TabulaMuris_Trachea_FACS,counts,phate,16,0.8408193472132347
euclidean,TabulaMuris_Trachea_FACS,counts,phate,96,0.84106245918992
euclidean,TabulaMuris_Trachea_FACS,counts,phate,8,0.8410536829438181
euclidean,TabulaMuris_Trachea_FACS,counts,phate,48,0.8409659649509684
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-rbf,4,0.012925062351136636
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-rbf,32,-0.023356608231511304
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-rbf,2,-0.017305501081324955
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-rbf,16,-0.003646827973762895
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-rbf,96,-0.020481064860431466
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-rbf,8,-0.01499327960586803
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-rbf,48,-0.020053795655973032
euclidean,TabulaMuris_Trachea_FACS,counts,isomap,4,0.8948005653369799
euclidean,TabulaMuris_Trachea_FACS,counts,isomap,32,0.9221354482852606
euclidean,TabulaMuris_Trachea_FACS,counts,isomap,2,0.8281416048573145
euclidean,TabulaMuris_Trachea_FACS,counts,isomap,16,0.9165163766910268
euclidean,TabulaMuris_Trachea_FACS,counts,isomap,96,0.9265493642279409
euclidean,TabulaMuris_Trachea_FACS,counts,isomap,8,0.9110363689664291
euclidean,TabulaMuris_Trachea_FACS,counts,isomap,48,0.924216849517196
euclidean,TabulaMuris_Trachea_FACS,counts,saucie,4,0.03279874991977219
euclidean,TabulaMuris_Trachea_FACS,counts,saucie,32,-0.014245924157754802
euclidean,TabulaMuris_Trachea_FACS,counts,saucie,2,-0.0010310069590441168
euclidean,TabulaMuris_Trachea_FACS,counts,saucie,16,0.0206595818084898
euclidean,TabulaMuris_Trachea_FACS,counts,saucie,96,-0.012251935096792082
euclidean,TabulaMuris_Trachea_FACS,counts,saucie,8,0.0015610524449049172
euclidean,TabulaMuris_Trachea_FACS,counts,saucie,48,0.0009354283216981089
euclidean,TabulaMuris_Trachea_FACS,counts,bd,4,0.31969223418582815
euclidean,TabulaMuris_Trachea_FACS,counts,bd,32,0.43267817137071046
euclidean,TabulaMuris_Trachea_FACS,counts,bd,2,0.15419841377542476
euclidean,TabulaMuris_Trachea_FACS,counts,bd,16,0.3547811764284007
euclidean,TabulaMuris_Trachea_FACS,counts,bd,96,0.34073203316639944
euclidean,TabulaMuris_Trachea_FACS,counts,bd,8,0.26653302573957594
euclidean,TabulaMuris_Trachea_FACS,counts,bd,48,0.28749929146090886
euclidean,TabulaMuris_Trachea_FACS,counts,lda,4,0.3647653747054522
euclidean,TabulaMuris_Trachea_FACS,counts,lda,32,0.32826172026257117
euclidean,TabulaMuris_Trachea_FACS,counts,lda,2,0.38640719674407953
euclidean,TabulaMuris_Trachea_FACS,counts,lda,16,0.31724502508498237
euclidean,TabulaMuris_Trachea_FACS,counts,lda,96,0.3092500683911723
euclidean,TabulaMuris_Trachea_FACS,counts,lda,8,0.3378282359211621
euclidean,TabulaMuris_Trachea_FACS,counts,lda,48,0.3054067226789076
euclidean,TabulaMuris_Trachea_FACS,counts,spectral,4,0.7014175067012448
euclidean,TabulaMuris_Trachea_FACS,counts,spectral,32,0.2404184121123945
euclidean,TabulaMuris_Trachea_FACS,counts,spectral,2,0.6618828638764845
euclidean,TabulaMuris_Trachea_FACS,counts,spectral,16,0.3506901732125209
euclidean,TabulaMuris_Trachea_FACS,counts,spectral,96,0.08681436029748281
euclidean,TabulaMuris_Trachea_FACS,counts,spectral,8,0.5310798356111496
euclidean,TabulaMuris_Trachea_FACS,counts,spectral,48,0.2006630669553365
euclidean,TabulaMuris_Trachea_FACS,counts,grp,4,0.778487109677467
euclidean,TabulaMuris_Trachea_FACS,counts,grp,32,0.9748499111972171
euclidean,TabulaMuris_Trachea_FACS,counts,grp,2,0.8115557645464259
euclidean,TabulaMuris_Trachea_FACS,counts,grp,16,0.9521995686172541
euclidean,TabulaMuris_Trachea_FACS,counts,grp,96,0.9892326886970848
euclidean,TabulaMuris_Trachea_FACS,counts,grp,8,0.8722671704162122
euclidean,TabulaMuris_Trachea_FACS,counts,grp,48,0.9849312751347656
euclidean,TabulaMuris_Trachea_FACS,counts,fa,4,0.5613914783086487
euclidean,TabulaMuris_Trachea_FACS,counts,fa,32,0.4321318171180127
euclidean,TabulaMuris_Trachea_FACS,counts,fa,2,0.20566151032599925
euclidean,TabulaMuris_Trachea_FACS,counts,fa,16,0.44705582591626764
euclidean,TabulaMuris_Trachea_FACS,counts,fa,96,0.4840858704375375
euclidean,TabulaMuris_Trachea_FACS,counts,fa,8,0.4449034485073689
euclidean,TabulaMuris_Trachea_FACS,counts,fa,48,0.4423646364459703
euclidean,TabulaMuris_Trachea_FACS,counts,mctsne,4,0.7178093536643988
euclidean,TabulaMuris_Trachea_FACS,counts,mctsne,32,nan
euclidean,TabulaMuris_Trachea_FACS,counts,mctsne,2,0.6418686406020575
euclidean,TabulaMuris_Trachea_FACS,counts,mctsne,96,0.3421004393821889
euclidean,TabulaMuris_Trachea_FACS,counts,mctsne,8,0.7041812450065879
euclidean,TabulaMuris_Trachea_FACS,counts,mctsne,48,0.7101084437313856
euclidean,TabulaMuris_Trachea_FACS,counts,nmf,4,0.8285995180753434
euclidean,TabulaMuris_Trachea_FACS,counts,nmf,32,0.8245466616588555
euclidean,TabulaMuris_Trachea_FACS,counts,nmf,2,0.7982475295629365
euclidean,TabulaMuris_Trachea_FACS,counts,nmf,16,0.8428025796317887
euclidean,TabulaMuris_Trachea_FACS,counts,nmf,96,0.8323955255316958
euclidean,TabulaMuris_Trachea_FACS,counts,nmf,8,0.8298468915204603
euclidean,TabulaMuris_Trachea_FACS,counts,nmf,48,0.8308644539484397
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-pol,4,0.7612602951271771
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-pol,32,0.8517555370979998
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-pol,2,0.7353381863066467
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-pol,16,0.841519399485174
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-pol,96,0.8559809817326329
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-pol,8,0.7792148488299089
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-pol,48,0.8550407963698149
euclidean,TabulaMuris_Trachea_FACS,counts,vasc,4,0.28148116375244564
euclidean,TabulaMuris_Trachea_FACS,counts,vasc,32,0.3354346111801339
euclidean,TabulaMuris_Trachea_FACS,counts,vasc,2,0.3059193649229059
euclidean,TabulaMuris_Trachea_FACS,counts,vasc,16,0.3316547203806044
euclidean,TabulaMuris_Trachea_FACS,counts,vasc,96,nan
euclidean,TabulaMuris_Trachea_FACS,counts,vasc,8,0.24897169406913536
euclidean,TabulaMuris_Trachea_FACS,counts,vasc,48,nan
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-cos,4,0.3928976127109468
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-cos,32,0.43062562216617484
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-cos,2,0.3544225191681587
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-cos,16,0.41981357883895254
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-cos,96,0.41871845573341826
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-cos,8,0.41119224237912044
euclidean,TabulaMuris_Trachea_FACS,counts,kpca-cos,48,0.42720978351023
euclidean,TabulaMuris_Trachea_FACS,counts,pca,4,0.9437238287173706
euclidean,TabulaMuris_Trachea_FACS,counts,pca,32,0.9951267955509975
euclidean,TabulaMuris_Trachea_FACS,counts,pca,2,0.88175702973215
euclidean,TabulaMuris_Trachea_FACS,counts,pca,16,0.9879199481992215
euclidean,TabulaMuris_Trachea_FACS,counts,pca,96,0.9993459801460708
euclidean,TabulaMuris_Trachea_FACS,counts,pca,8,0.9736426234013367
euclidean,TabulaMuris_Trachea_FACS,counts,pca,48,0.9966471327834184
euclidean,TabulaMuris_Trachea_FACS,counts,pmf,4,0.5511083598913987
