metric,dataset,count,method,dimensions,rho
euclidean,baron-human,counts,spca,4,0.9785170309170443
euclidean,baron-human,counts,spca,32,0.9996940925333108
euclidean,baron-human,counts,spca,2,0.8602851564601992
euclidean,baron-human,counts,spca,16,0.9985066402046925
euclidean,baron-human,counts,spca,96,0.999912719000238
euclidean,baron-human,counts,spca,8,0.9955073354246972
euclidean,baron-human,counts,spca,48,0.9998234946505377
euclidean,baron-human,counts,tsvd,4,0.9528298887789912
euclidean,baron-human,counts,tsvd,32,0.9996859919625518
euclidean,baron-human,counts,tsvd,2,0.7873621120494404
euclidean,baron-human,counts,tsvd,16,0.9984743281287457
euclidean,baron-human,counts,tsvd,96,0.9998984802362072
euclidean,baron-human,counts,tsvd,8,0.9944100291648049
euclidean,baron-human,counts,tsvd,48,0.9998176998071429
euclidean,baron-human,counts,spca-batch,4,0.9144742149144122
euclidean,baron-human,counts,spca-batch,32,0.7864279363768605
euclidean,baron-human,counts,spca-batch,2,0.9173410289953945
euclidean,baron-human,counts,spca-batch,16,0.7587639851847027
euclidean,baron-human,counts,spca-batch,96,0.723401140287399
euclidean,baron-human,counts,spca-batch,8,0.878147049423658
euclidean,baron-human,counts,spca-batch,48,0.6359827720727579
euclidean,baron-human,counts,zifa,4,0.03256371058860728
euclidean,baron-human,counts,zifa,2,0.05983492607337506
euclidean,baron-human,counts,zifa,16,-0.032161762695134884
euclidean,baron-human,counts,zifa,8,-0.024005618950693905
euclidean,baron-human,counts,tga,4,0.9517722721838865
euclidean,baron-human,counts,tga,2,0.7486016298844694
euclidean,baron-human,counts,tga,8,0.956934342405195
euclidean,baron-human,counts,nsnmf,4,0.5586049360233062
euclidean,baron-human,counts,nsnmf,32,0.71818160784355
euclidean,baron-human,counts,nsnmf,2,0.33944385083418704
euclidean,baron-human,counts,nsnmf,16,0.6892642975600859
euclidean,baron-human,counts,nsnmf,96,0.5957867890539288
euclidean,baron-human,counts,nsnmf,8,0.6994156969920551
euclidean,baron-human,counts,nsnmf,48,0.6420871671872765
euclidean,baron-human,counts,vpac,4,0.1491614554588781
euclidean,baron-human,counts,vpac,32,0.06163906096839115
euclidean,baron-human,counts,vpac,2,0.15886537076285775
euclidean,baron-human,counts,vpac,16,0.12134654024693199
euclidean,baron-human,counts,vpac,96,0.05071337788607646
euclidean,baron-human,counts,vpac,8,0.17388277884601355
euclidean,baron-human,counts,vpac,48,0.04538981144095111
euclidean,baron-human,counts,umap,4,0.8510492262989808
euclidean,baron-human,counts,umap,32,0.8812124668598762
euclidean,baron-human,counts,umap,2,0.7843483019590662
euclidean,baron-human,counts,umap,16,0.8614367572777519
euclidean,baron-human,counts,umap,96,0.8776209234648754
euclidean,baron-human,counts,umap,8,0.8571337276484033
euclidean,baron-human,counts,umap,48,0.8691297130301553
euclidean,baron-human,counts,kpca-sig,4,nan
euclidean,baron-human,counts,kpca-sig,32,nan
euclidean,baron-human,counts,kpca-sig,2,nan
euclidean,baron-human,counts,kpca-sig,16,nan
euclidean,baron-human,counts,kpca-sig,96,nan
euclidean,baron-human,counts,kpca-sig,8,nan
euclidean,baron-human,counts,kpca-sig,48,nan
euclidean,baron-human,counts,nmf2,4,0.8663294608595362
euclidean,baron-human,counts,nmf2,32,0.8851777261612553
euclidean,baron-human,counts,nmf2,2,0.7869446502309329
euclidean,baron-human,counts,nmf2,16,0.8764541315861014
euclidean,baron-human,counts,nmf2,96,0.8499816856577112
euclidean,baron-human,counts,nmf2,8,0.8965549813788726
euclidean,baron-human,counts,nmf2,48,0.873611431274986
euclidean,baron-human,counts,srp,4,-0.04907511000007684
euclidean,baron-human,counts,srp,32,0.8184095046917556
euclidean,baron-human,counts,srp,2,0.08457494149208049
euclidean,baron-human,counts,srp,16,-0.06612268639842671
euclidean,baron-human,counts,srp,96,0.33825704479512225
euclidean,baron-human,counts,srp,8,-0.042223214018885596
euclidean,baron-human,counts,srp,48,-0.05836841400109655
euclidean,baron-human,counts,psmf,4,0.03222993533449848
euclidean,baron-human,counts,psmf,32,0.01361064250783725
euclidean,baron-human,counts,psmf,2,0.08927031220638823
euclidean,baron-human,counts,psmf,16,0.05798911535940441
euclidean,baron-human,counts,psmf,96,-0.05386220784766267
euclidean,baron-human,counts,psmf,8,0.004683102264921057
euclidean,baron-human,counts,psmf,48,-0.009342331518339101
euclidean,baron-human,counts,fica,4,0.8947258968227454
euclidean,baron-human,counts,fica,32,0.16339608954682916
euclidean,baron-human,counts,fica,2,0.8628771204546913
euclidean,baron-human,counts,fica,16,0.3914225909617454
euclidean,baron-human,counts,fica,96,-0.10496013854169453
euclidean,baron-human,counts,fica,8,0.6776950114253976
euclidean,baron-human,counts,fica,48,0.03611115668170653
euclidean,baron-human,counts,lle,4,0.4320484863673727
euclidean,baron-human,counts,lle,32,0.5334162920814217
euclidean,baron-human,counts,lle,2,0.5294522747140529
euclidean,baron-human,counts,lle,16,0.43074672300248895
euclidean,baron-human,counts,lle,96,0.4023268725728523
euclidean,baron-human,counts,lle,8,0.14008442317086164
euclidean,baron-human,counts,lle,48,0.5016854226744991
euclidean,baron-human,counts,lsnmf,4,0.0005134292217950758
euclidean,baron-human,counts,lsnmf,32,-0.004070033239169156
euclidean,baron-human,counts,lsnmf,2,0.002861071255392532
euclidean,baron-human,counts,lsnmf,16,0.0028450756746974592
euclidean,baron-human,counts,lsnmf,96,0.0006835084866522076
euclidean,baron-human,counts,lsnmf,8,-0.002098172307176719
euclidean,baron-human,counts,lsnmf,48,0.0007677613421680909
euclidean,baron-human,counts,phate,4,0.8407923636510751
euclidean,baron-human,counts,phate,32,0.8794097388957781
euclidean,baron-human,counts,phate,2,0.8381852796549092
euclidean,baron-human,counts,phate,16,0.895547837065462
euclidean,baron-human,counts,phate,96,0.8894994540205641
euclidean,baron-human,counts,phate,8,0.8940640826770866
euclidean,baron-human,counts,phate,48,0.8929081477059096
euclidean,baron-human,counts,kpca-rbf,4,-0.009835671397532586
euclidean,baron-human,counts,kpca-rbf,32,-0.009715188531263802
euclidean,baron-human,counts,kpca-rbf,2,-0.005554242954910951
euclidean,baron-human,counts,kpca-rbf,16,-0.009771501297490215
euclidean,baron-human,counts,kpca-rbf,96,-0.011213330555248459
euclidean,baron-human,counts,kpca-rbf,8,0.0028665528923843588
euclidean,baron-human,counts,kpca-rbf,48,-0.011847445762831933
euclidean,baron-human,counts,isomap,4,0.9744152824565364
euclidean,baron-human,counts,isomap,32,0.9754535338843201
euclidean,baron-human,counts,isomap,2,0.9199479011346198
euclidean,baron-human,counts,isomap,16,0.9754674141148648
euclidean,baron-human,counts,isomap,96,0.9748338956291454
euclidean,baron-human,counts,isomap,8,0.9762536518953161
euclidean,baron-human,counts,isomap,48,0.9752038126460302
euclidean,baron-human,counts,saucie,4,0.0042563281057313804
euclidean,baron-human,counts,saucie,32,-0.0005369380775116047
euclidean,baron-human,counts,saucie,2,-0.009599070757567727
euclidean,baron-human,counts,saucie,16,-0.00355248843176148
euclidean,baron-human,counts,saucie,96,0.0034593544533801234
euclidean,baron-human,counts,saucie,8,0.006024665320263141
euclidean,baron-human,counts,saucie,48,-0.00357929167231718
euclidean,baron-human,counts,bd,4,0.883637303751044
euclidean,baron-human,counts,bd,32,0.6478623762542046
euclidean,baron-human,counts,bd,2,0.472914396074489
euclidean,baron-human,counts,bd,16,0.5089372944586663
euclidean,baron-human,counts,bd,96,0.6060886141860082
euclidean,baron-human,counts,bd,8,0.6880101649700021
euclidean,baron-human,counts,bd,48,0.6378057041922561
euclidean,baron-human,counts,lda,4,0.4455201299336404
euclidean,baron-human,counts,lda,32,0.48309884135077347
euclidean,baron-human,counts,lda,2,0.1230606149026367
euclidean,baron-human,counts,lda,16,0.4844030370739818
euclidean,baron-human,counts,lda,96,0.3895025536710626
euclidean,baron-human,counts,lda,8,0.4231883150738297
euclidean,baron-human,counts,lda,48,0.42818339746271195
euclidean,baron-human,counts,spectral,4,0.5333519595472992
euclidean,baron-human,counts,spectral,32,0.1022136987043547
euclidean,baron-human,counts,spectral,2,0.5613000600798277
euclidean,baron-human,counts,spectral,16,0.23492271734079292
euclidean,baron-human,counts,spectral,96,-0.10885462274711387
euclidean,baron-human,counts,spectral,8,0.5887496209502517
euclidean,baron-human,counts,spectral,48,-0.00663942781569118
euclidean,baron-human,counts,grp,4,0.9321802634200599
euclidean,baron-human,counts,grp,32,0.9891300885455987
euclidean,baron-human,counts,grp,2,0.6410899701989647
euclidean,baron-human,counts,grp,16,0.9629927693003978
euclidean,baron-human,counts,grp,96,0.9970803435883276
euclidean,baron-human,counts,grp,8,0.9316164523412069
euclidean,baron-human,counts,grp,48,0.9900301685087202
euclidean,baron-human,counts,fa,4,-0.04924583458648963
euclidean,baron-human,counts,fa,32,0.1641561434323835
euclidean,baron-human,counts,fa,2,0.03336094032247357
euclidean,baron-human,counts,fa,16,0.32632239418336123
euclidean,baron-human,counts,fa,96,-0.03390125942219098
euclidean,baron-human,counts,fa,8,0.5151464047205958
euclidean,baron-human,counts,fa,48,0.09302226632686017
euclidean,baron-human,counts,mctsne,4,0.4767111066278019
euclidean,baron-human,counts,mctsne,32,nan
euclidean,baron-human,counts,mctsne,2,0.658611609184124
euclidean,baron-human,counts,mctsne,96,nan
euclidean,baron-human,counts,mctsne,8,0.45978120330313793
euclidean,baron-human,counts,mctsne,48,0.860649185870583
euclidean,baron-human,counts,nmf,4,0.9321011691641129
euclidean,baron-human,counts,nmf,32,0.9184084218601067
euclidean,baron-human,counts,nmf,2,0.7870625038629425
euclidean,baron-human,counts,nmf,16,0.9338186304444944
euclidean,baron-human,counts,nmf,96,0.9092501634050538
euclidean,baron-human,counts,nmf,8,0.9552342213388222
euclidean,baron-human,counts,nmf,48,0.9179013523094555
euclidean,baron-human,counts,kpca-pol,4,0.85030767953269
euclidean,baron-human,counts,kpca-pol,32,0.8772030612537861
euclidean,baron-human,counts,kpca-pol,2,0.7850414729393607
euclidean,baron-human,counts,kpca-pol,16,0.8774206901164738
euclidean,baron-human,counts,kpca-pol,96,0.8781333103669673
euclidean,baron-human,counts,kpca-pol,8,0.8770190836624272
euclidean,baron-human,counts,kpca-pol,48,0.8771008457491817
euclidean,baron-human,counts,vasc,4,0.030024181211477364
euclidean,baron-human,counts,vasc,32,nan
euclidean,baron-human,counts,vasc,2,0.13393158240927472
euclidean,baron-human,counts,vasc,16,0.06978975984089289
euclidean,baron-human,counts,vasc,96,nan
euclidean,baron-human,counts,vasc,8,-0.012091880432154064
euclidean,baron-human,counts,vasc,48,0.02354449268447937
euclidean,baron-human,counts,kpca-cos,4,0.7459817997600793
euclidean,baron-human,counts,kpca-cos,32,0.8041458832162908
euclidean,baron-human,counts,kpca-cos,2,0.5140135727693255
