metric,dataset,count,method,dimensions,rho
euclidean,baron-mouse,logcounts,spca,4,0.6718158618353609
euclidean,baron-mouse,logcounts,spca,32,0.7378057865315796
euclidean,baron-mouse,logcounts,spca,2,0.6666448680269722
euclidean,baron-mouse,logcounts,spca,16,0.7232553559747392
euclidean,baron-mouse,logcounts,spca,96,0.833079460204975
euclidean,baron-mouse,logcounts,spca,8,0.6824091014619322
euclidean,baron-mouse,logcounts,spca,48,0.7717189597130691
euclidean,baron-mouse,logcounts,tsvd,4,0.691207530204768
euclidean,baron-mouse,logcounts,tsvd,32,0.7811710543167486
euclidean,baron-mouse,logcounts,tsvd,2,0.6683337014590846
euclidean,baron-mouse,logcounts,tsvd,16,0.7473443700444872
euclidean,baron-mouse,logcounts,tsvd,96,0.8778641383988153
euclidean,baron-mouse,logcounts,tsvd,8,0.7189604753086741
euclidean,baron-mouse,logcounts,tsvd,48,0.8111013075727697
euclidean,baron-mouse,logcounts,spca-batch,4,0.6086300858708903
euclidean,baron-mouse,logcounts,spca-batch,32,0.6650002815344827
euclidean,baron-mouse,logcounts,spca-batch,2,0.6661897804661879
euclidean,baron-mouse,logcounts,spca-batch,16,0.6662812033161101
euclidean,baron-mouse,logcounts,spca-batch,96,0.6796246645590235
euclidean,baron-mouse,logcounts,spca-batch,8,0.6332747495936674
euclidean,baron-mouse,logcounts,spca-batch,48,0.6467264523373988
euclidean,baron-mouse,logcounts,zifa,4,0.48602155311035605
euclidean,baron-mouse,logcounts,zifa,32,0.4922404987772539
euclidean,baron-mouse,logcounts,zifa,2,0.5311304890774682
euclidean,baron-mouse,logcounts,zifa,16,0.4962729784337101
euclidean,baron-mouse,logcounts,zifa,8,0.49171394520048156
euclidean,baron-mouse,logcounts,nsnmf,4,0.6385805487484547
euclidean,baron-mouse,logcounts,nsnmf,32,0.7716490778367067
euclidean,baron-mouse,logcounts,nsnmf,2,0.420055839820367
euclidean,baron-mouse,logcounts,nsnmf,16,0.7311161218592515
euclidean,baron-mouse,logcounts,nsnmf,96,0.7125821586455927
euclidean,baron-mouse,logcounts,nsnmf,8,0.7237997284468778
euclidean,baron-mouse,logcounts,nsnmf,48,0.748847992048374
euclidean,baron-mouse,logcounts,vpac,4,0.3454738070236074
euclidean,baron-mouse,logcounts,vpac,32,0.7014934073313757
euclidean,baron-mouse,logcounts,vpac,2,0.3617481461470394
euclidean,baron-mouse,logcounts,vpac,16,0.6361226964800223
euclidean,baron-mouse,logcounts,vpac,96,0.7318854913504099
euclidean,baron-mouse,logcounts,vpac,8,0.49221126978955376
euclidean,baron-mouse,logcounts,vpac,48,0.7032405483496418
euclidean,baron-mouse,logcounts,umap,4,0.268382610256079
euclidean,baron-mouse,logcounts,umap,32,0.30763591152021413
euclidean,baron-mouse,logcounts,umap,2,0.15233677163902878
euclidean,baron-mouse,logcounts,umap,16,0.3017228212318029
euclidean,baron-mouse,logcounts,umap,96,0.31305642847319126
euclidean,baron-mouse,logcounts,umap,8,0.2991651372202038
euclidean,baron-mouse,logcounts,umap,48,0.3066253592973465
euclidean,baron-mouse,logcounts,kpca-sig,4,0.1279102329196238
euclidean,baron-mouse,logcounts,kpca-sig,32,-0.0452579152557685
euclidean,baron-mouse,logcounts,kpca-sig,2,0.1394572433530296
euclidean,baron-mouse,logcounts,kpca-sig,16,0.020535925170517663
euclidean,baron-mouse,logcounts,kpca-sig,96,-0.1600057915922587
euclidean,baron-mouse,logcounts,kpca-sig,8,0.08389082878877224
euclidean,baron-mouse,logcounts,kpca-sig,48,-0.08820228216775085
euclidean,baron-mouse,logcounts,nmf2,4,0.6620159209738835
euclidean,baron-mouse,logcounts,nmf2,32,0.7400250411321111
euclidean,baron-mouse,logcounts,nmf2,2,0.6487001932195074
euclidean,baron-mouse,logcounts,nmf2,16,0.7125255784030075
euclidean,baron-mouse,logcounts,nmf2,96,0.7445694362262107
euclidean,baron-mouse,logcounts,nmf2,8,0.6834991275806206
euclidean,baron-mouse,logcounts,nmf2,48,0.7263867420416322
euclidean,baron-mouse,logcounts,srp,4,0.13789476526055064
euclidean,baron-mouse,logcounts,srp,32,0.4790904811742099
euclidean,baron-mouse,logcounts,srp,2,0.13166627266296924
euclidean,baron-mouse,logcounts,srp,16,0.3625694698273229
euclidean,baron-mouse,logcounts,srp,96,0.6800820584411206
euclidean,baron-mouse,logcounts,srp,8,0.2221919577430343
euclidean,baron-mouse,logcounts,srp,48,0.5785156745683909
euclidean,baron-mouse,logcounts,psmf,4,0.6899352888418743
euclidean,baron-mouse,logcounts,psmf,32,0.7781784617184577
euclidean,baron-mouse,logcounts,psmf,2,0.5744391016307869
euclidean,baron-mouse,logcounts,psmf,16,0.770807737696216
euclidean,baron-mouse,logcounts,psmf,96,0.7347964392964301
euclidean,baron-mouse,logcounts,psmf,8,0.7457762866028534
euclidean,baron-mouse,logcounts,psmf,48,0.7766519189767054
euclidean,baron-mouse,logcounts,fica,4,0.6307578595649036
euclidean,baron-mouse,logcounts,fica,32,0.6417327081637021
euclidean,baron-mouse,logcounts,fica,2,0.6837983970262076
euclidean,baron-mouse,logcounts,fica,16,0.5218220272893855
euclidean,baron-mouse,logcounts,fica,96,0.7943278926845547
euclidean,baron-mouse,logcounts,fica,8,0.5671276469532129
euclidean,baron-mouse,logcounts,fica,48,0.72374774429399
euclidean,baron-mouse,logcounts,lle,4,0.3136854110962792
euclidean,baron-mouse,logcounts,lle,32,0.28233089140612394
