metric,dataset,count,method,dimensions,rho
euclidean,campbell,counts,spca,4,0.7254420162534825
euclidean,campbell,counts,spca,32,0.9357750652564488
euclidean,campbell,counts,spca,2,0.6081617522138483
euclidean,campbell,counts,spca,16,0.912239304608179
euclidean,campbell,counts,spca,96,0.9553046685816672
euclidean,campbell,counts,spca,8,0.8413175078882889
euclidean,campbell,counts,spca,48,0.9435217781396477
euclidean,campbell,counts,tsvd,4,0.7199326589317847
euclidean,campbell,counts,tsvd,32,0.935482370412097
euclidean,campbell,counts,tsvd,2,0.6124307876896211
euclidean,campbell,counts,tsvd,16,0.909717043807717
euclidean,campbell,counts,tsvd,96,0.9550501743206784
euclidean,campbell,counts,tsvd,8,0.8103498102454412
euclidean,campbell,counts,tsvd,48,0.9432489556872017
euclidean,campbell,counts,spca-batch,4,0.7146659362243623
euclidean,campbell,counts,spca-batch,32,0.8537110558260792
euclidean,campbell,counts,spca-batch,2,0.5734381205872656
euclidean,campbell,counts,spca-batch,16,0.8409804956712829
euclidean,campbell,counts,spca-batch,96,0.8023248748000866
euclidean,campbell,counts,spca-batch,8,0.8282714035919271
euclidean,campbell,counts,spca-batch,48,0.844307719290845
euclidean,campbell,counts,zifa,4,0.3361960762494123
euclidean,campbell,counts,zifa,2,0.3155091615161271
euclidean,campbell,counts,tga,4,0.7155138949620762
euclidean,campbell,counts,tga,8,0.8242439082080874
euclidean,campbell,counts,nsnmf,4,0.25904913950233954
euclidean,campbell,counts,nsnmf,32,0.7553241230904505
euclidean,campbell,counts,nsnmf,2,0.4091088980817897
euclidean,campbell,counts,nsnmf,16,0.5475745897394776
euclidean,campbell,counts,nsnmf,96,0.7541212851297646
euclidean,campbell,counts,nsnmf,8,0.4411764602297007
euclidean,campbell,counts,nsnmf,48,0.7488303907039544
euclidean,campbell,counts,vpac,4,-0.1538875900342431
euclidean,campbell,counts,vpac,32,-0.09210399081059813
euclidean,campbell,counts,vpac,2,0.21482605204521563
euclidean,campbell,counts,vpac,16,-0.11495913941457596
euclidean,campbell,counts,vpac,96,0.05569573019747818
euclidean,campbell,counts,vpac,8,-0.11770375889341456
euclidean,campbell,counts,vpac,48,0.0308013807115316
euclidean,campbell,counts,umap,4,0.6345340763428506
euclidean,campbell,counts,umap,32,0.621660090093774
euclidean,campbell,counts,umap,2,0.5926744277127927
euclidean,campbell,counts,umap,16,0.6141524125387527
euclidean,campbell,counts,umap,96,0.6150618401363519
euclidean,campbell,counts,umap,8,0.604082012662143
euclidean,campbell,counts,umap,48,0.6321427521042946
euclidean,campbell,counts,kpca-sig,4,nan
euclidean,campbell,counts,kpca-sig,32,nan
euclidean,campbell,counts,kpca-sig,2,nan
euclidean,campbell,counts,kpca-sig,16,nan
euclidean,campbell,counts,kpca-sig,96,nan
euclidean,campbell,counts,kpca-sig,8,nan
euclidean,campbell,counts,kpca-sig,48,nan
euclidean,campbell,counts,nmf2,4,0.7438856487888932
euclidean,campbell,counts,nmf2,32,0.8378419811260113
euclidean,campbell,counts,nmf2,2,0.6107688212097778
euclidean,campbell,counts,nmf2,16,0.7960855882630494
euclidean,campbell,counts,nmf2,96,0.876216003386649
euclidean,campbell,counts,nmf2,8,0.7549562944199184
euclidean,campbell,counts,nmf2,48,0.8611881151246866
euclidean,campbell,counts,srp,4,0.31042715327676884
euclidean,campbell,counts,srp,32,0.6674703568502928
euclidean,campbell,counts,srp,2,0.11227096200217898
euclidean,campbell,counts,srp,16,0.2463243287945398
euclidean,campbell,counts,srp,96,0.7246000048772401
euclidean,campbell,counts,srp,8,0.2409858414689559
euclidean,campbell,counts,srp,48,0.3754360924228698
euclidean,campbell,counts,psmf,4,0.3768829918752139
euclidean,campbell,counts,psmf,32,0.5353866690370244
euclidean,campbell,counts,psmf,2,0.5059235551159472
euclidean,campbell,counts,psmf,16,0.4702793885873134
euclidean,campbell,counts,psmf,96,0.4501793342247585
euclidean,campbell,counts,psmf,8,0.4106636723470479
euclidean,campbell,counts,psmf,48,0.5586855956666357
euclidean,campbell,counts,fica,4,0.6814989492141216
euclidean,campbell,counts,fica,32,0.7021725974254711
euclidean,campbell,counts,fica,2,0.6144391142030547
euclidean,campbell,counts,fica,16,0.7872179097555921
euclidean,campbell,counts,fica,96,0.5943282493809466
euclidean,campbell,counts,fica,8,0.8014770579427497
euclidean,campbell,counts,fica,48,0.65268313889843
euclidean,campbell,counts,lle,4,0.5102389253400538
euclidean,campbell,counts,lle,32,0.5145821165303462
euclidean,campbell,counts,lle,2,0.5254156849554072
euclidean,campbell,counts,lle,16,0.43975560259740354
euclidean,campbell,counts,lle,96,0.46732208623083205
euclidean,campbell,counts,lle,8,0.16354164188332795
euclidean,campbell,counts,lle,48,0.47681814037572506
euclidean,campbell,counts,lsnmf,4,-0.00201664430445865
euclidean,campbell,counts,lsnmf,32,0.0029358325465985713
euclidean,campbell,counts,lsnmf,2,-0.0009236892161090768
euclidean,campbell,counts,lsnmf,16,-0.0017853360609653424
euclidean,campbell,counts,lsnmf,96,-0.00294726914628208
euclidean,campbell,counts,lsnmf,8,0.0005873782653239823
euclidean,campbell,counts,lsnmf,48,-0.006528345869379084
euclidean,campbell,counts,phate,4,0.8511423370077364
euclidean,campbell,counts,phate,32,0.8706171141668093
euclidean,campbell,counts,phate,2,0.8456340037543935
euclidean,campbell,counts,phate,16,0.8688930644711848
euclidean,campbell,counts,phate,96,0.8626795304495974
euclidean,campbell,counts,phate,8,0.8696317015874983
euclidean,campbell,counts,phate,48,0.8673441169216286
euclidean,campbell,counts,kpca-rbf,4,-0.01709527366923406
euclidean,campbell,counts,kpca-rbf,32,-0.0008637469698219994
euclidean,campbell,counts,kpca-rbf,2,-0.001232993726861828
euclidean,campbell,counts,kpca-rbf,16,-0.0009237834757058505
euclidean,campbell,counts,kpca-rbf,96,-0.001458317037885078
euclidean,campbell,counts,kpca-rbf,8,-0.012060291053955013
euclidean,campbell,counts,kpca-rbf,48,-0.0018808637129830862
euclidean,campbell,counts,isomap,4,0.8178663266785927
euclidean,campbell,counts,isomap,32,0.8935967655198251
euclidean,campbell,counts,isomap,2,0.7011749289470608
euclidean,campbell,counts,isomap,16,0.8772252710885251
euclidean,campbell,counts,isomap,96,0.9051881042804798
euclidean,campbell,counts,isomap,8,0.8352629278087674
euclidean,campbell,counts,isomap,48,0.8981036382887282
euclidean,campbell,counts,saucie,4,-0.004295405994230332
euclidean,campbell,counts,saucie,32,0.008782977629849607
euclidean,campbell,counts,saucie,2,-0.0019873836930867053
euclidean,campbell,counts,saucie,16,-0.014381559986796147
euclidean,campbell,counts,saucie,96,0.0028347785771225716
euclidean,campbell,counts,saucie,8,0.004506670492639573
euclidean,campbell,counts,saucie,48,-0.0002567534729153816
euclidean,campbell,counts,bd,4,0.6991240070269801
euclidean,campbell,counts,bd,32,0.6789854209567698
euclidean,campbell,counts,bd,2,0.4744675490770122
euclidean,campbell,counts,bd,16,0.8971116419772223
euclidean,campbell,counts,bd,96,0.8657230626767519
euclidean,campbell,counts,bd,8,0.5376109686911413
euclidean,campbell,counts,bd,48,0.7769824892204001
euclidean,campbell,counts,lda,4,0.3353536267488329
