metric,dataset,count,method,dimensions,rho
euclidean,chen,logcounts,spca,4,0.7445969441866692
euclidean,chen,logcounts,spca,32,0.6899464825450335
euclidean,chen,logcounts,spca,2,0.6307549099380947
euclidean,chen,logcounts,spca,16,0.7213799560802728
euclidean,chen,logcounts,spca,96,0.6917883925752394
euclidean,chen,logcounts,spca,8,0.7398864297609463
euclidean,chen,logcounts,spca,48,0.6852022204733594
euclidean,chen,logcounts,tsvd,4,0.723345125870305
euclidean,chen,logcounts,tsvd,32,0.7922961406206294
euclidean,chen,logcounts,tsvd,2,0.6944383677068575
euclidean,chen,logcounts,tsvd,16,0.7790260556333731
euclidean,chen,logcounts,tsvd,96,0.8142354160427232
euclidean,chen,logcounts,tsvd,8,0.7574262896853178
euclidean,chen,logcounts,tsvd,48,0.7987960332718121
euclidean,chen,logcounts,spca-batch,4,0.7536617739596301
euclidean,chen,logcounts,spca-batch,32,0.5342991302494261
euclidean,chen,logcounts,spca-batch,2,0.6095652658626824
euclidean,chen,logcounts,spca-batch,16,0.6346276205074078
euclidean,chen,logcounts,spca-batch,96,0.6610368098746296
euclidean,chen,logcounts,spca-batch,8,0.6598329264500093
euclidean,chen,logcounts,spca-batch,48,0.6300153574604058
euclidean,chen,logcounts,zifa,4,0.46947261798743684
euclidean,chen,logcounts,zifa,2,0.36964727399024944
euclidean,chen,logcounts,zifa,8,0.4864435988287836
euclidean,chen,logcounts,nsnmf,4,0.7566565400025559
euclidean,chen,logcounts,nsnmf,32,0.6148657122500234
euclidean,chen,logcounts,nsnmf,2,0.6812157090632529
euclidean,chen,logcounts,nsnmf,16,0.6062264143498461
euclidean,chen,logcounts,nsnmf,96,0.42697519062038164
euclidean,chen,logcounts,nsnmf,8,0.6694815379327453
euclidean,chen,logcounts,nsnmf,48,0.525506703455783
euclidean,chen,logcounts,vpac,4,0.43712186921220675
euclidean,chen,logcounts,vpac,32,0.6509266840342115
euclidean,chen,logcounts,vpac,2,0.085076706954731
euclidean,chen,logcounts,vpac,16,0.5507707526014752
euclidean,chen,logcounts,vpac,96,0.8048133815276808
euclidean,chen,logcounts,vpac,8,-0.05177677203922573
euclidean,chen,logcounts,vpac,48,0.7155203506712456
euclidean,chen,logcounts,umap,4,0.20631059060900225
euclidean,chen,logcounts,umap,32,0.28879180526610854
euclidean,chen,logcounts,umap,2,0.21450273503687095
euclidean,chen,logcounts,umap,16,0.26952345917221576
euclidean,chen,logcounts,umap,96,0.27133181445277527
euclidean,chen,logcounts,umap,8,0.26491771562199384
euclidean,chen,logcounts,umap,48,0.2792163312744634
euclidean,chen,logcounts,kpca-sig,4,-0.14893946122512142
euclidean,chen,logcounts,kpca-sig,32,-0.27849158432564586
euclidean,chen,logcounts,kpca-sig,2,-0.03246899553163884
euclidean,chen,logcounts,kpca-sig,16,-0.2544823408680443
euclidean,chen,logcounts,kpca-sig,96,-0.36729931065104066
euclidean,chen,logcounts,kpca-sig,8,-0.2200188116630578
euclidean,chen,logcounts,kpca-sig,48,-0.30321304872367677
euclidean,chen,logcounts,nmf2,4,0.6016609205430589
euclidean,chen,logcounts,nmf2,32,0.6169902816118794
euclidean,chen,logcounts,nmf2,2,0.6892073412373735
euclidean,chen,logcounts,nmf2,16,0.678856642534882
euclidean,chen,logcounts,nmf2,96,0.6321741084850211
euclidean,chen,logcounts,nmf2,8,0.6142060516609109
euclidean,chen,logcounts,nmf2,48,0.6410921496551786
euclidean,chen,logcounts,srp,4,0.2871351004660276
euclidean,chen,logcounts,srp,32,0.6151804060638157
euclidean,chen,logcounts,srp,2,0.18283668661999394
euclidean,chen,logcounts,srp,16,0.494853212978875
euclidean,chen,logcounts,srp,96,0.8162959980110271
euclidean,chen,logcounts,srp,8,0.3350740266572082
euclidean,chen,logcounts,srp,48,0.6939792509333239
