metric,dataset,count,method,dimensions,rho
euclidean,darmanis,counts,spca,4,0.9999753654701378
euclidean,darmanis,counts,spca,32,0.9999951142098917
euclidean,darmanis,counts,spca,2,0.999948553693252
euclidean,darmanis,counts,spca,16,0.9999903335710507
euclidean,darmanis,counts,spca,96,0.9999981266260146
euclidean,darmanis,counts,spca,8,0.9999841036187842
euclidean,darmanis,counts,spca,48,0.9999966332297893
euclidean,darmanis,counts,tsvd,4,0.9999724322303438
euclidean,darmanis,counts,tsvd,32,0.9999952774339828
euclidean,darmanis,counts,tsvd,2,0.9999445520846916
euclidean,darmanis,counts,tsvd,16,0.999989915762314
euclidean,darmanis,counts,tsvd,96,0.9999990596688676
euclidean,darmanis,counts,tsvd,8,0.9999812048779555
euclidean,darmanis,counts,tsvd,48,0.9999972161994056
euclidean,darmanis,counts,spca-batch,4,0.9207123081575556
euclidean,darmanis,counts,spca-batch,32,0.8312149343308254
euclidean,darmanis,counts,spca-batch,2,0.9062994019284782
euclidean,darmanis,counts,spca-batch,16,0.9349766752954862
euclidean,darmanis,counts,spca-batch,96,0.6667905576685688
euclidean,darmanis,counts,spca-batch,8,0.9139058421849838
euclidean,darmanis,counts,spca-batch,48,0.8297756746591276
euclidean,darmanis,counts,zifa,4,0.3286183638247872
euclidean,darmanis,counts,zifa,32,0.2790649755995831
euclidean,darmanis,counts,zifa,2,0.3061381038149136
euclidean,darmanis,counts,zifa,16,0.3315461367390237
euclidean,darmanis,counts,zifa,96,0.20952518042869836
euclidean,darmanis,counts,zifa,8,0.3308872525309047
euclidean,darmanis,counts,zifa,48,0.23954850198052685
euclidean,darmanis,counts,tga,4,0.9999579001498454
euclidean,darmanis,counts,tga,32,0.9999730807457493
euclidean,darmanis,counts,tga,2,0.9999376043034889
euclidean,darmanis,counts,tga,16,0.9999705793244354
euclidean,darmanis,counts,tga,96,0.9999767780288782
euclidean,darmanis,counts,tga,8,0.9999665101390672
euclidean,darmanis,counts,tga,48,0.9999749468174725
euclidean,darmanis,counts,nsnmf,4,0.5618057175595201
euclidean,darmanis,counts,nsnmf,32,0.530254800536101
euclidean,darmanis,counts,nsnmf,2,0.7707469579608849
euclidean,darmanis,counts,nsnmf,16,0.5676910886039934
euclidean,darmanis,counts,nsnmf,96,0.4180948408647399
euclidean,darmanis,counts,nsnmf,8,0.6388693989169721
euclidean,darmanis,counts,nsnmf,48,0.4882951154178797
euclidean,darmanis,counts,vpac,4,0.15645805918399822
euclidean,darmanis,counts,vpac,32,0.09073032668967071
euclidean,darmanis,counts,vpac,2,0.035821549363747526
euclidean,darmanis,counts,vpac,16,0.10089099620000516
euclidean,darmanis,counts,vpac,96,0.16478803576501452
euclidean,darmanis,counts,vpac,8,0.11373236701203374
euclidean,darmanis,counts,vpac,48,0.12669177080502
euclidean,darmanis,counts,umap,4,0.8893676486091833
euclidean,darmanis,counts,umap,32,0.8750526342791578
euclidean,darmanis,counts,umap,2,0.864245043222966
euclidean,darmanis,counts,umap,16,0.8810537283050011
euclidean,darmanis,counts,umap,96,0.8817432837614024
euclidean,darmanis,counts,umap,8,0.875796905915042
euclidean,darmanis,counts,umap,48,0.8826872948892258
euclidean,darmanis,counts,kpca-sig,4,nan
euclidean,darmanis,counts,kpca-sig,32,nan
euclidean,darmanis,counts,kpca-sig,2,nan
euclidean,darmanis,counts,kpca-sig,16,nan
euclidean,darmanis,counts,kpca-sig,96,nan
euclidean,darmanis,counts,kpca-sig,8,nan
euclidean,darmanis,counts,kpca-sig,48,nan
euclidean,darmanis,counts,nmf2,4,0.5461081635555077
euclidean,darmanis,counts,nmf2,32,0.6386519544694979
euclidean,darmanis,counts,nmf2,2,0.8934764739281255
euclidean,darmanis,counts,nmf2,16,0.5946510425456367
euclidean,darmanis,counts,nmf2,96,0.7206622306858923
euclidean,darmanis,counts,nmf2,8,0.5362131286889081
euclidean,darmanis,counts,nmf2,48,0.6694736580751288
euclidean,darmanis,counts,srp,4,0.13758918375329393
euclidean,darmanis,counts,srp,32,0.17812536555203115
euclidean,darmanis,counts,srp,2,0.08286144223223434
euclidean,darmanis,counts,srp,16,0.1847242478176404
euclidean,darmanis,counts,srp,96,0.9997833244054081
euclidean,darmanis,counts,srp,8,0.15604983234570657
euclidean,darmanis,counts,srp,48,0.16706798512322088
euclidean,darmanis,counts,psmf,4,0.2719108916980122
euclidean,darmanis,counts,psmf,32,0.27265658799796405
euclidean,darmanis,counts,psmf,2,0.31845679216361117
euclidean,darmanis,counts,psmf,16,0.2802865864168951
euclidean,darmanis,counts,psmf,96,0.21495083038914398
euclidean,darmanis,counts,psmf,8,0.33059983122670233
euclidean,darmanis,counts,psmf,48,0.3033603911432541
euclidean,darmanis,counts,fica,4,0.6280569988539599
euclidean,darmanis,counts,fica,32,0.26332385230940514
euclidean,darmanis,counts,fica,2,0.9154124732660515
euclidean,darmanis,counts,fica,16,0.3470336344562391
euclidean,darmanis,counts,fica,96,0.17190867720377273
euclidean,darmanis,counts,fica,8,0.4496106827180774
euclidean,darmanis,counts,fica,48,0.22132734734028545
euclidean,darmanis,counts,lle,4,0.6761007265815776
euclidean,darmanis,counts,lle,32,0.31906037402068393
euclidean,darmanis,counts,lle,2,0.5225826388991052
euclidean,darmanis,counts,lle,16,0.4453354021317724
euclidean,darmanis,counts,lle,96,0.19506712440267313
euclidean,darmanis,counts,lle,8,0.6017610638692268
euclidean,darmanis,counts,lle,48,0.2587544049240286
euclidean,darmanis,counts,lsnmf,4,-0.015708160981596185
euclidean,darmanis,counts,lsnmf,32,0.028361352300904915
euclidean,darmanis,counts,lsnmf,2,0.0064376597012739826
euclidean,darmanis,counts,lsnmf,16,-0.012158744807578814
euclidean,darmanis,counts,lsnmf,96,0.023684545353558826
euclidean,darmanis,counts,lsnmf,8,-0.01737861991890176
euclidean,darmanis,counts,lsnmf,48,-0.008564897794914617
euclidean,darmanis,counts,phate,4,0.8691362889492729
euclidean,darmanis,counts,phate,32,0.8703722527565275
euclidean,darmanis,counts,phate,2,0.8589560214013147
euclidean,darmanis,counts,phate,16,0.8704232533743542
euclidean,darmanis,counts,phate,96,0.8706830920712866
euclidean,darmanis,counts,phate,8,0.8705316359807023
euclidean,darmanis,counts,phate,48,0.8700120445587921
euclidean,darmanis,counts,kpca-rbf,4,-0.02165237089333386
euclidean,darmanis,counts,kpca-rbf,32,-0.015050557485552956
euclidean,darmanis,counts,kpca-rbf,2,-0.011947913363446087
euclidean,darmanis,counts,kpca-rbf,16,-0.022265424434951997
euclidean,darmanis,counts,kpca-rbf,96,0.011651045814752549
euclidean,darmanis,counts,kpca-rbf,8,0.005775248306253491
euclidean,darmanis,counts,kpca-rbf,48,0.028967310558475373
euclidean,darmanis,counts,isomap,4,0.9816594348256436
euclidean,darmanis,counts,isomap,32,0.9792576372121815
euclidean,darmanis,counts,isomap,2,0.9847971658643169
euclidean,darmanis,counts,isomap,16,0.9801733716978862
euclidean,darmanis,counts,isomap,96,0.978777436763342
euclidean,darmanis,counts,isomap,8,0.9806346612024087
euclidean,darmanis,counts,isomap,48,0.9789522841125877
euclidean,darmanis,counts,saucie,4,-0.016699608786199922
euclidean,darmanis,counts,saucie,32,-0.03811096491344348
euclidean,darmanis,counts,saucie,2,0.006061081287517924
euclidean,darmanis,counts,saucie,16,-0.021710603925352498
euclidean,darmanis,counts,saucie,96,0.03438167627195769
euclidean,darmanis,counts,saucie,8,0.014372513255547023
euclidean,darmanis,counts,saucie,48,0.021616903823757225
euclidean,darmanis,counts,bd,4,0.5431086484180719
euclidean,darmanis,counts,bd,32,0.7201728010947507
euclidean,darmanis,counts,bd,2,0.8984108295783567
euclidean,darmanis,counts,bd,16,0.7617245526458175
euclidean,darmanis,counts,bd,96,0.640375734354789
euclidean,darmanis,counts,bd,8,0.5946379810977782
euclidean,darmanis,counts,bd,48,0.6020959012251084
euclidean,darmanis,counts,lda,4,0.36482595061980383
euclidean,darmanis,counts,lda,32,0.48139705884596873
euclidean,darmanis,counts,lda,2,0.6753259190011599
euclidean,darmanis,counts,lda,16,0.4592591993982874
euclidean,darmanis,counts,lda,96,0.39588056734433935
euclidean,darmanis,counts,lda,8,0.478538588303891
euclidean,darmanis,counts,lda,48,0.636288078161054
euclidean,darmanis,counts,spectral,4,0.6705685740664379
euclidean,darmanis,counts,spectral,32,0.2745517326878107
euclidean,darmanis,counts,spectral,2,0.838048328323111
euclidean,darmanis,counts,spectral,16,0.3617251239613339
euclidean,darmanis,counts,spectral,96,0.12527612677590416
euclidean,darmanis,counts,spectral,8,0.5120202752542491
euclidean,darmanis,counts,spectral,48,0.20921225799748547
euclidean,darmanis,counts,grp,4,0.9343905788205643
euclidean,darmanis,counts,grp,32,0.9688163856041128
euclidean,darmanis,counts,grp,2,0.7604054571209946
euclidean,darmanis,counts,grp,16,0.9897678974784179
euclidean,darmanis,counts,grp,96,0.9967872264892754
euclidean,darmanis,counts,grp,8,0.9395199339022907
euclidean,darmanis,counts,grp,48,0.9964484548085156
euclidean,darmanis,counts,fa,4,0.9099606686976798
euclidean,darmanis,counts,fa,32,0.4638418079679131
euclidean,darmanis,counts,fa,2,0.8290634717495519
euclidean,darmanis,counts,fa,16,0.545367317897269
euclidean,darmanis,counts,fa,96,0.3117597641989973
euclidean,darmanis,counts,fa,8,0.6525794407811455
euclidean,darmanis,counts,fa,48,0.472791755181089
euclidean,darmanis,counts,mctsne,4,0.9377328853794589
euclidean,darmanis,counts,mctsne,32,nan
euclidean,darmanis,counts,mctsne,2,0.9410964048382322
euclidean,darmanis,counts,mctsne,16,0.9384749921901624
euclidean,darmanis,counts,mctsne,96,0.8634316387937201
euclidean,darmanis,counts,mctsne,8,0.9391252801538607
euclidean,darmanis,counts,mctsne,48,0.6906004564432371
euclidean,darmanis,counts,nmf,4,0.9404320690751807
euclidean,darmanis,counts,nmf,32,0.824345866336677
euclidean,darmanis,counts,nmf,2,0.9872133109872223
euclidean,darmanis,counts,nmf,16,0.82029588273617
euclidean,darmanis,counts,nmf,96,0.8403170210976886
euclidean,darmanis,counts,nmf,8,0.8156764995523519
euclidean,darmanis,counts,nmf,48,0.8236191964862043
euclidean,darmanis,counts,kpca-pol,4,0.9198679624885002
euclidean,darmanis,counts,kpca-pol,32,0.9200212349555849
euclidean,darmanis,counts,kpca-pol,2,0.913062585860673
euclidean,darmanis,counts,kpca-pol,16,0.9199893199193407
euclidean,darmanis,counts,kpca-pol,96,0.920039646827989
euclidean,darmanis,counts,kpca-pol,8,0.9199323450334801
euclidean,darmanis,counts,kpca-pol,48,0.9200340959816244
euclidean,darmanis,counts,vasc,4,0.09252880771564456
euclidean,darmanis,counts,vasc,32,0.139532918460535
euclidean,darmanis,counts,vasc,2,0.0785805613045204
euclidean,darmanis,counts,vasc,16,0.1475517875566226
euclidean,darmanis,counts,vasc,96,nan
euclidean,darmanis,counts,vasc,8,0.11022668300254558
euclidean,darmanis,counts,vasc,48,nan
euclidean,darmanis,counts,kpca-cos,4,0.8668919548611052
euclidean,darmanis,counts,kpca-cos,32,0.8697869165141834
euclidean,darmanis,counts,kpca-cos,2,0.8611917697482603
euclidean,darmanis,counts,kpca-cos,16,0.8688257174581443
euclidean,darmanis,counts,kpca-cos,96,0.8704423272350592
euclidean,darmanis,counts,kpca-cos,8,0.8682140287913047
euclidean,darmanis,counts,kpca-cos,48,0.8701612581663521
euclidean,darmanis,counts,pca,4,0.9999753665346068
euclidean,darmanis,counts,pca,32,0.999995451937494
euclidean,darmanis,counts,pca,2,0.9999485536273748
euclidean,darmanis,counts,pca,16,0.999990462407862
euclidean,darmanis,counts,pca,96,0.9999990793523166
euclidean,darmanis,counts,pca,8,0.9999841204446182
euclidean,darmanis,counts,pca,48,0.999997290927785
euclidean,darmanis,counts,pmf,4,0.6204432228080051
euclidean,darmanis,counts,pmf,32,0.3751699139893942
euclidean,darmanis,counts,pmf,2,0.5941345938292198
euclidean,darmanis,counts,pmf,16,0.6355966067466892
euclidean,darmanis,counts,pmf,96,0.34250073608711645
euclidean,darmanis,counts,pmf,8,0.5303187954375549
euclidean,darmanis,counts,pmf,48,0.3630180334801364
euclidean,darmanis,counts,snmf,4,0.7986742782054127
euclidean,darmanis,counts,snmf,32,0.6089589590526475
euclidean,darmanis,counts,snmf,2,0.929424738711
euclidean,darmanis,counts,snmf,16,0.9030321481952656
euclidean,darmanis,counts,snmf,96,0.82327000260251
euclidean,darmanis,counts,snmf,8,0.7835569412160677
euclidean,darmanis,counts,snmf,48,0.8771681950230656
euclidean,darmanis,counts,ipca,4,0.9999753665346068
euclidean,darmanis,counts,ipca,32,0.9999954637825588
euclidean,darmanis,counts,ipca,2,0.9999485536273748
euclidean,darmanis,counts,ipca,16,0.9999904488071281
euclidean,darmanis,counts,ipca,96,0.9999990651939485
euclidean,darmanis,counts,ipca,8,0.9999841203857799
euclidean,darmanis,counts,ipca,48,0.9999972680777253
euclidean,darmanis,counts,icm,4,0.007341281853211281
euclidean,darmanis,counts,icm,32,0.10543509406734673
euclidean,darmanis,counts,icm,2,-0.02482941840181079
euclidean,darmanis,counts,icm,16,-0.016412629655398834
euclidean,darmanis,counts,icm,96,0.09174110900761855
euclidean,darmanis,counts,icm,8,0.09063853780749628
euclidean,darmanis,counts,icm,48,0.13758122132552394
euclidean,darmanis,counts,ivis,4,nan
euclidean,darmanis,counts,ivis,32,nan
euclidean,darmanis,counts,ivis,2,0.6851323424642738
euclidean,darmanis,counts,ivis,16,nan
euclidean,darmanis,counts,ivis,96,0.7644851562603563
euclidean,darmanis,counts,ivis,8,nan
euclidean,darmanis,counts,ivis,48,nan
