metric,dataset,count,method,dimensions,rho
euclidean,deng-reads,counts,spca,4,0.9313130659875721
euclidean,deng-reads,counts,spca,32,0.9868906555418262
euclidean,deng-reads,counts,spca,2,0.9116067163664211
euclidean,deng-reads,counts,spca,16,0.9765310764503387
euclidean,deng-reads,counts,spca,96,0.9927255740125234
euclidean,deng-reads,counts,spca,8,0.9710606935438335
euclidean,deng-reads,counts,spca,48,0.9904897800030517
euclidean,deng-reads,counts,tsvd,4,0.9285420779128358
euclidean,deng-reads,counts,tsvd,32,0.9951592119550003
euclidean,deng-reads,counts,tsvd,2,0.8557606549038131
euclidean,deng-reads,counts,tsvd,16,0.9858598851746787
euclidean,deng-reads,counts,tsvd,96,0.9992865376585854
euclidean,deng-reads,counts,tsvd,8,0.9777815934928774
euclidean,deng-reads,counts,tsvd,48,0.997890066878839
euclidean,deng-reads,counts,spca-batch,4,0.6629976244553695
euclidean,deng-reads,counts,spca-batch,32,0.6666487366807331
euclidean,deng-reads,counts,spca-batch,2,0.9044702934449631
euclidean,deng-reads,counts,spca-batch,16,0.7524865749046311
euclidean,deng-reads,counts,spca-batch,96,0.5775494712802121
euclidean,deng-reads,counts,spca-batch,8,0.7298939472386118
euclidean,deng-reads,counts,spca-batch,48,0.46073370379103334
euclidean,deng-reads,counts,zifa,4,0.7134098562568053
euclidean,deng-reads,counts,zifa,32,0.5660286202669347
euclidean,deng-reads,counts,zifa,2,0.6856270643813185
euclidean,deng-reads,counts,zifa,16,0.6819869945865392
euclidean,deng-reads,counts,zifa,96,0.24321665181296215
euclidean,deng-reads,counts,zifa,8,0.6924953823551533
euclidean,deng-reads,counts,zifa,48,0.48412630907877835
euclidean,deng-reads,counts,tga,4,0.9217662253476714
euclidean,deng-reads,counts,tga,32,0.9808085537372045
euclidean,deng-reads,counts,tga,2,0.8852220870427833
euclidean,deng-reads,counts,tga,16,0.9761141072563013
euclidean,deng-reads,counts,tga,96,0.9873042781253564
euclidean,deng-reads,counts,tga,8,0.9557898681614657
euclidean,deng-reads,counts,tga,48,0.9832927899606135
euclidean,deng-reads,counts,nsnmf,4,0.5735077209061353
euclidean,deng-reads,counts,nsnmf,32,0.7901843954766834
euclidean,deng-reads,counts,nsnmf,2,0.4406836399056829
euclidean,deng-reads,counts,nsnmf,16,0.8036152410130225
euclidean,deng-reads,counts,nsnmf,96,0.8118022651190396
euclidean,deng-reads,counts,nsnmf,8,0.7439065020790357
euclidean,deng-reads,counts,nsnmf,48,0.8078958080613877
euclidean,deng-reads,counts,vpac,4,0.6926267549432678
euclidean,deng-reads,counts,vpac,32,0.7374803823592713
euclidean,deng-reads,counts,vpac,2,0.6536901418946488
euclidean,deng-reads,counts,vpac,16,0.730267429995258
euclidean,deng-reads,counts,vpac,96,0.6416396025416915
euclidean,deng-reads,counts,vpac,8,0.6912638850648813
euclidean,deng-reads,counts,vpac,48,0.7313276611261044
euclidean,deng-reads,counts,umap,4,0.41193375681944455
euclidean,deng-reads,counts,umap,32,0.48755888194548674
euclidean,deng-reads,counts,umap,2,0.52662535888257
euclidean,deng-reads,counts,umap,16,0.4036957013659004
euclidean,deng-reads,counts,umap,96,0.6099355209826305
euclidean,deng-reads,counts,umap,8,0.5728094625289273
euclidean,deng-reads,counts,umap,48,0.39867741157030456
euclidean,deng-reads,counts,kpca-sig,4,nan
euclidean,deng-reads,counts,kpca-sig,32,nan
euclidean,deng-reads,counts,kpca-sig,2,nan
euclidean,deng-reads,counts,kpca-sig,16,nan
euclidean,deng-reads,counts,kpca-sig,96,nan
euclidean,deng-reads,counts,kpca-sig,8,nan
euclidean,deng-reads,counts,kpca-sig,48,nan
euclidean,deng-reads,counts,nmf2,4,0.8746378275817437
euclidean,deng-reads,counts,nmf2,32,0.9279768285631609
euclidean,deng-reads,counts,nmf2,2,0.7643480165714711
