metric,dataset,count,method,dimensions,rho
euclidean,deng-rpkms,lognormcounts,spca,4,0.8314133534415521
euclidean,deng-rpkms,lognormcounts,spca,32,0.9035746707469542
euclidean,deng-rpkms,lognormcounts,spca,2,0.7138151888226166
euclidean,deng-rpkms,lognormcounts,spca,16,0.8751154332951588
euclidean,deng-rpkms,lognormcounts,spca,96,0.8712844781548541
euclidean,deng-rpkms,lognormcounts,spca,8,0.8203382086143872
euclidean,deng-rpkms,lognormcounts,spca,48,0.9114540239368679
euclidean,deng-rpkms,lognormcounts,tsvd,4,0.8066416916447364
euclidean,deng-rpkms,lognormcounts,tsvd,32,0.9478398403468346
euclidean,deng-rpkms,lognormcounts,tsvd,2,0.8394871434264874
euclidean,deng-rpkms,lognormcounts,tsvd,16,0.8887880009808184
euclidean,deng-rpkms,lognormcounts,tsvd,96,0.9783005994808498
euclidean,deng-rpkms,lognormcounts,tsvd,8,0.837820395735224
euclidean,deng-rpkms,lognormcounts,tsvd,48,0.9670151870342911
euclidean,deng-rpkms,lognormcounts,spca-batch,4,0.8394028251779679
euclidean,deng-rpkms,lognormcounts,spca-batch,32,0.9247245641041708
euclidean,deng-rpkms,lognormcounts,spca-batch,2,0.7241133697516378
euclidean,deng-rpkms,lognormcounts,spca-batch,16,0.8987367804717885
euclidean,deng-rpkms,lognormcounts,spca-batch,96,0.9459569713397817
euclidean,deng-rpkms,lognormcounts,spca-batch,8,0.8607809477788464
euclidean,deng-rpkms,lognormcounts,spca-batch,48,0.9312744998991813
euclidean,deng-rpkms,lognormcounts,zifa,4,0.7978596515446897
euclidean,deng-rpkms,lognormcounts,zifa,32,0.6905213523633532
euclidean,deng-rpkms,lognormcounts,zifa,2,0.7117719174517473
euclidean,deng-rpkms,lognormcounts,zifa,16,0.6948666663039031
euclidean,deng-rpkms,lognormcounts,zifa,8,0.6648631697075793
euclidean,deng-rpkms,lognormcounts,zifa,48,0.6489802023298055
euclidean,deng-rpkms,lognormcounts,nsnmf,4,0.5130732326140688
euclidean,deng-rpkms,lognormcounts,nsnmf,32,0.568431762188581
euclidean,deng-rpkms,lognormcounts,nsnmf,2,0.6143332334076087
euclidean,deng-rpkms,lognormcounts,nsnmf,16,0.5507315061650333
euclidean,deng-rpkms,lognormcounts,nsnmf,96,0.5512381637916262
euclidean,deng-rpkms,lognormcounts,nsnmf,8,0.5507869597743846
euclidean,deng-rpkms,lognormcounts,nsnmf,48,0.5492035106138181
euclidean,deng-rpkms,lognormcounts,vpac,4,0.6800359432905502
euclidean,deng-rpkms,lognormcounts,vpac,32,0.8740208567776647
euclidean,deng-rpkms,lognormcounts,vpac,2,0.5983810386713815
