metric,dataset,count,method,dimensions,rho
euclidean,deng-rpkms,normcounts,spca,4,0.9293699929570589
euclidean,deng-rpkms,normcounts,spca,32,0.9954564259729253
euclidean,deng-rpkms,normcounts,spca,2,0.897708618365302
euclidean,deng-rpkms,normcounts,spca,16,0.9907944882432419
euclidean,deng-rpkms,normcounts,spca,96,0.9969387623632623
euclidean,deng-rpkms,normcounts,spca,8,0.9764036650088254
euclidean,deng-rpkms,normcounts,spca,48,0.9963655012353355
euclidean,deng-rpkms,normcounts,tsvd,4,0.928478812103925
euclidean,deng-rpkms,normcounts,tsvd,32,0.9989152001144617
euclidean,deng-rpkms,normcounts,tsvd,2,0.8922690599067704
euclidean,deng-rpkms,normcounts,tsvd,16,0.9944305763968044
euclidean,deng-rpkms,normcounts,tsvd,96,0.9999595641378309
euclidean,deng-rpkms,normcounts,tsvd,8,0.9736886001989163
euclidean,deng-rpkms,normcounts,tsvd,48,0.9997023370785175
euclidean,deng-rpkms,normcounts,spca-batch,4,0.8255838391343231
euclidean,deng-rpkms,normcounts,spca-batch,32,0.5780327262417045
euclidean,deng-rpkms,normcounts,spca-batch,2,0.8822824678444976
euclidean,deng-rpkms,normcounts,spca-batch,16,0.626862632125743
euclidean,deng-rpkms,normcounts,spca-batch,96,0.6881313813527932
euclidean,deng-rpkms,normcounts,spca-batch,8,0.6848589884231379
euclidean,deng-rpkms,normcounts,spca-batch,48,0.811652973290354
euclidean,deng-rpkms,normcounts,zifa,4,0.6432209070389279
euclidean,deng-rpkms,normcounts,zifa,32,0.4480516474125038
euclidean,deng-rpkms,normcounts,zifa,2,0.6389653267824301
euclidean,deng-rpkms,normcounts,zifa,16,0.5802952050878853
euclidean,deng-rpkms,normcounts,zifa,96,0.08890733069166916
euclidean,deng-rpkms,normcounts,zifa,8,0.6568602901515138
euclidean,deng-rpkms,normcounts,zifa,48,0.35231604608884626
euclidean,deng-rpkms,normcounts,nsnmf,4,0.7149328854458337
euclidean,deng-rpkms,normcounts,nsnmf,32,0.8183133984107402
euclidean,deng-rpkms,normcounts,nsnmf,2,0.6337089800546855
euclidean,deng-rpkms,normcounts,nsnmf,16,0.8046767484953199
euclidean,deng-rpkms,normcounts,nsnmf,96,0.8010554609963623
euclidean,deng-rpkms,normcounts,nsnmf,8,0.7796064141595139
euclidean,deng-rpkms,normcounts,nsnmf,48,0.7621162679813025
euclidean,deng-rpkms,normcounts,vpac,4,0.6916151644831506
euclidean,deng-rpkms,normcounts,vpac,32,0.644038814730215
euclidean,deng-rpkms,normcounts,vpac,2,0.6694773341792358
euclidean,deng-rpkms,normcounts,vpac,16,0.6555505047195512
euclidean,deng-rpkms,normcounts,vpac,96,0.5046561985760816
euclidean,deng-rpkms,normcounts,vpac,8,0.6549575595728113
euclidean,deng-rpkms,normcounts,vpac,48,0.6011352659282252
euclidean,deng-rpkms,normcounts,umap,4,0.5906902043490058
euclidean,deng-rpkms,normcounts,umap,32,0.4477265898708434
euclidean,deng-rpkms,normcounts,umap,2,0.4628373896352307
euclidean,deng-rpkms,normcounts,umap,16,0.49073406948884835
euclidean,deng-rpkms,normcounts,umap,96,0.427124712332402
euclidean,deng-rpkms,normcounts,umap,8,0.45121846007956995
euclidean,deng-rpkms,normcounts,umap,48,0.5277237129807508
euclidean,deng-rpkms,normcounts,kpca-sig,4,nan
euclidean,deng-rpkms,normcounts,kpca-sig,32,nan
euclidean,deng-rpkms,normcounts,kpca-sig,2,nan
euclidean,deng-rpkms,normcounts,kpca-sig,16,nan
euclidean,deng-rpkms,normcounts,kpca-sig,96,nan
euclidean,deng-rpkms,normcounts,kpca-sig,8,nan
euclidean,deng-rpkms,normcounts,kpca-sig,48,nan
euclidean,deng-rpkms,normcounts,nmf2,4,0.7240866516599798
euclidean,deng-rpkms,normcounts,nmf2,32,0.8064962796091057
euclidean,deng-rpkms,normcounts,nmf2,2,0.7443003600471797
euclidean,deng-rpkms,normcounts,nmf2,16,0.7997039714262107
euclidean,deng-rpkms,normcounts,nmf2,96,0.85446601694289
euclidean,deng-rpkms,normcounts,nmf2,8,0.8036604583970026
euclidean,deng-rpkms,normcounts,nmf2,48,0.8791943245522986
euclidean,deng-rpkms,normcounts,srp,4,0.42347902461865333
euclidean,deng-rpkms,normcounts,srp,32,0.7030075976308969
euclidean,deng-rpkms,normcounts,srp,2,0.5210470893279834
euclidean,deng-rpkms,normcounts,srp,16,0.7127452692724988
euclidean,deng-rpkms,normcounts,srp,96,0.9016448983217762
euclidean,deng-rpkms,normcounts,srp,8,0.6023785750673271
euclidean,deng-rpkms,normcounts,srp,48,0.9206138691293961
euclidean,deng-rpkms,normcounts,psmf,4,0.6535740154967821
euclidean,deng-rpkms,normcounts,psmf,32,0.6550593727386246
euclidean,deng-rpkms,normcounts,psmf,2,0.46419253458661663
euclidean,deng-rpkms,normcounts,psmf,16,0.6550658159110768
euclidean,deng-rpkms,normcounts,psmf,96,0.5490614706061266
euclidean,deng-rpkms,normcounts,psmf,8,0.6414156252285279
euclidean,deng-rpkms,normcounts,psmf,48,0.6273036689083091
euclidean,deng-rpkms,normcounts,fica,4,0.9112768127710341
euclidean,deng-rpkms,normcounts,fica,32,0.47201526350980716
euclidean,deng-rpkms,normcounts,fica,2,0.8756695808286526
euclidean,deng-rpkms,normcounts,fica,16,0.6882941397746484
euclidean,deng-rpkms,normcounts,fica,96,0.1700183761350675
euclidean,deng-rpkms,normcounts,fica,8,0.7758278650613183
euclidean,deng-rpkms,normcounts,fica,48,0.333229738096886
euclidean,deng-rpkms,normcounts,lle,4,0.5658192225934459
euclidean,deng-rpkms,normcounts,lle,32,0.36080098107609176
euclidean,deng-rpkms,normcounts,lle,2,0.39224323274811457
euclidean,deng-rpkms,normcounts,lle,16,0.35547309034110497
euclidean,deng-rpkms,normcounts,lle,96,0.07374965510842206
euclidean,deng-rpkms,normcounts,lle,8,0.45911247239941216
euclidean,deng-rpkms,normcounts,lle,48,0.2280255813016249
euclidean,deng-rpkms,normcounts,lsnmf,4,-0.003275846990687213
euclidean,deng-rpkms,normcounts,lsnmf,32,0.021073330157552538
euclidean,deng-rpkms,normcounts,lsnmf,2,-0.0008984137677417519
euclidean,deng-rpkms,normcounts,lsnmf,16,0.01993942523099731
euclidean,deng-rpkms,normcounts,lsnmf,96,-0.0005877179039870867
euclidean,deng-rpkms,normcounts,lsnmf,8,0.018260759498988657
euclidean,deng-rpkms,normcounts,lsnmf,48,0.017855482437746328
euclidean,deng-rpkms,normcounts,phate,4,0.6926257658227337
euclidean,deng-rpkms,normcounts,phate,32,0.6920191690616551
euclidean,deng-rpkms,normcounts,phate,2,0.7001414683498165
euclidean,deng-rpkms,normcounts,phate,16,0.690574476913907
euclidean,deng-rpkms,normcounts,phate,96,0.6918661136144982
euclidean,deng-rpkms,normcounts,phate,8,0.6904545884237511
euclidean,deng-rpkms,normcounts,phate,48,0.6910936048783537
euclidean,deng-rpkms,normcounts,kpca-rbf,4,-0.0015223414100607247
euclidean,deng-rpkms,normcounts,kpca-rbf,32,0.030033358356126427
euclidean,deng-rpkms,normcounts,kpca-rbf,2,0.007665220073885877
euclidean,deng-rpkms,normcounts,kpca-rbf,16,0.0034944833310219473
euclidean,deng-rpkms,normcounts,kpca-rbf,96,0.012328338483436504
euclidean,deng-rpkms,normcounts,kpca-rbf,48,0.003912118159607827
euclidean,deng-rpkms,normcounts,isomap,4,0.6235279871411811
euclidean,deng-rpkms,normcounts,isomap,32,0.6481943380130355
euclidean,deng-rpkms,normcounts,isomap,2,0.5502404098855287
euclidean,deng-rpkms,normcounts,isomap,16,0.6471561126565392
euclidean,deng-rpkms,normcounts,isomap,96,0.647586207426058
euclidean,deng-rpkms,normcounts,isomap,8,0.6395201376321268
euclidean,deng-rpkms,normcounts,isomap,48,0.6487548276736467
euclidean,deng-rpkms,normcounts,saucie,4,0.010310125930978265
euclidean,deng-rpkms,normcounts,saucie,32,0.0011254347180007715
euclidean,deng-rpkms,normcounts,saucie,2,-0.027332447687685297
euclidean,deng-rpkms,normcounts,saucie,16,0.010205151818445739
euclidean,deng-rpkms,normcounts,saucie,96,0.016807654531904425
euclidean,deng-rpkms,normcounts,saucie,8,0.009482444489387492
euclidean,deng-rpkms,normcounts,saucie,48,0.031762663317237295
euclidean,deng-rpkms,normcounts,bd,4,0.5492682885733541
euclidean,deng-rpkms,normcounts,bd,32,0.6295081684516968
euclidean,deng-rpkms,normcounts,bd,2,0.5294450241618927
euclidean,deng-rpkms,normcounts,bd,16,0.46302706337529004
euclidean,deng-rpkms,normcounts,bd,96,0.40269722976125916
euclidean,deng-rpkms,normcounts,bd,8,0.6104587512567684
euclidean,deng-rpkms,normcounts,bd,48,0.4485002471583265
euclidean,deng-rpkms,normcounts,lda,4,0.6903139664745523
euclidean,deng-rpkms,normcounts,lda,32,0.6147938424054082
euclidean,deng-rpkms,normcounts,lda,2,0.5324075048802304
euclidean,deng-rpkms,normcounts,lda,16,0.7285251659981266
euclidean,deng-rpkms,normcounts,lda,96,0.31510266984539925
euclidean,deng-rpkms,normcounts,lda,8,0.6818788575115395
euclidean,deng-rpkms,normcounts,lda,48,0.5350901508018003
euclidean,deng-rpkms,normcounts,spectral,4,0.5156154260770652
euclidean,deng-rpkms,normcounts,spectral,32,0.17958438171502838
euclidean,deng-rpkms,normcounts,spectral,2,0.680296598050245
euclidean,deng-rpkms,normcounts,spectral,16,0.40804848997173704
euclidean,deng-rpkms,normcounts,spectral,96,0.1554501189951852
euclidean,deng-rpkms,normcounts,spectral,8,0.5263160908303167
euclidean,deng-rpkms,normcounts,spectral,48,0.19958796138913087
euclidean,deng-rpkms,normcounts,grp,4,0.700430789994508
euclidean,deng-rpkms,normcounts,grp,32,0.9476809701498112
euclidean,deng-rpkms,normcounts,grp,2,0.5453035787552917
euclidean,deng-rpkms,normcounts,grp,16,0.8174243525610758
euclidean,deng-rpkms,normcounts,grp,96,0.9885014577215246
euclidean,deng-rpkms,normcounts,grp,8,0.7318784719798795
euclidean,deng-rpkms,normcounts,grp,48,0.9744755764697592
euclidean,deng-rpkms,normcounts,fa,4,0.6339357704585901
euclidean,deng-rpkms,normcounts,fa,32,0.6366421334543777
euclidean,deng-rpkms,normcounts,fa,2,0.6095089702941048
euclidean,deng-rpkms,normcounts,fa,16,0.6901796493241719
euclidean,deng-rpkms,normcounts,fa,96,0.39931795569938194
euclidean,deng-rpkms,normcounts,fa,8,0.6796701409173835
euclidean,deng-rpkms,normcounts,fa,48,0.5826290106998687
euclidean,deng-rpkms,normcounts,mctsne,4,0.7276079590485836
euclidean,deng-rpkms,normcounts,mctsne,32,nan
euclidean,deng-rpkms,normcounts,mctsne,2,0.7079763489525784
euclidean,deng-rpkms,normcounts,mctsne,16,0.757599734501088
euclidean,deng-rpkms,normcounts,mctsne,96,0.44012354170845364
