metric,dataset,count,method,dimensions,rho
euclidean,fan,lognormcounts,spca,4,0.7231236028649823
euclidean,fan,lognormcounts,spca,32,0.7753920392108762
euclidean,fan,lognormcounts,spca,2,0.7427644589765023
euclidean,fan,lognormcounts,spca,16,0.8425810884251442
euclidean,fan,lognormcounts,spca,96,0.7254745164420925
euclidean,fan,lognormcounts,spca,8,0.8046544287666265
euclidean,fan,lognormcounts,spca,48,0.7399944535302231
euclidean,fan,lognormcounts,tsvd,4,0.7864202622501646
euclidean,fan,lognormcounts,tsvd,32,0.9889556504198812
euclidean,fan,lognormcounts,tsvd,2,0.7649738013929988
euclidean,fan,lognormcounts,tsvd,16,0.9387961857660778
euclidean,fan,lognormcounts,tsvd,96,1.0
euclidean,fan,lognormcounts,tsvd,8,0.8557775913282863
euclidean,fan,lognormcounts,tsvd,48,0.9982525920894424
euclidean,fan,lognormcounts,spca-batch,4,0.7729692668961841
euclidean,fan,lognormcounts,spca-batch,32,0.7969098298871846
euclidean,fan,lognormcounts,spca-batch,2,0.6923382832479591
euclidean,fan,lognormcounts,spca-batch,16,0.8422359879899769
euclidean,fan,lognormcounts,spca-batch,96,0.7054899241402074
euclidean,fan,lognormcounts,spca-batch,8,0.8151608537030567
euclidean,fan,lognormcounts,spca-batch,48,0.7467060515953982
euclidean,fan,lognormcounts,nsnmf,4,0.626525580732992
euclidean,fan,lognormcounts,nsnmf,32,0.6968610830615464
euclidean,fan,lognormcounts,nsnmf,2,0.7368849736387051
euclidean,fan,lognormcounts,nsnmf,16,0.6395486008198309
euclidean,fan,lognormcounts,nsnmf,96,0.6657997835300976
euclidean,fan,lognormcounts,nsnmf,8,0.7171052016587272
euclidean,fan,lognormcounts,nsnmf,48,0.6657426104865632
euclidean,fan,lognormcounts,vpac,4,0.7365011198966424
euclidean,fan,lognormcounts,vpac,32,0.8630764153152214
euclidean,fan,lognormcounts,vpac,2,0.7824488569220891
euclidean,fan,lognormcounts,vpac,16,0.861918401284073
euclidean,fan,lognormcounts,vpac,8,0.7732976036565847
euclidean,fan,lognormcounts,vpac,48,0.930286416995115
euclidean,fan,lognormcounts,umap,4,0.6406176811670894
euclidean,fan,lognormcounts,umap,32,0.652379517729492
euclidean,fan,lognormcounts,umap,2,0.7157313949838398
euclidean,fan,lognormcounts,umap,16,0.6477303441019345
euclidean,fan,lognormcounts,umap,8,0.6461476778705292
euclidean,fan,lognormcounts,umap,48,0.5757680029489088
euclidean,fan,lognormcounts,kpca-sig,4,0.656235718594185
euclidean,fan,lognormcounts,kpca-sig,32,0.5814945056195701
euclidean,fan,lognormcounts,kpca-sig,2,0.6487422538374675
euclidean,fan,lognormcounts,kpca-sig,16,0.6087869998510761
euclidean,fan,lognormcounts,kpca-sig,96,nan
euclidean,fan,lognormcounts,kpca-sig,8,0.6271943196737331
euclidean,fan,lognormcounts,kpca-sig,48,0.5815608952188984
euclidean,fan,lognormcounts,nmf2,4,0.6128382354385958
euclidean,fan,lognormcounts,nmf2,32,0.7010640428550877
euclidean,fan,lognormcounts,nmf2,2,0.288982909781932
euclidean,fan,lognormcounts,nmf2,16,0.6723800310843544
euclidean,fan,lognormcounts,nmf2,96,0.6876875702853573
euclidean,fan,lognormcounts,nmf2,8,0.5641592463259988
euclidean,fan,lognormcounts,nmf2,48,0.7381261470234709
euclidean,fan,lognormcounts,srp,4,0.6160262992352546
euclidean,fan,lognormcounts,srp,32,0.6412085256205174
euclidean,fan,lognormcounts,srp,2,0.22541215756604333
euclidean,fan,lognormcounts,srp,16,0.739993726419357
euclidean,fan,lognormcounts,srp,96,0.7600309223958222
euclidean,fan,lognormcounts,srp,8,0.5979721400784191
euclidean,fan,lognormcounts,srp,48,0.8507658933546737
euclidean,fan,lognormcounts,psmf,4,0.6939700963375696
euclidean,fan,lognormcounts,psmf,32,0.7962697206328191
euclidean,fan,lognormcounts,psmf,2,0.8360662699056934
euclidean,fan,lognormcounts,psmf,16,0.7668588581995686
euclidean,fan,lognormcounts,psmf,96,0.8200163444309095
euclidean,fan,lognormcounts,psmf,8,0.7187858466872878
euclidean,fan,lognormcounts,psmf,48,0.698705916532731
euclidean,fan,lognormcounts,fica,4,0.41728871082319363
euclidean,fan,lognormcounts,fica,32,0.5803723692812732
euclidean,fan,lognormcounts,fica,2,0.5072579246086709
euclidean,fan,lognormcounts,fica,16,0.7621207703425924
euclidean,fan,lognormcounts,fica,96,0.2948963991038104
euclidean,fan,lognormcounts,fica,8,0.7182893199426911
euclidean,fan,lognormcounts,fica,48,0.34130579919308696
euclidean,fan,lognormcounts,lle,4,0.07146490418572708
euclidean,fan,lognormcounts,lle,32,0.34333652013785837
euclidean,fan,lognormcounts,lle,2,0.6077070405750049
euclidean,fan,lognormcounts,lle,16,-0.10091421910773431
euclidean,fan,lognormcounts,lle,8,-0.17377052361612322
euclidean,fan,lognormcounts,lle,48,0.1979744284106096
euclidean,fan,lognormcounts,lsnmf,4,0.3706967317363613
euclidean,fan,lognormcounts,lsnmf,32,0.7636241413647489
