metric,dataset,count,method,dimensions,rho
euclidean,fan,normcounts,spca,4,0.7451185144507327
euclidean,fan,normcounts,spca,32,0.9962506661940528
euclidean,fan,normcounts,spca,2,0.6721351053697942
euclidean,fan,normcounts,spca,16,0.974727727378268
euclidean,fan,normcounts,spca,96,0.9773733275598947
euclidean,fan,normcounts,spca,8,0.9058776785037722
euclidean,fan,normcounts,spca,48,0.9954329072188054
euclidean,fan,normcounts,tsvd,4,0.6344239428902323
euclidean,fan,normcounts,tsvd,32,0.9987640671634499
euclidean,fan,normcounts,tsvd,2,0.5511780059322521
euclidean,fan,normcounts,tsvd,16,0.972818345187105
euclidean,fan,normcounts,tsvd,96,1.0
euclidean,fan,normcounts,tsvd,8,0.89033328111429
euclidean,fan,normcounts,tsvd,48,0.9999924358583651
euclidean,fan,normcounts,spca-batch,4,0.860501996612393
euclidean,fan,normcounts,spca-batch,32,0.6777415532819548
euclidean,fan,normcounts,spca-batch,2,0.6465005527988029
euclidean,fan,normcounts,spca-batch,16,0.8079286831667173
euclidean,fan,normcounts,spca-batch,96,0.8225169346309337
euclidean,fan,normcounts,spca-batch,8,0.8176563772292029
euclidean,fan,normcounts,spca-batch,48,0.5732539113457797
euclidean,fan,normcounts,nsnmf,4,0.5669045129801693
euclidean,fan,normcounts,nsnmf,32,0.663979293682073
euclidean,fan,normcounts,nsnmf,2,0.434589691338276
euclidean,fan,normcounts,nsnmf,16,0.5814348715854121
euclidean,fan,normcounts,nsnmf,96,0.5620205688720873
euclidean,fan,normcounts,nsnmf,8,0.5926810527942799
euclidean,fan,normcounts,nsnmf,48,0.6567472459520839
euclidean,fan,normcounts,vpac,4,0.38686611860827
euclidean,fan,normcounts,vpac,32,0.5228549560703447
euclidean,fan,normcounts,vpac,2,0.40918727123266746
euclidean,fan,normcounts,vpac,16,0.38667048566044965
euclidean,fan,normcounts,vpac,8,0.4128987558671038
euclidean,fan,normcounts,vpac,48,0.6967531751885845
euclidean,fan,normcounts,umap,4,0.4392961328499158
euclidean,fan,normcounts,umap,32,0.43914582882030134
euclidean,fan,normcounts,umap,2,0.41473386696623965
euclidean,fan,normcounts,umap,16,0.43200041549887147
euclidean,fan,normcounts,umap,8,0.43477378413688245
euclidean,fan,normcounts,umap,48,0.4301879177908515
euclidean,fan,normcounts,kpca-sig,4,nan
euclidean,fan,normcounts,kpca-sig,32,nan
euclidean,fan,normcounts,kpca-sig,2,nan
euclidean,fan,normcounts,kpca-sig,16,nan
euclidean,fan,normcounts,kpca-sig,96,nan
euclidean,fan,normcounts,kpca-sig,8,nan
euclidean,fan,normcounts,kpca-sig,48,nan
euclidean,fan,normcounts,nmf2,4,0.6937301436722436
euclidean,fan,normcounts,nmf2,32,0.8919566242134437
euclidean,fan,normcounts,nmf2,2,0.5529678671469717
euclidean,fan,normcounts,nmf2,16,0.8852104263710029
euclidean,fan,normcounts,nmf2,96,0.8592547886938006
euclidean,fan,normcounts,nmf2,8,0.8252970162774591
euclidean,fan,normcounts,nmf2,48,0.872317639378885
euclidean,fan,normcounts,srp,4,0.52023185376891
euclidean,fan,normcounts,srp,32,0.6256772599991849
euclidean,fan,normcounts,srp,2,0.35928839142941055
euclidean,fan,normcounts,srp,16,0.2616958871204883
euclidean,fan,normcounts,srp,96,0.7197689528621078
euclidean,fan,normcounts,srp,8,0.2405065681699753
euclidean,fan,normcounts,srp,48,0.746822693310084
euclidean,fan,normcounts,psmf,4,0.4394229905938605
euclidean,fan,normcounts,psmf,32,0.4687691401600306
euclidean,fan,normcounts,psmf,2,0.32058100802954126
euclidean,fan,normcounts,psmf,16,0.3736475190734069
euclidean,fan,normcounts,psmf,96,0.3861403379416762
euclidean,fan,normcounts,psmf,8,0.3484151451405698
euclidean,fan,normcounts,psmf,48,0.4269196869814473
euclidean,fan,normcounts,fica,4,0.7562160975439413
euclidean,fan,normcounts,fica,32,0.4597662929495148
euclidean,fan,normcounts,fica,2,0.679603678130441
euclidean,fan,normcounts,fica,16,0.8160665797181496
euclidean,fan,normcounts,fica,96,0.6736983596865225
euclidean,fan,normcounts,fica,8,0.8393910974199189
euclidean,fan,normcounts,fica,48,0.35596158077501366
euclidean,fan,normcounts,lle,4,-0.07018313247726528
euclidean,fan,normcounts,lle,32,0.17410049455211576
euclidean,fan,normcounts,lle,2,0.1138807559842711
euclidean,fan,normcounts,lle,16,0.09084889999069105
euclidean,fan,normcounts,lle,8,0.07082836798482708
euclidean,fan,normcounts,lle,48,0.29073720579124596
euclidean,fan,normcounts,lsnmf,4,0.04835864206039194
euclidean,fan,normcounts,lsnmf,32,0.05829847740552836
euclidean,fan,normcounts,lsnmf,2,0.004601338730263075
euclidean,fan,normcounts,lsnmf,16,-0.06374052530768949
euclidean,fan,normcounts,lsnmf,96,0.05347896164288342
euclidean,fan,normcounts,lsnmf,8,-0.037287671468062625
euclidean,fan,normcounts,lsnmf,48,0.06950598798900397
euclidean,fan,normcounts,phate,4,0.4793786689309078
euclidean,fan,normcounts,phate,32,0.4793814801020154
euclidean,fan,normcounts,phate,2,0.4770166772482779
euclidean,fan,normcounts,phate,16,0.4793814801020154
euclidean,fan,normcounts,phate,8,0.4793814801020154
euclidean,fan,normcounts,phate,48,0.4793814801020154
euclidean,fan,normcounts,kpca-rbf,4,-0.14066930117496254
euclidean,fan,normcounts,kpca-rbf,32,-0.232940515133001
euclidean,fan,normcounts,kpca-rbf,2,-0.1827608701129031
euclidean,fan,normcounts,kpca-rbf,16,-0.1366503466349066
euclidean,fan,normcounts,kpca-rbf,96,0.06665269551913917
euclidean,fan,normcounts,kpca-rbf,8,-0.14505044933506078
euclidean,fan,normcounts,kpca-rbf,48,-0.42027869284045316
euclidean,fan,normcounts,isomap,4,0.6125305106905725
euclidean,fan,normcounts,isomap,32,0.6502155494628475
euclidean,fan,normcounts,isomap,2,0.5976742495656546
euclidean,fan,normcounts,isomap,16,0.6473204128569543
euclidean,fan,normcounts,isomap,96,nan
euclidean,fan,normcounts,isomap,8,0.6308282082149814
euclidean,fan,normcounts,isomap,48,nan
euclidean,fan,normcounts,saucie,4,0.07187377102456877
euclidean,fan,normcounts,saucie,32,-0.020188186992098473
