metric,dataset,count,method,dimensions,rho
euclidean,goolam,logcounts,spca,4,0.9066663085625387
euclidean,goolam,logcounts,spca,32,0.965495900580289
euclidean,goolam,logcounts,spca,2,0.8035440368784117
euclidean,goolam,logcounts,spca,16,0.9617085722020061
euclidean,goolam,logcounts,spca,96,0.9079852461338282
euclidean,goolam,logcounts,spca,8,0.9348136297277126
euclidean,goolam,logcounts,spca,48,0.9456230389753445
euclidean,goolam,logcounts,tsvd,4,0.899959971280756
euclidean,goolam,logcounts,tsvd,32,0.9854810915164126
euclidean,goolam,logcounts,tsvd,2,0.8142878624862561
euclidean,goolam,logcounts,tsvd,16,0.9724182321894388
euclidean,goolam,logcounts,tsvd,96,0.9855256093310379
euclidean,goolam,logcounts,tsvd,8,0.9380818804610606
euclidean,goolam,logcounts,tsvd,48,0.9818482508526384
euclidean,goolam,logcounts,spca-batch,4,0.8930587950036344
euclidean,goolam,logcounts,spca-batch,32,0.9635967129408383
euclidean,goolam,logcounts,spca-batch,2,0.867235406543279
euclidean,goolam,logcounts,spca-batch,16,0.944711100786194
euclidean,goolam,logcounts,spca-batch,96,0.9484572353880933
euclidean,goolam,logcounts,spca-batch,8,0.9352389039875448
euclidean,goolam,logcounts,spca-batch,48,0.9607917862203316
euclidean,goolam,logcounts,zifa,4,0.8389068774018071
euclidean,goolam,logcounts,zifa,32,0.6365708750830167
euclidean,goolam,logcounts,zifa,2,0.7924425579599194
euclidean,goolam,logcounts,zifa,16,0.7330491877078561
euclidean,goolam,logcounts,zifa,96,0.26114752684257697
euclidean,goolam,logcounts,zifa,8,0.7864062281125945
euclidean,goolam,logcounts,zifa,48,0.5786313410737077
euclidean,goolam,logcounts,nsnmf,4,0.2884734822168867
euclidean,goolam,logcounts,nsnmf,32,0.5409514528662411
euclidean,goolam,logcounts,nsnmf,2,0.14101603142076574
euclidean,goolam,logcounts,nsnmf,16,0.5148139416826814
euclidean,goolam,logcounts,nsnmf,96,0.6201234914096552
euclidean,goolam,logcounts,nsnmf,8,0.44016515185692656
euclidean,goolam,logcounts,nsnmf,48,0.6155883166326426
euclidean,goolam,logcounts,vpac,4,0.7909019118271224
euclidean,goolam,logcounts,vpac,32,0.9315854662461751
euclidean,goolam,logcounts,vpac,2,0.7719263155897274
euclidean,goolam,logcounts,vpac,16,0.91569754028797
euclidean,goolam,logcounts,vpac,96,0.8685493873336356
euclidean,goolam,logcounts,vpac,8,0.9086391531554628
euclidean,goolam,logcounts,vpac,48,0.9012538444131646
euclidean,goolam,logcounts,umap,4,0.6443460198058936
euclidean,goolam,logcounts,umap,32,0.5941291172902637
euclidean,goolam,logcounts,umap,2,0.4358663456106157
euclidean,goolam,logcounts,umap,16,0.5218180818369117
euclidean,goolam,logcounts,umap,96,0.632567806719731
euclidean,goolam,logcounts,umap,8,0.6522791398994229
euclidean,goolam,logcounts,umap,48,0.5370175999352454
euclidean,goolam,logcounts,kpca-sig,4,0.6456770685923662
euclidean,goolam,logcounts,kpca-sig,32,0.6650406943572253
euclidean,goolam,logcounts,kpca-sig,2,0.5902313128166768
euclidean,goolam,logcounts,kpca-sig,16,0.6927840281491248
euclidean,goolam,logcounts,kpca-sig,96,0.6155845938451004
euclidean,goolam,logcounts,kpca-sig,8,0.694833445054288
euclidean,goolam,logcounts,kpca-sig,48,0.6435533849884976
euclidean,goolam,logcounts,nmf2,4,0.5127147480557002
euclidean,goolam,logcounts,nmf2,32,0.6373618044266283
euclidean,goolam,logcounts,nmf2,2,0.6201276244730775
euclidean,goolam,logcounts,nmf2,16,0.6273219091390416
euclidean,goolam,logcounts,nmf2,96,0.7424711891479784
euclidean,goolam,logcounts,nmf2,8,0.5659902781723669
euclidean,goolam,logcounts,nmf2,48,0.7051438549032144
euclidean,goolam,logcounts,srp,4,0.4810371090904351
euclidean,goolam,logcounts,srp,32,0.8190544277456864
euclidean,goolam,logcounts,srp,2,0.33411096775059396
euclidean,goolam,logcounts,srp,16,0.6579043915789293
euclidean,goolam,logcounts,srp,96,0.9386060069372184
euclidean,goolam,logcounts,srp,8,0.6723343207944514
euclidean,goolam,logcounts,srp,48,0.8413694525082914
euclidean,goolam,logcounts,psmf,4,0.6983897900873403
euclidean,goolam,logcounts,psmf,32,0.8498388834571781
euclidean,goolam,logcounts,psmf,2,0.8062876266919439
euclidean,goolam,logcounts,psmf,16,0.8397990577349338
euclidean,goolam,logcounts,psmf,96,0.892022549094363
euclidean,goolam,logcounts,psmf,8,0.7538842769942105
euclidean,goolam,logcounts,psmf,48,0.8614735105919566
euclidean,goolam,logcounts,fica,4,0.8834463198407624
euclidean,goolam,logcounts,fica,32,0.6875655899383122
euclidean,goolam,logcounts,fica,2,0.8143481832684268
