metric,dataset,count,method,dimensions,rho
euclidean,klein,counts,spca,4,0.8808733113491286
euclidean,klein,counts,spca,32,0.9561164576100769
euclidean,klein,counts,spca,2,0.7935963993614347
euclidean,klein,counts,spca,16,0.9368375163027051
euclidean,klein,counts,spca,96,0.9805272097158236
euclidean,klein,counts,spca,8,0.916433585045228
euclidean,klein,counts,spca,48,0.9655433029933238
euclidean,klein,counts,tsvd,4,0.8611476520877257
euclidean,klein,counts,tsvd,32,0.9589331504655375
euclidean,klein,counts,tsvd,2,0.7828535488004126
euclidean,klein,counts,tsvd,16,0.9375630646545756
euclidean,klein,counts,tsvd,96,0.9831678704461309
euclidean,klein,counts,tsvd,8,0.9117009128668049
euclidean,klein,counts,tsvd,48,0.9686098306268909
euclidean,klein,counts,spca-batch,4,0.6735745395281807
euclidean,klein,counts,spca-batch,32,0.8480845512378576
euclidean,klein,counts,spca-batch,2,0.7727536976585082
euclidean,klein,counts,spca-batch,16,0.7163882171711111
euclidean,klein,counts,spca-batch,96,0.8748128791463037
euclidean,klein,counts,spca-batch,8,0.7368148854138363
euclidean,klein,counts,spca-batch,48,0.8606756853348343
euclidean,klein,counts,zifa,4,0.6778748761450674
euclidean,klein,counts,zifa,2,0.6946327188279255
euclidean,klein,counts,zifa,16,0.6858832979489353
euclidean,klein,counts,zifa,8,0.6844672397845013
euclidean,klein,counts,nsnmf,4,0.6014603765086513
euclidean,klein,counts,nsnmf,32,0.7601631115612215
euclidean,klein,counts,nsnmf,2,0.21820857102465266
euclidean,klein,counts,nsnmf,16,0.7064750436938517
euclidean,klein,counts,nsnmf,96,0.8178446424735389
euclidean,klein,counts,nsnmf,8,0.6676950161871429
euclidean,klein,counts,nsnmf,48,0.78010850601645
euclidean,klein,counts,vpac,4,0.7359838471983582
euclidean,klein,counts,vpac,32,0.5793540144635095
euclidean,klein,counts,vpac,2,0.7349398748200688
euclidean,klein,counts,vpac,16,0.559602404473848
euclidean,klein,counts,vpac,96,0.5844835114832219
euclidean,klein,counts,vpac,8,0.4911469156262933
euclidean,klein,counts,vpac,48,0.5826025485570584
euclidean,klein,counts,umap,4,0.5739105511001303
euclidean,klein,counts,umap,32,0.5752567220907231
euclidean,klein,counts,umap,2,0.5710502124723923
euclidean,klein,counts,umap,16,0.5800748191423533
euclidean,klein,counts,umap,96,0.5854350733606426
euclidean,klein,counts,umap,8,0.5798706646493937
euclidean,klein,counts,umap,48,0.5814617669051746
euclidean,klein,counts,kpca-sig,4,nan
euclidean,klein,counts,kpca-sig,32,nan
euclidean,klein,counts,kpca-sig,2,nan
euclidean,klein,counts,kpca-sig,16,nan
euclidean,klein,counts,kpca-sig,96,nan
euclidean,klein,counts,kpca-sig,8,nan
euclidean,klein,counts,kpca-sig,48,nan
euclidean,klein,counts,nmf2,4,0.8326079882178601
euclidean,klein,counts,nmf2,32,0.9140866722995763
euclidean,klein,counts,nmf2,2,0.7639198934750355
euclidean,klein,counts,nmf2,16,0.9067728320446201
euclidean,klein,counts,nmf2,96,0.9227069262638574
euclidean,klein,counts,nmf2,8,0.8339538323577549
euclidean,klein,counts,nmf2,48,0.9210083721829406
euclidean,klein,counts,srp,4,0.6799101315190204
euclidean,klein,counts,srp,32,0.8789963490354376
euclidean,klein,counts,srp,2,0.2784673385184529
euclidean,klein,counts,srp,16,0.801265609520625
euclidean,klein,counts,srp,96,0.9278014516023358
euclidean,klein,counts,srp,8,0.7489756567624043
euclidean,klein,counts,srp,48,0.9147085750159191
euclidean,klein,counts,psmf,4,0.5752967956323825
euclidean,klein,counts,psmf,32,0.7467319355646423
euclidean,klein,counts,psmf,2,0.6665320567872297
euclidean,klein,counts,psmf,16,0.7328610093115345
euclidean,klein,counts,psmf,96,0.7686384612791244
euclidean,klein,counts,psmf,8,0.691178024994844
euclidean,klein,counts,psmf,48,0.7562308062253702
euclidean,klein,counts,fica,4,0.8308138857532741
euclidean,klein,counts,fica,32,0.8620558724998547
euclidean,klein,counts,fica,2,0.7856659791926447
euclidean,klein,counts,fica,16,0.8466518241729597
euclidean,klein,counts,fica,96,0.8624819520405365
euclidean,klein,counts,fica,8,0.8315572944606182
euclidean,klein,counts,fica,48,0.863707752455059
euclidean,klein,counts,lle,4,0.49620456228028004
euclidean,klein,counts,lle,32,0.2727083606237455
euclidean,klein,counts,lle,2,0.14914998578158564
euclidean,klein,counts,lle,16,0.21802665386030198
euclidean,klein,counts,lle,96,0.23497483801154329
euclidean,klein,counts,lle,8,0.3726357133644267
euclidean,klein,counts,lle,48,0.2870083404409759
euclidean,klein,counts,lsnmf,4,-0.0018853941751759689
euclidean,klein,counts,lsnmf,32,0.010685864307215845
euclidean,klein,counts,lsnmf,2,-0.0016346563234968883
euclidean,klein,counts,lsnmf,16,0.0028277276859902437
euclidean,klein,counts,lsnmf,96,-0.01654764851152512
euclidean,klein,counts,lsnmf,8,-0.0061072271332670985
euclidean,klein,counts,lsnmf,48,0.009893332707435516
euclidean,klein,counts,phate,4,0.5851769405345666
euclidean,klein,counts,phate,32,0.5798195279039919
euclidean,klein,counts,phate,2,0.5794043826993219
euclidean,klein,counts,phate,16,0.5855582067611648
euclidean,klein,counts,phate,96,0.57957029968988
euclidean,klein,counts,phate,8,0.5863361200041511
euclidean,klein,counts,phate,48,0.571815297638794
euclidean,klein,counts,kpca-rbf,4,-0.033881703672924444
euclidean,klein,counts,kpca-rbf,32,0.00964983515626699
euclidean,klein,counts,kpca-rbf,2,-0.029663687249271844
euclidean,klein,counts,kpca-rbf,16,0.011215367361512223
euclidean,klein,counts,kpca-rbf,96,0.015009373957260928
euclidean,klein,counts,kpca-rbf,48,0.014684907702703014
euclidean,klein,counts,isomap,4,0.8454898524746298
euclidean,klein,counts,isomap,32,0.9054682360289558
euclidean,klein,counts,isomap,2,0.7844640089822799
euclidean,klein,counts,isomap,16,0.8915337158848874
euclidean,klein,counts,isomap,96,0.9208325295459552
euclidean,klein,counts,isomap,8,0.8712463446544766
euclidean,klein,counts,isomap,48,0.9120459723481261
euclidean,klein,counts,saucie,4,0.014270585734903102
euclidean,klein,counts,saucie,32,-0.0025212513918663987
euclidean,klein,counts,saucie,2,-0.00501936587229777
euclidean,klein,counts,saucie,16,0.0041470453526887534
euclidean,klein,counts,saucie,96,-0.005410094803766748
euclidean,klein,counts,saucie,8,-0.00911551522912143
euclidean,klein,counts,saucie,48,-0.005926549083742331
euclidean,klein,counts,bd,4,0.4454108688595547
euclidean,klein,counts,bd,32,0.881098687528599
euclidean,klein,counts,bd,2,0.2685972100470857
euclidean,klein,counts,bd,16,0.8324619043385557
euclidean,klein,counts,bd,96,0.7842339140831855
euclidean,klein,counts,bd,8,0.7242188142399946
euclidean,klein,counts,bd,48,0.8133592861850234
euclidean,klein,counts,lda,4,0.5977593504205964
euclidean,klein,counts,lda,32,0.7215359166294323
euclidean,klein,counts,lda,2,0.633733133551217
euclidean,klein,counts,lda,16,0.7434779657396685
euclidean,klein,counts,lda,96,0.6590387766489842
euclidean,klein,counts,lda,8,0.6483106299122261
euclidean,klein,counts,lda,48,0.7150531683911749
euclidean,klein,counts,spectral,4,0.6249491553845656
euclidean,klein,counts,spectral,32,0.4914897424180776
euclidean,klein,counts,spectral,2,0.372881354754735
euclidean,klein,counts,spectral,16,0.3825854018840454
euclidean,klein,counts,spectral,96,0.4369812017766862
euclidean,klein,counts,spectral,8,0.46178702807087213
euclidean,klein,counts,spectral,48,0.433198619635453
euclidean,klein,counts,grp,4,0.7255344236768999
euclidean,klein,counts,grp,32,0.9271796044340395
euclidean,klein,counts,grp,2,0.6141650291160153
euclidean,klein,counts,grp,16,0.9026327624643057
euclidean,klein,counts,grp,96,0.9749561838932963
euclidean,klein,counts,grp,8,0.8262795224753827
euclidean,klein,counts,grp,48,0.9585096843486562
euclidean,klein,counts,fa,4,0.5008546356307022
euclidean,klein,counts,fa,32,0.64525280157725
euclidean,klein,counts,fa,2,0.5917156249090358
euclidean,klein,counts,fa,16,0.6615543090775454
euclidean,klein,counts,fa,96,0.6611775091573565
euclidean,klein,counts,fa,8,0.6009932870059194
