metric,dataset,count,method,dimensions,rho
euclidean,klein,logcounts,spca,4,0.8714928209138023
euclidean,klein,logcounts,spca,32,0.8361357372681231
euclidean,klein,logcounts,spca,2,0.877211423316698
euclidean,klein,logcounts,spca,16,0.8697252967988109
euclidean,klein,logcounts,spca,96,0.5168701939232935
euclidean,klein,logcounts,spca,8,0.8643725060104436
euclidean,klein,logcounts,spca,48,0.728060690238803
euclidean,klein,logcounts,tsvd,4,0.882316379764861
euclidean,klein,logcounts,tsvd,32,0.9115652311515333
euclidean,klein,logcounts,tsvd,2,0.8735908500649071
euclidean,klein,logcounts,tsvd,16,0.8901493782797425
euclidean,klein,logcounts,tsvd,96,0.9489405834364697
euclidean,klein,logcounts,tsvd,8,0.8793224855213282
euclidean,klein,logcounts,tsvd,48,0.925484989532568
euclidean,klein,logcounts,spca-batch,4,0.8855669361200363
euclidean,klein,logcounts,spca-batch,32,0.8871481910291004
euclidean,klein,logcounts,spca-batch,2,0.8858766888456726
euclidean,klein,logcounts,spca-batch,16,0.8932643316894017
euclidean,klein,logcounts,spca-batch,96,0.912331597935787
euclidean,klein,logcounts,spca-batch,8,0.8855359668273707
euclidean,klein,logcounts,spca-batch,48,0.8972743502397758
euclidean,klein,logcounts,zifa,4,0.7247862205250902
euclidean,klein,logcounts,zifa,2,0.5116610621695304
euclidean,klein,logcounts,zifa,8,0.7368319359097022
euclidean,klein,logcounts,nsnmf,4,0.7677545250378485
euclidean,klein,logcounts,nsnmf,32,0.75004806583106
euclidean,klein,logcounts,nsnmf,2,0.8129926875888908
euclidean,klein,logcounts,nsnmf,16,0.7409653913335299
euclidean,klein,logcounts,nsnmf,96,0.7710828050775052
euclidean,klein,logcounts,nsnmf,8,0.7637210421365486
euclidean,klein,logcounts,nsnmf,48,0.771108731939146
euclidean,klein,logcounts,vpac,4,0.8413910877303011
euclidean,klein,logcounts,vpac,32,0.8820219344368758
euclidean,klein,logcounts,vpac,2,0.8824746189447736
euclidean,klein,logcounts,vpac,16,0.8557565868332381
euclidean,klein,logcounts,vpac,96,0.9002104146980447
euclidean,klein,logcounts,vpac,8,0.804259458917262
euclidean,klein,logcounts,vpac,48,0.8908744321577744
euclidean,klein,logcounts,umap,4,0.8275129515467973
euclidean,klein,logcounts,umap,32,0.8099139838610472
euclidean,klein,logcounts,umap,2,0.7904099701487204
euclidean,klein,logcounts,umap,16,0.8415048702830117
euclidean,klein,logcounts,umap,96,0.8369570207342549
euclidean,klein,logcounts,umap,8,0.813213570799123
euclidean,klein,logcounts,umap,48,0.8381695950671927
euclidean,klein,logcounts,kpca-sig,4,0.30772026700729527
euclidean,klein,logcounts,kpca-sig,32,0.2622714166153835
euclidean,klein,logcounts,kpca-sig,2,0.2874279955761115
euclidean,klein,logcounts,kpca-sig,16,0.27474987192397343
euclidean,klein,logcounts,kpca-sig,96,0.2511115700895267
euclidean,klein,logcounts,kpca-sig,8,0.28759090283298944
euclidean,klein,logcounts,kpca-sig,48,0.2566929604763674
euclidean,klein,logcounts,nmf2,4,0.8435073022655484
euclidean,klein,logcounts,nmf2,32,0.8146370914094291
euclidean,klein,logcounts,nmf2,2,0.8420784786105941
euclidean,klein,logcounts,nmf2,16,0.8372592925568106
euclidean,klein,logcounts,nmf2,96,0.802185059965161
euclidean,klein,logcounts,nmf2,8,0.836773255473048
euclidean,klein,logcounts,nmf2,48,0.8082595136321524
euclidean,klein,logcounts,srp,4,0.35493319435911597
euclidean,klein,logcounts,srp,32,0.5716338520460449
euclidean,klein,logcounts,srp,2,0.1218336803272373
euclidean,klein,logcounts,srp,16,0.5640495017113106
euclidean,klein,logcounts,srp,96,0.8238038353904749
euclidean,klein,logcounts,srp,8,0.12351905820838173
euclidean,klein,logcounts,srp,48,0.7196667725486922
euclidean,klein,logcounts,psmf,4,0.8722428132822344
euclidean,klein,logcounts,psmf,32,0.8809922284574825
euclidean,klein,logcounts,psmf,2,0.8812234230569452
euclidean,klein,logcounts,psmf,16,0.8805362230171874
euclidean,klein,logcounts,psmf,96,0.8903989181398533
euclidean,klein,logcounts,psmf,8,0.8796243656126386
euclidean,klein,logcounts,psmf,48,0.8887267671210193
euclidean,klein,logcounts,fica,4,0.44482753270174746
euclidean,klein,logcounts,fica,32,0.15562415240377975
euclidean,klein,logcounts,fica,2,0.6864231034368263
euclidean,klein,logcounts,fica,16,0.19448350932528632
euclidean,klein,logcounts,fica,96,0.1330184300547427
euclidean,klein,logcounts,fica,8,0.2696191118344283
euclidean,klein,logcounts,fica,48,0.14192251629147054
euclidean,klein,logcounts,lle,4,0.2776218498127429
euclidean,klein,logcounts,lle,32,-0.007862624740253468
euclidean,klein,logcounts,lle,2,0.7591287968841243
euclidean,klein,logcounts,lle,16,0.041476316365471735
euclidean,klein,logcounts,lle,96,-0.02350538084639258
euclidean,klein,logcounts,lle,8,0.2669949154622954
euclidean,klein,logcounts,lle,48,-0.025841378042097515
euclidean,klein,logcounts,lsnmf,4,0.8465397466656813
euclidean,klein,logcounts,lsnmf,32,0.7934714391307811
euclidean,klein,logcounts,lsnmf,2,0.8625641945330447
euclidean,klein,logcounts,lsnmf,16,0.6915389422915655
euclidean,klein,logcounts,lsnmf,96,0.9123709561985551
euclidean,klein,logcounts,lsnmf,8,0.8339282525534033
euclidean,klein,logcounts,lsnmf,48,0.9017979936073176
euclidean,klein,logcounts,phate,4,0.6786983235525836
euclidean,klein,logcounts,phate,32,0.6672394309227043
euclidean,klein,logcounts,phate,2,0.6900960724129808
euclidean,klein,logcounts,phate,16,0.6668022269123867
euclidean,klein,logcounts,phate,96,0.6826476184602048
euclidean,klein,logcounts,phate,8,0.6641967741710125
euclidean,klein,logcounts,phate,48,0.6745702016142591
euclidean,klein,logcounts,kpca-rbf,4,0.5082498500244039
euclidean,klein,logcounts,kpca-rbf,32,0.2723759808221964
euclidean,klein,logcounts,kpca-rbf,2,0.5730530734967965
euclidean,klein,logcounts,kpca-rbf,16,0.39143984951828376
euclidean,klein,logcounts,kpca-rbf,96,0.07821488538286518
euclidean,klein,logcounts,kpca-rbf,8,0.4829570427909964
euclidean,klein,logcounts,kpca-rbf,48,0.19455787386181594
euclidean,klein,logcounts,isomap,4,0.7498639417906547
euclidean,klein,logcounts,isomap,32,0.744235823966746
euclidean,klein,logcounts,isomap,2,0.7626608404564372
euclidean,klein,logcounts,isomap,16,0.7449309010910206
euclidean,klein,logcounts,isomap,96,0.7503191202898176
euclidean,klein,logcounts,isomap,8,0.7476080213426193
euclidean,klein,logcounts,isomap,48,0.7439843139694295
euclidean,klein,logcounts,saucie,4,0.0025140460508774015
euclidean,klein,logcounts,saucie,32,0.00118016003262863
euclidean,klein,logcounts,saucie,2,0.003483944029780317
euclidean,klein,logcounts,saucie,16,0.0014456980338248512
euclidean,klein,logcounts,saucie,96,0.0031833274717419286
euclidean,klein,logcounts,saucie,8,0.0010541837880172812
euclidean,klein,logcounts,saucie,48,0.000829471248012074
euclidean,klein,logcounts,bd,4,0.8762449817810982
euclidean,klein,logcounts,bd,32,0.24647377850770363
euclidean,klein,logcounts,bd,2,0.8859993494211535
euclidean,klein,logcounts,bd,16,0.8795370124970858
euclidean,klein,logcounts,bd,96,0.2030272562370929
euclidean,klein,logcounts,bd,8,0.8788411107853199
euclidean,klein,logcounts,bd,48,0.35295116650932773
euclidean,klein,logcounts,lda,4,0.7529852232537734
euclidean,klein,logcounts,lda,32,0.6453396901291637
euclidean,klein,logcounts,lda,2,0.7930702979310167
euclidean,klein,logcounts,lda,16,0.44712244058381007
euclidean,klein,logcounts,lda,96,0.5034537778360736
euclidean,klein,logcounts,lda,8,0.5551209772787778
euclidean,klein,logcounts,lda,48,0.36133202842618295
euclidean,klein,logcounts,spectral,4,0.2758123606160512
euclidean,klein,logcounts,spectral,32,0.01361368123749086
euclidean,klein,logcounts,spectral,2,0.4662670509268408
euclidean,klein,logcounts,spectral,16,0.05048212386716351
euclidean,klein,logcounts,spectral,96,-0.02079915260707348
euclidean,klein,logcounts,spectral,8,0.13520116706553498
euclidean,klein,logcounts,spectral,48,0.008891847812825116
euclidean,klein,logcounts,grp,4,0.1665567417764555
euclidean,klein,logcounts,grp,32,0.7506953429886255
euclidean,klein,logcounts,grp,2,0.1756839397288083
euclidean,klein,logcounts,grp,16,0.60428826700243
euclidean,klein,logcounts,grp,96,0.861741779343485
euclidean,klein,logcounts,grp,8,0.2591649812227626
euclidean,klein,logcounts,grp,48,0.7623796016734457
euclidean,klein,logcounts,fa,4,0.454900638774855
euclidean,klein,logcounts,fa,32,0.16636132054543665
euclidean,klein,logcounts,fa,2,0.700381223377584
euclidean,klein,logcounts,fa,16,0.22002137396231355
euclidean,klein,logcounts,fa,96,0.13093966998538045
euclidean,klein,logcounts,fa,8,0.29956407917186306
euclidean,klein,logcounts,fa,48,0.1490966550006195
euclidean,klein,logcounts,mctsne,4,0.8381713410069903
euclidean,klein,logcounts,mctsne,32,nan
euclidean,klein,logcounts,mctsne,2,0.8157486898242015
euclidean,klein,logcounts,mctsne,16,0.8595505787352087
euclidean,klein,logcounts,mctsne,96,nan
euclidean,klein,logcounts,mctsne,8,0.8567616107086754
euclidean,klein,logcounts,mctsne,48,nan
euclidean,klein,logcounts,nmf,4,0.7317590343009761
euclidean,klein,logcounts,nmf,32,0.4615822368980935
euclidean,klein,logcounts,nmf,2,0.8386135572057998
euclidean,klein,logcounts,nmf,16,0.5831630291360045
euclidean,klein,logcounts,nmf,96,0.3244152569460433
euclidean,klein,logcounts,nmf,8,0.5372217032727294
euclidean,klein,logcounts,nmf,48,0.40855654960957427
euclidean,klein,logcounts,kpca-pol,4,0.8666513209335986
euclidean,klein,logcounts,kpca-pol,32,0.8409651470302942
euclidean,klein,logcounts,kpca-pol,2,0.8722173073924782
euclidean,klein,logcounts,kpca-pol,16,0.8587631748801406
euclidean,klein,logcounts,kpca-pol,96,0.7741970465354878
euclidean,klein,logcounts,kpca-pol,8,0.8662172445618258
euclidean,klein,logcounts,kpca-pol,48,0.8233211106939712
euclidean,klein,logcounts,vasc,4,0.3986372785424143
euclidean,klein,logcounts,vasc,32,0.5505411009678431
euclidean,klein,logcounts,vasc,2,0.6672366039681014
euclidean,klein,logcounts,vasc,16,0.4393128465811378
euclidean,klein,logcounts,vasc,96,nan
euclidean,klein,logcounts,vasc,8,0.5158209834333602
euclidean,klein,logcounts,vasc,48,nan
euclidean,klein,logcounts,kpca-cos,4,0.8079450626584237
euclidean,klein,logcounts,kpca-cos,32,0.7472416060163254
euclidean,klein,logcounts,kpca-cos,2,0.8195530170974834
euclidean,klein,logcounts,kpca-cos,16,0.7749882550485957
euclidean,klein,logcounts,kpca-cos,96,0.6903362263645052
