metric,dataset,count,method,dimensions,rho
euclidean,lake,normcounts,spca,4,0.8100612538413119
euclidean,lake,normcounts,spca,32,0.9189798509689231
euclidean,lake,normcounts,spca,2,0.7116407476652762
euclidean,lake,normcounts,spca,16,0.8945472857887445
euclidean,lake,normcounts,spca,96,0.9602609558645001
euclidean,lake,normcounts,spca,8,0.8575309603166976
euclidean,lake,normcounts,spca,48,0.9359541418503039
euclidean,lake,normcounts,tsvd,4,0.784603058284518
euclidean,lake,normcounts,tsvd,32,0.9184472835147459
euclidean,lake,normcounts,tsvd,2,0.6861392360549975
euclidean,lake,normcounts,tsvd,16,0.8916880390851379
euclidean,lake,normcounts,tsvd,96,0.958174475447425
euclidean,lake,normcounts,tsvd,8,0.8553101743994278
euclidean,lake,normcounts,tsvd,48,0.9341714815339943
euclidean,lake,normcounts,spca-batch,4,0.7291725880694393
euclidean,lake,normcounts,spca-batch,32,0.7788128287665357
euclidean,lake,normcounts,spca-batch,2,0.6848446270677628
euclidean,lake,normcounts,spca-batch,16,0.7388288736983711
euclidean,lake,normcounts,spca-batch,96,0.8560802210417714
euclidean,lake,normcounts,spca-batch,8,0.6692868505330656
euclidean,lake,normcounts,spca-batch,48,0.8524826514121975
euclidean,lake,normcounts,nsnmf,4,0.2787786648778948
euclidean,lake,normcounts,nsnmf,32,0.6858721628035153
euclidean,lake,normcounts,nsnmf,2,0.23957901533605674
euclidean,lake,normcounts,nsnmf,16,0.6281674078997577
euclidean,lake,normcounts,nsnmf,96,0.7613472641489603
euclidean,lake,normcounts,nsnmf,8,0.5296811467334176
euclidean,lake,normcounts,nsnmf,48,0.7170962907580958
euclidean,lake,normcounts,vpac,4,0.16096415071858666
euclidean,lake,normcounts,vpac,32,0.33697190466754146
euclidean,lake,normcounts,vpac,2,0.32578862339604603
euclidean,lake,normcounts,vpac,16,0.3217544649000006
euclidean,lake,normcounts,vpac,96,0.36571456593846424
euclidean,lake,normcounts,vpac,8,0.2925324965674195
euclidean,lake,normcounts,vpac,48,0.35664180327432454
euclidean,lake,normcounts,umap,4,0.5241470560344312
euclidean,lake,normcounts,umap,32,0.5300503801343968
euclidean,lake,normcounts,umap,2,0.5155169554753813
euclidean,lake,normcounts,umap,16,0.5330081924739979
euclidean,lake,normcounts,umap,96,0.532671342867282
euclidean,lake,normcounts,umap,8,0.5348672386549672
euclidean,lake,normcounts,umap,48,0.5334647648655754
euclidean,lake,normcounts,kpca-sig,4,nan
euclidean,lake,normcounts,kpca-sig,32,nan
euclidean,lake,normcounts,kpca-sig,2,nan
euclidean,lake,normcounts,kpca-sig,16,nan
euclidean,lake,normcounts,kpca-sig,96,nan
euclidean,lake,normcounts,kpca-sig,8,nan
euclidean,lake,normcounts,kpca-sig,48,nan
euclidean,lake,normcounts,nmf2,4,0.769546344084212
euclidean,lake,normcounts,nmf2,32,0.8378347015798466
euclidean,lake,normcounts,nmf2,2,0.6751162179355461
euclidean,lake,normcounts,nmf2,16,0.8260241783166511
euclidean,lake,normcounts,nmf2,96,0.8793426911430098
euclidean,lake,normcounts,nmf2,8,0.802592720788263
euclidean,lake,normcounts,nmf2,48,0.8673845143004709
euclidean,lake,normcounts,srp,4,0.17921196764964964
euclidean,lake,normcounts,srp,32,0.5965604646731824
euclidean,lake,normcounts,srp,2,0.3967549775301044
euclidean,lake,normcounts,srp,16,0.38733574112918634
euclidean,lake,normcounts,srp,96,0.7958572619376867
euclidean,lake,normcounts,srp,8,0.3333453294771504
euclidean,lake,normcounts,srp,48,0.6197140183474169
euclidean,lake,normcounts,psmf,4,0.3056150150351792
euclidean,lake,normcounts,psmf,32,0.35010078384649085
euclidean,lake,normcounts,psmf,2,0.17788269158448644
euclidean,lake,normcounts,psmf,16,0.34224892468994617
euclidean,lake,normcounts,psmf,96,0.3447308135068653
euclidean,lake,normcounts,psmf,8,0.32707039794765363
euclidean,lake,normcounts,psmf,48,0.35558799561913706
euclidean,lake,normcounts,fica,4,0.795436275713001
euclidean,lake,normcounts,fica,32,0.7288390314419204
euclidean,lake,normcounts,fica,2,0.7034666280105405
euclidean,lake,normcounts,fica,16,0.745344203248258
euclidean,lake,normcounts,fica,96,0.6774131273900459
euclidean,lake,normcounts,fica,8,0.7560119948196617
euclidean,lake,normcounts,fica,48,0.7108763411714706
euclidean,lake,normcounts,lle,32,0.23660926889863768
euclidean,lake,normcounts,lle,16,0.285223016527464
euclidean,lake,normcounts,lle,96,0.2194842439486541
euclidean,lake,normcounts,lle,48,0.2242248842807937
euclidean,lake,normcounts,lsnmf,4,0.004397868616789664
euclidean,lake,normcounts,lsnmf,32,-0.0011515422163067743
euclidean,lake,normcounts,lsnmf,2,-0.00555969718271824
euclidean,lake,normcounts,lsnmf,16,0.002638760970206689
euclidean,lake,normcounts,lsnmf,96,0.0013230438627313361
euclidean,lake,normcounts,lsnmf,8,-0.004351274292798161
euclidean,lake,normcounts,lsnmf,48,0.011962155163434468
euclidean,lake,normcounts,phate,4,0.5955751890170745
euclidean,lake,normcounts,phate,32,0.5959301992078198
euclidean,lake,normcounts,phate,2,0.5649925662448863
euclidean,lake,normcounts,phate,16,0.5881219967177592
euclidean,lake,normcounts,phate,96,0.5934257861268539
euclidean,lake,normcounts,phate,8,0.5900811397591053
euclidean,lake,normcounts,phate,48,0.5894956436024293
euclidean,lake,normcounts,kpca-rbf,4,0.02483100355822701
euclidean,lake,normcounts,kpca-rbf,32,-0.013480555525341604
euclidean,lake,normcounts,kpca-rbf,2,-0.008855661171284302
euclidean,lake,normcounts,kpca-rbf,16,-0.017303119558836844
euclidean,lake,normcounts,kpca-rbf,96,-0.011682889210397507
euclidean,lake,normcounts,kpca-rbf,8,0.009156566873874424
euclidean,lake,normcounts,kpca-rbf,48,-0.013003691836770215
euclidean,lake,normcounts,isomap,4,0.7242812646911031
euclidean,lake,normcounts,isomap,32,0.8169730481532264
euclidean,lake,normcounts,isomap,2,0.658529823431935
euclidean,lake,normcounts,isomap,16,0.7885224974500407
euclidean,lake,normcounts,isomap,96,0.8463855647281171
euclidean,lake,normcounts,isomap,8,0.748599980471501
euclidean,lake,normcounts,isomap,48,0.8317258005669869
euclidean,lake,normcounts,saucie,4,0.0035320649824197785
euclidean,lake,normcounts,saucie,32,-0.021800307973223135
euclidean,lake,normcounts,saucie,2,-0.0036312503587219574
euclidean,lake,normcounts,saucie,16,-0.00037766697009985247
euclidean,lake,normcounts,saucie,96,-0.015742984722597365
euclidean,lake,normcounts,saucie,8,0.005250335177386815
euclidean,lake,normcounts,saucie,48,0.01921783392065199
euclidean,lake,normcounts,bd,4,0.5700475470167359
euclidean,lake,normcounts,bd,32,0.7836338072744355
euclidean,lake,normcounts,bd,2,0.5221344486330297
euclidean,lake,normcounts,bd,16,0.7449997467948334
