metric,dataset,count,method,dimensions,rho
euclidean,manno_human,counts,spca,4,0.8357293086171189
euclidean,manno_human,counts,spca,32,0.9613699580967178
euclidean,manno_human,counts,spca,2,0.7888401048172045
euclidean,manno_human,counts,spca,16,0.9430386796835089
euclidean,manno_human,counts,spca,96,0.9765036631189672
euclidean,manno_human,counts,spca,8,0.9208333129874129
euclidean,manno_human,counts,spca,48,0.9667809635262188
euclidean,manno_human,counts,tsvd,4,0.8396947688755846
euclidean,manno_human,counts,tsvd,32,0.9597375339799962
euclidean,manno_human,counts,tsvd,2,0.7769990595548265
euclidean,manno_human,counts,tsvd,16,0.9426530106973872
euclidean,manno_human,counts,tsvd,96,0.9751128915626877
euclidean,manno_human,counts,tsvd,8,0.9171764408054588
euclidean,manno_human,counts,tsvd,48,0.9655328328248161
euclidean,manno_human,counts,spca-batch,4,0.5926790092652037
euclidean,manno_human,counts,spca-batch,32,0.6984626587512428
euclidean,manno_human,counts,spca-batch,2,0.4162278975080899
euclidean,manno_human,counts,spca-batch,16,0.7994108798915733
euclidean,manno_human,counts,spca-batch,96,0.6257815579600078
euclidean,manno_human,counts,spca-batch,8,0.7965023576993656
euclidean,manno_human,counts,spca-batch,48,0.7300786352325638
euclidean,manno_human,counts,zifa,4,0.4209359639200603
euclidean,manno_human,counts,zifa,2,0.4309585145900103
euclidean,manno_human,counts,zifa,8,0.4440867725020428
euclidean,manno_human,counts,nsnmf,4,0.3812341413999301
euclidean,manno_human,counts,nsnmf,32,0.5154893884562807
euclidean,manno_human,counts,nsnmf,2,0.3525435851286349
euclidean,manno_human,counts,nsnmf,16,0.4749960560244225
euclidean,manno_human,counts,nsnmf,96,0.4933465763072245
euclidean,manno_human,counts,nsnmf,8,0.49169700059677945
euclidean,manno_human,counts,nsnmf,48,0.47751758055714694
euclidean,manno_human,counts,vpac,4,0.2345785081469637
euclidean,manno_human,counts,vpac,32,0.26799813331491606
euclidean,manno_human,counts,vpac,2,0.05834217669932857
euclidean,manno_human,counts,vpac,16,0.2885051693006625
euclidean,manno_human,counts,vpac,96,0.28633875033904566
euclidean,manno_human,counts,vpac,8,0.22687104706576117
euclidean,manno_human,counts,vpac,48,0.28498790900914833
euclidean,manno_human,counts,umap,4,0.4945258680213906
euclidean,manno_human,counts,umap,32,0.49626958369226426
euclidean,manno_human,counts,umap,2,0.47802835404209754
euclidean,manno_human,counts,umap,16,0.4970091122780757
euclidean,manno_human,counts,umap,96,0.5029637643312422
euclidean,manno_human,counts,umap,8,0.4946655233120242
euclidean,manno_human,counts,umap,48,0.49300023946050464
euclidean,manno_human,counts,kpca-sig,4,nan
euclidean,manno_human,counts,kpca-sig,32,nan
euclidean,manno_human,counts,kpca-sig,2,nan
euclidean,manno_human,counts,kpca-sig,16,nan
euclidean,manno_human,counts,kpca-sig,96,nan
euclidean,manno_human,counts,kpca-sig,8,nan
euclidean,manno_human,counts,kpca-sig,48,nan
euclidean,manno_human,counts,nmf2,4,0.7223349470182536
euclidean,manno_human,counts,nmf2,32,0.7481568984601038
euclidean,manno_human,counts,nmf2,2,0.674464065349683
euclidean,manno_human,counts,nmf2,16,0.7790905257596954
euclidean,manno_human,counts,nmf2,96,0.7240130489432368
euclidean,manno_human,counts,nmf2,8,0.7373122039392555
euclidean,manno_human,counts,nmf2,48,0.7593220369724447
euclidean,manno_human,counts,srp,4,0.3120124014522852
euclidean,manno_human,counts,srp,32,0.49177533399481044
euclidean,manno_human,counts,srp,2,0.2272958035352018
euclidean,manno_human,counts,srp,16,0.3636434827222507
euclidean,manno_human,counts,srp,96,0.8855373937377868
euclidean,manno_human,counts,srp,8,0.4327958809445349
euclidean,manno_human,counts,srp,48,0.5513767978736135
euclidean,manno_human,counts,psmf,4,0.3895129551820988
euclidean,manno_human,counts,psmf,32,0.38194555044289424
euclidean,manno_human,counts,psmf,2,0.3690373841436211
euclidean,manno_human,counts,psmf,16,0.3417555169425049
euclidean,manno_human,counts,psmf,96,0.41713169476783696
euclidean,manno_human,counts,psmf,8,0.39998760640095504
euclidean,manno_human,counts,psmf,48,0.4158413094838355
euclidean,manno_human,counts,fica,4,0.8031150711701815
euclidean,manno_human,counts,fica,32,0.5268373560296583
euclidean,manno_human,counts,fica,2,0.7571351987396135
euclidean,manno_human,counts,fica,16,0.607495011602053
euclidean,manno_human,counts,fica,96,0.429845121597264
euclidean,manno_human,counts,fica,8,0.7277291358701868
euclidean,manno_human,counts,fica,48,0.48754577237960073
euclidean,manno_human,counts,lle,4,0.21579527550432018
euclidean,manno_human,counts,lle,32,0.21128078804367562
euclidean,manno_human,counts,lle,2,0.28874550856966075
euclidean,manno_human,counts,lle,16,0.29924314752755593
euclidean,manno_human,counts,lle,96,0.1758497069459505
euclidean,manno_human,counts,lle,8,0.1615501072831093
euclidean,manno_human,counts,lle,48,0.1676550633116202
euclidean,manno_human,counts,lsnmf,4,-0.002455751845084551
euclidean,manno_human,counts,lsnmf,32,0.0021082397016866667
euclidean,manno_human,counts,lsnmf,2,0.004703977585268884
euclidean,manno_human,counts,lsnmf,16,-0.005159965818673048
euclidean,manno_human,counts,lsnmf,96,0.01315502825326907
euclidean,manno_human,counts,lsnmf,8,-0.0007928148481594132
euclidean,manno_human,counts,lsnmf,48,0.0014949223374982733
euclidean,manno_human,counts,phate,4,0.5157511332825094
euclidean,manno_human,counts,phate,32,0.5198977643248787
euclidean,manno_human,counts,phate,2,0.5300916872622619
euclidean,manno_human,counts,phate,16,0.49964503771367486
euclidean,manno_human,counts,phate,96,0.5180223409470376
euclidean,manno_human,counts,phate,8,0.5200355853167015
euclidean,manno_human,counts,phate,48,0.4982490231508303
