metric,dataset,count,method,dimensions,rho
euclidean,marques,logcounts,spca,4,0.7643139600517536
euclidean,marques,logcounts,spca,32,0.8508635528740551
euclidean,marques,logcounts,spca,2,0.6993749180992611
euclidean,marques,logcounts,spca,16,0.8306913635180497
euclidean,marques,logcounts,spca,96,0.8718774941540771
euclidean,marques,logcounts,spca,8,0.807504199061698
euclidean,marques,logcounts,spca,48,0.859620888748141
euclidean,marques,logcounts,tsvd,4,0.7567764550840044
euclidean,marques,logcounts,tsvd,32,0.834117030313526
euclidean,marques,logcounts,tsvd,2,0.7048982231576482
euclidean,marques,logcounts,tsvd,16,0.8133756859471508
euclidean,marques,logcounts,tsvd,96,0.8724908614316602
euclidean,marques,logcounts,tsvd,8,0.7910544628993766
euclidean,marques,logcounts,tsvd,48,0.846243273479619
euclidean,marques,logcounts,spca-batch,4,0.7502453491905532
euclidean,marques,logcounts,spca-batch,32,0.7754584909651556
euclidean,marques,logcounts,spca-batch,2,0.6972158831772368
euclidean,marques,logcounts,spca-batch,16,0.7476377777364949
euclidean,marques,logcounts,spca-batch,96,0.7615990459197436
euclidean,marques,logcounts,spca-batch,8,0.7701136005125786
euclidean,marques,logcounts,spca-batch,48,0.7617799937366697
euclidean,marques,logcounts,zifa,4,0.7255313771210624
euclidean,marques,logcounts,zifa,2,0.6872268787105105
euclidean,marques,logcounts,zifa,16,0.7558289981315798
euclidean,marques,logcounts,zifa,8,0.7538099980922105
euclidean,marques,logcounts,nsnmf,4,0.406565551930464
euclidean,marques,logcounts,nsnmf,32,0.681428679761984
euclidean,marques,logcounts,nsnmf,2,0.3879543323930042
euclidean,marques,logcounts,nsnmf,16,0.6101078144162648
euclidean,marques,logcounts,nsnmf,96,0.7494360554294414
euclidean,marques,logcounts,nsnmf,8,0.457805900716649
euclidean,marques,logcounts,nsnmf,48,0.7330763735021412
euclidean,marques,logcounts,vpac,4,0.24860576191427375
euclidean,marques,logcounts,vpac,32,0.6700275572672347
euclidean,marques,logcounts,vpac,2,0.11685456609719164
euclidean,marques,logcounts,vpac,16,0.4407778865897364
euclidean,marques,logcounts,vpac,96,0.747722122594934
euclidean,marques,logcounts,vpac,8,0.22537931775482378
euclidean,marques,logcounts,vpac,48,0.7252373581562661
euclidean,marques,logcounts,umap,4,0.5965372150482704
euclidean,marques,logcounts,umap,32,0.6009036309704502
euclidean,marques,logcounts,umap,2,0.5903376232338493
euclidean,marques,logcounts,umap,16,0.6016500883258452
euclidean,marques,logcounts,umap,96,0.5996135953254426
euclidean,marques,logcounts,umap,8,0.6012277196701247
euclidean,marques,logcounts,umap,48,0.6011595013155513
euclidean,marques,logcounts,kpca-sig,4,0.6010987350009085
euclidean,marques,logcounts,kpca-sig,32,0.5385073605842297
euclidean,marques,logcounts,kpca-sig,2,0.583091491861341
euclidean,marques,logcounts,kpca-sig,16,0.5726073497075814
euclidean,marques,logcounts,kpca-sig,96,0.44891851184096676
euclidean,marques,logcounts,kpca-sig,8,0.5967970153656019
euclidean,marques,logcounts,kpca-sig,48,0.5120237792246657
euclidean,marques,logcounts,nmf2,4,0.5167707535109142
euclidean,marques,logcounts,nmf2,32,0.6708966883735811
euclidean,marques,logcounts,nmf2,2,0.42352780075398205
euclidean,marques,logcounts,nmf2,16,0.6665207068748459
euclidean,marques,logcounts,nmf2,96,0.7547294324782118
euclidean,marques,logcounts,nmf2,8,0.5630091509501522
euclidean,marques,logcounts,nmf2,48,0.7325809409941089
euclidean,marques,logcounts,srp,4,0.15814118619296047
euclidean,marques,logcounts,srp,32,0.3978738827503428
euclidean,marques,logcounts,srp,2,0.08756589057259641
euclidean,marques,logcounts,srp,16,0.29648588737695364
euclidean,marques,logcounts,srp,96,0.6339016041144755
euclidean,marques,logcounts,srp,8,0.27164550780634245
euclidean,marques,logcounts,srp,48,0.5454079001972648
euclidean,marques,logcounts,psmf,4,0.7821124863995872
euclidean,marques,logcounts,psmf,32,0.8313418241249084
euclidean,marques,logcounts,psmf,2,0.685434630546844
euclidean,marques,logcounts,psmf,16,0.8313971522330782
euclidean,marques,logcounts,psmf,96,0.7872087644573516
euclidean,marques,logcounts,psmf,8,0.7948416057443024
euclidean,marques,logcounts,psmf,48,0.8113000464385001
euclidean,marques,logcounts,fica,4,0.7352956379008803
euclidean,marques,logcounts,fica,32,0.7260169846531705
euclidean,marques,logcounts,fica,2,0.7543589302832509
euclidean,marques,logcounts,fica,16,0.6978199971024587
euclidean,marques,logcounts,fica,96,0.6710914116824215
euclidean,marques,logcounts,fica,8,0.738285396204463
euclidean,marques,logcounts,fica,48,0.7212034786373052
euclidean,marques,logcounts,lle,4,0.45301597029265483
euclidean,marques,logcounts,lle,32,0.1743211652089779
euclidean,marques,logcounts,lle,2,0.2245542226735672
euclidean,marques,logcounts,lle,16,0.3278617239309964
euclidean,marques,logcounts,lle,96,-0.018531319547806246
euclidean,marques,logcounts,lle,8,0.48755541044425077
euclidean,marques,logcounts,lle,48,0.05651478056795169
euclidean,marques,logcounts,lsnmf,4,0.2112220207444901
euclidean,marques,logcounts,lsnmf,32,0.22825670048461655
euclidean,marques,logcounts,lsnmf,2,0.22903279181906494
euclidean,marques,logcounts,lsnmf,16,0.7513721367773734
euclidean,marques,logcounts,lsnmf,96,0.35423697444918645
euclidean,marques,logcounts,lsnmf,8,0.7082524156781588
euclidean,marques,logcounts,lsnmf,48,0.39014533238448645
euclidean,marques,logcounts,phate,4,0.7132997815346408
euclidean,marques,logcounts,phate,32,0.7189094836690387
euclidean,marques,logcounts,phate,2,0.6988465529447803
euclidean,marques,logcounts,phate,16,0.7235959360541113
euclidean,marques,logcounts,phate,96,0.7208871533739729
euclidean,marques,logcounts,phate,8,0.7136245120195922
euclidean,marques,logcounts,phate,48,0.722454764428772
euclidean,marques,logcounts,kpca-rbf,4,0.4768086966283393
euclidean,marques,logcounts,kpca-rbf,32,0.4385228069053493
euclidean,marques,logcounts,kpca-rbf,2,0.4938166539231013
euclidean,marques,logcounts,kpca-rbf,16,0.4621470370740591
euclidean,marques,logcounts,kpca-rbf,96,0.0703837412173958
euclidean,marques,logcounts,kpca-rbf,8,0.4817062325458956
euclidean,marques,logcounts,kpca-rbf,48,0.3973477179215249
