metric,dataset,count,method,dimensions,rho
euclidean,muraro,lognormcounts,spca,4,0.9204742206899005
euclidean,muraro,lognormcounts,spca,32,0.9463569699640041
euclidean,muraro,lognormcounts,spca,2,0.8597660761798596
euclidean,muraro,lognormcounts,spca,16,0.946925254999248
euclidean,muraro,lognormcounts,spca,96,0.9501350439649832
euclidean,muraro,lognormcounts,spca,8,0.9425813489281105
euclidean,muraro,lognormcounts,spca,48,0.9489573338299588
euclidean,muraro,lognormcounts,tsvd,4,0.9205235178130969
euclidean,muraro,lognormcounts,tsvd,32,0.963785763225377
euclidean,muraro,lognormcounts,tsvd,2,0.8667983267206463
euclidean,muraro,lognormcounts,tsvd,16,0.9561894473898596
euclidean,muraro,lognormcounts,tsvd,96,0.9772882709352909
euclidean,muraro,lognormcounts,tsvd,8,0.9429361507894675
euclidean,muraro,lognormcounts,tsvd,48,0.9683207407233119
euclidean,muraro,lognormcounts,spca-batch,4,0.9255913147687853
euclidean,muraro,lognormcounts,spca-batch,32,0.9460976973283592
euclidean,muraro,lognormcounts,spca-batch,2,0.8670316113384365
euclidean,muraro,lognormcounts,spca-batch,16,0.9435478372089743
euclidean,muraro,lognormcounts,spca-batch,96,0.9417366586515119
euclidean,muraro,lognormcounts,spca-batch,8,0.937402185475047
euclidean,muraro,lognormcounts,spca-batch,48,0.9506146693551677
euclidean,muraro,lognormcounts,nsnmf,4,0.7792822684430288
euclidean,muraro,lognormcounts,nsnmf,32,0.9209795978534856
euclidean,muraro,lognormcounts,nsnmf,2,0.7938053610994108
euclidean,muraro,lognormcounts,nsnmf,16,0.9073614606531032
euclidean,muraro,lognormcounts,nsnmf,96,0.9090340729021801
euclidean,muraro,lognormcounts,nsnmf,8,0.8723357297715405
euclidean,muraro,lognormcounts,nsnmf,48,0.9257269333577008
euclidean,muraro,lognormcounts,vpac,4,0.5941347053449647
euclidean,muraro,lognormcounts,vpac,32,0.7777316640388251
euclidean,muraro,lognormcounts,vpac,2,0.8050903931482514
euclidean,muraro,lognormcounts,vpac,16,0.5615837296211282
euclidean,muraro,lognormcounts,vpac,96,0.9090447901826443
euclidean,muraro,lognormcounts,vpac,8,0.6202896468881727
euclidean,muraro,lognormcounts,vpac,48,0.8907269750987367
euclidean,muraro,lognormcounts,umap,4,0.6006824092375715
euclidean,muraro,lognormcounts,umap,32,0.6056000135161105
euclidean,muraro,lognormcounts,umap,2,0.6094744586312146
euclidean,muraro,lognormcounts,umap,16,0.6138538185193716
euclidean,muraro,lognormcounts,umap,96,0.6223509634034842
euclidean,muraro,lognormcounts,umap,8,0.6041222649528135
euclidean,muraro,lognormcounts,umap,48,0.5996240261216775
euclidean,muraro,lognormcounts,kpca-sig,4,0.727713621960457
euclidean,muraro,lognormcounts,kpca-sig,32,0.7407344097358907
euclidean,muraro,lognormcounts,kpca-sig,2,0.6726109299941818
euclidean,muraro,lognormcounts,kpca-sig,16,0.7367509984578045
euclidean,muraro,lognormcounts,kpca-sig,96,0.709773056525991
euclidean,muraro,lognormcounts,kpca-sig,8,0.7404462373148744
euclidean,muraro,lognormcounts,kpca-sig,48,0.7357168718415354
euclidean,muraro,lognormcounts,nmf2,4,0.8481009887012486
euclidean,muraro,lognormcounts,nmf2,32,0.9185228939108384
euclidean,muraro,lognormcounts,nmf2,2,0.8441614969319188
euclidean,muraro,lognormcounts,nmf2,16,0.899529845713685
euclidean,muraro,lognormcounts,nmf2,96,0.9264319977774139
euclidean,muraro,lognormcounts,nmf2,8,0.8872994775395401
euclidean,muraro,lognormcounts,nmf2,48,0.923295161897011
euclidean,muraro,lognormcounts,srp,4,0.519156244844075
euclidean,muraro,lognormcounts,srp,32,0.8292541300627745
euclidean,muraro,lognormcounts,srp,2,0.43079036736697446
euclidean,muraro,lognormcounts,srp,16,0.7230919239244917
euclidean,muraro,lognormcounts,srp,96,0.9296464950572054
euclidean,muraro,lognormcounts,srp,8,0.46638059358337275
euclidean,muraro,lognormcounts,srp,48,0.860779256384486
euclidean,muraro,lognormcounts,psmf,4,0.8696106612582607
euclidean,muraro,lognormcounts,psmf,32,0.9353122463685015
euclidean,muraro,lognormcounts,psmf,2,0.79524819573505
euclidean,muraro,lognormcounts,psmf,16,0.9325550797991974
euclidean,muraro,lognormcounts,psmf,96,0.9165234905702963
euclidean,muraro,lognormcounts,psmf,8,0.9104077615905468
euclidean,muraro,lognormcounts,psmf,48,0.9396799212279074
euclidean,muraro,lognormcounts,fica,4,0.8184834610660809
euclidean,muraro,lognormcounts,fica,32,0.7633501418473582
euclidean,muraro,lognormcounts,fica,2,0.8492554964606982
euclidean,muraro,lognormcounts,fica,16,0.7538487301302929
euclidean,muraro,lognormcounts,fica,96,0.8064258083177045
euclidean,muraro,lognormcounts,fica,8,0.7736295035161632
euclidean,muraro,lognormcounts,fica,48,0.7819283130978555
euclidean,muraro,lognormcounts,lle,4,0.5010526620794764
euclidean,muraro,lognormcounts,lle,32,0.6129601222427509
euclidean,muraro,lognormcounts,lle,2,0.002348382364623096
euclidean,muraro,lognormcounts,lle,16,0.6502050157221102
euclidean,muraro,lognormcounts,lle,96,0.5787565541008569
euclidean,muraro,lognormcounts,lle,8,0.6555977150592603
euclidean,muraro,lognormcounts,lle,48,0.6066850851547404
euclidean,muraro,lognormcounts,lsnmf,4,0.6759109125585218
euclidean,muraro,lognormcounts,lsnmf,32,0.6955228039024081
euclidean,muraro,lognormcounts,lsnmf,2,0.8022179629245217
euclidean,muraro,lognormcounts,lsnmf,16,0.8788136799093983
euclidean,muraro,lognormcounts,lsnmf,96,0.35083749817258403
euclidean,muraro,lognormcounts,lsnmf,8,0.8369954785712795
euclidean,muraro,lognormcounts,lsnmf,48,0.5911424410726251
euclidean,muraro,lognormcounts,phate,4,0.6186360137139141
euclidean,muraro,lognormcounts,phate,32,0.6205956532476044
euclidean,muraro,lognormcounts,phate,2,0.5430788374837129
euclidean,muraro,lognormcounts,phate,16,0.5995542365462228
euclidean,muraro,lognormcounts,phate,96,0.645439571800374
euclidean,muraro,lognormcounts,phate,8,0.6095896798186264
euclidean,muraro,lognormcounts,phate,48,0.6163361928742885
euclidean,muraro,lognormcounts,kpca-rbf,4,0.9054474456663346
euclidean,muraro,lognormcounts,kpca-rbf,32,0.9528061940186265
euclidean,muraro,lognormcounts,kpca-rbf,2,0.8567539267020416
euclidean,muraro,lognormcounts,kpca-rbf,16,0.9426957708341878
euclidean,muraro,lognormcounts,kpca-rbf,96,0.971008351877863
euclidean,muraro,lognormcounts,kpca-rbf,8,0.9299244515016453
euclidean,muraro,lognormcounts,kpca-rbf,48,0.9593594743800062
euclidean,muraro,lognormcounts,isomap,4,0.890278889947938
euclidean,muraro,lognormcounts,isomap,32,0.9138548100543531
euclidean,muraro,lognormcounts,isomap,2,0.8678073100144746
euclidean,muraro,lognormcounts,isomap,16,0.9082520470692419
euclidean,muraro,lognormcounts,isomap,96,0.9171814718116968
euclidean,muraro,lognormcounts,isomap,8,0.9002476121459794
euclidean,muraro,lognormcounts,isomap,48,0.9153575832856898
euclidean,muraro,lognormcounts,saucie,4,-0.00863443267602451
euclidean,muraro,lognormcounts,saucie,32,-0.008527354637333786
euclidean,muraro,lognormcounts,saucie,2,0.009307970228624387
euclidean,muraro,lognormcounts,saucie,16,0.0019865240458903644
euclidean,muraro,lognormcounts,saucie,96,0.010520358579480762
euclidean,muraro,lognormcounts,saucie,8,0.00012152709960271195
euclidean,muraro,lognormcounts,saucie,48,-0.006508239648312816
euclidean,muraro,lognormcounts,bd,4,0.7880827118263916
euclidean,muraro,lognormcounts,bd,32,0.7560983514692138
euclidean,muraro,lognormcounts,bd,2,0.8284275932960825
euclidean,muraro,lognormcounts,bd,16,0.48243438322520404
euclidean,muraro,lognormcounts,bd,96,0.46176153140245096
euclidean,muraro,lognormcounts,bd,8,0.6244991344021014
euclidean,muraro,lognormcounts,bd,48,0.6568502907969884
euclidean,muraro,lognormcounts,lda,4,0.44956414713367127
euclidean,muraro,lognormcounts,lda,32,0.43892358973002815
euclidean,muraro,lognormcounts,lda,2,0.5557204962141015
euclidean,muraro,lognormcounts,lda,16,0.5623375768789629
euclidean,muraro,lognormcounts,lda,96,0.48972716958562856
euclidean,muraro,lognormcounts,lda,8,0.4745513960575866
euclidean,muraro,lognormcounts,lda,48,0.4724818478259423
euclidean,muraro,lognormcounts,spectral,4,0.5202871809292631
