metric,dataset,count,method,dimensions,rho
euclidean,muraro,normcounts,spca,4,0.9426486987299242
euclidean,muraro,normcounts,spca,32,0.9873411863757605
euclidean,muraro,normcounts,spca,2,0.8701279588093881
euclidean,muraro,normcounts,spca,16,0.984033893540392
euclidean,muraro,normcounts,spca,96,0.9932445077430775
euclidean,muraro,normcounts,spca,8,0.9707639678211252
euclidean,muraro,normcounts,spca,48,0.9909542308001045
euclidean,muraro,normcounts,tsvd,4,0.9466630187835692
euclidean,muraro,normcounts,tsvd,32,0.9986554035724923
euclidean,muraro,normcounts,tsvd,2,0.8522333275713301
euclidean,muraro,normcounts,tsvd,16,0.9959922302600956
euclidean,muraro,normcounts,tsvd,96,0.999880860276255
euclidean,muraro,normcounts,tsvd,8,0.9856249747805026
euclidean,muraro,normcounts,tsvd,48,0.9993886291096458
euclidean,muraro,normcounts,spca-batch,4,0.765280088119389
euclidean,muraro,normcounts,spca-batch,32,0.7016163079629538
euclidean,muraro,normcounts,spca-batch,2,0.8302653032749668
euclidean,muraro,normcounts,spca-batch,16,0.7341176258660729
euclidean,muraro,normcounts,spca-batch,96,0.6806316684326291
euclidean,muraro,normcounts,spca-batch,8,0.8612773639866114
euclidean,muraro,normcounts,spca-batch,48,0.7322250147748635
euclidean,muraro,normcounts,nsnmf,4,0.6225370110498689
euclidean,muraro,normcounts,nsnmf,32,0.7787847776314506
euclidean,muraro,normcounts,nsnmf,2,0.7464504908983848
euclidean,muraro,normcounts,nsnmf,16,0.819154687630037
euclidean,muraro,normcounts,nsnmf,96,0.7255291676358702
euclidean,muraro,normcounts,nsnmf,8,0.8214714095042721
euclidean,muraro,normcounts,nsnmf,48,0.7258536562483099
euclidean,muraro,normcounts,vpac,4,0.43318729767063685
euclidean,muraro,normcounts,vpac,32,0.4965735207133662
euclidean,muraro,normcounts,vpac,2,0.5566993450853565
euclidean,muraro,normcounts,vpac,16,0.38678038751828253
euclidean,muraro,normcounts,vpac,96,0.5252287435974784
euclidean,muraro,normcounts,vpac,8,0.5086861692206107
euclidean,muraro,normcounts,vpac,48,0.5248063335130053
euclidean,muraro,normcounts,umap,4,0.5707651905781277
euclidean,muraro,normcounts,umap,32,0.5593832240944102
euclidean,muraro,normcounts,umap,2,0.6488995308218884
euclidean,muraro,normcounts,umap,16,0.4534441874275313
euclidean,muraro,normcounts,umap,96,0.539676905572167
euclidean,muraro,normcounts,umap,8,0.571737821594303
euclidean,muraro,normcounts,umap,48,0.5526261328021291
euclidean,muraro,normcounts,kpca-sig,4,-0.19977348747409354
euclidean,muraro,normcounts,kpca-sig,32,-0.1962417607408038
euclidean,muraro,normcounts,kpca-sig,2,-0.20104524880653452
