metric,dataset,count,method,dimensions,rho
euclidean,pollen,normcounts,spca,4,0.8623905878983114
euclidean,pollen,normcounts,spca,32,0.9912401605662687
euclidean,pollen,normcounts,spca,2,0.7249135852375704
euclidean,pollen,normcounts,spca,16,0.9704147042966909
euclidean,pollen,normcounts,spca,96,0.995885518585839
euclidean,pollen,normcounts,spca,8,0.9287824655688226
euclidean,pollen,normcounts,spca,48,0.9958691627681612
euclidean,pollen,normcounts,tsvd,4,0.7799313743660556
euclidean,pollen,normcounts,tsvd,32,0.9895169563576529
euclidean,pollen,normcounts,tsvd,2,0.6740719046325047
euclidean,pollen,normcounts,tsvd,16,0.9631837908184641
euclidean,pollen,normcounts,tsvd,96,0.9996123055237578
euclidean,pollen,normcounts,tsvd,8,0.9233227902654029
euclidean,pollen,normcounts,tsvd,48,0.9962936454994354
euclidean,pollen,normcounts,spca-batch,4,0.7381340520918996
euclidean,pollen,normcounts,spca-batch,32,0.6135231136656296
euclidean,pollen,normcounts,spca-batch,2,0.7082748561983923
euclidean,pollen,normcounts,spca-batch,16,0.8298680362393932
euclidean,pollen,normcounts,spca-batch,96,0.5534780735816001
euclidean,pollen,normcounts,spca-batch,8,0.7121234205650911
euclidean,pollen,normcounts,spca-batch,48,0.6572963676782015
euclidean,pollen,normcounts,nsnmf,4,0.559819023621023
euclidean,pollen,normcounts,nsnmf,32,0.6223191453099047
euclidean,pollen,normcounts,nsnmf,2,0.3106012696928186
euclidean,pollen,normcounts,nsnmf,16,0.6733790502076059
euclidean,pollen,normcounts,nsnmf,96,0.5893184998758688
euclidean,pollen,normcounts,nsnmf,8,0.5896571406042683
euclidean,pollen,normcounts,nsnmf,48,0.6911792601284832
euclidean,pollen,normcounts,vpac,4,0.33792329661652487
euclidean,pollen,normcounts,vpac,32,0.3477743047456091
euclidean,pollen,normcounts,vpac,2,0.33102784362977544
euclidean,pollen,normcounts,vpac,16,0.3665436101380811
euclidean,pollen,normcounts,vpac,96,0.35719871322045893
euclidean,pollen,normcounts,vpac,8,0.2825199580748702
euclidean,pollen,normcounts,vpac,48,0.33075555160962783
euclidean,pollen,normcounts,umap,4,0.5364289948041364
euclidean,pollen,normcounts,umap,32,0.5626613676815789
euclidean,pollen,normcounts,umap,2,0.5452795741443219
euclidean,pollen,normcounts,umap,16,0.5943386715197614
euclidean,pollen,normcounts,umap,96,0.6097578193533053
euclidean,pollen,normcounts,umap,8,0.5027530878758012
euclidean,pollen,normcounts,umap,48,0.6174659592675028
euclidean,pollen,normcounts,kpca-sig,4,nan
euclidean,pollen,normcounts,kpca-sig,32,nan
euclidean,pollen,normcounts,kpca-sig,2,nan
euclidean,pollen,normcounts,kpca-sig,16,nan
euclidean,pollen,normcounts,kpca-sig,96,nan
euclidean,pollen,normcounts,kpca-sig,8,nan
euclidean,pollen,normcounts,kpca-sig,48,nan
euclidean,pollen,normcounts,nmf2,4,0.666334763888988
euclidean,pollen,normcounts,nmf2,32,0.8610300199355758
