metric,dataset,count,method,dimensions,rho
euclidean,romanov,counts,spca,4,0.9654136238636813
euclidean,romanov,counts,spca,32,0.9972936424045171
euclidean,romanov,counts,spca,2,0.9344153386897041
euclidean,romanov,counts,spca,16,0.9942510469086279
euclidean,romanov,counts,spca,96,0.9990001829126026
euclidean,romanov,counts,spca,8,0.9817032554618934
euclidean,romanov,counts,spca,48,0.9982628880262293
euclidean,romanov,counts,tsvd,4,0.9510299360219564
euclidean,romanov,counts,tsvd,32,0.9970819427984128
euclidean,romanov,counts,tsvd,2,0.9337515372674624
euclidean,romanov,counts,tsvd,16,0.9937995757848623
euclidean,romanov,counts,tsvd,96,0.9988423633983242
euclidean,romanov,counts,tsvd,8,0.9801501252655923
euclidean,romanov,counts,tsvd,48,0.9980859008951511
euclidean,romanov,counts,spca-batch,4,0.7607702480500351
euclidean,romanov,counts,spca-batch,32,0.5460902861170525
euclidean,romanov,counts,spca-batch,2,0.9382151248538946
euclidean,romanov,counts,spca-batch,16,0.6225971305198327
euclidean,romanov,counts,spca-batch,96,0.437946942221948
euclidean,romanov,counts,spca-batch,8,0.6422735127528331
euclidean,romanov,counts,spca-batch,48,0.5012364404606814
euclidean,romanov,counts,zifa,4,0.2910814875131602
euclidean,romanov,counts,zifa,32,0.23494638916180474
euclidean,romanov,counts,zifa,2,0.4415375778440978
euclidean,romanov,counts,zifa,16,0.2340127444204389
euclidean,romanov,counts,zifa,96,0.23488570387076663
euclidean,romanov,counts,zifa,8,0.25376679027405846
euclidean,romanov,counts,zifa,48,0.23431504423886687
euclidean,romanov,counts,nsnmf,4,0.690000974764087
euclidean,romanov,counts,nsnmf,32,0.5257582770228104
euclidean,romanov,counts,nsnmf,2,0.13290729681860647
euclidean,romanov,counts,nsnmf,16,0.4799428624317267
euclidean,romanov,counts,nsnmf,96,0.39171300074519777
euclidean,romanov,counts,nsnmf,8,0.5853861899962385
euclidean,romanov,counts,nsnmf,48,0.4135620013939691
euclidean,romanov,counts,vpac,4,0.3243572778980393
euclidean,romanov,counts,vpac,32,0.32517431865504626
euclidean,romanov,counts,vpac,2,0.5371543669050699
euclidean,romanov,counts,vpac,16,0.3295420942737681
