metric,dataset,count,method,dimensions,rho
euclidean,romanov,logcounts,spca,4,0.8257119064106393
euclidean,romanov,logcounts,spca,32,0.7575315732746876
euclidean,romanov,logcounts,spca,2,0.7122952515894602
euclidean,romanov,logcounts,spca,16,0.7863034422842303
euclidean,romanov,logcounts,spca,96,0.7539997621962097
euclidean,romanov,logcounts,spca,8,0.8319010627447644
euclidean,romanov,logcounts,spca,48,0.763262756458149
euclidean,romanov,logcounts,tsvd,4,0.8194595715877091
euclidean,romanov,logcounts,tsvd,32,0.8537594941193789
euclidean,romanov,logcounts,tsvd,2,0.7145548396176371
euclidean,romanov,logcounts,tsvd,16,0.8399495166821103
euclidean,romanov,logcounts,tsvd,96,0.8978357568853974
euclidean,romanov,logcounts,tsvd,8,0.8322568328902586
euclidean,romanov,logcounts,tsvd,48,0.8660370678596511
euclidean,romanov,logcounts,spca-batch,4,0.7778702087105611
euclidean,romanov,logcounts,spca-batch,32,0.7957570044736192
euclidean,romanov,logcounts,spca-batch,2,0.7019909513350252
euclidean,romanov,logcounts,spca-batch,16,0.7609928071810204
euclidean,romanov,logcounts,spca-batch,96,0.6949478322583649
euclidean,romanov,logcounts,spca-batch,8,0.7235781847710504
euclidean,romanov,logcounts,spca-batch,48,0.7174452145724578
euclidean,romanov,logcounts,zifa,4,0.5846369431463856
euclidean,romanov,logcounts,zifa,32,0.5907500658291888
euclidean,romanov,logcounts,zifa,2,0.5346167545468403
euclidean,romanov,logcounts,zifa,16,0.5911959262551498
euclidean,romanov,logcounts,zifa,8,0.5828088614389527
euclidean,romanov,logcounts,nsnmf,4,0.55092331558647
euclidean,romanov,logcounts,nsnmf,32,0.7318226972483919
euclidean,romanov,logcounts,nsnmf,2,0.6108314999798831
euclidean,romanov,logcounts,nsnmf,16,0.6954517637175462
euclidean,romanov,logcounts,nsnmf,96,0.6298005258267627
euclidean,romanov,logcounts,nsnmf,8,0.6698073548882203
euclidean,romanov,logcounts,nsnmf,48,0.7060609373662216
euclidean,romanov,logcounts,vpac,4,0.6915035708662325
euclidean,romanov,logcounts,vpac,32,0.7712484579454194
euclidean,romanov,logcounts,vpac,2,0.33657994951929876
euclidean,romanov,logcounts,vpac,16,0.6657511878318757
euclidean,romanov,logcounts,vpac,96,0.8087137817143975
euclidean,romanov,logcounts,vpac,8,0.4968728790902727
euclidean,romanov,logcounts,vpac,48,0.784554584458092
euclidean,romanov,logcounts,umap,4,0.40246842397092847
euclidean,romanov,logcounts,umap,32,0.39079458659991007
euclidean,romanov,logcounts,umap,2,0.5050785475378726
euclidean,romanov,logcounts,umap,16,0.4123470207250398
euclidean,romanov,logcounts,umap,96,0.39203020583272163
euclidean,romanov,logcounts,umap,8,0.3809002597082696
euclidean,romanov,logcounts,umap,48,0.40200042256225227
euclidean,romanov,logcounts,kpca-sig,4,0.2856858992190502
euclidean,romanov,logcounts,kpca-sig,32,0.20922455484071523
euclidean,romanov,logcounts,kpca-sig,2,0.25359099849718264
euclidean,romanov,logcounts,kpca-sig,16,0.22731160687916552
euclidean,romanov,logcounts,kpca-sig,96,0.16370881959770764
euclidean,romanov,logcounts,kpca-sig,8,0.2554071111043766
euclidean,romanov,logcounts,kpca-sig,48,0.19567541444605677
euclidean,romanov,logcounts,nmf2,4,0.6835933047694901
euclidean,romanov,logcounts,nmf2,32,0.7496457720799071
euclidean,romanov,logcounts,nmf2,2,0.6455330041020161
euclidean,romanov,logcounts,nmf2,16,0.7615203465475744
euclidean,romanov,logcounts,nmf2,96,0.7504030826698066
euclidean,romanov,logcounts,nmf2,8,0.6998040815902687
euclidean,romanov,logcounts,nmf2,48,0.7632960403596553
euclidean,romanov,logcounts,srp,4,0.1767458083380426
euclidean,romanov,logcounts,srp,32,0.4444941908207081
euclidean,romanov,logcounts,srp,2,0.21320612724010943
euclidean,romanov,logcounts,srp,16,0.4143807239305515
euclidean,romanov,logcounts,srp,96,0.6923052706107925
euclidean,romanov,logcounts,srp,8,0.3703002169808629
euclidean,romanov,logcounts,srp,48,0.5672339935407891
euclidean,romanov,logcounts,psmf,4,0.7505859287986637
euclidean,romanov,logcounts,psmf,32,0.8568689192101416
euclidean,romanov,logcounts,psmf,2,0.7375721978411065
euclidean,romanov,logcounts,psmf,16,0.7983808910340419
euclidean,romanov,logcounts,psmf,96,0.8307900583529917
euclidean,romanov,logcounts,psmf,8,0.7454391210092268
euclidean,romanov,logcounts,psmf,48,0.8019611760867617
euclidean,romanov,logcounts,fica,4,0.7192471624958725
euclidean,romanov,logcounts,fica,32,0.39618310472965684
euclidean,romanov,logcounts,fica,2,0.6138313341980072
euclidean,romanov,logcounts,fica,16,0.4057274342096234
euclidean,romanov,logcounts,fica,96,0.40927471819754235
euclidean,romanov,logcounts,fica,8,0.5298416974687957
euclidean,romanov,logcounts,fica,48,0.4195262577046516
euclidean,romanov,logcounts,lle,4,0.18873019595836263
euclidean,romanov,logcounts,lle,32,0.08917759741415911
euclidean,romanov,logcounts,lle,2,0.6668962289952711
euclidean,romanov,logcounts,lle,16,0.27369133953643765
euclidean,romanov,logcounts,lle,96,-0.028979394425569658
euclidean,romanov,logcounts,lle,8,0.17484207762374201
euclidean,romanov,logcounts,lle,48,0.0208739237614907
euclidean,romanov,logcounts,lsnmf,4,0.661810382954792
euclidean,romanov,logcounts,lsnmf,32,0.7755566669306502
euclidean,romanov,logcounts,lsnmf,2,0.6329717608271037
euclidean,romanov,logcounts,lsnmf,16,0.707426219430312
euclidean,romanov,logcounts,lsnmf,96,-0.003116320007000012
euclidean,romanov,logcounts,lsnmf,8,0.5988425326019459
euclidean,romanov,logcounts,lsnmf,48,0.5084561292579313
euclidean,romanov,logcounts,phate,4,0.6044079759938474
euclidean,romanov,logcounts,phate,32,0.5884926218767178
euclidean,romanov,logcounts,phate,2,0.546280045112634
euclidean,romanov,logcounts,phate,16,0.6027002944951525
euclidean,romanov,logcounts,phate,96,0.5903768878506261
euclidean,romanov,logcounts,phate,8,0.6009361340011663
euclidean,romanov,logcounts,phate,48,0.6058677269003274
euclidean,romanov,logcounts,kpca-rbf,4,0.3985413045667373
euclidean,romanov,logcounts,kpca-rbf,32,0.2794638443918179
euclidean,romanov,logcounts,kpca-rbf,2,0.417894497731555
euclidean,romanov,logcounts,kpca-rbf,16,0.32502200772978296
euclidean,romanov,logcounts,kpca-rbf,96,0.0735777973726424
euclidean,romanov,logcounts,kpca-rbf,8,0.3723237851750344
euclidean,romanov,logcounts,kpca-rbf,48,0.2632351711595585
euclidean,romanov,logcounts,isomap,4,0.6688457140626745
euclidean,romanov,logcounts,isomap,32,0.6297191799252799
euclidean,romanov,logcounts,isomap,2,0.6745349522529598
euclidean,romanov,logcounts,isomap,16,0.6623197176528068
euclidean,romanov,logcounts,isomap,96,0.5621902667711259
euclidean,romanov,logcounts,isomap,8,0.6806663891079165
euclidean,romanov,logcounts,isomap,48,0.6093855735221534
euclidean,romanov,logcounts,saucie,4,1.6188642530721278e-05
euclidean,romanov,logcounts,saucie,32,-0.003873702435369626
euclidean,romanov,logcounts,saucie,2,0.006251833310551638
euclidean,romanov,logcounts,saucie,16,0.010738956080271889
euclidean,romanov,logcounts,saucie,96,-0.0015949663626267608
euclidean,romanov,logcounts,saucie,8,-0.0027522779123672074
euclidean,romanov,logcounts,saucie,48,0.0018722829665685453
euclidean,romanov,logcounts,bd,4,0.6901404494361707
euclidean,romanov,logcounts,bd,32,0.40458400456535815
euclidean,romanov,logcounts,bd,2,0.6834232394801293
euclidean,romanov,logcounts,bd,16,0.5948303180719187
euclidean,romanov,logcounts,bd,96,0.15049517506866605
euclidean,romanov,logcounts,bd,8,0.7121281999785098
euclidean,romanov,logcounts,bd,48,0.4333565849062042
euclidean,romanov,logcounts,lda,4,0.4697465720628971
euclidean,romanov,logcounts,lda,32,0.13808520865217666
euclidean,romanov,logcounts,lda,2,0.28338792643391325
euclidean,romanov,logcounts,lda,16,0.2768368346516492
euclidean,romanov,logcounts,lda,96,0.133709827459395
euclidean,romanov,logcounts,lda,8,0.3725200408406361
euclidean,romanov,logcounts,lda,48,0.14932454794569955
euclidean,romanov,logcounts,spectral,4,0.4601695322001975
euclidean,romanov,logcounts,spectral,32,0.32337229973918524
euclidean,romanov,logcounts,spectral,2,0.6372472244062006
euclidean,romanov,logcounts,spectral,16,0.36813794538619987
euclidean,romanov,logcounts,spectral,96,0.2719711794551339
euclidean,romanov,logcounts,spectral,8,0.3824677150207187
euclidean,romanov,logcounts,spectral,48,0.31991667807884966
euclidean,romanov,logcounts,grp,4,0.16606017742210094
euclidean,romanov,logcounts,grp,32,0.5274368435818828
euclidean,romanov,logcounts,grp,2,0.10354513032300504
euclidean,romanov,logcounts,grp,16,0.29706428773183796
euclidean,romanov,logcounts,grp,96,0.7212905647592304
euclidean,romanov,logcounts,grp,8,0.298716816782121
euclidean,romanov,logcounts,grp,48,0.5451886070658666
euclidean,romanov,logcounts,fa,4,0.6711067000494114
euclidean,romanov,logcounts,fa,32,0.48039911598445983
euclidean,romanov,logcounts,fa,2,0.6368241773022483
euclidean,romanov,logcounts,fa,16,0.5364103689970892
euclidean,romanov,logcounts,fa,96,0.5016572300186537
euclidean,romanov,logcounts,fa,8,0.6358719843696403
euclidean,romanov,logcounts,fa,48,0.48338676972026373
euclidean,romanov,logcounts,mctsne,4,0.6687685200814985
euclidean,romanov,logcounts,mctsne,32,nan
euclidean,romanov,logcounts,mctsne,2,0.6868919895858374
euclidean,romanov,logcounts,mctsne,96,nan
euclidean,romanov,logcounts,mctsne,8,0.7010063393074569
euclidean,romanov,logcounts,mctsne,48,0.4110848704279138
euclidean,romanov,logcounts,nmf,4,0.6763857126560301
euclidean,romanov,logcounts,nmf,32,0.38600729336514744
euclidean,romanov,logcounts,nmf,2,0.5851784682444592
euclidean,romanov,logcounts,nmf,16,0.3236873635620058
euclidean,romanov,logcounts,nmf,96,0.39600028185298286
euclidean,romanov,logcounts,nmf,8,0.5126338003554438
euclidean,romanov,logcounts,nmf,48,0.44704276060589104
euclidean,romanov,logcounts,kpca-pol,4,0.7756091209171859
euclidean,romanov,logcounts,kpca-pol,32,0.7571671405124983
euclidean,romanov,logcounts,kpca-pol,2,0.7080156564063512
euclidean,romanov,logcounts,kpca-pol,16,0.7685080782341492
euclidean,romanov,logcounts,kpca-pol,96,0.7227787858471264
euclidean,romanov,logcounts,kpca-pol,8,0.7779948402553549
euclidean,romanov,logcounts,kpca-pol,48,0.7480111029645357
euclidean,romanov,logcounts,vasc,4,0.6281501352641564
euclidean,romanov,logcounts,vasc,32,nan
euclidean,romanov,logcounts,vasc,2,0.7078390477238664
euclidean,romanov,logcounts,vasc,16,0.5607536896640145
euclidean,romanov,logcounts,vasc,96,0.5242296441326367
euclidean,romanov,logcounts,vasc,8,0.5920044568804594
euclidean,romanov,logcounts,vasc,48,0.5880055561072312
euclidean,romanov,logcounts,kpca-cos,4,0.6944055328977631
euclidean,romanov,logcounts,kpca-cos,32,0.6304919221170675
euclidean,romanov,logcounts,kpca-cos,2,0.6214966974764268
euclidean,romanov,logcounts,kpca-cos,16,0.6485500866146559
euclidean,romanov,logcounts,kpca-cos,96,0.4850700472767203
euclidean,romanov,logcounts,kpca-cos,8,0.6641034946288873
euclidean,romanov,logcounts,kpca-cos,48,0.5937742435634882
euclidean,romanov,logcounts,pca,4,0.8246375109286032
euclidean,romanov,logcounts,pca,32,0.8528636315443392
euclidean,romanov,logcounts,pca,2,0.7129862611795766
euclidean,romanov,logcounts,pca,16,0.8406483193638168
euclidean,romanov,logcounts,pca,96,0.9003228136341892
euclidean,romanov,logcounts,pca,8,0.8363431841589838
euclidean,romanov,logcounts,pca,48,0.8669856498897824
euclidean,romanov,logcounts,pmf,4,0.7725744153815911
euclidean,romanov,logcounts,pmf,32,0.7477124121763112
euclidean,romanov,logcounts,pmf,2,0.7060694584755636
euclidean,romanov,logcounts,pmf,16,0.7653126434254274
euclidean,romanov,logcounts,pmf,96,0.7019323464796445
euclidean,romanov,logcounts,pmf,8,0.7531953386843179
euclidean,romanov,logcounts,pmf,48,0.73584335648144
euclidean,romanov,logcounts,snmf,4,0.7162012787082971
euclidean,romanov,logcounts,snmf,32,0.5279716953793284
euclidean,romanov,logcounts,snmf,2,0.6193060366403732
euclidean,romanov,logcounts,snmf,16,0.5876912504825719
euclidean,romanov,logcounts,snmf,96,0.5208904815911315
euclidean,romanov,logcounts,snmf,8,0.7130106174544728
euclidean,romanov,logcounts,snmf,48,0.5402095357849815
euclidean,romanov,logcounts,ipca,4,0.8246375104466451
euclidean,romanov,logcounts,ipca,32,0.8529796606762114
euclidean,romanov,logcounts,ipca,2,0.7129862611795766
euclidean,romanov,logcounts,ipca,16,0.8406363786920004
euclidean,romanov,logcounts,ipca,96,0.9041367084539234
euclidean,romanov,logcounts,ipca,8,0.8363432109192289
euclidean,romanov,logcounts,ipca,48,0.8674867473168228
euclidean,romanov,logcounts,icm,4,0.7356504292318843
euclidean,romanov,logcounts,icm,32,0.6657097693421928
euclidean,romanov,logcounts,icm,2,0.6415641636443402
euclidean,romanov,logcounts,icm,16,0.6212766647127604
euclidean,romanov,logcounts,icm,96,0.47241321335112807
euclidean,romanov,logcounts,icm,8,0.6990361440879075
euclidean,romanov,logcounts,icm,48,0.35929592303324726
euclidean,romanov,logcounts,ivis,4,0.48150417137172474
euclidean,romanov,logcounts,ivis,32,0.4314494063658359
euclidean,romanov,logcounts,ivis,2,0.4162453334783638
euclidean,romanov,logcounts,ivis,16,0.5188902477570422
euclidean,romanov,logcounts,ivis,96,0.4680756195386791
euclidean,romanov,logcounts,ivis,8,0.49647297728564566
euclidean,romanov,logcounts,ivis,48,0.4908039728277293
