metric,dataset,count,method,dimensions,rho
euclidean,shekhar,counts,spca,4,0.9041193524423075
euclidean,shekhar,counts,spca,32,0.9356447692638254
euclidean,shekhar,counts,spca,2,0.8435802338431941
euclidean,shekhar,counts,spca,16,0.9287598068737244
euclidean,shekhar,counts,spca,96,0.9498680020609617
euclidean,shekhar,counts,spca,8,0.9220010425698726
euclidean,shekhar,counts,spca,48,0.9406607067750693
euclidean,shekhar,counts,tsvd,4,0.888474485877137
euclidean,shekhar,counts,tsvd,32,0.9352748419030539
euclidean,shekhar,counts,tsvd,2,0.8107678115420228
euclidean,shekhar,counts,tsvd,16,0.9282523417526775
euclidean,shekhar,counts,tsvd,96,0.9497263280761146
euclidean,shekhar,counts,tsvd,8,0.9154566594217012
euclidean,shekhar,counts,tsvd,48,0.9405380658850762
euclidean,shekhar,counts,spca-batch,4,0.6924569479450525
euclidean,shekhar,counts,spca-batch,32,0.7215699410549785
euclidean,shekhar,counts,spca-batch,2,0.7304674358559161
euclidean,shekhar,counts,spca-batch,16,0.7538472683277593
euclidean,shekhar,counts,spca-batch,96,0.7625073997954173
euclidean,shekhar,counts,spca-batch,8,0.817994836157841
euclidean,shekhar,counts,spca-batch,48,0.6809011642892584
euclidean,shekhar,counts,zifa,4,0.5545819952858309
euclidean,shekhar,counts,zifa,2,0.5400202085666166
euclidean,shekhar,counts,nsnmf,4,0.48904843568374196
euclidean,shekhar,counts,nsnmf,32,0.6509941984949865
euclidean,shekhar,counts,nsnmf,2,0.3729910834928716
euclidean,shekhar,counts,nsnmf,16,0.6114229966618873
euclidean,shekhar,counts,nsnmf,96,0.6961911913389635
euclidean,shekhar,counts,nsnmf,8,0.5441753150908902
euclidean,shekhar,counts,nsnmf,48,0.7241303656835347
euclidean,shekhar,counts,vpac,4,0.4131738319280053
euclidean,shekhar,counts,vpac,32,0.5180095675768426
euclidean,shekhar,counts,vpac,2,0.5441269216113939
euclidean,shekhar,counts,vpac,16,0.5305122913674675
euclidean,shekhar,counts,vpac,96,0.33552052765977536
euclidean,shekhar,counts,vpac,8,0.5247535927429143
euclidean,shekhar,counts,vpac,48,0.4700332416957109
euclidean,shekhar,counts,umap,4,0.648289931959123
euclidean,shekhar,counts,umap,32,0.6428677376926455
euclidean,shekhar,counts,umap,2,0.6767984872173569
