metric,dataset,count,method,dimensions,rho
euclidean,tasic-reads,counts,spca,4,0.9393185617982371
euclidean,tasic-reads,counts,spca,32,0.9897747531735236
euclidean,tasic-reads,counts,spca,2,0.8102136309878868
euclidean,tasic-reads,counts,spca,16,0.9835462964902001
euclidean,tasic-reads,counts,spca,96,0.9937750112536395
euclidean,tasic-reads,counts,spca,8,0.9671165514139101
euclidean,tasic-reads,counts,spca,48,0.9916864969789051
euclidean,tasic-reads,counts,tsvd,4,0.9114425215298262
euclidean,tasic-reads,counts,tsvd,32,0.9912714340660432
euclidean,tasic-reads,counts,tsvd,2,0.6698889326599957
euclidean,tasic-reads,counts,tsvd,16,0.982593408698826
euclidean,tasic-reads,counts,tsvd,96,0.9954408750924325
euclidean,tasic-reads,counts,tsvd,8,0.9665451903951919
euclidean,tasic-reads,counts,tsvd,48,0.9932076062946111
euclidean,tasic-reads,counts,spca-batch,4,0.6624264219126781
euclidean,tasic-reads,counts,spca-batch,32,0.8463363528691825
euclidean,tasic-reads,counts,spca-batch,2,0.48282850418627754
euclidean,tasic-reads,counts,spca-batch,16,0.869467732077643
euclidean,tasic-reads,counts,spca-batch,96,0.8727311790587684
euclidean,tasic-reads,counts,spca-batch,8,0.8766771623971785
euclidean,tasic-reads,counts,spca-batch,48,0.8684191747076229
euclidean,tasic-reads,counts,zifa,4,0.6543363872699525
euclidean,tasic-reads,counts,zifa,32,0.7444521603948522
euclidean,tasic-reads,counts,zifa,2,0.5799716652368472
euclidean,tasic-reads,counts,zifa,16,0.7174060699756992
euclidean,tasic-reads,counts,zifa,8,0.7036289681021451
euclidean,tasic-reads,counts,zifa,48,0.7443295844115245
euclidean,tasic-reads,counts,nsnmf,4,0.6125368608311786
euclidean,tasic-reads,counts,nsnmf,32,0.8263817420456471
euclidean,tasic-reads,counts,nsnmf,2,0.31896194252362514
euclidean,tasic-reads,counts,nsnmf,16,0.7903746890692266
euclidean,tasic-reads,counts,nsnmf,96,0.8735797436640207
euclidean,tasic-reads,counts,nsnmf,8,0.71112455011568
euclidean,tasic-reads,counts,nsnmf,48,0.8509915554020897
euclidean,tasic-reads,counts,vpac,4,0.636186088308997
euclidean,tasic-reads,counts,vpac,32,0.7146221032636307
euclidean,tasic-reads,counts,vpac,2,0.6571771433518695
euclidean,tasic-reads,counts,vpac,16,0.7073470871318063
euclidean,tasic-reads,counts,vpac,96,0.7369846932771104
euclidean,tasic-reads,counts,vpac,8,0.6617191189400483
euclidean,tasic-reads,counts,vpac,48,0.7225741551114738
euclidean,tasic-reads,counts,umap,4,0.2732661021152714
euclidean,tasic-reads,counts,umap,32,0.29906211555522183
euclidean,tasic-reads,counts,umap,2,0.3568021256719678
euclidean,tasic-reads,counts,umap,16,0.3012348064265424
euclidean,tasic-reads,counts,umap,96,0.3142233869966847
euclidean,tasic-reads,counts,umap,8,0.3514350148189598
euclidean,tasic-reads,counts,umap,48,0.316001101225546
euclidean,tasic-reads,counts,kpca-sig,4,nan
euclidean,tasic-reads,counts,kpca-sig,32,nan
euclidean,tasic-reads,counts,kpca-sig,2,nan
euclidean,tasic-reads,counts,kpca-sig,16,nan
euclidean,tasic-reads,counts,kpca-sig,96,nan
euclidean,tasic-reads,counts,kpca-sig,8,nan
euclidean,tasic-reads,counts,kpca-sig,48,nan
euclidean,tasic-reads,counts,nmf2,4,0.7791519481296323
euclidean,tasic-reads,counts,nmf2,32,0.9307014204325147
euclidean,tasic-reads,counts,nmf2,2,0.6593581856310459
euclidean,tasic-reads,counts,nmf2,16,0.9008145155698719
euclidean,tasic-reads,counts,nmf2,96,0.9461058707367863
euclidean,tasic-reads,counts,nmf2,8,0.892748355264967
euclidean,tasic-reads,counts,nmf2,48,0.9376609775966329
euclidean,tasic-reads,counts,srp,4,0.5087079233934901
euclidean,tasic-reads,counts,srp,32,0.6387480902830421
euclidean,tasic-reads,counts,srp,2,0.38164298191868634
euclidean,tasic-reads,counts,srp,16,0.5865602089402366
euclidean,tasic-reads,counts,srp,96,0.9641268996433521
euclidean,tasic-reads,counts,srp,8,0.6891897560141398
euclidean,tasic-reads,counts,srp,48,0.7065306180556784
euclidean,tasic-reads,counts,psmf,4,0.547004090778157
euclidean,tasic-reads,counts,psmf,32,0.7043553394569231
euclidean,tasic-reads,counts,psmf,2,0.500557873753314
euclidean,tasic-reads,counts,psmf,16,0.7258959351660306
euclidean,tasic-reads,counts,psmf,96,0.649863293573939
euclidean,tasic-reads,counts,psmf,8,0.6455353510023049
euclidean,tasic-reads,counts,psmf,48,0.7377350056331393
euclidean,tasic-reads,counts,fica,4,0.928189307817954
euclidean,tasic-reads,counts,fica,32,0.8544292379367336
euclidean,tasic-reads,counts,fica,2,0.7962893256047853
euclidean,tasic-reads,counts,fica,16,0.9043271369301666
euclidean,tasic-reads,counts,fica,96,0.8127431967024562
euclidean,tasic-reads,counts,fica,8,0.9084579318694199
euclidean,tasic-reads,counts,fica,48,0.8255427850330762
euclidean,tasic-reads,counts,lle,4,0.34670367800862684
euclidean,tasic-reads,counts,lle,32,0.3619609556017381
euclidean,tasic-reads,counts,lle,2,0.2804415531928751
euclidean,tasic-reads,counts,lle,16,0.392122907269346
euclidean,tasic-reads,counts,lle,96,0.2710065583740957
euclidean,tasic-reads,counts,lle,8,0.383678982670488
euclidean,tasic-reads,counts,lle,48,0.339238990176678
euclidean,tasic-reads,counts,lsnmf,4,0.0025008787603223084
euclidean,tasic-reads,counts,lsnmf,32,0.02290282017533939
euclidean,tasic-reads,counts,lsnmf,2,-0.009245023086455908
euclidean,tasic-reads,counts,lsnmf,16,0.010869399271236537
euclidean,tasic-reads,counts,lsnmf,96,-0.01593899812949787
euclidean,tasic-reads,counts,lsnmf,8,0.014216120051200518
euclidean,tasic-reads,counts,lsnmf,48,0.008969941178965829
euclidean,tasic-reads,counts,phate,4,0.5064354355987276
euclidean,tasic-reads,counts,phate,32,0.5153444350973261
euclidean,tasic-reads,counts,phate,2,0.44496801049973217
euclidean,tasic-reads,counts,phate,16,0.5127645957909999
euclidean,tasic-reads,counts,phate,96,0.5160349564540702
euclidean,tasic-reads,counts,phate,8,0.5135718371926825
euclidean,tasic-reads,counts,phate,48,0.5196957073228691
euclidean,tasic-reads,counts,kpca-rbf,4,-0.0050163168750462115
euclidean,tasic-reads,counts,kpca-rbf,32,-0.0027594286689540367
euclidean,tasic-reads,counts,kpca-rbf,2,-0.0048135334554145134
euclidean,tasic-reads,counts,kpca-rbf,16,0.0029253829266005847
euclidean,tasic-reads,counts,kpca-rbf,96,-0.010896987307582592
euclidean,tasic-reads,counts,kpca-rbf,8,0.00017461844626748523
euclidean,tasic-reads,counts,kpca-rbf,48,0.00010206525022507828
euclidean,tasic-reads,counts,isomap,4,0.7527873354965761
euclidean,tasic-reads,counts,isomap,32,0.8421825952408415
euclidean,tasic-reads,counts,isomap,2,0.6056568609092586
euclidean,tasic-reads,counts,isomap,16,0.8303403496011601
euclidean,tasic-reads,counts,isomap,96,0.854072774470832
euclidean,tasic-reads,counts,isomap,8,0.8152173097510949
euclidean,tasic-reads,counts,isomap,48,0.8472571746447219
euclidean,tasic-reads,counts,saucie,4,-0.02263818433172517
euclidean,tasic-reads,counts,saucie,32,-0.015717279949871685
euclidean,tasic-reads,counts,saucie,2,-0.005236647171911088
euclidean,tasic-reads,counts,saucie,16,-0.013597669911916799
euclidean,tasic-reads,counts,saucie,96,0.004495849855856913
euclidean,tasic-reads,counts,saucie,8,-0.04686750229461602
euclidean,tasic-reads,counts,saucie,48,-0.00603068408300607
euclidean,tasic-reads,counts,bd,4,0.8956658140420345
euclidean,tasic-reads,counts,bd,32,0.7838988559753535
euclidean,tasic-reads,counts,bd,2,0.539022256886679
euclidean,tasic-reads,counts,bd,16,0.8882427681327194
euclidean,tasic-reads,counts,bd,96,0.8008438558200185
euclidean,tasic-reads,counts,bd,8,0.7644950696584231
euclidean,tasic-reads,counts,bd,48,0.8709744995855763
euclidean,tasic-reads,counts,lda,4,0.5204782671344117
euclidean,tasic-reads,counts,lda,32,0.6788675606985141
euclidean,tasic-reads,counts,lda,2,0.24771181308073464
euclidean,tasic-reads,counts,lda,16,0.7117662431988688
euclidean,tasic-reads,counts,lda,96,0.5990850291787995
euclidean,tasic-reads,counts,lda,8,0.620713520325514
euclidean,tasic-reads,counts,lda,48,0.6373712987195087
euclidean,tasic-reads,counts,spectral,4,0.47988043184650403
euclidean,tasic-reads,counts,spectral,32,0.42719144633851236
euclidean,tasic-reads,counts,spectral,2,0.3870839023595642
euclidean,tasic-reads,counts,spectral,16,0.6500082178231502
euclidean,tasic-reads,counts,spectral,96,0.3182662791320313
euclidean,tasic-reads,counts,spectral,8,0.6562719009148079
euclidean,tasic-reads,counts,spectral,48,0.3978527021392987
euclidean,tasic-reads,counts,grp,4,0.78291385870589
euclidean,tasic-reads,counts,grp,32,0.9443552768859759
euclidean,tasic-reads,counts,grp,2,0.569150516183106
euclidean,tasic-reads,counts,grp,16,0.9309209965436192
euclidean,tasic-reads,counts,grp,96,0.9809010765917099
euclidean,tasic-reads,counts,grp,8,0.83184584254368
euclidean,tasic-reads,counts,grp,48,0.962564264956522
euclidean,tasic-reads,counts,fa,4,0.6251645811773416
euclidean,tasic-reads,counts,fa,32,0.6955495075191668
euclidean,tasic-reads,counts,fa,2,0.5745156148083944
euclidean,tasic-reads,counts,fa,16,0.7004168147011612
euclidean,tasic-reads,counts,fa,96,0.8077361164339334
euclidean,tasic-reads,counts,fa,8,0.7074452873246098
euclidean,tasic-reads,counts,fa,48,0.7915088947968775
euclidean,tasic-reads,counts,mctsne,4,0.4144894735176396
euclidean,tasic-reads,counts,mctsne,32,nan
euclidean,tasic-reads,counts,mctsne,2,0.4716024757033721
euclidean,tasic-reads,counts,mctsne,96,0.16488156360494016
euclidean,tasic-reads,counts,mctsne,8,0.3987237848611152
euclidean,tasic-reads,counts,mctsne,48,nan
euclidean,tasic-reads,counts,nmf,4,0.9031927050461509
euclidean,tasic-reads,counts,nmf,32,0.8937678317429012
euclidean,tasic-reads,counts,nmf,2,0.6481906984013722
euclidean,tasic-reads,counts,nmf,16,0.793853780682169
euclidean,tasic-reads,counts,nmf,96,0.8052552993291657
euclidean,tasic-reads,counts,nmf,8,0.8811390641445382
euclidean,tasic-reads,counts,nmf,48,0.8461153198717514
euclidean,tasic-reads,counts,kpca-pol,4,0.7881773471271833
euclidean,tasic-reads,counts,kpca-pol,32,0.9359020716002997
euclidean,tasic-reads,counts,kpca-pol,2,0.6854938086763952
euclidean,tasic-reads,counts,kpca-pol,16,0.9270051588886136
euclidean,tasic-reads,counts,kpca-pol,96,0.9482296677910431
euclidean,tasic-reads,counts,kpca-pol,8,0.8938140493371783
euclidean,tasic-reads,counts,kpca-pol,48,0.941531621758979
euclidean,tasic-reads,counts,vasc,4,0.5866337285223775
euclidean,tasic-reads,counts,vasc,32,nan
euclidean,tasic-reads,counts,vasc,2,0.6088107065877365
euclidean,tasic-reads,counts,vasc,16,0.5467004523458435
euclidean,tasic-reads,counts,vasc,96,nan
euclidean,tasic-reads,counts,vasc,8,0.6105262514408596
euclidean,tasic-reads,counts,vasc,48,nan
euclidean,tasic-reads,counts,kpca-cos,4,0.8645506127860496
euclidean,tasic-reads,counts,kpca-cos,32,0.9541325471318081
euclidean,tasic-reads,counts,kpca-cos,2,0.8267815316945332
euclidean,tasic-reads,counts,kpca-cos,16,0.9456173860210725
euclidean,tasic-reads,counts,kpca-cos,96,0.9584128704377362
euclidean,tasic-reads,counts,kpca-cos,8,0.9238739312400709
euclidean,tasic-reads,counts,kpca-cos,48,0.9560084684771446
euclidean,tasic-reads,counts,pca,4,0.9393220918191114
euclidean,tasic-reads,counts,pca,32,0.9913193313812008
euclidean,tasic-reads,counts,pca,2,0.8102176609003369
euclidean,tasic-reads,counts,pca,16,0.9842344521746841
euclidean,tasic-reads,counts,pca,96,0.9954578095580362
euclidean,tasic-reads,counts,pca,8,0.967116988807815
euclidean,tasic-reads,counts,pca,48,0.9932680277557476
euclidean,tasic-reads,counts,pmf,4,0.6826622286953592
euclidean,tasic-reads,counts,pmf,32,0.872139569694612
euclidean,tasic-reads,counts,pmf,2,0.6433812446203666
euclidean,tasic-reads,counts,pmf,16,0.8202630477702799
euclidean,tasic-reads,counts,pmf,96,0.8852991123445519
euclidean,tasic-reads,counts,pmf,8,0.7278112832544346
euclidean,tasic-reads,counts,pmf,48,0.8728478880704269
euclidean,tasic-reads,counts,snmf,4,0.9046631270605752
euclidean,tasic-reads,counts,snmf,32,0.898848831114143
euclidean,tasic-reads,counts,snmf,2,0.6474393501030863
euclidean,tasic-reads,counts,snmf,16,0.833645776217355
euclidean,tasic-reads,counts,snmf,8,0.8347087028528006
euclidean,tasic-reads,counts,snmf,48,0.8975037482813083
euclidean,tasic-reads,counts,ipca,4,0.9393220917705949
euclidean,tasic-reads,counts,ipca,32,0.9913194570615915
euclidean,tasic-reads,counts,ipca,2,0.8102176609407996
euclidean,tasic-reads,counts,ipca,16,0.9842346703544024
euclidean,tasic-reads,counts,ipca,96,0.9954475139564654
euclidean,tasic-reads,counts,ipca,8,0.9671170787159934
euclidean,tasic-reads,counts,ipca,48,0.9932766850403139
euclidean,tasic-reads,counts,icm,4,0.1456458918767283
euclidean,tasic-reads,counts,icm,32,0.39510705903120014
euclidean,tasic-reads,counts,icm,2,0.08716847614481789
euclidean,tasic-reads,counts,icm,16,0.1549999244059411
euclidean,tasic-reads,counts,icm,96,0.6256524070651208
euclidean,tasic-reads,counts,icm,8,0.20647125174986114
euclidean,tasic-reads,counts,icm,48,0.47814699094679053
euclidean,tasic-reads,counts,ivis,4,0.6369994300860192
euclidean,tasic-reads,counts,ivis,32,0.6382417047552081
euclidean,tasic-reads,counts,ivis,2,0.6425327586576223
euclidean,tasic-reads,counts,ivis,16,0.636115357630236
euclidean,tasic-reads,counts,ivis,96,0.6354282668596486
euclidean,tasic-reads,counts,ivis,8,0.6373089432119535
euclidean,tasic-reads,counts,ivis,48,0.6354558521896578
