metric,dataset,count,method,dimensions,rho
euclidean,tasic-reads,logcounts,spca,4,0.7167357717132932
euclidean,tasic-reads,logcounts,spca,32,0.7166727846472728
euclidean,tasic-reads,logcounts,spca,2,0.70895643563914
euclidean,tasic-reads,logcounts,spca,16,0.6941202815401496
euclidean,tasic-reads,logcounts,spca,96,0.9102641176008068
euclidean,tasic-reads,logcounts,spca,8,0.7157882573873293
euclidean,tasic-reads,logcounts,spca,48,0.7825073528395176
euclidean,tasic-reads,logcounts,tsvd,4,0.7342992658143529
euclidean,tasic-reads,logcounts,tsvd,32,0.7573733186633599
euclidean,tasic-reads,logcounts,tsvd,2,0.7194916345367253
euclidean,tasic-reads,logcounts,tsvd,16,0.7415306091450561
euclidean,tasic-reads,logcounts,tsvd,96,0.8801169667335794
euclidean,tasic-reads,logcounts,tsvd,8,0.7331236927208712
euclidean,tasic-reads,logcounts,tsvd,48,0.7927460649570951
euclidean,tasic-reads,logcounts,spca-batch,4,0.6918464848340654
euclidean,tasic-reads,logcounts,spca-batch,32,0.6638554103825491
euclidean,tasic-reads,logcounts,spca-batch,2,0.6985530577118535
euclidean,tasic-reads,logcounts,spca-batch,16,0.7228306232426833
euclidean,tasic-reads,logcounts,spca-batch,96,0.7334163749860221
euclidean,tasic-reads,logcounts,spca-batch,8,0.684861944032309
euclidean,tasic-reads,logcounts,spca-batch,48,0.6849184461647487
euclidean,tasic-reads,logcounts,zifa,4,0.6776997868424037
euclidean,tasic-reads,logcounts,zifa,2,0.6296297166934894
euclidean,tasic-reads,logcounts,zifa,16,0.6487806142226987
euclidean,tasic-reads,logcounts,zifa,8,0.646930407658469
euclidean,tasic-reads,logcounts,nsnmf,4,0.1266725417821551
euclidean,tasic-reads,logcounts,nsnmf,32,0.20832249661971514
euclidean,tasic-reads,logcounts,nsnmf,2,0.29162453700322905
euclidean,tasic-reads,logcounts,nsnmf,16,0.08972868953913121
euclidean,tasic-reads,logcounts,nsnmf,96,0.24645886086685784
euclidean,tasic-reads,logcounts,nsnmf,8,0.06953136060138793
euclidean,tasic-reads,logcounts,nsnmf,48,0.23058931579081374
euclidean,tasic-reads,logcounts,vpac,4,0.6551531348840063
euclidean,tasic-reads,logcounts,vpac,32,0.6850574590401434
euclidean,tasic-reads,logcounts,vpac,2,0.7204288154794946
euclidean,tasic-reads,logcounts,vpac,16,0.6676791462759403
euclidean,tasic-reads,logcounts,vpac,96,0.718715445111857
euclidean,tasic-reads,logcounts,vpac,8,0.6870835452008405
euclidean,tasic-reads,logcounts,vpac,48,0.6851647552651802
euclidean,tasic-reads,logcounts,umap,4,0.2781988045077644
euclidean,tasic-reads,logcounts,umap,32,0.2784217018020117
euclidean,tasic-reads,logcounts,umap,2,0.5298764865869966
euclidean,tasic-reads,logcounts,umap,16,0.3117476983344641
euclidean,tasic-reads,logcounts,umap,96,0.46434774869015477
euclidean,tasic-reads,logcounts,umap,8,0.3345023724235178
euclidean,tasic-reads,logcounts,umap,48,0.43269989015884475
euclidean,tasic-reads,logcounts,kpca-sig,4,0.7309490916565073
euclidean,tasic-reads,logcounts,kpca-sig,32,0.8464052041344512
euclidean,tasic-reads,logcounts,kpca-sig,2,0.6805981378109704
euclidean,tasic-reads,logcounts,kpca-sig,16,0.8241531694534644
euclidean,tasic-reads,logcounts,kpca-sig,96,0.876708512164999
euclidean,tasic-reads,logcounts,kpca-sig,8,0.8068593052405875
euclidean,tasic-reads,logcounts,kpca-sig,48,0.8577895925805951
euclidean,tasic-reads,logcounts,nmf2,4,0.32419697150306864
euclidean,tasic-reads,logcounts,nmf2,32,0.22509644574798804
euclidean,tasic-reads,logcounts,nmf2,2,0.5328698729845391
euclidean,tasic-reads,logcounts,nmf2,16,0.3255705629631824
euclidean,tasic-reads,logcounts,nmf2,96,0.2112645248895183
euclidean,tasic-reads,logcounts,nmf2,8,0.21020705478534293
euclidean,tasic-reads,logcounts,nmf2,48,0.3630906350765845
euclidean,tasic-reads,logcounts,srp,4,0.24422457702679526
euclidean,tasic-reads,logcounts,srp,32,0.6020540378848339
euclidean,tasic-reads,logcounts,srp,2,0.17696138262606947
euclidean,tasic-reads,logcounts,srp,16,0.4375387617405267
euclidean,tasic-reads,logcounts,srp,96,0.7604844342769316
euclidean,tasic-reads,logcounts,srp,8,0.3568701622192025
euclidean,tasic-reads,logcounts,srp,48,0.6265643930500394
euclidean,tasic-reads,logcounts,psmf,4,0.7354568571140112
euclidean,tasic-reads,logcounts,psmf,32,0.6269544915105819
euclidean,tasic-reads,logcounts,psmf,2,0.7269319924384212
euclidean,tasic-reads,logcounts,psmf,16,0.6542921390001751
euclidean,tasic-reads,logcounts,psmf,96,0.7094192151113636
euclidean,tasic-reads,logcounts,psmf,8,0.5667536081650867
euclidean,tasic-reads,logcounts,psmf,48,0.6167106310155515
euclidean,tasic-reads,logcounts,fica,4,0.6136991411174424
euclidean,tasic-reads,logcounts,fica,32,0.5283061074660621
euclidean,tasic-reads,logcounts,fica,2,0.6308531556710303
euclidean,tasic-reads,logcounts,fica,16,0.5019465818934821
euclidean,tasic-reads,logcounts,fica,96,0.7189088087076886
euclidean,tasic-reads,logcounts,fica,8,0.5965439712502462
euclidean,tasic-reads,logcounts,fica,48,0.640055023673645
euclidean,tasic-reads,logcounts,lle,4,0.5531154678958653
euclidean,tasic-reads,logcounts,lle,32,0.2754388336524468
euclidean,tasic-reads,logcounts,lle,2,0.5412753686497356
euclidean,tasic-reads,logcounts,lle,16,0.40933845159008975
euclidean,tasic-reads,logcounts,lle,96,0.19103332621464333
euclidean,tasic-reads,logcounts,lle,8,0.5399069860263267
euclidean,tasic-reads,logcounts,lle,48,0.24648628263511502
euclidean,tasic-reads,logcounts,lsnmf,4,0.39012723282797335
euclidean,tasic-reads,logcounts,lsnmf,32,0.35024743995314966
euclidean,tasic-reads,logcounts,lsnmf,2,0.27980559351474465
euclidean,tasic-reads,logcounts,lsnmf,16,0.2716165097682358
euclidean,tasic-reads,logcounts,lsnmf,96,0.37823312927996966
euclidean,tasic-reads,logcounts,lsnmf,8,0.5435885807957688
euclidean,tasic-reads,logcounts,lsnmf,48,0.6262182389564942
euclidean,tasic-reads,logcounts,phate,4,0.31114368257943986
euclidean,tasic-reads,logcounts,phate,32,0.2665611099537021
euclidean,tasic-reads,logcounts,phate,2,0.4231741420639729
euclidean,tasic-reads,logcounts,phate,16,0.34043559882849983
euclidean,tasic-reads,logcounts,phate,96,0.4461368818802691
euclidean,tasic-reads,logcounts,phate,8,0.28532217550641226
euclidean,tasic-reads,logcounts,phate,48,0.26309281743108837
euclidean,tasic-reads,logcounts,kpca-rbf,4,0.451253708831385
euclidean,tasic-reads,logcounts,kpca-rbf,32,0.37601460538745857
euclidean,tasic-reads,logcounts,kpca-rbf,2,0.4440914585679081
euclidean,tasic-reads,logcounts,kpca-rbf,16,0.3572241224690999
euclidean,tasic-reads,logcounts,kpca-rbf,96,0.46281295762098273
euclidean,tasic-reads,logcounts,kpca-rbf,8,0.40343991958350117
euclidean,tasic-reads,logcounts,kpca-rbf,48,0.390547908000256
euclidean,tasic-reads,logcounts,isomap,4,0.7812273639745639
euclidean,tasic-reads,logcounts,isomap,32,0.8083405975590222
euclidean,tasic-reads,logcounts,isomap,2,0.7290123709901124
euclidean,tasic-reads,logcounts,isomap,16,0.7969411858086205
