metric,dataset,count,method,dimensions,rho
euclidean,tasic-rpkms,lognormcounts,spca,4,0.6814650968794895
euclidean,tasic-rpkms,lognormcounts,spca,32,0.6878706996572145
euclidean,tasic-rpkms,lognormcounts,spca,2,0.6702093614309477
euclidean,tasic-rpkms,lognormcounts,spca,16,0.6550615993413534
euclidean,tasic-rpkms,lognormcounts,spca,96,0.9081586198058003
euclidean,tasic-rpkms,lognormcounts,spca,8,0.6654539539345261
euclidean,tasic-rpkms,lognormcounts,spca,48,0.7497307910992125
euclidean,tasic-rpkms,lognormcounts,tsvd,4,0.6950535468610578
euclidean,tasic-rpkms,lognormcounts,tsvd,32,0.7234281782484567
euclidean,tasic-rpkms,lognormcounts,tsvd,2,0.6752671669257034
euclidean,tasic-rpkms,lognormcounts,tsvd,16,0.7040300851282788
euclidean,tasic-rpkms,lognormcounts,tsvd,96,0.8678896292661502
euclidean,tasic-rpkms,lognormcounts,tsvd,8,0.6925048906690783
euclidean,tasic-rpkms,lognormcounts,tsvd,48,0.7668338890626881
euclidean,tasic-rpkms,lognormcounts,spca-batch,4,0.663663691745438
euclidean,tasic-rpkms,lognormcounts,spca-batch,32,0.6372944750766496
euclidean,tasic-rpkms,lognormcounts,spca-batch,2,0.665619562605396
euclidean,tasic-rpkms,lognormcounts,spca-batch,16,0.6630454658523233
euclidean,tasic-rpkms,lognormcounts,spca-batch,96,0.7213068535277817
euclidean,tasic-rpkms,lognormcounts,spca-batch,8,0.6041573274081806
euclidean,tasic-rpkms,lognormcounts,spca-batch,48,0.6811046730804153
euclidean,tasic-rpkms,lognormcounts,nsnmf,4,0.07549653513543257
euclidean,tasic-rpkms,lognormcounts,nsnmf,32,0.13953520688504367
euclidean,tasic-rpkms,lognormcounts,nsnmf,2,0.29463418674923364
euclidean,tasic-rpkms,lognormcounts,nsnmf,16,0.11390481018165409
euclidean,tasic-rpkms,lognormcounts,nsnmf,96,0.23572061124255175
euclidean,tasic-rpkms,lognormcounts,nsnmf,8,0.08938656057946204
euclidean,tasic-rpkms,lognormcounts,nsnmf,48,0.27099368704687193
euclidean,tasic-rpkms,lognormcounts,vpac,4,0.6258253104775615
