metric,dataset,count,method,dimensions,rho
euclidean,treutlein,lognormcounts,spca,4,0.5972224080911579
euclidean,treutlein,lognormcounts,spca,32,0.5309688789154375
euclidean,treutlein,lognormcounts,spca,2,0.4608115643540795
euclidean,treutlein,lognormcounts,spca,16,0.6771684699338049
euclidean,treutlein,lognormcounts,spca,96,0.5147471763960697
euclidean,treutlein,lognormcounts,spca,8,0.6613405212948432
euclidean,treutlein,lognormcounts,spca,48,0.4329447198936505
euclidean,treutlein,lognormcounts,tsvd,4,0.6522352233121805
euclidean,treutlein,lognormcounts,tsvd,32,0.9546357072110686
euclidean,treutlein,lognormcounts,tsvd,2,0.4905755854956089
euclidean,treutlein,lognormcounts,tsvd,16,0.9160427283229312
euclidean,treutlein,lognormcounts,tsvd,96,1.0
euclidean,treutlein,lognormcounts,tsvd,8,0.8059586500392633
euclidean,treutlein,lognormcounts,tsvd,48,0.9423175858591933
euclidean,treutlein,lognormcounts,spca-batch,4,0.5293306611103815
euclidean,treutlein,lognormcounts,spca-batch,32,0.6705681463267658
euclidean,treutlein,lognormcounts,spca-batch,2,0.3213337124261003
euclidean,treutlein,lognormcounts,spca-batch,16,0.6684708970907992
euclidean,treutlein,lognormcounts,spca-batch,96,0.7453491509832171
euclidean,treutlein,lognormcounts,spca-batch,8,0.6001356156798874
euclidean,treutlein,lognormcounts,spca-batch,48,0.7069034266880646
euclidean,treutlein,lognormcounts,nsnmf,4,0.47632506800892066
euclidean,treutlein,lognormcounts,nsnmf,32,0.590609562527198
euclidean,treutlein,lognormcounts,nsnmf,2,0.37295506131798123
euclidean,treutlein,lognormcounts,nsnmf,16,0.7181214933448444
euclidean,treutlein,lognormcounts,nsnmf,96,0.7846251342254182
euclidean,treutlein,lognormcounts,nsnmf,8,0.5855947692043464
euclidean,treutlein,lognormcounts,nsnmf,48,0.6607845238941258
euclidean,treutlein,lognormcounts,vpac,4,0.4492488759645043
euclidean,treutlein,lognormcounts,vpac,32,0.8917909386370604
euclidean,treutlein,lognormcounts,vpac,2,0.5277341350183791
euclidean,treutlein,lognormcounts,vpac,16,0.7385058317419625
euclidean,treutlein,lognormcounts,vpac,8,0.5351818874614497
euclidean,treutlein,lognormcounts,vpac,48,0.8943014501005684
euclidean,treutlein,lognormcounts,umap,4,0.4114297959985847
euclidean,treutlein,lognormcounts,umap,32,0.45249576269215674
euclidean,treutlein,lognormcounts,umap,2,0.4459622975198482
