metric,dataset,count,method,dimensions,rho
euclidean,treutlein,normcounts,spca,4,0.6684263147865571
euclidean,treutlein,normcounts,spca,32,0.8238490467844262
euclidean,treutlein,normcounts,spca,2,0.5182527805127607
euclidean,treutlein,normcounts,spca,16,0.7881423989319931
euclidean,treutlein,normcounts,spca,96,0.9163372542418591
euclidean,treutlein,normcounts,spca,8,0.7436241062399532
euclidean,treutlein,normcounts,spca,48,0.7505933539193591
euclidean,treutlein,normcounts,tsvd,4,0.6795600306026024
euclidean,treutlein,normcounts,tsvd,32,0.9338254876543913
euclidean,treutlein,normcounts,tsvd,2,0.5061692103557828
euclidean,treutlein,normcounts,tsvd,16,0.9071314737061703
euclidean,treutlein,normcounts,tsvd,96,0.9999999996197055
euclidean,treutlein,normcounts,tsvd,8,0.7924121957144409
euclidean,treutlein,normcounts,tsvd,48,0.93165784856899
euclidean,treutlein,normcounts,spca-batch,4,0.5469060504158622
euclidean,treutlein,normcounts,spca-batch,32,0.6423195896309009
euclidean,treutlein,normcounts,spca-batch,2,0.4919763911502626
euclidean,treutlein,normcounts,spca-batch,16,0.7100187178289632
euclidean,treutlein,normcounts,spca-batch,96,0.7631892020610274
euclidean,treutlein,normcounts,spca-batch,8,0.6846465341573844
euclidean,treutlein,normcounts,spca-batch,48,0.7402997405931371
euclidean,treutlein,normcounts,nsnmf,4,0.4718058702920354
euclidean,treutlein,normcounts,nsnmf,32,0.6405373094248723
euclidean,treutlein,normcounts,nsnmf,2,0.2651275863129987
euclidean,treutlein,normcounts,nsnmf,16,0.591345698966398
euclidean,treutlein,normcounts,nsnmf,96,0.6995283123682111
euclidean,treutlein,normcounts,nsnmf,8,0.5282783322338449
euclidean,treutlein,normcounts,nsnmf,48,0.6566983165621367
euclidean,treutlein,normcounts,vpac,4,0.568134401871122
euclidean,treutlein,normcounts,vpac,32,0.8081769097449388
euclidean,treutlein,normcounts,vpac,2,nan
euclidean,treutlein,normcounts,vpac,16,0.7471734195047199
euclidean,treutlein,normcounts,vpac,8,0.4926103105132334
euclidean,treutlein,normcounts,vpac,48,0.8195961480076825
euclidean,treutlein,normcounts,umap,4,0.5624837823886888
euclidean,treutlein,normcounts,umap,32,0.6025267603065048
euclidean,treutlein,normcounts,umap,2,0.4740426761997675
euclidean,treutlein,normcounts,umap,16,0.5970768275545512
euclidean,treutlein,normcounts,umap,8,0.5938574110196347
euclidean,treutlein,normcounts,umap,48,0.5985561431067513
euclidean,treutlein,normcounts,kpca-sig,4,-0.07394631147556102
euclidean,treutlein,normcounts,kpca-sig,32,-0.3897794347817508
euclidean,treutlein,normcounts,kpca-sig,2,-0.02591367549927638
euclidean,treutlein,normcounts,kpca-sig,16,-0.28520235358027707
euclidean,treutlein,normcounts,kpca-sig,96,nan
euclidean,treutlein,normcounts,kpca-sig,8,-0.1306416891218208
euclidean,treutlein,normcounts,kpca-sig,48,-0.40762920276426795
euclidean,treutlein,normcounts,nmf2,4,0.6140027457338783
euclidean,treutlein,normcounts,nmf2,32,0.7030713869017455
euclidean,treutlein,normcounts,nmf2,2,0.29513293055354334
euclidean,treutlein,normcounts,nmf2,16,0.7181375238987996
euclidean,treutlein,normcounts,nmf2,96,0.6206717954019254
euclidean,treutlein,normcounts,nmf2,8,0.6361884361060769
euclidean,treutlein,normcounts,nmf2,48,0.5567065586847822
euclidean,treutlein,normcounts,srp,4,0.06591985954415992
euclidean,treutlein,normcounts,srp,32,0.41234268913700595
euclidean,treutlein,normcounts,srp,2,0.1477996128046785
euclidean,treutlein,normcounts,srp,16,0.41606909337985737
euclidean,treutlein,normcounts,srp,96,0.612294818806538
euclidean,treutlein,normcounts,srp,8,0.1782546769653611
euclidean,treutlein,normcounts,srp,48,0.5050948970346373
euclidean,treutlein,normcounts,psmf,4,0.4594323529618802
