metric,dataset,count,method,dimensions,rho
euclidean,xin,lognormcounts,spca,4,0.5106122590266855
euclidean,xin,lognormcounts,spca,32,0.7012193103429685
euclidean,xin,lognormcounts,spca,2,0.4636408915313245
euclidean,xin,lognormcounts,spca,16,0.6496870764010975
euclidean,xin,lognormcounts,spca,96,0.8557117854918685
euclidean,xin,lognormcounts,spca,8,0.5596176700149651
euclidean,xin,lognormcounts,spca,48,0.7651719269458617
euclidean,xin,lognormcounts,tsvd,4,0.5184059749296296
euclidean,xin,lognormcounts,tsvd,32,0.6812823422728854
euclidean,xin,lognormcounts,tsvd,2,0.48533076832593186
euclidean,xin,lognormcounts,tsvd,16,0.6130117179678697
euclidean,xin,lognormcounts,tsvd,96,0.8607030232165094
euclidean,xin,lognormcounts,tsvd,8,0.552448105895854
euclidean,xin,lognormcounts,tsvd,48,0.7419097747358079
euclidean,xin,lognormcounts,spca-batch,4,0.46328471931735926
euclidean,xin,lognormcounts,spca-batch,32,0.5935280606951253
euclidean,xin,lognormcounts,spca-batch,2,0.3059489463448113
euclidean,xin,lognormcounts,spca-batch,16,0.5606804086941702
euclidean,xin,lognormcounts,spca-batch,96,0.6038069791486451
euclidean,xin,lognormcounts,spca-batch,8,0.4753208306505102
euclidean,xin,lognormcounts,spca-batch,48,0.5640890682945748
euclidean,xin,lognormcounts,zifa,4,0.5032236786283637
euclidean,xin,lognormcounts,zifa,32,0.5614764061870953
euclidean,xin,lognormcounts,zifa,2,0.482039362573743
euclidean,xin,lognormcounts,zifa,16,0.5621905660179233
euclidean,xin,lognormcounts,zifa,8,0.5486460045159656
euclidean,xin,lognormcounts,zifa,48,0.5594881668336354
euclidean,xin,lognormcounts,nsnmf,4,0.15791617513555053
euclidean,xin,lognormcounts,nsnmf,32,0.3164095371483136
euclidean,xin,lognormcounts,nsnmf,2,0.1777069241355012
euclidean,xin,lognormcounts,nsnmf,16,0.2091065475075647
euclidean,xin,lognormcounts,nsnmf,96,0.3508641571193337
euclidean,xin,lognormcounts,nsnmf,8,0.17062883515572033
euclidean,xin,lognormcounts,nsnmf,48,0.3040586360494538
euclidean,xin,lognormcounts,vpac,4,0.45183393785297105
euclidean,xin,lognormcounts,vpac,32,0.506952190995993
euclidean,xin,lognormcounts,vpac,2,0.469949289705417
euclidean,xin,lognormcounts,vpac,16,0.43279734018367777
euclidean,xin,lognormcounts,vpac,96,0.5285352651868023
euclidean,xin,lognormcounts,vpac,8,0.4497361868886029
euclidean,xin,lognormcounts,vpac,48,0.5036422522388575
euclidean,xin,lognormcounts,umap,4,0.2991675474250639
euclidean,xin,lognormcounts,umap,32,0.30489585058958785
euclidean,xin,lognormcounts,umap,2,0.25085005891588
euclidean,xin,lognormcounts,umap,16,0.3016548531380179
euclidean,xin,lognormcounts,umap,96,0.30569022587105965
euclidean,xin,lognormcounts,umap,8,0.30204381775113076
euclidean,xin,lognormcounts,umap,48,0.30600994688639427
euclidean,xin,lognormcounts,kpca-sig,4,0.4905983163227118
euclidean,xin,lognormcounts,kpca-sig,32,0.48690577742120894
euclidean,xin,lognormcounts,kpca-sig,2,0.46290264035996775
euclidean,xin,lognormcounts,kpca-sig,16,0.511429817929732
euclidean,xin,lognormcounts,kpca-sig,96,0.3921608134704513
euclidean,xin,lognormcounts,kpca-sig,8,0.48692385346874606
euclidean,xin,lognormcounts,kpca-sig,48,0.4605274950209929
euclidean,xin,lognormcounts,nmf2,4,0.1845024367931366
euclidean,xin,lognormcounts,nmf2,32,0.376971108362315
euclidean,xin,lognormcounts,nmf2,2,0.2033398405896218
euclidean,xin,lognormcounts,nmf2,16,0.2703495441983501
euclidean,xin,lognormcounts,nmf2,96,0.4712719798551237
euclidean,xin,lognormcounts,nmf2,8,0.26527141365733153
