metric,dataset,count,method,dimensions,rho
euclidean,yan,normcounts,spca,4,0.9724749494196447
euclidean,yan,normcounts,spca,32,0.9929742939049204
euclidean,yan,normcounts,spca,2,0.863689064389699
euclidean,yan,normcounts,spca,16,0.9917769538450876
euclidean,yan,normcounts,spca,96,0.9956091656944873
euclidean,yan,normcounts,spca,8,0.9896839268181132
euclidean,yan,normcounts,spca,48,0.9926787844327266
euclidean,yan,normcounts,tsvd,4,0.9572739059161111
euclidean,yan,normcounts,tsvd,32,0.9999519776186236
euclidean,yan,normcounts,tsvd,2,0.8328442733834647
euclidean,yan,normcounts,tsvd,16,0.9990250242949846
euclidean,yan,normcounts,tsvd,96,1.0
euclidean,yan,normcounts,tsvd,8,0.9953315248198766
euclidean,yan,normcounts,tsvd,48,0.9999846111543736
euclidean,yan,normcounts,spca-batch,4,0.8725298962398371
euclidean,yan,normcounts,spca-batch,32,0.6814327480407013
euclidean,yan,normcounts,spca-batch,2,0.5640921739885654
euclidean,yan,normcounts,spca-batch,16,0.7913453985491996
euclidean,yan,normcounts,spca-batch,96,0.5329720234795207
euclidean,yan,normcounts,spca-batch,8,0.7535022878098154
euclidean,yan,normcounts,spca-batch,48,0.654713575003365
euclidean,yan,normcounts,zifa,4,0.48142823031557347
euclidean,yan,normcounts,zifa,32,0.1858763630493676
euclidean,yan,normcounts,zifa,2,0.35108108284355155
euclidean,yan,normcounts,zifa,16,0.3612740489963981
euclidean,yan,normcounts,zifa,8,0.36582219689805506
euclidean,yan,normcounts,zifa,48,0.09239551027150528
euclidean,yan,normcounts,nsnmf,4,0.6019740598294117
euclidean,yan,normcounts,nsnmf,32,0.8177276682827347
euclidean,yan,normcounts,nsnmf,2,0.6243652495791142
euclidean,yan,normcounts,nsnmf,16,0.7449910055613861
euclidean,yan,normcounts,nsnmf,96,0.6553383848878809
euclidean,yan,normcounts,nsnmf,8,0.5983852057000761
euclidean,yan,normcounts,nsnmf,48,0.6990302828635218
euclidean,yan,normcounts,vpac,4,0.7301427111167557
euclidean,yan,normcounts,vpac,32,0.7164929176855108
euclidean,yan,normcounts,vpac,2,0.6040864277551107
euclidean,yan,normcounts,vpac,16,0.7544503564782136
euclidean,yan,normcounts,vpac,8,0.7355762089223695
euclidean,yan,normcounts,vpac,48,0.6899109945759073
euclidean,yan,normcounts,umap,4,0.6155018231257805
euclidean,yan,normcounts,umap,32,0.6134324255664717
euclidean,yan,normcounts,umap,2,0.6285907726914757
euclidean,yan,normcounts,umap,16,0.6022115903658758
euclidean,yan,normcounts,umap,8,0.6284952720731637
euclidean,yan,normcounts,umap,48,0.6118266017108764
euclidean,yan,normcounts,kpca-sig,4,nan
euclidean,yan,normcounts,kpca-sig,32,nan
euclidean,yan,normcounts,kpca-sig,2,nan
euclidean,yan,normcounts,kpca-sig,16,nan
euclidean,yan,normcounts,kpca-sig,96,nan
euclidean,yan,normcounts,kpca-sig,8,nan
euclidean,yan,normcounts,kpca-sig,48,nan
euclidean,yan,normcounts,nmf2,4,0.910406994618318
euclidean,yan,normcounts,nmf2,32,0.8986325911724332
euclidean,yan,normcounts,nmf2,2,0.7442690592628607
euclidean,yan,normcounts,nmf2,16,0.9222627781996595
euclidean,yan,normcounts,nmf2,96,0.8696255718940792
