metric,dataset,count,method,dimensions,rho
euclidean,zeisel,logcounts,spca,4,0.8322462902257843
euclidean,zeisel,logcounts,spca,32,0.8559208258649333
euclidean,zeisel,logcounts,spca,2,0.8540319730143302
euclidean,zeisel,logcounts,spca,16,0.8643014570937323
euclidean,zeisel,logcounts,spca,96,0.8139364026588289
euclidean,zeisel,logcounts,spca,8,0.8657049766986228
euclidean,zeisel,logcounts,spca,48,0.8492334165152331
euclidean,zeisel,logcounts,tsvd,4,0.8832612769150162
euclidean,zeisel,logcounts,tsvd,32,0.9155389758210775
euclidean,zeisel,logcounts,tsvd,2,0.8528544912718989
euclidean,zeisel,logcounts,tsvd,16,0.9098564559801346
euclidean,zeisel,logcounts,tsvd,96,0.9397065463266006
euclidean,zeisel,logcounts,tsvd,8,0.8961177691491478
euclidean,zeisel,logcounts,tsvd,48,0.9219342122559478
euclidean,zeisel,logcounts,spca-batch,4,0.883665971947381
euclidean,zeisel,logcounts,spca-batch,32,0.7521682101473218
euclidean,zeisel,logcounts,spca-batch,2,0.8146529423878164
euclidean,zeisel,logcounts,spca-batch,16,0.6333317363571894
euclidean,zeisel,logcounts,spca-batch,96,0.7303688302387397
euclidean,zeisel,logcounts,spca-batch,8,0.8466038889760027
euclidean,zeisel,logcounts,spca-batch,48,0.8002124082066194
euclidean,zeisel,logcounts,zifa,4,0.49624067899922797
euclidean,zeisel,logcounts,zifa,2,0.6497699471216719
euclidean,zeisel,logcounts,zifa,16,0.5197615185790038
euclidean,zeisel,logcounts,zifa,8,0.5204150881425355
euclidean,zeisel,logcounts,zifa,48,0.5209174062753844
euclidean,zeisel,logcounts,nsnmf,4,0.4324527436601582
euclidean,zeisel,logcounts,nsnmf,32,0.6433262427246645
euclidean,zeisel,logcounts,nsnmf,2,0.5925905412748597
euclidean,zeisel,logcounts,nsnmf,16,0.5998472312890728
euclidean,zeisel,logcounts,nsnmf,96,0.6008745982602706
euclidean,zeisel,logcounts,nsnmf,8,0.4607545329823026
euclidean,zeisel,logcounts,nsnmf,48,0.6022362368043354
euclidean,zeisel,logcounts,vpac,4,0.8212120844747252
euclidean,zeisel,logcounts,vpac,32,0.8304568174343905
euclidean,zeisel,logcounts,vpac,2,0.8032962104288095
euclidean,zeisel,logcounts,vpac,16,0.7912544381077383
euclidean,zeisel,logcounts,vpac,96,0.8591023461920908
euclidean,zeisel,logcounts,vpac,8,0.7776257080017347
euclidean,zeisel,logcounts,vpac,48,0.8503370602200625
euclidean,zeisel,logcounts,umap,4,0.7959764723540447
euclidean,zeisel,logcounts,umap,32,0.8157833840666031
euclidean,zeisel,logcounts,umap,2,0.625019803601669
euclidean,zeisel,logcounts,umap,16,0.8173434138571607
euclidean,zeisel,logcounts,umap,96,0.81100731499265
euclidean,zeisel,logcounts,umap,8,0.8094273807576843
euclidean,zeisel,logcounts,umap,48,0.8210383397205433
euclidean,zeisel,logcounts,kpca-sig,4,0.5624563116865499
euclidean,zeisel,logcounts,kpca-sig,32,0.5661210266509967
euclidean,zeisel,logcounts,kpca-sig,2,0.5370313833986182
euclidean,zeisel,logcounts,kpca-sig,16,0.5738839584273633
euclidean,zeisel,logcounts,kpca-sig,96,0.5449139312253072
euclidean,zeisel,logcounts,kpca-sig,8,0.5764075186942179
euclidean,zeisel,logcounts,kpca-sig,48,0.5600111169576156
euclidean,zeisel,logcounts,nmf2,4,0.7593390274142631
euclidean,zeisel,logcounts,nmf2,32,0.7453211098591737
euclidean,zeisel,logcounts,nmf2,2,0.8024122108895324
euclidean,zeisel,logcounts,nmf2,16,0.6817913039062237
euclidean,zeisel,logcounts,nmf2,96,0.7625688282056222
euclidean,zeisel,logcounts,nmf2,8,0.7209947085887369
euclidean,zeisel,logcounts,nmf2,48,0.7224859719195145
euclidean,zeisel,logcounts,srp,4,0.22147651671925347
euclidean,zeisel,logcounts,srp,32,0.5445033422707907
euclidean,zeisel,logcounts,srp,2,0.11393366970845005
euclidean,zeisel,logcounts,srp,16,0.362131811790834
euclidean,zeisel,logcounts,srp,96,0.732843087167898
euclidean,zeisel,logcounts,srp,8,0.3397898511536558
euclidean,zeisel,logcounts,srp,48,0.6430394760506059
euclidean,zeisel,logcounts,psmf,4,0.8628485078887511
euclidean,zeisel,logcounts,psmf,32,0.8649927119255869
euclidean,zeisel,logcounts,psmf,2,0.8332981471434259
euclidean,zeisel,logcounts,psmf,16,0.8307586866711314
euclidean,zeisel,logcounts,psmf,96,0.90128262594188
euclidean,zeisel,logcounts,psmf,8,0.8460702269897918
euclidean,zeisel,logcounts,psmf,48,0.8677577205578981
euclidean,zeisel,logcounts,fica,4,0.6079949130069439
euclidean,zeisel,logcounts,fica,32,0.29451347252213
euclidean,zeisel,logcounts,fica,2,0.7397148001243747
euclidean,zeisel,logcounts,fica,16,0.4164592308081262
euclidean,zeisel,logcounts,fica,96,0.24169889654115076
euclidean,zeisel,logcounts,fica,8,0.5286097927932751
euclidean,zeisel,logcounts,fica,48,0.26567012005834256
euclidean,zeisel,logcounts,lle,4,0.4844606746524457
euclidean,zeisel,logcounts,lle,32,0.0695163538015346
euclidean,zeisel,logcounts,lle,2,0.22495076713266493
euclidean,zeisel,logcounts,lle,16,0.17187236413967816
euclidean,zeisel,logcounts,lle,96,-0.03124973446488829
euclidean,zeisel,logcounts,lle,8,0.3331908606083447
euclidean,zeisel,logcounts,lle,48,0.04771257985304415
euclidean,zeisel,logcounts,lsnmf,4,0.7674212102157625
euclidean,zeisel,logcounts,lsnmf,32,0.7574434819131687
euclidean,zeisel,logcounts,lsnmf,2,0.7931651901265091
euclidean,zeisel,logcounts,lsnmf,16,0.6667461094300215
euclidean,zeisel,logcounts,lsnmf,96,0.656947820241128
euclidean,zeisel,logcounts,lsnmf,8,0.6911985602634874
euclidean,zeisel,logcounts,lsnmf,48,0.4933356005972504
euclidean,zeisel,logcounts,phate,4,0.7540587341260762
euclidean,zeisel,logcounts,phate,32,0.7683761836245825
euclidean,zeisel,logcounts,phate,2,0.7677975349762938
euclidean,zeisel,logcounts,phate,16,0.7597756782609576
euclidean,zeisel,logcounts,phate,96,0.7652133914106423
euclidean,zeisel,logcounts,phate,8,0.7593052708426982
euclidean,zeisel,logcounts,phate,48,0.7623004371192248
euclidean,zeisel,logcounts,kpca-rbf,4,0.5703722272891913
euclidean,zeisel,logcounts,kpca-rbf,32,0.41145685781617175
euclidean,zeisel,logcounts,kpca-rbf,2,0.6354763647994699
euclidean,zeisel,logcounts,kpca-rbf,16,0.4898141526260293
euclidean,zeisel,logcounts,kpca-rbf,96,0.33119289783033773
euclidean,zeisel,logcounts,kpca-rbf,8,0.5215837909756819
euclidean,zeisel,logcounts,kpca-rbf,48,0.37755170194923354
euclidean,zeisel,logcounts,isomap,4,0.8187720255906247
euclidean,zeisel,logcounts,isomap,32,0.7791878661123478
euclidean,zeisel,logcounts,isomap,2,0.8155023677483837
euclidean,zeisel,logcounts,isomap,16,0.7951781301830004
euclidean,zeisel,logcounts,isomap,96,0.7346915599322021
euclidean,zeisel,logcounts,isomap,8,0.8070987835632533
euclidean,zeisel,logcounts,isomap,48,0.7655826397690597
euclidean,zeisel,logcounts,saucie,4,-0.0019030411675610547
euclidean,zeisel,logcounts,saucie,32,-0.0013811318859529593
euclidean,zeisel,logcounts,saucie,2,-0.006459965375397125
euclidean,zeisel,logcounts,saucie,16,0.007096941427852009
euclidean,zeisel,logcounts,saucie,96,0.003761485632438093
euclidean,zeisel,logcounts,saucie,8,-0.004432364043333354
euclidean,zeisel,logcounts,saucie,48,0.006117280027520972
euclidean,zeisel,logcounts,bd,4,0.6001230308270644
euclidean,zeisel,logcounts,bd,32,0.48181634341114815
euclidean,zeisel,logcounts,bd,2,0.8183837379284165
euclidean,zeisel,logcounts,bd,16,0.37812979405707947
euclidean,zeisel,logcounts,bd,96,0.19083928970749173
euclidean,zeisel,logcounts,bd,8,0.41188300504242437
euclidean,zeisel,logcounts,bd,48,0.32258458075439445
euclidean,zeisel,logcounts,lda,4,0.6271431837761113
euclidean,zeisel,logcounts,lda,32,0.48047188363603854
euclidean,zeisel,logcounts,lda,2,0.7633863800174149
euclidean,zeisel,logcounts,lda,16,0.5486300831462279
euclidean,zeisel,logcounts,lda,96,0.3631765980867025
euclidean,zeisel,logcounts,lda,8,0.5756575139619342
euclidean,zeisel,logcounts,lda,48,0.45580213931823194
euclidean,zeisel,logcounts,spectral,4,0.46513214907921147
euclidean,zeisel,logcounts,spectral,32,0.19200597672824743
euclidean,zeisel,logcounts,spectral,2,0.6931068533157929
euclidean,zeisel,logcounts,spectral,16,0.24600961769189783
euclidean,zeisel,logcounts,spectral,96,0.13404276124180725
euclidean,zeisel,logcounts,spectral,8,0.31444560403003674
euclidean,zeisel,logcounts,spectral,48,0.17075563496515286
euclidean,zeisel,logcounts,grp,4,0.11510326832768991
euclidean,zeisel,logcounts,grp,32,0.5607948889774175
euclidean,zeisel,logcounts,grp,2,0.28130706522371973
euclidean,zeisel,logcounts,grp,16,0.3970225001540489
euclidean,zeisel,logcounts,grp,96,0.7609265265345275
euclidean,zeisel,logcounts,grp,8,0.21915036106939054
euclidean,zeisel,logcounts,grp,48,0.6005950640961378
euclidean,zeisel,logcounts,fa,4,0.647256130068564
euclidean,zeisel,logcounts,fa,32,0.3713026137435926
euclidean,zeisel,logcounts,fa,2,0.7443671630385347
euclidean,zeisel,logcounts,fa,16,0.4559666126953078
euclidean,zeisel,logcounts,fa,96,0.29314419694487953
euclidean,zeisel,logcounts,fa,8,0.5204176182056629
euclidean,zeisel,logcounts,fa,48,0.3607670152131474
euclidean,zeisel,logcounts,mctsne,4,0.8099585832766694
euclidean,zeisel,logcounts,mctsne,32,nan
euclidean,zeisel,logcounts,mctsne,2,0.7463011416789885
euclidean,zeisel,logcounts,mctsne,96,nan
euclidean,zeisel,logcounts,mctsne,8,0.8100532840940161
euclidean,zeisel,logcounts,mctsne,48,nan
euclidean,zeisel,logcounts,nmf,4,0.7548281503515837
euclidean,zeisel,logcounts,nmf,32,0.4516424897235512
euclidean,zeisel,logcounts,nmf,2,0.7660176403471449
euclidean,zeisel,logcounts,nmf,16,0.5378761862838943
euclidean,zeisel,logcounts,nmf,96,0.31571779025110125
euclidean,zeisel,logcounts,nmf,8,0.6125445131510856
euclidean,zeisel,logcounts,nmf,48,0.3672337863973765
euclidean,zeisel,logcounts,kpca-pol,4,0.6671857669803757
euclidean,zeisel,logcounts,kpca-pol,32,0.6166501702846512
euclidean,zeisel,logcounts,kpca-pol,2,0.6997212490559165
euclidean,zeisel,logcounts,kpca-pol,16,0.6480189831867953
euclidean,zeisel,logcounts,kpca-pol,96,0.5251603288216798
euclidean,zeisel,logcounts,kpca-pol,8,0.6694624241048089
euclidean,zeisel,logcounts,kpca-pol,48,0.5924006037750162
euclidean,zeisel,logcounts,vasc,4,0.6481364141609729
euclidean,zeisel,logcounts,vasc,32,0.46820469654110214
euclidean,zeisel,logcounts,vasc,2,0.7106545620121287
euclidean,zeisel,logcounts,vasc,16,0.48868863500407056
euclidean,zeisel,logcounts,vasc,96,nan
euclidean,zeisel,logcounts,vasc,8,0.4298900495098004
euclidean,zeisel,logcounts,vasc,48,nan
euclidean,zeisel,logcounts,kpca-cos,4,0.8408609730208272
euclidean,zeisel,logcounts,kpca-cos,32,0.8588395084648255
euclidean,zeisel,logcounts,kpca-cos,2,0.8266212810871658
euclidean,zeisel,logcounts,kpca-cos,16,0.8648861505570743
euclidean,zeisel,logcounts,kpca-cos,96,0.8035806668918132
euclidean,zeisel,logcounts,kpca-cos,8,0.8631383435394968
euclidean,zeisel,logcounts,kpca-cos,48,0.8505199613927431
euclidean,zeisel,logcounts,pca,4,0.8760288092100145
euclidean,zeisel,logcounts,pca,32,0.9156480601660496
euclidean,zeisel,logcounts,pca,2,0.8551139463567472
euclidean,zeisel,logcounts,pca,16,0.9104403971669035
euclidean,zeisel,logcounts,pca,96,0.941138248170571
euclidean,zeisel,logcounts,pca,8,0.9038792725391449
euclidean,zeisel,logcounts,pca,48,0.9218017830826545
euclidean,zeisel,logcounts,pmf,4,0.7667549369772166
euclidean,zeisel,logcounts,pmf,32,0.71550484290174
euclidean,zeisel,logcounts,pmf,2,0.8044049819556232
euclidean,zeisel,logcounts,pmf,16,0.7479342546084848
euclidean,zeisel,logcounts,pmf,96,0.6663679394986921
euclidean,zeisel,logcounts,pmf,8,0.7634879053675011
euclidean,zeisel,logcounts,pmf,48,0.702368233823841
euclidean,zeisel,logcounts,snmf,4,0.7543002797616114
euclidean,zeisel,logcounts,snmf,32,0.3191730965159056
euclidean,zeisel,logcounts,snmf,2,0.7899167207063028
euclidean,zeisel,logcounts,snmf,16,0.5614196157722966
euclidean,zeisel,logcounts,snmf,96,0.27545459095327873
euclidean,zeisel,logcounts,snmf,8,0.6444609965991104
euclidean,zeisel,logcounts,snmf,48,0.36529318344653094
euclidean,zeisel,logcounts,ipca,4,0.876028814538112
euclidean,zeisel,logcounts,ipca,32,0.9155712967526448
euclidean,zeisel,logcounts,ipca,2,0.8551139463430625
euclidean,zeisel,logcounts,ipca,16,0.9104358616733881
euclidean,zeisel,logcounts,ipca,96,0.9418463869038064
euclidean,zeisel,logcounts,ipca,8,0.9038791520336913
euclidean,zeisel,logcounts,ipca,48,0.921407238644976
euclidean,zeisel,logcounts,icm,4,0.8047031244667767
euclidean,zeisel,logcounts,icm,32,0.47222588068522375
euclidean,zeisel,logcounts,icm,2,0.8031360852378693
euclidean,zeisel,logcounts,icm,16,0.5311998878237154
euclidean,zeisel,logcounts,icm,96,0.24469204201035039
euclidean,zeisel,logcounts,icm,8,0.599426703382519
euclidean,zeisel,logcounts,icm,48,0.437208851866374
euclidean,zeisel,logcounts,ivis,4,0.5991309718199997
euclidean,zeisel,logcounts,ivis,32,0.5988451138602519
euclidean,zeisel,logcounts,ivis,2,0.5432042919289459
euclidean,zeisel,logcounts,ivis,16,0.547505851014972
euclidean,zeisel,logcounts,ivis,96,0.6494893995442372
euclidean,zeisel,logcounts,ivis,8,0.5799097125510172
euclidean,zeisel,logcounts,ivis,48,0.5936859204695146
