metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Bladder_10X,counts,spca,4,0.3425205308793432
seuclidean,TabulaMuris_Bladder_10X,counts,spca,32,0.657836221113191
seuclidean,TabulaMuris_Bladder_10X,counts,spca,2,0.18758769491960067
seuclidean,TabulaMuris_Bladder_10X,counts,spca,16,0.5701441762535143
seuclidean,TabulaMuris_Bladder_10X,counts,spca,96,0.7693616522779071
seuclidean,TabulaMuris_Bladder_10X,counts,spca,8,0.5461244294498913
seuclidean,TabulaMuris_Bladder_10X,counts,spca,48,0.7027976999308025
seuclidean,TabulaMuris_Bladder_10X,counts,tsvd,4,0.33177793452128546
seuclidean,TabulaMuris_Bladder_10X,counts,tsvd,32,0.6493745453926908
seuclidean,TabulaMuris_Bladder_10X,counts,tsvd,2,0.18731414921770168
seuclidean,TabulaMuris_Bladder_10X,counts,tsvd,16,0.5504005826196907
seuclidean,TabulaMuris_Bladder_10X,counts,tsvd,96,0.7511200491091717
seuclidean,TabulaMuris_Bladder_10X,counts,tsvd,8,0.5128279156962605
seuclidean,TabulaMuris_Bladder_10X,counts,tsvd,48,0.6958645986017373
seuclidean,TabulaMuris_Bladder_10X,counts,spca-batch,4,0.32626939551333456
seuclidean,TabulaMuris_Bladder_10X,counts,spca-batch,32,0.6099505291151202
seuclidean,TabulaMuris_Bladder_10X,counts,spca-batch,2,0.14720997423060667
seuclidean,TabulaMuris_Bladder_10X,counts,spca-batch,16,0.5643643396217051
seuclidean,TabulaMuris_Bladder_10X,counts,spca-batch,96,0.6547918991570246
seuclidean,TabulaMuris_Bladder_10X,counts,spca-batch,8,0.4850493950302269
seuclidean,TabulaMuris_Bladder_10X,counts,spca-batch,48,0.5833969258288874
seuclidean,TabulaMuris_Bladder_10X,counts,zifa,4,0.577870629988936
seuclidean,TabulaMuris_Bladder_10X,counts,zifa,32,0.6454678236082939
seuclidean,TabulaMuris_Bladder_10X,counts,zifa,2,0.3328468408223453
seuclidean,TabulaMuris_Bladder_10X,counts,zifa,16,0.5984748091011045
seuclidean,TabulaMuris_Bladder_10X,counts,zifa,8,0.6071197196834939
seuclidean,TabulaMuris_Bladder_10X,counts,zifa,48,0.6962089942280101
seuclidean,TabulaMuris_Bladder_10X,counts,nsnmf,4,0.04723905631098535
seuclidean,TabulaMuris_Bladder_10X,counts,nsnmf,32,0.23178412652101604
seuclidean,TabulaMuris_Bladder_10X,counts,nsnmf,2,0.1089408136949799
seuclidean,TabulaMuris_Bladder_10X,counts,nsnmf,16,0.19580673764107412
seuclidean,TabulaMuris_Bladder_10X,counts,nsnmf,96,0.2818953147840905
seuclidean,TabulaMuris_Bladder_10X,counts,nsnmf,8,0.21537087798058976
seuclidean,TabulaMuris_Bladder_10X,counts,nsnmf,48,0.24100338206307068
seuclidean,TabulaMuris_Bladder_10X,counts,vpac,4,0.2913901741401557
seuclidean,TabulaMuris_Bladder_10X,counts,vpac,32,0.48411392096957656
seuclidean,TabulaMuris_Bladder_10X,counts,vpac,2,0.10948414611184164
seuclidean,TabulaMuris_Bladder_10X,counts,vpac,16,0.194441783359793
