metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Bladder_FACS,counts,spca,4,-0.21844757013108104
seuclidean,TabulaMuris_Bladder_FACS,counts,spca,32,-0.15499787575133211
seuclidean,TabulaMuris_Bladder_FACS,counts,spca,2,-0.1505099813071599
seuclidean,TabulaMuris_Bladder_FACS,counts,spca,16,-0.2069477398348792
seuclidean,TabulaMuris_Bladder_FACS,counts,spca,96,0.042686263915871485
seuclidean,TabulaMuris_Bladder_FACS,counts,spca,8,-0.27862958730899273
seuclidean,TabulaMuris_Bladder_FACS,counts,spca,48,-0.11236740375530131
seuclidean,TabulaMuris_Bladder_FACS,counts,tsvd,4,-0.2732264495424258
seuclidean,TabulaMuris_Bladder_FACS,counts,tsvd,32,-0.15430191528229556
seuclidean,TabulaMuris_Bladder_FACS,counts,tsvd,2,-0.17646019745503735
seuclidean,TabulaMuris_Bladder_FACS,counts,tsvd,16,-0.19246947429973263
seuclidean,TabulaMuris_Bladder_FACS,counts,tsvd,96,0.002861010170665366
seuclidean,TabulaMuris_Bladder_FACS,counts,tsvd,8,-0.2503711805525455
seuclidean,TabulaMuris_Bladder_FACS,counts,tsvd,48,-0.13160740865084367
seuclidean,TabulaMuris_Bladder_FACS,counts,spca-batch,4,-0.08652466921973123
seuclidean,TabulaMuris_Bladder_FACS,counts,spca-batch,32,-0.18214258588067783
seuclidean,TabulaMuris_Bladder_FACS,counts,spca-batch,2,-0.2255557859664509
seuclidean,TabulaMuris_Bladder_FACS,counts,spca-batch,16,-0.14609679371619785
seuclidean,TabulaMuris_Bladder_FACS,counts,spca-batch,96,-0.11969101567404812
seuclidean,TabulaMuris_Bladder_FACS,counts,spca-batch,8,0.030722537116435845
seuclidean,TabulaMuris_Bladder_FACS,counts,spca-batch,48,-0.11591963843966928
seuclidean,TabulaMuris_Bladder_FACS,counts,zifa,4,0.09395757916927454
seuclidean,TabulaMuris_Bladder_FACS,counts,zifa,32,0.5516299051744424
seuclidean,TabulaMuris_Bladder_FACS,counts,zifa,2,-0.11601870392581203
seuclidean,TabulaMuris_Bladder_FACS,counts,zifa,16,0.4181650216700439
seuclidean,TabulaMuris_Bladder_FACS,counts,zifa,8,0.2636245208114913
seuclidean,TabulaMuris_Bladder_FACS,counts,zifa,48,0.6470744144002991
seuclidean,TabulaMuris_Bladder_FACS,counts,nsnmf,4,-0.14048405091067384
seuclidean,TabulaMuris_Bladder_FACS,counts,nsnmf,32,0.2477473886007138
seuclidean,TabulaMuris_Bladder_FACS,counts,nsnmf,2,-0.2826752916835091
seuclidean,TabulaMuris_Bladder_FACS,counts,nsnmf,16,0.06425852342303202
seuclidean,TabulaMuris_Bladder_FACS,counts,nsnmf,96,0.3948300941140784
seuclidean,TabulaMuris_Bladder_FACS,counts,nsnmf,8,0.13293987110153566
seuclidean,TabulaMuris_Bladder_FACS,counts,nsnmf,48,0.30817632512334325
seuclidean,TabulaMuris_Bladder_FACS,counts,vpac,4,-0.21815158455770367
seuclidean,TabulaMuris_Bladder_FACS,counts,vpac,32,0.5595185147600833
seuclidean,TabulaMuris_Bladder_FACS,counts,vpac,2,-0.27175160918031327
seuclidean,TabulaMuris_Bladder_FACS,counts,vpac,16,0.3408765311811711
seuclidean,TabulaMuris_Bladder_FACS,counts,vpac,96,0.6231146598896594
seuclidean,TabulaMuris_Bladder_FACS,counts,vpac,8,0.05181775019749981
seuclidean,TabulaMuris_Bladder_FACS,counts,vpac,48,0.6022462726097573
seuclidean,TabulaMuris_Bladder_FACS,counts,umap,4,0.039271586949687326
seuclidean,TabulaMuris_Bladder_FACS,counts,umap,32,0.023754815720697955
seuclidean,TabulaMuris_Bladder_FACS,counts,umap,2,-0.14520675387870002
seuclidean,TabulaMuris_Bladder_FACS,counts,umap,16,-0.013614566191397372
seuclidean,TabulaMuris_Bladder_FACS,counts,umap,96,-0.09054310636935364
seuclidean,TabulaMuris_Bladder_FACS,counts,umap,8,-0.0008531647511903876
seuclidean,TabulaMuris_Bladder_FACS,counts,umap,48,-0.037481831367512417
seuclidean,TabulaMuris_Bladder_FACS,counts,kpca-sig,4,nan
