metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca,4,0.2668646347263209
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca,32,0.3340596897842257
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca,2,0.15012166621245057
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca,16,0.32325506302486534
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca,96,0.4766738461073296
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca,8,0.2870074153359835
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca,48,0.3900827804353113
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,tsvd,4,0.18997338590999144
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,tsvd,32,0.3290093313836518
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,tsvd,2,0.13925692621093
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,tsvd,16,0.2841310936029711
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,tsvd,96,0.4755332224619603
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,tsvd,8,0.271779533508565
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,tsvd,48,0.39109647190173674
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca-batch,4,0.22477610990282074
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca-batch,32,0.3030462051215766
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca-batch,2,0.11113679966013738
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca-batch,16,0.28993895349035914
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca-batch,96,0.36797456190643535
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca-batch,8,0.21839088591253403
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,spca-batch,48,0.30320494056789565
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,zifa,4,0.35216888350009573
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,zifa,32,0.4017068107425198
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,zifa,2,0.3683458906296901
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,zifa,16,0.3844624088018202
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,zifa,8,0.3901467596717988
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,nsnmf,4,0.2078007103842692
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,nsnmf,32,0.3939188124152808
seuclidean,TabulaMuris_Brain_Microglia_FACS,counts,nsnmf,2,0.1559501848383686
