metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Colon_FACS,logcounts,spca,4,0.26665567005245655
seuclidean,TabulaMuris_Colon_FACS,logcounts,spca,32,0.3073712500726594
seuclidean,TabulaMuris_Colon_FACS,logcounts,spca,2,0.2897248801324345
seuclidean,TabulaMuris_Colon_FACS,logcounts,spca,16,0.3115618407412768
seuclidean,TabulaMuris_Colon_FACS,logcounts,spca,96,0.2872999712569798
seuclidean,TabulaMuris_Colon_FACS,logcounts,spca,8,0.24006691167096697
seuclidean,TabulaMuris_Colon_FACS,logcounts,spca,48,0.33521283332089896
seuclidean,TabulaMuris_Colon_FACS,logcounts,tsvd,4,0.21946924767049955
seuclidean,TabulaMuris_Colon_FACS,logcounts,tsvd,32,0.21819265345259656
seuclidean,TabulaMuris_Colon_FACS,logcounts,tsvd,2,0.34557736728860056
seuclidean,TabulaMuris_Colon_FACS,logcounts,tsvd,16,0.24458578422591545
seuclidean,TabulaMuris_Colon_FACS,logcounts,tsvd,96,0.161384174191938
seuclidean,TabulaMuris_Colon_FACS,logcounts,tsvd,8,0.17400489862554855
seuclidean,TabulaMuris_Colon_FACS,logcounts,tsvd,48,0.20042053376054847
seuclidean,TabulaMuris_Colon_FACS,logcounts,spca-batch,4,0.3100019151647141
seuclidean,TabulaMuris_Colon_FACS,logcounts,spca-batch,32,0.2728807353226707
seuclidean,TabulaMuris_Colon_FACS,logcounts,spca-batch,2,0.3184998734181721
seuclidean,TabulaMuris_Colon_FACS,logcounts,spca-batch,16,0.16204267256513522
seuclidean,TabulaMuris_Colon_FACS,logcounts,spca-batch,96,0.20417733422872214
seuclidean,TabulaMuris_Colon_FACS,logcounts,spca-batch,8,0.266345584282784
seuclidean,TabulaMuris_Colon_FACS,logcounts,spca-batch,48,0.1216962224395685
seuclidean,TabulaMuris_Colon_FACS,logcounts,zifa,4,0.15106322240355205
seuclidean,TabulaMuris_Colon_FACS,logcounts,zifa,2,0.2555942850950316
seuclidean,TabulaMuris_Colon_FACS,logcounts,zifa,16,0.16634038363065753
seuclidean,TabulaMuris_Colon_FACS,logcounts,zifa,8,0.121385079567682
seuclidean,TabulaMuris_Colon_FACS,logcounts,nsnmf,4,0.23659397939204466
seuclidean,TabulaMuris_Colon_FACS,logcounts,nsnmf,32,0.3404548321154636
seuclidean,TabulaMuris_Colon_FACS,logcounts,nsnmf,2,0.25577492383626005
seuclidean,TabulaMuris_Colon_FACS,logcounts,nsnmf,16,0.29495202757417416
seuclidean,TabulaMuris_Colon_FACS,logcounts,nsnmf,96,0.3645511281405606
seuclidean,TabulaMuris_Colon_FACS,logcounts,nsnmf,8,0.26077334523981727
seuclidean,TabulaMuris_Colon_FACS,logcounts,nsnmf,48,0.3834668897161948
seuclidean,TabulaMuris_Colon_FACS,logcounts,vpac,4,0.09981079590257666
seuclidean,TabulaMuris_Colon_FACS,logcounts,vpac,32,0.12360552033369093
seuclidean,TabulaMuris_Colon_FACS,logcounts,vpac,2,0.2861273016801254
seuclidean,TabulaMuris_Colon_FACS,logcounts,vpac,16,0.00011387737178732796
seuclidean,TabulaMuris_Colon_FACS,logcounts,vpac,96,0.03913695422926886
seuclidean,TabulaMuris_Colon_FACS,logcounts,vpac,8,0.0695401699736444
seuclidean,TabulaMuris_Colon_FACS,logcounts,vpac,48,0.04353539441451162
seuclidean,TabulaMuris_Colon_FACS,logcounts,umap,4,0.1477583480218833
seuclidean,TabulaMuris_Colon_FACS,logcounts,umap,32,0.13756119435484912
seuclidean,TabulaMuris_Colon_FACS,logcounts,umap,2,0.20464775294659412
seuclidean,TabulaMuris_Colon_FACS,logcounts,umap,16,0.09486407685397319
seuclidean,TabulaMuris_Colon_FACS,logcounts,umap,96,0.22933434497961994
seuclidean,TabulaMuris_Colon_FACS,logcounts,umap,8,0.05400493830517459
seuclidean,TabulaMuris_Colon_FACS,logcounts,umap,48,0.11489978403707905
seuclidean,TabulaMuris_Colon_FACS,logcounts,kpca-sig,4,0.1121764189863126
seuclidean,TabulaMuris_Colon_FACS,logcounts,kpca-sig,32,0.20770937076176973
seuclidean,TabulaMuris_Colon_FACS,logcounts,kpca-sig,2,0.14476738596406188
seuclidean,TabulaMuris_Colon_FACS,logcounts,kpca-sig,16,0.23072258778731292
seuclidean,TabulaMuris_Colon_FACS,logcounts,kpca-sig,96,0.19517823340519602
seuclidean,TabulaMuris_Colon_FACS,logcounts,kpca-sig,8,0.22585016252579582
seuclidean,TabulaMuris_Colon_FACS,logcounts,kpca-sig,48,0.1992797611559438
seuclidean,TabulaMuris_Colon_FACS,logcounts,nmf2,4,0.31903898012017196
seuclidean,TabulaMuris_Colon_FACS,logcounts,nmf2,32,0.2518924438954782
seuclidean,TabulaMuris_Colon_FACS,logcounts,nmf2,2,0.2749587940135456
seuclidean,TabulaMuris_Colon_FACS,logcounts,nmf2,16,0.2602003108379759
seuclidean,TabulaMuris_Colon_FACS,logcounts,nmf2,96,0.24656065171611502
seuclidean,TabulaMuris_Colon_FACS,logcounts,nmf2,8,0.27208905648253473
seuclidean,TabulaMuris_Colon_FACS,logcounts,nmf2,48,0.24723798175958386
seuclidean,TabulaMuris_Colon_FACS,logcounts,srp,4,0.17817783810431637
seuclidean,TabulaMuris_Colon_FACS,logcounts,srp,32,0.21663944015839445
seuclidean,TabulaMuris_Colon_FACS,logcounts,srp,2,0.02029789710490129
seuclidean,TabulaMuris_Colon_FACS,logcounts,srp,16,0.21633028821404654
seuclidean,TabulaMuris_Colon_FACS,logcounts,srp,96,0.3169656918194384
seuclidean,TabulaMuris_Colon_FACS,logcounts,srp,8,0.21439581828351115
seuclidean,TabulaMuris_Colon_FACS,logcounts,srp,48,0.27881155304115274
seuclidean,TabulaMuris_Colon_FACS,logcounts,psmf,4,0.2968936039374205
seuclidean,TabulaMuris_Colon_FACS,logcounts,psmf,32,0.35505098933691664
seuclidean,TabulaMuris_Colon_FACS,logcounts,psmf,2,0.2929268225469498
seuclidean,TabulaMuris_Colon_FACS,logcounts,psmf,16,0.33842162113170876
seuclidean,TabulaMuris_Colon_FACS,logcounts,psmf,96,0.3355005816957973
seuclidean,TabulaMuris_Colon_FACS,logcounts,psmf,8,0.2935774014457144
seuclidean,TabulaMuris_Colon_FACS,logcounts,psmf,48,0.3380209470428815
seuclidean,TabulaMuris_Colon_FACS,logcounts,fica,4,0.15535858938198535
seuclidean,TabulaMuris_Colon_FACS,logcounts,fica,32,0.18617100959620106
seuclidean,TabulaMuris_Colon_FACS,logcounts,fica,2,0.269464784593769
seuclidean,TabulaMuris_Colon_FACS,logcounts,fica,16,0.18684753050147002
seuclidean,TabulaMuris_Colon_FACS,logcounts,fica,96,0.15123527039636214
seuclidean,TabulaMuris_Colon_FACS,logcounts,fica,8,0.1049074740649559
seuclidean,TabulaMuris_Colon_FACS,logcounts,fica,48,0.1836337196098405
seuclidean,TabulaMuris_Colon_FACS,logcounts,lle,4,0.21159095210968037
seuclidean,TabulaMuris_Colon_FACS,logcounts,lle,32,-0.05947903560806919
seuclidean,TabulaMuris_Colon_FACS,logcounts,lle,2,0.22452880721170254
seuclidean,TabulaMuris_Colon_FACS,logcounts,lle,16,0.04992169557848979
seuclidean,TabulaMuris_Colon_FACS,logcounts,lle,96,-0.062380961372845496
seuclidean,TabulaMuris_Colon_FACS,logcounts,lle,8,0.06702499254298463
seuclidean,TabulaMuris_Colon_FACS,logcounts,lle,48,-0.06623482629410402
