metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Fat_FACS,counts,spca,4,-0.1747807036726651
seuclidean,TabulaMuris_Fat_FACS,counts,spca,32,-0.013519360154238023
seuclidean,TabulaMuris_Fat_FACS,counts,spca,2,-0.05439797523440592
seuclidean,TabulaMuris_Fat_FACS,counts,spca,16,-0.13550874627436588
seuclidean,TabulaMuris_Fat_FACS,counts,spca,96,0.19848118280121843
seuclidean,TabulaMuris_Fat_FACS,counts,spca,8,-0.1588945195148554
seuclidean,TabulaMuris_Fat_FACS,counts,spca,48,0.022744219923000634
seuclidean,TabulaMuris_Fat_FACS,counts,tsvd,4,-0.17437199214715193
seuclidean,TabulaMuris_Fat_FACS,counts,tsvd,32,-0.0329554584671401
seuclidean,TabulaMuris_Fat_FACS,counts,tsvd,2,-0.053297223567543274
seuclidean,TabulaMuris_Fat_FACS,counts,tsvd,16,-0.12699064175276828
seuclidean,TabulaMuris_Fat_FACS,counts,tsvd,96,0.17348127037053
seuclidean,TabulaMuris_Fat_FACS,counts,tsvd,8,-0.16199108010888355
seuclidean,TabulaMuris_Fat_FACS,counts,tsvd,48,0.015451207512616248
seuclidean,TabulaMuris_Fat_FACS,counts,spca-batch,4,-0.05758561420615457
seuclidean,TabulaMuris_Fat_FACS,counts,spca-batch,32,-0.08462276801048749
seuclidean,TabulaMuris_Fat_FACS,counts,spca-batch,2,0.010101445116105926
seuclidean,TabulaMuris_Fat_FACS,counts,spca-batch,16,-0.06452800069939749
seuclidean,TabulaMuris_Fat_FACS,counts,spca-batch,96,0.04963318264871119
seuclidean,TabulaMuris_Fat_FACS,counts,spca-batch,8,-0.08667747508459307
seuclidean,TabulaMuris_Fat_FACS,counts,spca-batch,48,-0.023134525660605854
seuclidean,TabulaMuris_Fat_FACS,counts,zifa,4,0.18298727258129707
seuclidean,TabulaMuris_Fat_FACS,counts,zifa,2,0.01747412225921589
seuclidean,TabulaMuris_Fat_FACS,counts,zifa,8,0.2480639920885963
seuclidean,TabulaMuris_Fat_FACS,counts,nsnmf,4,0.04549397401890744
seuclidean,TabulaMuris_Fat_FACS,counts,nsnmf,32,0.35923967615755414
seuclidean,TabulaMuris_Fat_FACS,counts,nsnmf,2,0.17359756177235586
seuclidean,TabulaMuris_Fat_FACS,counts,nsnmf,16,0.17470688129106385
seuclidean,TabulaMuris_Fat_FACS,counts,nsnmf,96,0.40155162875235495
seuclidean,TabulaMuris_Fat_FACS,counts,nsnmf,8,0.1493648316036539
seuclidean,TabulaMuris_Fat_FACS,counts,nsnmf,48,0.3871732394477894
seuclidean,TabulaMuris_Fat_FACS,counts,vpac,4,-0.06769206307234739
seuclidean,TabulaMuris_Fat_FACS,counts,vpac,32,-0.0065973121962120615
seuclidean,TabulaMuris_Fat_FACS,counts,vpac,2,-0.13675631135291397
seuclidean,TabulaMuris_Fat_FACS,counts,vpac,16,0.033896914861760885
seuclidean,TabulaMuris_Fat_FACS,counts,vpac,96,0.09303066139597829
seuclidean,TabulaMuris_Fat_FACS,counts,vpac,8,0.2242123353290238
seuclidean,TabulaMuris_Fat_FACS,counts,vpac,48,-0.010202034829468345
seuclidean,TabulaMuris_Fat_FACS,counts,umap,4,-0.08671595758724192
seuclidean,TabulaMuris_Fat_FACS,counts,umap,32,-0.06094124920734668
seuclidean,TabulaMuris_Fat_FACS,counts,umap,2,-0.09369879571420205
seuclidean,TabulaMuris_Fat_FACS,counts,umap,16,-0.03008683477257853
seuclidean,TabulaMuris_Fat_FACS,counts,umap,96,-0.1036692874712571
seuclidean,TabulaMuris_Fat_FACS,counts,umap,8,-0.05903641848524187
seuclidean,TabulaMuris_Fat_FACS,counts,umap,48,-0.052007716961676595
seuclidean,TabulaMuris_Fat_FACS,counts,kpca-sig,4,nan
seuclidean,TabulaMuris_Fat_FACS,counts,kpca-sig,32,nan
seuclidean,TabulaMuris_Fat_FACS,counts,kpca-sig,2,nan
seuclidean,TabulaMuris_Fat_FACS,counts,kpca-sig,16,nan
seuclidean,TabulaMuris_Fat_FACS,counts,kpca-sig,96,nan
seuclidean,TabulaMuris_Fat_FACS,counts,kpca-sig,8,nan
seuclidean,TabulaMuris_Fat_FACS,counts,kpca-sig,48,nan
seuclidean,TabulaMuris_Fat_FACS,counts,nmf2,4,-0.17707693856023365
seuclidean,TabulaMuris_Fat_FACS,counts,nmf2,32,-0.11231958891885929
seuclidean,TabulaMuris_Fat_FACS,counts,nmf2,2,-0.04977236971786887
seuclidean,TabulaMuris_Fat_FACS,counts,nmf2,16,-0.16691728327702063
seuclidean,TabulaMuris_Fat_FACS,counts,nmf2,96,-0.1254705067340823
seuclidean,TabulaMuris_Fat_FACS,counts,nmf2,8,-0.13633372005619626
seuclidean,TabulaMuris_Fat_FACS,counts,nmf2,48,-0.13881804393105812
seuclidean,TabulaMuris_Fat_FACS,counts,srp,4,0.2531235519358063
seuclidean,TabulaMuris_Fat_FACS,counts,srp,32,0.31906691460633657
seuclidean,TabulaMuris_Fat_FACS,counts,srp,2,0.25114633081059345
seuclidean,TabulaMuris_Fat_FACS,counts,srp,16,0.28795246719662493
seuclidean,TabulaMuris_Fat_FACS,counts,srp,96,0.4820607035745086
seuclidean,TabulaMuris_Fat_FACS,counts,srp,8,0.32103617539693297
seuclidean,TabulaMuris_Fat_FACS,counts,srp,48,0.32427846486052747
seuclidean,TabulaMuris_Fat_FACS,counts,psmf,4,0.09610995866872193
seuclidean,TabulaMuris_Fat_FACS,counts,psmf,32,0.17726340604178462
seuclidean,TabulaMuris_Fat_FACS,counts,psmf,2,-0.07587698668462721
seuclidean,TabulaMuris_Fat_FACS,counts,psmf,16,0.16489632556199588
seuclidean,TabulaMuris_Fat_FACS,counts,psmf,96,0.3139540781835283
seuclidean,TabulaMuris_Fat_FACS,counts,psmf,8,0.03290232651813112
seuclidean,TabulaMuris_Fat_FACS,counts,psmf,48,0.2627231167786734
seuclidean,TabulaMuris_Fat_FACS,counts,fica,4,-0.1747804110319636
