metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Fat_FACS,logcounts,spca,4,0.11495100376588856
seuclidean,TabulaMuris_Fat_FACS,logcounts,spca,32,0.4878268093865564
seuclidean,TabulaMuris_Fat_FACS,logcounts,spca,2,0.0745774406093751
seuclidean,TabulaMuris_Fat_FACS,logcounts,spca,16,0.2635802732633496
seuclidean,TabulaMuris_Fat_FACS,logcounts,spca,96,0.5973621788286293
seuclidean,TabulaMuris_Fat_FACS,logcounts,spca,8,0.13144402318121112
seuclidean,TabulaMuris_Fat_FACS,logcounts,spca,48,0.5374334913773848
seuclidean,TabulaMuris_Fat_FACS,logcounts,tsvd,4,0.15605148258627655
seuclidean,TabulaMuris_Fat_FACS,logcounts,tsvd,32,0.5232473951026068
seuclidean,TabulaMuris_Fat_FACS,logcounts,tsvd,2,0.1164876734550042
seuclidean,TabulaMuris_Fat_FACS,logcounts,tsvd,16,0.37802725134199416
seuclidean,TabulaMuris_Fat_FACS,logcounts,tsvd,96,0.611399193760378
seuclidean,TabulaMuris_Fat_FACS,logcounts,tsvd,8,0.3038936182662409
seuclidean,TabulaMuris_Fat_FACS,logcounts,tsvd,48,0.5764543306739298
seuclidean,TabulaMuris_Fat_FACS,logcounts,spca-batch,4,0.08643365294587413
seuclidean,TabulaMuris_Fat_FACS,logcounts,spca-batch,32,0.35910259446966986
seuclidean,TabulaMuris_Fat_FACS,logcounts,spca-batch,2,0.012810163581326481
seuclidean,TabulaMuris_Fat_FACS,logcounts,spca-batch,16,0.17934303858087
seuclidean,TabulaMuris_Fat_FACS,logcounts,spca-batch,96,0.441542878831472
seuclidean,TabulaMuris_Fat_FACS,logcounts,spca-batch,8,0.1738617361706687
seuclidean,TabulaMuris_Fat_FACS,logcounts,spca-batch,48,0.3775979414322506
seuclidean,TabulaMuris_Fat_FACS,logcounts,zifa,4,-0.05794515866339108
seuclidean,TabulaMuris_Fat_FACS,logcounts,zifa,2,-0.08545769065999147
seuclidean,TabulaMuris_Fat_FACS,logcounts,zifa,16,0.3089958663759424
seuclidean,TabulaMuris_Fat_FACS,logcounts,zifa,8,0.12320859083790996
seuclidean,TabulaMuris_Fat_FACS,logcounts,nsnmf,4,0.26892334994065337
seuclidean,TabulaMuris_Fat_FACS,logcounts,nsnmf,32,0.4849587229861004
seuclidean,TabulaMuris_Fat_FACS,logcounts,nsnmf,2,0.14239580028366328
seuclidean,TabulaMuris_Fat_FACS,logcounts,nsnmf,16,0.4598606982082455
seuclidean,TabulaMuris_Fat_FACS,logcounts,nsnmf,96,0.5333032402942928
seuclidean,TabulaMuris_Fat_FACS,logcounts,nsnmf,8,0.3450370277074448
seuclidean,TabulaMuris_Fat_FACS,logcounts,nsnmf,48,0.4945832961317641
seuclidean,TabulaMuris_Fat_FACS,logcounts,vpac,4,0.03164261326977917
seuclidean,TabulaMuris_Fat_FACS,logcounts,vpac,32,0.40337960711852217
seuclidean,TabulaMuris_Fat_FACS,logcounts,vpac,2,0.061170663404384616
seuclidean,TabulaMuris_Fat_FACS,logcounts,vpac,16,0.15597878860400713
seuclidean,TabulaMuris_Fat_FACS,logcounts,vpac,96,0.6057597786946806
seuclidean,TabulaMuris_Fat_FACS,logcounts,vpac,8,-0.11409695572550227
seuclidean,TabulaMuris_Fat_FACS,logcounts,vpac,48,0.4951734866651381
seuclidean,TabulaMuris_Fat_FACS,logcounts,umap,4,0.2095605778722804
seuclidean,TabulaMuris_Fat_FACS,logcounts,umap,32,0.17191331202185547
seuclidean,TabulaMuris_Fat_FACS,logcounts,umap,2,0.2807276489515128
seuclidean,TabulaMuris_Fat_FACS,logcounts,umap,16,0.21267499717374505
seuclidean,TabulaMuris_Fat_FACS,logcounts,umap,96,0.18572769297591507
seuclidean,TabulaMuris_Fat_FACS,logcounts,umap,8,0.2082992994087212
seuclidean,TabulaMuris_Fat_FACS,logcounts,umap,48,0.17011091177192345
seuclidean,TabulaMuris_Fat_FACS,logcounts,kpca-sig,4,-0.28654308544469287
seuclidean,TabulaMuris_Fat_FACS,logcounts,kpca-sig,32,-0.31723479604340254
seuclidean,TabulaMuris_Fat_FACS,logcounts,kpca-sig,2,-0.28237508155272595
seuclidean,TabulaMuris_Fat_FACS,logcounts,kpca-sig,16,-0.25849136107690546
seuclidean,TabulaMuris_Fat_FACS,logcounts,kpca-sig,96,-0.3876416196611691
seuclidean,TabulaMuris_Fat_FACS,logcounts,kpca-sig,8,-0.29343323908669916
seuclidean,TabulaMuris_Fat_FACS,logcounts,kpca-sig,48,-0.35288935028068985
seuclidean,TabulaMuris_Fat_FACS,logcounts,nmf2,4,0.17240578526498374
seuclidean,TabulaMuris_Fat_FACS,logcounts,nmf2,32,0.37436040681768507
seuclidean,TabulaMuris_Fat_FACS,logcounts,nmf2,2,0.11798260182979566
seuclidean,TabulaMuris_Fat_FACS,logcounts,nmf2,16,0.31473039676808606
seuclidean,TabulaMuris_Fat_FACS,logcounts,nmf2,96,0.46906087961304344
seuclidean,TabulaMuris_Fat_FACS,logcounts,nmf2,8,0.2913380372682427
seuclidean,TabulaMuris_Fat_FACS,logcounts,nmf2,48,0.41872553636368165
seuclidean,TabulaMuris_Fat_FACS,logcounts,srp,4,0.17536602687443714
seuclidean,TabulaMuris_Fat_FACS,logcounts,srp,32,0.3830175971708312
seuclidean,TabulaMuris_Fat_FACS,logcounts,srp,2,0.05605900983971635
seuclidean,TabulaMuris_Fat_FACS,logcounts,srp,16,0.3015570620514872
seuclidean,TabulaMuris_Fat_FACS,logcounts,srp,96,0.49922466511954416
seuclidean,TabulaMuris_Fat_FACS,logcounts,srp,8,0.22168494465724997
seuclidean,TabulaMuris_Fat_FACS,logcounts,srp,48,0.4558417935702776
