metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Heart_10X,counts,spca,4,-0.0410664292501528
seuclidean,TabulaMuris_Heart_10X,counts,spca,32,0.3272160660132232
seuclidean,TabulaMuris_Heart_10X,counts,spca,2,-0.042258760307662804
seuclidean,TabulaMuris_Heart_10X,counts,spca,16,0.11780773517774085
seuclidean,TabulaMuris_Heart_10X,counts,spca,96,0.7402964857330357
seuclidean,TabulaMuris_Heart_10X,counts,spca,8,-0.016891871259717278
seuclidean,TabulaMuris_Heart_10X,counts,spca,48,0.5091192399280667
seuclidean,TabulaMuris_Heart_10X,counts,tsvd,4,-0.07156818861331735
seuclidean,TabulaMuris_Heart_10X,counts,tsvd,32,0.27006927001506786
seuclidean,TabulaMuris_Heart_10X,counts,tsvd,2,0.02925486652777255
seuclidean,TabulaMuris_Heart_10X,counts,tsvd,16,0.0868492413515296
seuclidean,TabulaMuris_Heart_10X,counts,tsvd,96,0.6885342197278734
seuclidean,TabulaMuris_Heart_10X,counts,tsvd,8,-0.02566700038797608
seuclidean,TabulaMuris_Heart_10X,counts,tsvd,48,0.44857693766541773
seuclidean,TabulaMuris_Heart_10X,counts,spca-batch,4,-0.026659562460178206
seuclidean,TabulaMuris_Heart_10X,counts,spca-batch,32,0.1089995046200905
seuclidean,TabulaMuris_Heart_10X,counts,spca-batch,2,-0.2574603521250934
seuclidean,TabulaMuris_Heart_10X,counts,spca-batch,16,-0.02996645693347624
seuclidean,TabulaMuris_Heart_10X,counts,spca-batch,96,0.2160661658364548
seuclidean,TabulaMuris_Heart_10X,counts,spca-batch,8,-0.02699135458213056
seuclidean,TabulaMuris_Heart_10X,counts,spca-batch,48,0.13032082321772653
seuclidean,TabulaMuris_Heart_10X,counts,zifa,4,0.24964736328953913
seuclidean,TabulaMuris_Heart_10X,counts,zifa,32,0.7433265239941464
seuclidean,TabulaMuris_Heart_10X,counts,zifa,2,0.3462409729288124
seuclidean,TabulaMuris_Heart_10X,counts,zifa,16,0.6263640893164247
seuclidean,TabulaMuris_Heart_10X,counts,zifa,96,0.8210069872187417
seuclidean,TabulaMuris_Heart_10X,counts,zifa,8,0.4386391730802548
seuclidean,TabulaMuris_Heart_10X,counts,zifa,48,0.7958616574316558
seuclidean,TabulaMuris_Heart_10X,counts,nsnmf,4,-0.025971260208291855
seuclidean,TabulaMuris_Heart_10X,counts,nsnmf,32,0.3877917121307497
seuclidean,TabulaMuris_Heart_10X,counts,nsnmf,2,0.005950056789113806
seuclidean,TabulaMuris_Heart_10X,counts,nsnmf,16,0.1891015101280934
seuclidean,TabulaMuris_Heart_10X,counts,nsnmf,96,0.4847949507186339
seuclidean,TabulaMuris_Heart_10X,counts,nsnmf,8,0.0656659905320798
seuclidean,TabulaMuris_Heart_10X,counts,nsnmf,48,0.490798454559625
seuclidean,TabulaMuris_Heart_10X,counts,vpac,4,0.16325327600977685
seuclidean,TabulaMuris_Heart_10X,counts,vpac,32,0.03821809349600301
seuclidean,TabulaMuris_Heart_10X,counts,vpac,2,nan
seuclidean,TabulaMuris_Heart_10X,counts,vpac,16,-0.006728650564180491
seuclidean,TabulaMuris_Heart_10X,counts,vpac,96,-0.08643434580886104
seuclidean,TabulaMuris_Heart_10X,counts,vpac,8,0.06329980319481736
seuclidean,TabulaMuris_Heart_10X,counts,vpac,48,-0.06510336108224841
seuclidean,TabulaMuris_Heart_10X,counts,umap,4,-0.07696097036719156
seuclidean,TabulaMuris_Heart_10X,counts,umap,32,-0.08883753366803873
seuclidean,TabulaMuris_Heart_10X,counts,umap,2,-0.0695048992551115
seuclidean,TabulaMuris_Heart_10X,counts,umap,16,-0.06978897720956267
seuclidean,TabulaMuris_Heart_10X,counts,umap,96,-0.06015157896733356
seuclidean,TabulaMuris_Heart_10X,counts,umap,8,-0.031142989355134678
seuclidean,TabulaMuris_Heart_10X,counts,umap,48,-0.06371544960959555
seuclidean,TabulaMuris_Heart_10X,counts,kpca-sig,4,nan
seuclidean,TabulaMuris_Heart_10X,counts,kpca-sig,32,nan
seuclidean,TabulaMuris_Heart_10X,counts,kpca-sig,2,nan
seuclidean,TabulaMuris_Heart_10X,counts,kpca-sig,16,nan
seuclidean,TabulaMuris_Heart_10X,counts,kpca-sig,96,nan
