metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Heart_10X,logcounts,spca,4,0.2412111858706099
seuclidean,TabulaMuris_Heart_10X,logcounts,spca,32,0.4733421383730104
seuclidean,TabulaMuris_Heart_10X,logcounts,spca,2,-0.03434650992571093
seuclidean,TabulaMuris_Heart_10X,logcounts,spca,16,0.3674091526392003
seuclidean,TabulaMuris_Heart_10X,logcounts,spca,96,0.34828903200300715
seuclidean,TabulaMuris_Heart_10X,logcounts,spca,8,0.2761402671764942
seuclidean,TabulaMuris_Heart_10X,logcounts,spca,48,0.47125683955288156
seuclidean,TabulaMuris_Heart_10X,logcounts,tsvd,4,0.21414371421803385
seuclidean,TabulaMuris_Heart_10X,logcounts,tsvd,32,0.554574585125699
seuclidean,TabulaMuris_Heart_10X,logcounts,tsvd,2,-0.0820420848481336
seuclidean,TabulaMuris_Heart_10X,logcounts,tsvd,16,0.51630133912671
seuclidean,TabulaMuris_Heart_10X,logcounts,tsvd,96,0.473117334130427
seuclidean,TabulaMuris_Heart_10X,logcounts,tsvd,8,0.46515418441164064
seuclidean,TabulaMuris_Heart_10X,logcounts,tsvd,48,0.5397819181877129
seuclidean,TabulaMuris_Heart_10X,logcounts,spca-batch,4,0.18076663554836167
seuclidean,TabulaMuris_Heart_10X,logcounts,spca-batch,32,0.3819584587003341
seuclidean,TabulaMuris_Heart_10X,logcounts,spca-batch,2,-0.07461403246333051
seuclidean,TabulaMuris_Heart_10X,logcounts,spca-batch,16,0.29932804992415146
seuclidean,TabulaMuris_Heart_10X,logcounts,spca-batch,96,0.29270842125846064
seuclidean,TabulaMuris_Heart_10X,logcounts,spca-batch,8,0.245027928836511
seuclidean,TabulaMuris_Heart_10X,logcounts,spca-batch,48,0.30124056417096884
seuclidean,TabulaMuris_Heart_10X,logcounts,zifa,4,-0.1447279111922013
seuclidean,TabulaMuris_Heart_10X,logcounts,zifa,32,-0.16839044665528657
seuclidean,TabulaMuris_Heart_10X,logcounts,zifa,2,-0.16926232430032964
seuclidean,TabulaMuris_Heart_10X,logcounts,zifa,16,0.01583990957736765
seuclidean,TabulaMuris_Heart_10X,logcounts,zifa,96,-0.44230160171040045
seuclidean,TabulaMuris_Heart_10X,logcounts,zifa,8,-0.028292537876229918
seuclidean,TabulaMuris_Heart_10X,logcounts,zifa,48,-0.27821365098163686
seuclidean,TabulaMuris_Heart_10X,logcounts,nsnmf,4,0.30536609771433504
seuclidean,TabulaMuris_Heart_10X,logcounts,nsnmf,32,0.6240126955827912
seuclidean,TabulaMuris_Heart_10X,logcounts,nsnmf,2,0.1300424134110142
seuclidean,TabulaMuris_Heart_10X,logcounts,nsnmf,16,0.6143840497978811
seuclidean,TabulaMuris_Heart_10X,logcounts,nsnmf,96,0.6656853284317673
seuclidean,TabulaMuris_Heart_10X,logcounts,nsnmf,8,0.46646982644333174
seuclidean,TabulaMuris_Heart_10X,logcounts,nsnmf,48,0.6781313000072506
seuclidean,TabulaMuris_Heart_10X,logcounts,vpac,4,0.04951437356551794
seuclidean,TabulaMuris_Heart_10X,logcounts,vpac,32,0.533066071115814
seuclidean,TabulaMuris_Heart_10X,logcounts,vpac,2,-0.04644589679157759
seuclidean,TabulaMuris_Heart_10X,logcounts,vpac,16,0.3457939849714315
seuclidean,TabulaMuris_Heart_10X,logcounts,vpac,96,0.6424729460252372
seuclidean,TabulaMuris_Heart_10X,logcounts,vpac,8,0.2015077990674595
seuclidean,TabulaMuris_Heart_10X,logcounts,vpac,48,0.6452581803715955
seuclidean,TabulaMuris_Heart_10X,logcounts,umap,4,0.5073817470966593
seuclidean,TabulaMuris_Heart_10X,logcounts,umap,32,0.5138155008276739
seuclidean,TabulaMuris_Heart_10X,logcounts,umap,2,0.47878889170619926
seuclidean,TabulaMuris_Heart_10X,logcounts,umap,16,0.5012635607270327
seuclidean,TabulaMuris_Heart_10X,logcounts,umap,96,0.5225854563185613
seuclidean,TabulaMuris_Heart_10X,logcounts,umap,8,0.48191332451910623
seuclidean,TabulaMuris_Heart_10X,logcounts,umap,48,0.4960110678173524
seuclidean,TabulaMuris_Heart_10X,logcounts,kpca-sig,4,-0.26498913748025127
seuclidean,TabulaMuris_Heart_10X,logcounts,kpca-sig,32,-0.44640240890697336
seuclidean,TabulaMuris_Heart_10X,logcounts,kpca-sig,2,-0.338157687032993
seuclidean,TabulaMuris_Heart_10X,logcounts,kpca-sig,16,-0.3586135120354281
seuclidean,TabulaMuris_Heart_10X,logcounts,kpca-sig,96,-0.5918540381978173
seuclidean,TabulaMuris_Heart_10X,logcounts,kpca-sig,8,-0.29796016194728064
seuclidean,TabulaMuris_Heart_10X,logcounts,kpca-sig,48,-0.5072541431052195
seuclidean,TabulaMuris_Heart_10X,logcounts,nmf2,4,0.21834593481075
seuclidean,TabulaMuris_Heart_10X,logcounts,nmf2,32,0.5174478661158647
seuclidean,TabulaMuris_Heart_10X,logcounts,nmf2,2,-0.0334631071898913
seuclidean,TabulaMuris_Heart_10X,logcounts,nmf2,16,0.39313516966299505
seuclidean,TabulaMuris_Heart_10X,logcounts,nmf2,96,0.63927403266032
seuclidean,TabulaMuris_Heart_10X,logcounts,nmf2,8,0.34948782071754014
seuclidean,TabulaMuris_Heart_10X,logcounts,nmf2,48,0.5304410884210569
seuclidean,TabulaMuris_Heart_10X,logcounts,srp,4,0.20690842633353884
seuclidean,TabulaMuris_Heart_10X,logcounts,srp,32,0.28951458146794495
seuclidean,TabulaMuris_Heart_10X,logcounts,srp,2,0.08252535682172818
seuclidean,TabulaMuris_Heart_10X,logcounts,srp,16,0.24576773771764293
seuclidean,TabulaMuris_Heart_10X,logcounts,srp,96,0.42980279810704664
seuclidean,TabulaMuris_Heart_10X,logcounts,srp,8,0.12629619013316978
seuclidean,TabulaMuris_Heart_10X,logcounts,srp,48,0.3450384995363764
seuclidean,TabulaMuris_Heart_10X,logcounts,psmf,4,0.09926797560662125
seuclidean,TabulaMuris_Heart_10X,logcounts,psmf,32,0.28870655903597564
seuclidean,TabulaMuris_Heart_10X,logcounts,psmf,2,-0.06347180397499606
seuclidean,TabulaMuris_Heart_10X,logcounts,psmf,16,0.2083632271531465
seuclidean,TabulaMuris_Heart_10X,logcounts,psmf,96,0.17542810368315645
seuclidean,TabulaMuris_Heart_10X,logcounts,psmf,8,0.1695100872193565
seuclidean,TabulaMuris_Heart_10X,logcounts,psmf,48,0.24047669606267277
seuclidean,TabulaMuris_Heart_10X,logcounts,fica,4,0.27478876896430254
seuclidean,TabulaMuris_Heart_10X,logcounts,fica,32,0.529510418625408
seuclidean,TabulaMuris_Heart_10X,logcounts,fica,2,-0.02722457604639311
seuclidean,TabulaMuris_Heart_10X,logcounts,fica,16,0.44152484041345363
seuclidean,TabulaMuris_Heart_10X,logcounts,fica,96,0.4603846738503897
seuclidean,TabulaMuris_Heart_10X,logcounts,fica,8,0.3533300068811734
seuclidean,TabulaMuris_Heart_10X,logcounts,fica,48,0.5088631896873499
seuclidean,TabulaMuris_Heart_10X,logcounts,lle,4,0.561714754047557
seuclidean,TabulaMuris_Heart_10X,logcounts,lle,32,0.2678115346181948
seuclidean,TabulaMuris_Heart_10X,logcounts,lle,2,0.2535431829555468
seuclidean,TabulaMuris_Heart_10X,logcounts,lle,16,0.5055884070770355
seuclidean,TabulaMuris_Heart_10X,logcounts,lle,96,0.21691032460560516
seuclidean,TabulaMuris_Heart_10X,logcounts,lle,8,0.5974767611841753
seuclidean,TabulaMuris_Heart_10X,logcounts,lle,48,0.22660874075034862
seuclidean,TabulaMuris_Heart_10X,logcounts,lsnmf,4,0.34859536178452316
seuclidean,TabulaMuris_Heart_10X,logcounts,lsnmf,32,0.48345780882854855
seuclidean,TabulaMuris_Heart_10X,logcounts,lsnmf,2,0.007855891550706656
seuclidean,TabulaMuris_Heart_10X,logcounts,lsnmf,16,0.4033077967706397
seuclidean,TabulaMuris_Heart_10X,logcounts,lsnmf,96,0.03284640721860512
