metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Kidney_10X,counts,spca,4,-0.16416550848205153
seuclidean,TabulaMuris_Kidney_10X,counts,spca,32,0.39008856440613393
seuclidean,TabulaMuris_Kidney_10X,counts,spca,2,-0.0212204251494698
seuclidean,TabulaMuris_Kidney_10X,counts,spca,16,0.23144225567428436
seuclidean,TabulaMuris_Kidney_10X,counts,spca,96,0.6265677418849573
seuclidean,TabulaMuris_Kidney_10X,counts,spca,8,0.011005505882519442
seuclidean,TabulaMuris_Kidney_10X,counts,spca,48,0.4707090037508768
seuclidean,TabulaMuris_Kidney_10X,counts,tsvd,4,-0.14313977078136159
seuclidean,TabulaMuris_Kidney_10X,counts,tsvd,32,0.3705892552802568
seuclidean,TabulaMuris_Kidney_10X,counts,tsvd,2,0.05525519847234569
seuclidean,TabulaMuris_Kidney_10X,counts,tsvd,16,0.23117277779681153
seuclidean,TabulaMuris_Kidney_10X,counts,tsvd,96,0.6097758309942581
seuclidean,TabulaMuris_Kidney_10X,counts,tsvd,8,-0.04964237405795191
seuclidean,TabulaMuris_Kidney_10X,counts,tsvd,48,0.46021387893881766
seuclidean,TabulaMuris_Kidney_10X,counts,spca-batch,4,-0.06073284097261952
seuclidean,TabulaMuris_Kidney_10X,counts,spca-batch,32,0.061859363155513276
seuclidean,TabulaMuris_Kidney_10X,counts,spca-batch,2,0.0076999736713724365
seuclidean,TabulaMuris_Kidney_10X,counts,spca-batch,16,-0.07973523008002764
seuclidean,TabulaMuris_Kidney_10X,counts,spca-batch,96,0.3583646012678678
seuclidean,TabulaMuris_Kidney_10X,counts,spca-batch,8,0.034431738374998036
seuclidean,TabulaMuris_Kidney_10X,counts,spca-batch,48,0.2294329878963806
seuclidean,TabulaMuris_Kidney_10X,counts,zifa,4,0.3955090834454497
seuclidean,TabulaMuris_Kidney_10X,counts,zifa,32,0.44056600968804255
seuclidean,TabulaMuris_Kidney_10X,counts,zifa,2,0.3202429323681745
seuclidean,TabulaMuris_Kidney_10X,counts,zifa,16,0.5212651445610343
seuclidean,TabulaMuris_Kidney_10X,counts,zifa,8,0.4722411610338387
seuclidean,TabulaMuris_Kidney_10X,counts,zifa,48,0.5268105135422044
seuclidean,TabulaMuris_Kidney_10X,counts,nsnmf,4,0.17408859761382497
seuclidean,TabulaMuris_Kidney_10X,counts,nsnmf,32,0.34469036440548384
seuclidean,TabulaMuris_Kidney_10X,counts,nsnmf,2,0.09944614262795809
seuclidean,TabulaMuris_Kidney_10X,counts,nsnmf,16,0.05861040252533137
seuclidean,TabulaMuris_Kidney_10X,counts,nsnmf,96,0.25060061299820685
seuclidean,TabulaMuris_Kidney_10X,counts,nsnmf,8,0.1642121518138899
seuclidean,TabulaMuris_Kidney_10X,counts,nsnmf,48,0.24625188670307094
seuclidean,TabulaMuris_Kidney_10X,counts,vpac,4,0.022752416262535838
seuclidean,TabulaMuris_Kidney_10X,counts,vpac,32,0.23345199913077502
seuclidean,TabulaMuris_Kidney_10X,counts,vpac,2,0.06145739585757409
seuclidean,TabulaMuris_Kidney_10X,counts,vpac,16,0.1297324691922996
seuclidean,TabulaMuris_Kidney_10X,counts,vpac,96,0.32023233102128945
seuclidean,TabulaMuris_Kidney_10X,counts,vpac,8,0.3055702531807848
seuclidean,TabulaMuris_Kidney_10X,counts,vpac,48,0.25096861711865087
seuclidean,TabulaMuris_Kidney_10X,counts,umap,4,0.05618575838906402
seuclidean,TabulaMuris_Kidney_10X,counts,umap,32,0.057568416512463465
seuclidean,TabulaMuris_Kidney_10X,counts,umap,2,0.07391910689199475
seuclidean,TabulaMuris_Kidney_10X,counts,umap,16,0.0020342081750900085
seuclidean,TabulaMuris_Kidney_10X,counts,umap,96,-0.03357086135920624
seuclidean,TabulaMuris_Kidney_10X,counts,umap,8,0.029821130478110327
seuclidean,TabulaMuris_Kidney_10X,counts,umap,48,0.016411410020041966
seuclidean,TabulaMuris_Kidney_10X,counts,kpca-sig,4,nan
seuclidean,TabulaMuris_Kidney_10X,counts,kpca-sig,32,nan
seuclidean,TabulaMuris_Kidney_10X,counts,kpca-sig,2,nan
seuclidean,TabulaMuris_Kidney_10X,counts,kpca-sig,16,nan
seuclidean,TabulaMuris_Kidney_10X,counts,kpca-sig,96,nan
seuclidean,TabulaMuris_Kidney_10X,counts,kpca-sig,8,nan
seuclidean,TabulaMuris_Kidney_10X,counts,kpca-sig,48,nan
seuclidean,TabulaMuris_Kidney_10X,counts,nmf2,4,-0.1628809573286563
seuclidean,TabulaMuris_Kidney_10X,counts,nmf2,32,-0.01981897751403672
seuclidean,TabulaMuris_Kidney_10X,counts,nmf2,2,0.020310330683645232
seuclidean,TabulaMuris_Kidney_10X,counts,nmf2,16,0.006727709443374622
seuclidean,TabulaMuris_Kidney_10X,counts,nmf2,96,0.04874919021616819
seuclidean,TabulaMuris_Kidney_10X,counts,nmf2,8,-0.005945022278551658
seuclidean,TabulaMuris_Kidney_10X,counts,nmf2,48,0.020337240899938235
seuclidean,TabulaMuris_Kidney_10X,counts,srp,4,0.0865851473469455
seuclidean,TabulaMuris_Kidney_10X,counts,srp,32,0.5050249156346607
seuclidean,TabulaMuris_Kidney_10X,counts,srp,2,0.046362286730644846
seuclidean,TabulaMuris_Kidney_10X,counts,srp,16,0.49695097409419753
seuclidean,TabulaMuris_Kidney_10X,counts,srp,96,0.5510271845556157
seuclidean,TabulaMuris_Kidney_10X,counts,srp,8,0.45304908096463964
seuclidean,TabulaMuris_Kidney_10X,counts,srp,48,0.4905047484560366
seuclidean,TabulaMuris_Kidney_10X,counts,psmf,4,0.3404201613421943
seuclidean,TabulaMuris_Kidney_10X,counts,psmf,32,0.5406890885996389
seuclidean,TabulaMuris_Kidney_10X,counts,psmf,2,0.36860243520234837
seuclidean,TabulaMuris_Kidney_10X,counts,psmf,16,0.4392031144214954
seuclidean,TabulaMuris_Kidney_10X,counts,psmf,96,0.6523901506458037
seuclidean,TabulaMuris_Kidney_10X,counts,psmf,8,0.42517504760242386
