metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Kidney_10X,logcounts,spca,4,0.513216884593236
seuclidean,TabulaMuris_Kidney_10X,logcounts,spca,32,0.7459980346683523
seuclidean,TabulaMuris_Kidney_10X,logcounts,spca,2,0.40860264984727696
seuclidean,TabulaMuris_Kidney_10X,logcounts,spca,16,0.7006296771050441
seuclidean,TabulaMuris_Kidney_10X,logcounts,spca,96,0.7000031841696841
seuclidean,TabulaMuris_Kidney_10X,logcounts,spca,8,0.580900372344373
seuclidean,TabulaMuris_Kidney_10X,logcounts,spca,48,0.7514851097683924
seuclidean,TabulaMuris_Kidney_10X,logcounts,tsvd,4,0.42955439150977626
seuclidean,TabulaMuris_Kidney_10X,logcounts,tsvd,32,0.7070139725293954
seuclidean,TabulaMuris_Kidney_10X,logcounts,tsvd,2,0.37332891001894086
seuclidean,TabulaMuris_Kidney_10X,logcounts,tsvd,16,0.6509237498224512
seuclidean,TabulaMuris_Kidney_10X,logcounts,tsvd,96,0.6932640312025771
seuclidean,TabulaMuris_Kidney_10X,logcounts,tsvd,8,0.5161142255173632
seuclidean,TabulaMuris_Kidney_10X,logcounts,tsvd,48,0.7266269248301442
seuclidean,TabulaMuris_Kidney_10X,logcounts,spca-batch,4,0.43274382463308314
seuclidean,TabulaMuris_Kidney_10X,logcounts,spca-batch,32,0.5434868751455738
seuclidean,TabulaMuris_Kidney_10X,logcounts,spca-batch,2,0.4396132108540842
seuclidean,TabulaMuris_Kidney_10X,logcounts,spca-batch,16,0.5038508396629758
seuclidean,TabulaMuris_Kidney_10X,logcounts,spca-batch,96,0.5163841466402364
seuclidean,TabulaMuris_Kidney_10X,logcounts,spca-batch,8,0.43171715766894286
seuclidean,TabulaMuris_Kidney_10X,logcounts,spca-batch,48,0.5161028882449745
seuclidean,TabulaMuris_Kidney_10X,logcounts,zifa,4,0.293306016192842
seuclidean,TabulaMuris_Kidney_10X,logcounts,zifa,32,0.3652789315158651
seuclidean,TabulaMuris_Kidney_10X,logcounts,zifa,2,0.27530704721786087
seuclidean,TabulaMuris_Kidney_10X,logcounts,zifa,16,0.42679465922020626
seuclidean,TabulaMuris_Kidney_10X,logcounts,zifa,8,0.3487544807307493
seuclidean,TabulaMuris_Kidney_10X,logcounts,nsnmf,4,0.44249526966843544
seuclidean,TabulaMuris_Kidney_10X,logcounts,nsnmf,32,0.7267182024288008
seuclidean,TabulaMuris_Kidney_10X,logcounts,nsnmf,2,0.3990213214498572
seuclidean,TabulaMuris_Kidney_10X,logcounts,nsnmf,16,0.6791299574832328
seuclidean,TabulaMuris_Kidney_10X,logcounts,nsnmf,96,0.6927604342896837
seuclidean,TabulaMuris_Kidney_10X,logcounts,nsnmf,8,0.5969893259726113
seuclidean,TabulaMuris_Kidney_10X,logcounts,nsnmf,48,0.6693118162031649
seuclidean,TabulaMuris_Kidney_10X,logcounts,vpac,4,0.11071082609453976
seuclidean,TabulaMuris_Kidney_10X,logcounts,vpac,32,0.665028651745274
seuclidean,TabulaMuris_Kidney_10X,logcounts,vpac,2,0.10759278360002636
seuclidean,TabulaMuris_Kidney_10X,logcounts,vpac,16,0.46063514892838303
seuclidean,TabulaMuris_Kidney_10X,logcounts,vpac,96,0.7248522960474877
seuclidean,TabulaMuris_Kidney_10X,logcounts,vpac,8,0.32590716265944775
seuclidean,TabulaMuris_Kidney_10X,logcounts,vpac,48,0.7372834707092198
seuclidean,TabulaMuris_Kidney_10X,logcounts,umap,4,0.45972832471670116
seuclidean,TabulaMuris_Kidney_10X,logcounts,umap,32,0.4576757206430321
seuclidean,TabulaMuris_Kidney_10X,logcounts,umap,2,0.3599061699752736
seuclidean,TabulaMuris_Kidney_10X,logcounts,umap,16,0.48679086756583756
seuclidean,TabulaMuris_Kidney_10X,logcounts,umap,96,0.4783464176465707
seuclidean,TabulaMuris_Kidney_10X,logcounts,umap,8,0.43882257472496256
seuclidean,TabulaMuris_Kidney_10X,logcounts,umap,48,0.4902183197920234
seuclidean,TabulaMuris_Kidney_10X,logcounts,kpca-sig,4,-0.057862002810652215
seuclidean,TabulaMuris_Kidney_10X,logcounts,kpca-sig,32,-0.21051001351249976
seuclidean,TabulaMuris_Kidney_10X,logcounts,kpca-sig,2,-0.05340609501347004
seuclidean,TabulaMuris_Kidney_10X,logcounts,kpca-sig,16,-0.1306653662118481
seuclidean,TabulaMuris_Kidney_10X,logcounts,kpca-sig,96,-0.31663522956687207
