metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Kidney_FACS,counts,spca,4,-0.4089229076939606
seuclidean,TabulaMuris_Kidney_FACS,counts,spca,32,-0.2849576130195387
seuclidean,TabulaMuris_Kidney_FACS,counts,spca,2,-0.35930070158840943
seuclidean,TabulaMuris_Kidney_FACS,counts,spca,16,-0.3490718204903078
seuclidean,TabulaMuris_Kidney_FACS,counts,spca,96,0.02392789058420409
seuclidean,TabulaMuris_Kidney_FACS,counts,spca,8,-0.2844663926464601
seuclidean,TabulaMuris_Kidney_FACS,counts,spca,48,-0.17447094096835977
seuclidean,TabulaMuris_Kidney_FACS,counts,tsvd,4,-0.43857012271937124
seuclidean,TabulaMuris_Kidney_FACS,counts,tsvd,32,-0.30949222689725947
seuclidean,TabulaMuris_Kidney_FACS,counts,tsvd,2,-0.3748215223573428
seuclidean,TabulaMuris_Kidney_FACS,counts,tsvd,16,-0.3839151270638665
seuclidean,TabulaMuris_Kidney_FACS,counts,tsvd,96,-0.04414211864218518
seuclidean,TabulaMuris_Kidney_FACS,counts,tsvd,8,-0.366056503954071
seuclidean,TabulaMuris_Kidney_FACS,counts,tsvd,48,-0.21874321324662016
seuclidean,TabulaMuris_Kidney_FACS,counts,spca-batch,4,-0.28766635905512383
seuclidean,TabulaMuris_Kidney_FACS,counts,spca-batch,32,-0.467827275987619
seuclidean,TabulaMuris_Kidney_FACS,counts,spca-batch,2,-0.2706720623116682
seuclidean,TabulaMuris_Kidney_FACS,counts,spca-batch,16,-0.49177831342356765
seuclidean,TabulaMuris_Kidney_FACS,counts,spca-batch,96,-0.4693053995669578
seuclidean,TabulaMuris_Kidney_FACS,counts,spca-batch,8,-0.44097999708554647
seuclidean,TabulaMuris_Kidney_FACS,counts,spca-batch,48,-0.4948233682966389
seuclidean,TabulaMuris_Kidney_FACS,counts,zifa,4,0.517552934360103
seuclidean,TabulaMuris_Kidney_FACS,counts,zifa,32,-0.2907355140926885
seuclidean,TabulaMuris_Kidney_FACS,counts,zifa,2,0.3186356383172182
seuclidean,TabulaMuris_Kidney_FACS,counts,zifa,16,0.5493393761644894
seuclidean,TabulaMuris_Kidney_FACS,counts,zifa,96,0.05728909813080604
seuclidean,TabulaMuris_Kidney_FACS,counts,zifa,8,0.6781301975302519
seuclidean,TabulaMuris_Kidney_FACS,counts,zifa,48,-0.10570525240625687
seuclidean,TabulaMuris_Kidney_FACS,counts,nsnmf,4,-0.18389621416258045
seuclidean,TabulaMuris_Kidney_FACS,counts,nsnmf,32,0.055340259088705955
seuclidean,TabulaMuris_Kidney_FACS,counts,nsnmf,2,-0.03345038305024836
seuclidean,TabulaMuris_Kidney_FACS,counts,nsnmf,16,-0.0024043661786485046
seuclidean,TabulaMuris_Kidney_FACS,counts,nsnmf,96,0.07689941633460658
seuclidean,TabulaMuris_Kidney_FACS,counts,nsnmf,8,-0.020685238206286306
seuclidean,TabulaMuris_Kidney_FACS,counts,nsnmf,48,0.0613986228799115
seuclidean,TabulaMuris_Kidney_FACS,counts,vpac,4,0.3035180451693265
seuclidean,TabulaMuris_Kidney_FACS,counts,vpac,32,0.6609502835540824
seuclidean,TabulaMuris_Kidney_FACS,counts,vpac,2,-0.3981111240689699
seuclidean,TabulaMuris_Kidney_FACS,counts,vpac,16,0.5860531467066997
seuclidean,TabulaMuris_Kidney_FACS,counts,vpac,96,0.6613944393141733
seuclidean,TabulaMuris_Kidney_FACS,counts,vpac,8,0.46217466197559387
seuclidean,TabulaMuris_Kidney_FACS,counts,vpac,48,0.6785403787104899
seuclidean,TabulaMuris_Kidney_FACS,counts,umap,4,0.18068546247877237
seuclidean,TabulaMuris_Kidney_FACS,counts,umap,32,0.1681965230657677
seuclidean,TabulaMuris_Kidney_FACS,counts,umap,2,0.06700164893366226
seuclidean,TabulaMuris_Kidney_FACS,counts,umap,16,0.11550884362094985
seuclidean,TabulaMuris_Kidney_FACS,counts,umap,96,0.06342364746291906
seuclidean,TabulaMuris_Kidney_FACS,counts,umap,8,0.35817666206358456
seuclidean,TabulaMuris_Kidney_FACS,counts,umap,48,0.16257728229409277
seuclidean,TabulaMuris_Kidney_FACS,counts,kpca-sig,4,nan
seuclidean,TabulaMuris_Kidney_FACS,counts,kpca-sig,32,nan
seuclidean,TabulaMuris_Kidney_FACS,counts,kpca-sig,2,nan
seuclidean,TabulaMuris_Kidney_FACS,counts,kpca-sig,16,nan
seuclidean,TabulaMuris_Kidney_FACS,counts,kpca-sig,96,nan
seuclidean,TabulaMuris_Kidney_FACS,counts,kpca-sig,8,nan
seuclidean,TabulaMuris_Kidney_FACS,counts,kpca-sig,48,nan
seuclidean,TabulaMuris_Kidney_FACS,counts,nmf2,4,-0.40131269237145556
seuclidean,TabulaMuris_Kidney_FACS,counts,nmf2,32,-0.5355927789245908
seuclidean,TabulaMuris_Kidney_FACS,counts,nmf2,2,-0.3937661215255188
seuclidean,TabulaMuris_Kidney_FACS,counts,nmf2,16,-0.5141948896761049
seuclidean,TabulaMuris_Kidney_FACS,counts,nmf2,96,-0.591997175707924
seuclidean,TabulaMuris_Kidney_FACS,counts,nmf2,8,-0.4514092596389293
seuclidean,TabulaMuris_Kidney_FACS,counts,nmf2,48,-0.538957673136617
