metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Kidney_FACS,logcounts,spca,4,0.7180242301540899
seuclidean,TabulaMuris_Kidney_FACS,logcounts,spca,32,0.896521322815291
seuclidean,TabulaMuris_Kidney_FACS,logcounts,spca,2,0.6235568661523769
seuclidean,TabulaMuris_Kidney_FACS,logcounts,spca,16,0.8719038180283752
seuclidean,TabulaMuris_Kidney_FACS,logcounts,spca,96,0.9065927837372404
seuclidean,TabulaMuris_Kidney_FACS,logcounts,spca,8,0.8057259226014453
seuclidean,TabulaMuris_Kidney_FACS,logcounts,spca,48,0.9123376898206385
seuclidean,TabulaMuris_Kidney_FACS,logcounts,tsvd,4,0.7290326817037174
seuclidean,TabulaMuris_Kidney_FACS,logcounts,tsvd,32,0.9359648939989308
seuclidean,TabulaMuris_Kidney_FACS,logcounts,tsvd,2,0.6442281274418777
seuclidean,TabulaMuris_Kidney_FACS,logcounts,tsvd,16,0.8828624437913356
seuclidean,TabulaMuris_Kidney_FACS,logcounts,tsvd,96,0.949526885324571
seuclidean,TabulaMuris_Kidney_FACS,logcounts,tsvd,8,0.8063324790918612
seuclidean,TabulaMuris_Kidney_FACS,logcounts,tsvd,48,0.9421909091082441
seuclidean,TabulaMuris_Kidney_FACS,logcounts,spca-batch,4,0.6314984466681061
seuclidean,TabulaMuris_Kidney_FACS,logcounts,spca-batch,32,0.7933106351294577
seuclidean,TabulaMuris_Kidney_FACS,logcounts,spca-batch,2,0.6316387865092298
seuclidean,TabulaMuris_Kidney_FACS,logcounts,spca-batch,16,0.8095775703529555
seuclidean,TabulaMuris_Kidney_FACS,logcounts,spca-batch,96,0.8398098562391798
seuclidean,TabulaMuris_Kidney_FACS,logcounts,spca-batch,8,0.7124983570405073
seuclidean,TabulaMuris_Kidney_FACS,logcounts,spca-batch,48,0.8830995684655991
seuclidean,TabulaMuris_Kidney_FACS,logcounts,zifa,4,0.6020149278713118
seuclidean,TabulaMuris_Kidney_FACS,logcounts,zifa,32,0.894764779230728
seuclidean,TabulaMuris_Kidney_FACS,logcounts,zifa,2,0.49405733072198954
seuclidean,TabulaMuris_Kidney_FACS,logcounts,zifa,16,0.8451189103332558
seuclidean,TabulaMuris_Kidney_FACS,logcounts,zifa,96,0.7657388662072826
seuclidean,TabulaMuris_Kidney_FACS,logcounts,zifa,8,0.7729841602916905
seuclidean,TabulaMuris_Kidney_FACS,logcounts,zifa,48,0.9060290552210463
seuclidean,TabulaMuris_Kidney_FACS,logcounts,nsnmf,4,0.8477317087078897
seuclidean,TabulaMuris_Kidney_FACS,logcounts,nsnmf,32,0.8236950028232963
seuclidean,TabulaMuris_Kidney_FACS,logcounts,nsnmf,2,0.7309544000304293
seuclidean,TabulaMuris_Kidney_FACS,logcounts,nsnmf,16,0.8070338911423486
seuclidean,TabulaMuris_Kidney_FACS,logcounts,nsnmf,96,0.7843277310484311
seuclidean,TabulaMuris_Kidney_FACS,logcounts,nsnmf,8,0.7897548445033632
seuclidean,TabulaMuris_Kidney_FACS,logcounts,nsnmf,48,0.7940311071621378
seuclidean,TabulaMuris_Kidney_FACS,logcounts,vpac,4,0.5573952333900969
seuclidean,TabulaMuris_Kidney_FACS,logcounts,vpac,32,0.8689841642331156
seuclidean,TabulaMuris_Kidney_FACS,logcounts,vpac,2,0.26842458677117625
seuclidean,TabulaMuris_Kidney_FACS,logcounts,vpac,16,0.7606095071774679
seuclidean,TabulaMuris_Kidney_FACS,logcounts,vpac,96,0.8861369868570947
seuclidean,TabulaMuris_Kidney_FACS,logcounts,vpac,8,0.48924622860050754
seuclidean,TabulaMuris_Kidney_FACS,logcounts,vpac,48,0.8915189167678625
seuclidean,TabulaMuris_Kidney_FACS,logcounts,umap,4,0.3905411005603437
seuclidean,TabulaMuris_Kidney_FACS,logcounts,umap,32,0.3685364961207905
seuclidean,TabulaMuris_Kidney_FACS,logcounts,umap,2,0.36557574022992106
seuclidean,TabulaMuris_Kidney_FACS,logcounts,umap,16,0.3685093272522473
seuclidean,TabulaMuris_Kidney_FACS,logcounts,umap,96,0.4020544311343978
seuclidean,TabulaMuris_Kidney_FACS,logcounts,umap,8,0.3470422457015363
seuclidean,TabulaMuris_Kidney_FACS,logcounts,umap,48,0.3989394568723215
seuclidean,TabulaMuris_Kidney_FACS,logcounts,kpca-sig,4,0.44870331881147624
seuclidean,TabulaMuris_Kidney_FACS,logcounts,kpca-sig,32,-0.1371534768827596
seuclidean,TabulaMuris_Kidney_FACS,logcounts,kpca-sig,2,0.359014128875792
seuclidean,TabulaMuris_Kidney_FACS,logcounts,kpca-sig,16,0.14602375015145289
seuclidean,TabulaMuris_Kidney_FACS,logcounts,kpca-sig,96,-0.2842206909701591
seuclidean,TabulaMuris_Kidney_FACS,logcounts,kpca-sig,8,0.3531398762889389
seuclidean,TabulaMuris_Kidney_FACS,logcounts,kpca-sig,48,-0.2144605820084628
seuclidean,TabulaMuris_Kidney_FACS,logcounts,nmf2,4,0.7629913009088308
seuclidean,TabulaMuris_Kidney_FACS,logcounts,nmf2,32,0.8457206456439215
seuclidean,TabulaMuris_Kidney_FACS,logcounts,nmf2,2,0.6366813601908845
seuclidean,TabulaMuris_Kidney_FACS,logcounts,nmf2,16,0.8289523984665147
seuclidean,TabulaMuris_Kidney_FACS,logcounts,nmf2,96,0.8593044418773004
seuclidean,TabulaMuris_Kidney_FACS,logcounts,nmf2,8,0.7646380755345479
seuclidean,TabulaMuris_Kidney_FACS,logcounts,nmf2,48,0.8791027230544542
seuclidean,TabulaMuris_Kidney_FACS,logcounts,srp,4,0.6258280221633848
seuclidean,TabulaMuris_Kidney_FACS,logcounts,srp,32,0.85883740450518
seuclidean,TabulaMuris_Kidney_FACS,logcounts,srp,2,0.4582287193718677
seuclidean,TabulaMuris_Kidney_FACS,logcounts,srp,16,0.7407239689523164
seuclidean,TabulaMuris_Kidney_FACS,logcounts,srp,96,0.9135773053565184
seuclidean,TabulaMuris_Kidney_FACS,logcounts,srp,8,0.6725964135385198
seuclidean,TabulaMuris_Kidney_FACS,logcounts,srp,48,0.8569267921677539
seuclidean,TabulaMuris_Kidney_FACS,logcounts,psmf,4,0.7703580948481791
seuclidean,TabulaMuris_Kidney_FACS,logcounts,psmf,32,0.8045641412040303
seuclidean,TabulaMuris_Kidney_FACS,logcounts,psmf,2,0.6814987233208541
seuclidean,TabulaMuris_Kidney_FACS,logcounts,psmf,16,0.7621726709705056
seuclidean,TabulaMuris_Kidney_FACS,logcounts,psmf,96,0.8426118875601691
seuclidean,TabulaMuris_Kidney_FACS,logcounts,psmf,8,0.7846630398236548
seuclidean,TabulaMuris_Kidney_FACS,logcounts,psmf,48,0.8143287241607838
seuclidean,TabulaMuris_Kidney_FACS,logcounts,fica,4,0.7221364328210651
seuclidean,TabulaMuris_Kidney_FACS,logcounts,fica,32,0.9333052233988374
seuclidean,TabulaMuris_Kidney_FACS,logcounts,fica,2,0.6393580290313627
seuclidean,TabulaMuris_Kidney_FACS,logcounts,fica,16,0.8915521645926636
seuclidean,TabulaMuris_Kidney_FACS,logcounts,fica,96,0.9468341284764954
seuclidean,TabulaMuris_Kidney_FACS,logcounts,fica,8,0.8273136114258528
seuclidean,TabulaMuris_Kidney_FACS,logcounts,fica,48,0.9423291942936406
seuclidean,TabulaMuris_Kidney_FACS,logcounts,lle,4,0.36678417721413287
seuclidean,TabulaMuris_Kidney_FACS,logcounts,lle,32,0.1314233297584521
seuclidean,TabulaMuris_Kidney_FACS,logcounts,lle,2,0.396606484947253
seuclidean,TabulaMuris_Kidney_FACS,logcounts,lle,16,0.19230627509914203
seuclidean,TabulaMuris_Kidney_FACS,logcounts,lle,96,0.19367463767368875
seuclidean,TabulaMuris_Kidney_FACS,logcounts,lle,8,0.20882199017613487
seuclidean,TabulaMuris_Kidney_FACS,logcounts,lle,48,0.13742369315793676
seuclidean,TabulaMuris_Kidney_FACS,logcounts,lsnmf,4,0.6111764125289046
seuclidean,TabulaMuris_Kidney_FACS,logcounts,lsnmf,32,0.6040977210945929
seuclidean,TabulaMuris_Kidney_FACS,logcounts,lsnmf,2,0.6273358474969724
seuclidean,TabulaMuris_Kidney_FACS,logcounts,lsnmf,16,0.7758109409932455
seuclidean,TabulaMuris_Kidney_FACS,logcounts,lsnmf,96,-0.013829383364713746
seuclidean,TabulaMuris_Kidney_FACS,logcounts,lsnmf,8,0.7989656154786566
seuclidean,TabulaMuris_Kidney_FACS,logcounts,lsnmf,48,0.6648616616202292
seuclidean,TabulaMuris_Kidney_FACS,logcounts,phate,4,0.17758730015755267
seuclidean,TabulaMuris_Kidney_FACS,logcounts,phate,32,0.021631252174945558
seuclidean,TabulaMuris_Kidney_FACS,logcounts,phate,2,0.033767396969409794
seuclidean,TabulaMuris_Kidney_FACS,logcounts,phate,16,0.14199952344471947
seuclidean,TabulaMuris_Kidney_FACS,logcounts,phate,96,0.07366590645070291
seuclidean,TabulaMuris_Kidney_FACS,logcounts,phate,8,0.2398473501533155
seuclidean,TabulaMuris_Kidney_FACS,logcounts,phate,48,-0.02369882289484302
seuclidean,TabulaMuris_Kidney_FACS,logcounts,kpca-rbf,4,0.1344772562272094
seuclidean,TabulaMuris_Kidney_FACS,logcounts,kpca-rbf,32,0.6103590791215515
seuclidean,TabulaMuris_Kidney_FACS,logcounts,kpca-rbf,2,0.1707575618415257
seuclidean,TabulaMuris_Kidney_FACS,logcounts,kpca-rbf,16,0.392406294116732
seuclidean,TabulaMuris_Kidney_FACS,logcounts,kpca-rbf,96,0.890092996795696
seuclidean,TabulaMuris_Kidney_FACS,logcounts,kpca-rbf,8,0.24129364556823593
seuclidean,TabulaMuris_Kidney_FACS,logcounts,kpca-rbf,48,0.7605538955003205
seuclidean,TabulaMuris_Kidney_FACS,logcounts,isomap,4,0.73447643313647
seuclidean,TabulaMuris_Kidney_FACS,logcounts,isomap,32,0.6676141868676161
seuclidean,TabulaMuris_Kidney_FACS,logcounts,isomap,2,0.7367710343427399
seuclidean,TabulaMuris_Kidney_FACS,logcounts,isomap,16,0.7294378361199432
seuclidean,TabulaMuris_Kidney_FACS,logcounts,isomap,96,0.6195188463411903
seuclidean,TabulaMuris_Kidney_FACS,logcounts,isomap,8,0.7445537591426264
seuclidean,TabulaMuris_Kidney_FACS,logcounts,isomap,48,0.6502240533122059
seuclidean,TabulaMuris_Kidney_FACS,logcounts,saucie,4,0.011487322040273572
seuclidean,TabulaMuris_Kidney_FACS,logcounts,saucie,32,-0.0010123031625033784
