metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Liver_10X,counts,spca,4,0.11753256617828674
seuclidean,TabulaMuris_Liver_10X,counts,spca,32,0.399424260196192
seuclidean,TabulaMuris_Liver_10X,counts,spca,2,0.0013093731589177797
seuclidean,TabulaMuris_Liver_10X,counts,spca,16,0.24199835946001405
seuclidean,TabulaMuris_Liver_10X,counts,spca,96,0.6574980480551841
seuclidean,TabulaMuris_Liver_10X,counts,spca,8,0.21258706900067667
seuclidean,TabulaMuris_Liver_10X,counts,spca,48,0.4942046766892658
seuclidean,TabulaMuris_Liver_10X,counts,tsvd,4,0.06397649995085426
seuclidean,TabulaMuris_Liver_10X,counts,tsvd,32,0.3447654282327854
seuclidean,TabulaMuris_Liver_10X,counts,tsvd,2,0.04904093840626658
seuclidean,TabulaMuris_Liver_10X,counts,tsvd,16,0.2062427484786107
seuclidean,TabulaMuris_Liver_10X,counts,tsvd,96,0.6144873157863221
seuclidean,TabulaMuris_Liver_10X,counts,tsvd,8,0.1052254710658864
seuclidean,TabulaMuris_Liver_10X,counts,tsvd,48,0.4338716635991951
seuclidean,TabulaMuris_Liver_10X,counts,spca-batch,4,0.11789438074680006
seuclidean,TabulaMuris_Liver_10X,counts,spca-batch,32,0.3107750621371631
seuclidean,TabulaMuris_Liver_10X,counts,spca-batch,2,-0.0786243199734388
seuclidean,TabulaMuris_Liver_10X,counts,spca-batch,16,0.19653386115947066
seuclidean,TabulaMuris_Liver_10X,counts,spca-batch,96,0.3073777311062325
seuclidean,TabulaMuris_Liver_10X,counts,spca-batch,8,0.09766372782426073
seuclidean,TabulaMuris_Liver_10X,counts,spca-batch,48,0.22462075517869576
seuclidean,TabulaMuris_Liver_10X,counts,zifa,4,0.4199998045925265
seuclidean,TabulaMuris_Liver_10X,counts,zifa,32,0.6473989890597431
seuclidean,TabulaMuris_Liver_10X,counts,zifa,2,0.3501553850526411
seuclidean,TabulaMuris_Liver_10X,counts,zifa,16,0.6086485680702729
seuclidean,TabulaMuris_Liver_10X,counts,zifa,96,0.6897732174226993
seuclidean,TabulaMuris_Liver_10X,counts,zifa,8,0.5523662614919383
seuclidean,TabulaMuris_Liver_10X,counts,zifa,48,0.6796770572946732
seuclidean,TabulaMuris_Liver_10X,counts,nsnmf,4,0.20322041719590067
seuclidean,TabulaMuris_Liver_10X,counts,nsnmf,32,0.3392243849216913
seuclidean,TabulaMuris_Liver_10X,counts,nsnmf,2,0.11124475968607885
seuclidean,TabulaMuris_Liver_10X,counts,nsnmf,16,0.28861058832367753
seuclidean,TabulaMuris_Liver_10X,counts,nsnmf,96,0.42973948624768366
seuclidean,TabulaMuris_Liver_10X,counts,nsnmf,8,0.28420453133394163
seuclidean,TabulaMuris_Liver_10X,counts,nsnmf,48,0.3386940458141836
seuclidean,TabulaMuris_Liver_10X,counts,vpac,4,-0.07192737749191862
seuclidean,TabulaMuris_Liver_10X,counts,vpac,32,0.18659415161899628
seuclidean,TabulaMuris_Liver_10X,counts,vpac,2,0.27652770887216677
seuclidean,TabulaMuris_Liver_10X,counts,vpac,16,0.11997120398815019
seuclidean,TabulaMuris_Liver_10X,counts,vpac,96,0.11280026784587366
seuclidean,TabulaMuris_Liver_10X,counts,vpac,8,-0.01246706775566241
seuclidean,TabulaMuris_Liver_10X,counts,vpac,48,0.15061997312623362
seuclidean,TabulaMuris_Liver_10X,counts,umap,4,0.14752926037751662
seuclidean,TabulaMuris_Liver_10X,counts,umap,32,0.1026748755469241
seuclidean,TabulaMuris_Liver_10X,counts,umap,2,0.05015125243932895
seuclidean,TabulaMuris_Liver_10X,counts,umap,16,0.2234174589761877
seuclidean,TabulaMuris_Liver_10X,counts,umap,96,0.21536614123253245
seuclidean,TabulaMuris_Liver_10X,counts,umap,8,0.13239864482311403
seuclidean,TabulaMuris_Liver_10X,counts,umap,48,0.18301756692443782
seuclidean,TabulaMuris_Liver_10X,counts,kpca-sig,4,nan
seuclidean,TabulaMuris_Liver_10X,counts,kpca-sig,32,nan
seuclidean,TabulaMuris_Liver_10X,counts,kpca-sig,2,nan
seuclidean,TabulaMuris_Liver_10X,counts,kpca-sig,16,nan
seuclidean,TabulaMuris_Liver_10X,counts,kpca-sig,96,nan
seuclidean,TabulaMuris_Liver_10X,counts,kpca-sig,8,nan
seuclidean,TabulaMuris_Liver_10X,counts,kpca-sig,48,nan
seuclidean,TabulaMuris_Liver_10X,counts,nmf2,4,-0.036547331641938005
seuclidean,TabulaMuris_Liver_10X,counts,nmf2,32,-0.0038987924135164926
seuclidean,TabulaMuris_Liver_10X,counts,nmf2,2,0.011769935015594398
seuclidean,TabulaMuris_Liver_10X,counts,nmf2,16,0.044533491950437376
seuclidean,TabulaMuris_Liver_10X,counts,nmf2,96,0.014169654736039875
seuclidean,TabulaMuris_Liver_10X,counts,nmf2,8,-0.02961754441908908
seuclidean,TabulaMuris_Liver_10X,counts,nmf2,48,0.03260489824357406
seuclidean,TabulaMuris_Liver_10X,counts,srp,4,0.2942806326593118
seuclidean,TabulaMuris_Liver_10X,counts,srp,32,0.4769637694240206
seuclidean,TabulaMuris_Liver_10X,counts,srp,2,0.22861668485741055
seuclidean,TabulaMuris_Liver_10X,counts,srp,16,0.49755312928972656
seuclidean,TabulaMuris_Liver_10X,counts,srp,96,0.6363633385167033
seuclidean,TabulaMuris_Liver_10X,counts,srp,8,0.4448073469854716
seuclidean,TabulaMuris_Liver_10X,counts,srp,48,0.6097148524627605
seuclidean,TabulaMuris_Liver_10X,counts,psmf,4,0.2707756743190239
seuclidean,TabulaMuris_Liver_10X,counts,psmf,32,0.38816640099659516
seuclidean,TabulaMuris_Liver_10X,counts,psmf,2,0.09765829118597705
seuclidean,TabulaMuris_Liver_10X,counts,psmf,16,0.3557350710885684
seuclidean,TabulaMuris_Liver_10X,counts,psmf,96,0.48028305535624144
seuclidean,TabulaMuris_Liver_10X,counts,psmf,8,0.2878058389243838
seuclidean,TabulaMuris_Liver_10X,counts,psmf,48,nan
seuclidean,TabulaMuris_Liver_10X,counts,fica,4,0.1175338033823536
seuclidean,TabulaMuris_Liver_10X,counts,fica,32,0.3727477682324401
seuclidean,TabulaMuris_Liver_10X,counts,fica,2,0.0013102936959954955
seuclidean,TabulaMuris_Liver_10X,counts,fica,16,0.2420005181304803
seuclidean,TabulaMuris_Liver_10X,counts,fica,96,0.6208010784392786
seuclidean,TabulaMuris_Liver_10X,counts,fica,8,0.21258567525935793
seuclidean,TabulaMuris_Liver_10X,counts,fica,48,0.46025781805588795
seuclidean,TabulaMuris_Liver_10X,counts,lle,4,0.02445826600891901
seuclidean,TabulaMuris_Liver_10X,counts,lle,32,0.042756725429751896
seuclidean,TabulaMuris_Liver_10X,counts,lle,2,-0.020977424916979844
seuclidean,TabulaMuris_Liver_10X,counts,lle,16,0.1836967482062474
seuclidean,TabulaMuris_Liver_10X,counts,lle,96,-0.12418809084044494
seuclidean,TabulaMuris_Liver_10X,counts,lle,8,-0.08730771688456397
seuclidean,TabulaMuris_Liver_10X,counts,lle,48,-0.025827590456045005
seuclidean,TabulaMuris_Liver_10X,counts,lsnmf,4,0.00385908779705247
seuclidean,TabulaMuris_Liver_10X,counts,lsnmf,32,-0.0011574555136992064
seuclidean,TabulaMuris_Liver_10X,counts,lsnmf,2,-0.0027675858916219667
seuclidean,TabulaMuris_Liver_10X,counts,lsnmf,16,-0.013536646148956687
seuclidean,TabulaMuris_Liver_10X,counts,lsnmf,96,-0.005007897039497303
seuclidean,TabulaMuris_Liver_10X,counts,lsnmf,8,0.018782964717639697
seuclidean,TabulaMuris_Liver_10X,counts,lsnmf,48,0.018474678583769368
seuclidean,TabulaMuris_Liver_10X,counts,phate,4,-0.08564601539317661
seuclidean,TabulaMuris_Liver_10X,counts,phate,32,0.16918716266915237
seuclidean,TabulaMuris_Liver_10X,counts,phate,2,-0.1253974814389881
seuclidean,TabulaMuris_Liver_10X,counts,phate,16,0.03762240958930622
seuclidean,TabulaMuris_Liver_10X,counts,phate,96,0.08769808322428504
seuclidean,TabulaMuris_Liver_10X,counts,phate,8,-0.0833685999897359
seuclidean,TabulaMuris_Liver_10X,counts,phate,48,0.1824578499438374
seuclidean,TabulaMuris_Liver_10X,counts,kpca-rbf,4,0.001324794642751268
seuclidean,TabulaMuris_Liver_10X,counts,kpca-rbf,32,0.025078693186164118
seuclidean,TabulaMuris_Liver_10X,counts,kpca-rbf,2,0.01525546791429228
seuclidean,TabulaMuris_Liver_10X,counts,kpca-rbf,16,0.01068750488619153
seuclidean,TabulaMuris_Liver_10X,counts,kpca-rbf,96,0.012707396680265987
seuclidean,TabulaMuris_Liver_10X,counts,kpca-rbf,8,-0.004321557733331381
seuclidean,TabulaMuris_Liver_10X,counts,kpca-rbf,48,nan
seuclidean,TabulaMuris_Liver_10X,counts,isomap,4,0.15141980717486325
seuclidean,TabulaMuris_Liver_10X,counts,isomap,32,0.22215466634262473
seuclidean,TabulaMuris_Liver_10X,counts,isomap,2,0.0699641383347664
seuclidean,TabulaMuris_Liver_10X,counts,isomap,16,0.23279027842228847
seuclidean,TabulaMuris_Liver_10X,counts,isomap,96,0.1640762806894698
seuclidean,TabulaMuris_Liver_10X,counts,isomap,8,0.22428151461757886
seuclidean,TabulaMuris_Liver_10X,counts,isomap,48,0.18840678603442318
seuclidean,TabulaMuris_Liver_10X,counts,saucie,4,-0.011134261305278744
seuclidean,TabulaMuris_Liver_10X,counts,saucie,32,-0.01199903806596627
seuclidean,TabulaMuris_Liver_10X,counts,saucie,2,-0.00783992067861056
seuclidean,TabulaMuris_Liver_10X,counts,saucie,16,0.023061200247438567
seuclidean,TabulaMuris_Liver_10X,counts,saucie,96,0.008264512255719577
seuclidean,TabulaMuris_Liver_10X,counts,saucie,8,-0.017726798182338518
seuclidean,TabulaMuris_Liver_10X,counts,saucie,48,0.0012024013439828126
seuclidean,TabulaMuris_Liver_10X,counts,bd,4,0.04010131242870756
seuclidean,TabulaMuris_Liver_10X,counts,bd,32,0.277816792444865
seuclidean,TabulaMuris_Liver_10X,counts,bd,2,0.015019217515142977
seuclidean,TabulaMuris_Liver_10X,counts,bd,16,0.18121363581816516
seuclidean,TabulaMuris_Liver_10X,counts,bd,96,0.4095118116726529
seuclidean,TabulaMuris_Liver_10X,counts,bd,8,0.09372559392218527
seuclidean,TabulaMuris_Liver_10X,counts,bd,48,0.3559787605599297
seuclidean,TabulaMuris_Liver_10X,counts,lda,4,0.1990955862012485
seuclidean,TabulaMuris_Liver_10X,counts,lda,32,0.579638399663004
seuclidean,TabulaMuris_Liver_10X,counts,lda,2,0.14410314984220907
seuclidean,TabulaMuris_Liver_10X,counts,lda,16,0.4678984811305188
seuclidean,TabulaMuris_Liver_10X,counts,lda,96,0.6390138371686954
seuclidean,TabulaMuris_Liver_10X,counts,lda,8,0.3659344321693097
seuclidean,TabulaMuris_Liver_10X,counts,lda,48,0.6443453309988597
seuclidean,TabulaMuris_Liver_10X,counts,spectral,4,-0.044427019827530785
seuclidean,TabulaMuris_Liver_10X,counts,spectral,32,0.3381659259478578
seuclidean,TabulaMuris_Liver_10X,counts,spectral,2,-0.12131281727371915
seuclidean,TabulaMuris_Liver_10X,counts,spectral,16,0.22374968012529578
seuclidean,TabulaMuris_Liver_10X,counts,spectral,96,0.4044943987282425
seuclidean,TabulaMuris_Liver_10X,counts,spectral,8,0.1660715375794357
seuclidean,TabulaMuris_Liver_10X,counts,spectral,48,0.35747307815539686
seuclidean,TabulaMuris_Liver_10X,counts,grp,4,0.1791519078690457
seuclidean,TabulaMuris_Liver_10X,counts,grp,32,0.17428604471922785
seuclidean,TabulaMuris_Liver_10X,counts,grp,2,0.20454322010735246
seuclidean,TabulaMuris_Liver_10X,counts,grp,16,0.18118816780953417
seuclidean,TabulaMuris_Liver_10X,counts,grp,96,0.2389878617130154
seuclidean,TabulaMuris_Liver_10X,counts,grp,8,0.21803452051243183
seuclidean,TabulaMuris_Liver_10X,counts,grp,48,0.2508545941970254
seuclidean,TabulaMuris_Liver_10X,counts,fa,4,0.3118089097612324
seuclidean,TabulaMuris_Liver_10X,counts,fa,32,0.29067405489190756
seuclidean,TabulaMuris_Liver_10X,counts,fa,2,0.3060713585048212
seuclidean,TabulaMuris_Liver_10X,counts,fa,16,0.3219424510300768
seuclidean,TabulaMuris_Liver_10X,counts,fa,96,0.3398752992321554
seuclidean,TabulaMuris_Liver_10X,counts,fa,8,0.2923040297039791
seuclidean,TabulaMuris_Liver_10X,counts,fa,48,0.30940325469947383
seuclidean,TabulaMuris_Liver_10X,counts,mctsne,4,0.172942112325284
seuclidean,TabulaMuris_Liver_10X,counts,mctsne,32,nan
seuclidean,TabulaMuris_Liver_10X,counts,mctsne,2,0.07649978852975414
seuclidean,TabulaMuris_Liver_10X,counts,mctsne,16,0.15836309252404934
seuclidean,TabulaMuris_Liver_10X,counts,mctsne,96,0.1644170113697496
seuclidean,TabulaMuris_Liver_10X,counts,mctsne,8,0.12601496320063163
seuclidean,TabulaMuris_Liver_10X,counts,mctsne,48,-0.055893587716235635
seuclidean,TabulaMuris_Liver_10X,counts,nmf,4,0.035568327123704266
seuclidean,TabulaMuris_Liver_10X,counts,nmf,32,0.2599842419811207
seuclidean,TabulaMuris_Liver_10X,counts,nmf,2,0.013216696724276947
seuclidean,TabulaMuris_Liver_10X,counts,nmf,16,0.17473395460333815
seuclidean,TabulaMuris_Liver_10X,counts,nmf,96,0.4448065674250667
seuclidean,TabulaMuris_Liver_10X,counts,nmf,8,0.09305304134023563
seuclidean,TabulaMuris_Liver_10X,counts,nmf,48,0.3191953559321783
seuclidean,TabulaMuris_Liver_10X,counts,kpca-pol,4,-0.12327532399790259
seuclidean,TabulaMuris_Liver_10X,counts,kpca-pol,32,-0.07762115855405571
seuclidean,TabulaMuris_Liver_10X,counts,kpca-pol,2,-0.06637902792729718
seuclidean,TabulaMuris_Liver_10X,counts,kpca-pol,16,-0.09137952336313404
seuclidean,TabulaMuris_Liver_10X,counts,kpca-pol,96,-0.002283094542195953
seuclidean,TabulaMuris_Liver_10X,counts,kpca-pol,8,-0.06629578027674353
seuclidean,TabulaMuris_Liver_10X,counts,kpca-pol,48,-0.04840906792628442
seuclidean,TabulaMuris_Liver_10X,counts,vasc,4,0.09353229227592166
seuclidean,TabulaMuris_Liver_10X,counts,vasc,32,0.11780836108590768
seuclidean,TabulaMuris_Liver_10X,counts,vasc,2,0.08575523064518956
seuclidean,TabulaMuris_Liver_10X,counts,vasc,16,0.13697482808947867
seuclidean,TabulaMuris_Liver_10X,counts,vasc,96,-0.03615252112304555
seuclidean,TabulaMuris_Liver_10X,counts,vasc,8,0.2204029850796735
seuclidean,TabulaMuris_Liver_10X,counts,vasc,48,0.053245771588243195
seuclidean,TabulaMuris_Liver_10X,counts,kpca-cos,4,0.2112482583821723
seuclidean,TabulaMuris_Liver_10X,counts,kpca-cos,32,0.4797603209571301
seuclidean,TabulaMuris_Liver_10X,counts,kpca-cos,2,0.1715440158422718
seuclidean,TabulaMuris_Liver_10X,counts,kpca-cos,16,0.35812358365585834
seuclidean,TabulaMuris_Liver_10X,counts,kpca-cos,96,0.689223108471493
seuclidean,TabulaMuris_Liver_10X,counts,kpca-cos,8,0.28787467984998144
seuclidean,TabulaMuris_Liver_10X,counts,kpca-cos,48,0.5513946523020844
seuclidean,TabulaMuris_Liver_10X,counts,pca,4,0.11753380428223084
seuclidean,TabulaMuris_Liver_10X,counts,pca,32,0.3733507438740022
seuclidean,TabulaMuris_Liver_10X,counts,pca,2,0.0013102933674495644
seuclidean,TabulaMuris_Liver_10X,counts,pca,16,0.24200062032526004
seuclidean,TabulaMuris_Liver_10X,counts,pca,96,0.6217785136101482
seuclidean,TabulaMuris_Liver_10X,counts,pca,8,0.21258571307246127
seuclidean,TabulaMuris_Liver_10X,counts,pca,48,0.4611573854094571
seuclidean,TabulaMuris_Liver_10X,counts,pmf,4,0.177512715722955
seuclidean,TabulaMuris_Liver_10X,counts,pmf,32,0.4745366804180371
seuclidean,TabulaMuris_Liver_10X,counts,pmf,2,0.10128692281935947
seuclidean,TabulaMuris_Liver_10X,counts,pmf,16,0.3782531309683287
seuclidean,TabulaMuris_Liver_10X,counts,pmf,96,0.5492228881448327
seuclidean,TabulaMuris_Liver_10X,counts,pmf,8,0.28844236020189035
seuclidean,TabulaMuris_Liver_10X,counts,pmf,48,0.4863931193228165
seuclidean,TabulaMuris_Liver_10X,counts,snmf,4,0.03146010796646299
seuclidean,TabulaMuris_Liver_10X,counts,snmf,32,nan
seuclidean,TabulaMuris_Liver_10X,counts,snmf,2,0.008601396124887556
seuclidean,TabulaMuris_Liver_10X,counts,snmf,16,0.17782842082578199
seuclidean,TabulaMuris_Liver_10X,counts,snmf,8,-0.04292927747357108
seuclidean,TabulaMuris_Liver_10X,counts,snmf,48,nan
seuclidean,TabulaMuris_Liver_10X,counts,ipca,4,0.11753380426412628
seuclidean,TabulaMuris_Liver_10X,counts,ipca,32,0.3727477693884421
seuclidean,TabulaMuris_Liver_10X,counts,ipca,2,0.0013102933431859503
seuclidean,TabulaMuris_Liver_10X,counts,ipca,16,0.24200051921732108
seuclidean,TabulaMuris_Liver_10X,counts,ipca,96,0.6208010792878758
seuclidean,TabulaMuris_Liver_10X,counts,ipca,8,0.21258567716610888
seuclidean,TabulaMuris_Liver_10X,counts,ipca,48,0.46025781856905523
seuclidean,TabulaMuris_Liver_10X,counts,icm,4,-0.11272240345595054
seuclidean,TabulaMuris_Liver_10X,counts,icm,32,-0.16215536557968196
seuclidean,TabulaMuris_Liver_10X,counts,icm,2,-0.06888308595968178
seuclidean,TabulaMuris_Liver_10X,counts,icm,16,-0.22251054606678336
seuclidean,TabulaMuris_Liver_10X,counts,icm,96,0.10203116667409559
seuclidean,TabulaMuris_Liver_10X,counts,icm,8,-0.1577011722799807
seuclidean,TabulaMuris_Liver_10X,counts,icm,48,-0.044920099618009995
seuclidean,TabulaMuris_Liver_10X,counts,ivis,4,0.17020585585248968
seuclidean,TabulaMuris_Liver_10X,counts,ivis,32,0.15244980651138543
seuclidean,TabulaMuris_Liver_10X,counts,ivis,2,0.21227175011913008
seuclidean,TabulaMuris_Liver_10X,counts,ivis,16,0.07385555208397135
seuclidean,TabulaMuris_Liver_10X,counts,ivis,96,0.17440074432909217
seuclidean,TabulaMuris_Liver_10X,counts,ivis,8,0.17422420897096322
seuclidean,TabulaMuris_Liver_10X,counts,ivis,48,0.07997984151274899
