metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Liver_10X,logcounts,spca,4,0.6064555246374307
seuclidean,TabulaMuris_Liver_10X,logcounts,spca,32,0.6841142245408588
seuclidean,TabulaMuris_Liver_10X,logcounts,spca,2,0.4212842881079923
seuclidean,TabulaMuris_Liver_10X,logcounts,spca,16,0.6945924941830433
seuclidean,TabulaMuris_Liver_10X,logcounts,spca,96,0.520986829804577
seuclidean,TabulaMuris_Liver_10X,logcounts,spca,8,0.651983428379635
seuclidean,TabulaMuris_Liver_10X,logcounts,spca,48,0.6505076850151615
seuclidean,TabulaMuris_Liver_10X,logcounts,tsvd,4,0.5796367238275467
seuclidean,TabulaMuris_Liver_10X,logcounts,tsvd,32,0.7001741901063896
seuclidean,TabulaMuris_Liver_10X,logcounts,tsvd,2,0.5108967361540302
seuclidean,TabulaMuris_Liver_10X,logcounts,tsvd,16,0.6730192659609875
seuclidean,TabulaMuris_Liver_10X,logcounts,tsvd,96,0.6405524465816184
seuclidean,TabulaMuris_Liver_10X,logcounts,tsvd,8,0.606330632465619
seuclidean,TabulaMuris_Liver_10X,logcounts,tsvd,48,0.6863514028368267
seuclidean,TabulaMuris_Liver_10X,logcounts,spca-batch,4,0.5770692993012693
seuclidean,TabulaMuris_Liver_10X,logcounts,spca-batch,32,0.579974887059479
seuclidean,TabulaMuris_Liver_10X,logcounts,spca-batch,2,0.37323521220051104
seuclidean,TabulaMuris_Liver_10X,logcounts,spca-batch,16,0.6026480443351735
seuclidean,TabulaMuris_Liver_10X,logcounts,spca-batch,96,0.6289167356554811
seuclidean,TabulaMuris_Liver_10X,logcounts,spca-batch,8,0.5469549452551182
seuclidean,TabulaMuris_Liver_10X,logcounts,spca-batch,48,0.5170459924579907
seuclidean,TabulaMuris_Liver_10X,logcounts,zifa,4,0.395383978109652
seuclidean,TabulaMuris_Liver_10X,logcounts,zifa,32,0.5968665174364207
seuclidean,TabulaMuris_Liver_10X,logcounts,zifa,2,0.23775555361882184
seuclidean,TabulaMuris_Liver_10X,logcounts,zifa,16,0.5698965808458176
seuclidean,TabulaMuris_Liver_10X,logcounts,zifa,8,0.5426525237720704
seuclidean,TabulaMuris_Liver_10X,logcounts,zifa,48,0.6237334430668369
seuclidean,TabulaMuris_Liver_10X,logcounts,nsnmf,4,0.674415822852575
seuclidean,TabulaMuris_Liver_10X,logcounts,nsnmf,32,0.847597984412237
seuclidean,TabulaMuris_Liver_10X,logcounts,nsnmf,2,0.6290303835513684
seuclidean,TabulaMuris_Liver_10X,logcounts,nsnmf,16,0.8162865600665877
seuclidean,TabulaMuris_Liver_10X,logcounts,nsnmf,96,0.8192069618382111
seuclidean,TabulaMuris_Liver_10X,logcounts,nsnmf,8,0.7550842330785711
seuclidean,TabulaMuris_Liver_10X,logcounts,nsnmf,48,0.8378302406301024
seuclidean,TabulaMuris_Liver_10X,logcounts,vpac,4,0.4583914443003735
seuclidean,TabulaMuris_Liver_10X,logcounts,vpac,32,0.8112326931730156
seuclidean,TabulaMuris_Liver_10X,logcounts,vpac,2,0.09997744337302444
seuclidean,TabulaMuris_Liver_10X,logcounts,vpac,16,0.5666642654986616
seuclidean,TabulaMuris_Liver_10X,logcounts,vpac,96,0.8162086182956706
seuclidean,TabulaMuris_Liver_10X,logcounts,vpac,8,0.3837507718351806
seuclidean,TabulaMuris_Liver_10X,logcounts,vpac,48,0.8405689122310398
seuclidean,TabulaMuris_Liver_10X,logcounts,umap,4,0.420728780641718
seuclidean,TabulaMuris_Liver_10X,logcounts,umap,32,0.3710703918191955
seuclidean,TabulaMuris_Liver_10X,logcounts,umap,2,0.34105325719760576
seuclidean,TabulaMuris_Liver_10X,logcounts,umap,16,0.43568029748421766
seuclidean,TabulaMuris_Liver_10X,logcounts,umap,96,0.39802315601085414
seuclidean,TabulaMuris_Liver_10X,logcounts,umap,8,0.36798088089499903
seuclidean,TabulaMuris_Liver_10X,logcounts,umap,48,0.4213514639734992
seuclidean,TabulaMuris_Liver_10X,logcounts,kpca-sig,4,-0.08294325793312832
seuclidean,TabulaMuris_Liver_10X,logcounts,kpca-sig,32,-0.3124933214139129
seuclidean,TabulaMuris_Liver_10X,logcounts,kpca-sig,2,-0.015885462862628992
seuclidean,TabulaMuris_Liver_10X,logcounts,kpca-sig,16,-0.19714907051724698
seuclidean,TabulaMuris_Liver_10X,logcounts,kpca-sig,96,-0.4097193087486641
seuclidean,TabulaMuris_Liver_10X,logcounts,kpca-sig,8,-0.062314297394504656
