metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Liver_FACS,logcounts,spca,4,0.5423719566340647
seuclidean,TabulaMuris_Liver_FACS,logcounts,spca,32,0.7688337627418088
seuclidean,TabulaMuris_Liver_FACS,logcounts,spca,2,0.38810582266311894
seuclidean,TabulaMuris_Liver_FACS,logcounts,spca,16,0.6246908473118029
seuclidean,TabulaMuris_Liver_FACS,logcounts,spca,96,0.7564311013548874
seuclidean,TabulaMuris_Liver_FACS,logcounts,spca,8,0.44826899063912656
seuclidean,TabulaMuris_Liver_FACS,logcounts,spca,48,0.8091810933342668
seuclidean,TabulaMuris_Liver_FACS,logcounts,tsvd,4,0.6607817698589775
seuclidean,TabulaMuris_Liver_FACS,logcounts,tsvd,32,0.6759235595727966
seuclidean,TabulaMuris_Liver_FACS,logcounts,tsvd,2,0.47736766388668417
seuclidean,TabulaMuris_Liver_FACS,logcounts,tsvd,16,0.5366777714948464
seuclidean,TabulaMuris_Liver_FACS,logcounts,tsvd,96,0.6413902718007768
seuclidean,TabulaMuris_Liver_FACS,logcounts,tsvd,8,0.41722538511727214
seuclidean,TabulaMuris_Liver_FACS,logcounts,tsvd,48,0.6729291183077797
seuclidean,TabulaMuris_Liver_FACS,logcounts,spca-batch,4,0.563085844231875
seuclidean,TabulaMuris_Liver_FACS,logcounts,spca-batch,32,0.4740601084187033
seuclidean,TabulaMuris_Liver_FACS,logcounts,spca-batch,2,0.43848135569751323
seuclidean,TabulaMuris_Liver_FACS,logcounts,spca-batch,16,0.5812973247827934
seuclidean,TabulaMuris_Liver_FACS,logcounts,spca-batch,96,0.7218308901976348
seuclidean,TabulaMuris_Liver_FACS,logcounts,spca-batch,8,0.42924935522988134
seuclidean,TabulaMuris_Liver_FACS,logcounts,spca-batch,48,0.6902321610962099
seuclidean,TabulaMuris_Liver_FACS,logcounts,zifa,4,0.4853125322484213
seuclidean,TabulaMuris_Liver_FACS,logcounts,zifa,32,0.632779993208749
seuclidean,TabulaMuris_Liver_FACS,logcounts,zifa,2,0.23959293190021244
seuclidean,TabulaMuris_Liver_FACS,logcounts,zifa,16,0.48192865885570974
seuclidean,TabulaMuris_Liver_FACS,logcounts,zifa,96,0.6437857595140836
seuclidean,TabulaMuris_Liver_FACS,logcounts,zifa,8,0.4126223009210155
seuclidean,TabulaMuris_Liver_FACS,logcounts,zifa,48,0.6536377363616893
seuclidean,TabulaMuris_Liver_FACS,logcounts,nsnmf,4,0.6203354363943416
seuclidean,TabulaMuris_Liver_FACS,logcounts,nsnmf,32,0.671923495288648
seuclidean,TabulaMuris_Liver_FACS,logcounts,nsnmf,2,0.4676368694653588
seuclidean,TabulaMuris_Liver_FACS,logcounts,nsnmf,16,0.704851954983761
seuclidean,TabulaMuris_Liver_FACS,logcounts,nsnmf,96,0.6319341127414928
seuclidean,TabulaMuris_Liver_FACS,logcounts,nsnmf,8,0.6374017390352542
seuclidean,TabulaMuris_Liver_FACS,logcounts,nsnmf,48,0.6395599337925915
seuclidean,TabulaMuris_Liver_FACS,logcounts,vpac,4,0.0725437438462711
seuclidean,TabulaMuris_Liver_FACS,logcounts,vpac,32,0.6200855630909983
seuclidean,TabulaMuris_Liver_FACS,logcounts,vpac,2,0.3600967462681851
seuclidean,TabulaMuris_Liver_FACS,logcounts,vpac,16,0.33664461655655376
seuclidean,TabulaMuris_Liver_FACS,logcounts,vpac,96,0.6347627688779944
seuclidean,TabulaMuris_Liver_FACS,logcounts,vpac,8,0.3979135215367007
seuclidean,TabulaMuris_Liver_FACS,logcounts,vpac,48,0.631273802861527
seuclidean,TabulaMuris_Liver_FACS,logcounts,umap,4,0.27535656669774
seuclidean,TabulaMuris_Liver_FACS,logcounts,umap,32,0.054963631388127
seuclidean,TabulaMuris_Liver_FACS,logcounts,umap,2,0.3269268915565481
seuclidean,TabulaMuris_Liver_FACS,logcounts,umap,16,0.15326203438053662
seuclidean,TabulaMuris_Liver_FACS,logcounts,umap,96,0.16072088736353835
seuclidean,TabulaMuris_Liver_FACS,logcounts,umap,8,0.09054441026776432
seuclidean,TabulaMuris_Liver_FACS,logcounts,umap,48,0.040367726293113575
seuclidean,TabulaMuris_Liver_FACS,logcounts,kpca-sig,4,-0.07120024127340581
seuclidean,TabulaMuris_Liver_FACS,logcounts,kpca-sig,32,-0.13121550631219037
seuclidean,TabulaMuris_Liver_FACS,logcounts,kpca-sig,2,-0.18881076860806234
seuclidean,TabulaMuris_Liver_FACS,logcounts,kpca-sig,16,-0.12756868186229278
seuclidean,TabulaMuris_Liver_FACS,logcounts,kpca-sig,96,-0.14496417946842316
seuclidean,TabulaMuris_Liver_FACS,logcounts,kpca-sig,8,-0.08869093933092385
seuclidean,TabulaMuris_Liver_FACS,logcounts,kpca-sig,48,-0.12547594669325224
seuclidean,TabulaMuris_Liver_FACS,logcounts,nmf2,4,0.637720674717004
seuclidean,TabulaMuris_Liver_FACS,logcounts,nmf2,32,0.5948706797108751
seuclidean,TabulaMuris_Liver_FACS,logcounts,nmf2,2,0.4855070458325897
seuclidean,TabulaMuris_Liver_FACS,logcounts,nmf2,16,0.5074615618022531
seuclidean,TabulaMuris_Liver_FACS,logcounts,nmf2,96,0.6529521218356686
seuclidean,TabulaMuris_Liver_FACS,logcounts,nmf2,8,0.584335433761313
seuclidean,TabulaMuris_Liver_FACS,logcounts,nmf2,48,0.5885297146028596
seuclidean,TabulaMuris_Liver_FACS,logcounts,srp,4,0.392057801529838
seuclidean,TabulaMuris_Liver_FACS,logcounts,srp,32,0.695766151384581
seuclidean,TabulaMuris_Liver_FACS,logcounts,srp,2,0.3263992514899577
seuclidean,TabulaMuris_Liver_FACS,logcounts,srp,16,0.6020090684056902
seuclidean,TabulaMuris_Liver_FACS,logcounts,srp,96,0.7911565335341079
seuclidean,TabulaMuris_Liver_FACS,logcounts,srp,8,0.5417393304935844
seuclidean,TabulaMuris_Liver_FACS,logcounts,srp,48,0.7353800411775142
seuclidean,TabulaMuris_Liver_FACS,logcounts,psmf,4,0.5029738816178687
seuclidean,TabulaMuris_Liver_FACS,logcounts,psmf,32,0.5314499095692758
seuclidean,TabulaMuris_Liver_FACS,logcounts,psmf,2,0.39707176277916234
seuclidean,TabulaMuris_Liver_FACS,logcounts,psmf,16,0.5393684881876682
seuclidean,TabulaMuris_Liver_FACS,logcounts,psmf,96,0.566333933022202
seuclidean,TabulaMuris_Liver_FACS,logcounts,psmf,8,0.5697681443826291
seuclidean,TabulaMuris_Liver_FACS,logcounts,psmf,48,0.5338480706268255
seuclidean,TabulaMuris_Liver_FACS,logcounts,fica,4,0.532945564127538
seuclidean,TabulaMuris_Liver_FACS,logcounts,fica,32,0.6488726994549042
seuclidean,TabulaMuris_Liver_FACS,logcounts,fica,2,0.44744488283127204
seuclidean,TabulaMuris_Liver_FACS,logcounts,fica,16,0.49939115161229064
seuclidean,TabulaMuris_Liver_FACS,logcounts,fica,96,0.6285657860090751
seuclidean,TabulaMuris_Liver_FACS,logcounts,fica,8,0.3741336074517635
seuclidean,TabulaMuris_Liver_FACS,logcounts,fica,48,0.6551768814684178
seuclidean,TabulaMuris_Liver_FACS,logcounts,lle,4,0.19410075697193285
seuclidean,TabulaMuris_Liver_FACS,logcounts,lle,32,-0.09409304095261876
seuclidean,TabulaMuris_Liver_FACS,logcounts,lle,2,0.31946925553557964
seuclidean,TabulaMuris_Liver_FACS,logcounts,lle,16,-0.018628449215743366
seuclidean,TabulaMuris_Liver_FACS,logcounts,lle,96,-0.1329275155764846
seuclidean,TabulaMuris_Liver_FACS,logcounts,lle,8,0.11763380029912067
