metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Mammary_10X,counts,spca,4,0.333510249889856
seuclidean,TabulaMuris_Mammary_10X,counts,spca,32,0.49254753916235566
seuclidean,TabulaMuris_Mammary_10X,counts,spca,2,0.269289326199069
seuclidean,TabulaMuris_Mammary_10X,counts,spca,16,0.47494514442669317
seuclidean,TabulaMuris_Mammary_10X,counts,spca,96,0.5105008842541394
seuclidean,TabulaMuris_Mammary_10X,counts,spca,8,0.42436326650946393
seuclidean,TabulaMuris_Mammary_10X,counts,spca,48,0.5070638947996554
seuclidean,TabulaMuris_Mammary_10X,counts,tsvd,4,0.29163126166376235
seuclidean,TabulaMuris_Mammary_10X,counts,tsvd,32,0.4885377921504378
seuclidean,TabulaMuris_Mammary_10X,counts,tsvd,2,0.2641423207619568
seuclidean,TabulaMuris_Mammary_10X,counts,tsvd,16,0.4607414147757555
seuclidean,TabulaMuris_Mammary_10X,counts,tsvd,96,0.48278367907540726
seuclidean,TabulaMuris_Mammary_10X,counts,tsvd,8,0.4063230353895714
seuclidean,TabulaMuris_Mammary_10X,counts,tsvd,48,0.4970822782164762
seuclidean,TabulaMuris_Mammary_10X,counts,spca-batch,4,0.3508431541154357
seuclidean,TabulaMuris_Mammary_10X,counts,spca-batch,32,0.4731686114680198
seuclidean,TabulaMuris_Mammary_10X,counts,spca-batch,2,0.2561052287451416
seuclidean,TabulaMuris_Mammary_10X,counts,spca-batch,16,0.4316464108279884
seuclidean,TabulaMuris_Mammary_10X,counts,spca-batch,96,0.4959212734147169
seuclidean,TabulaMuris_Mammary_10X,counts,spca-batch,8,0.45787900592137126
seuclidean,TabulaMuris_Mammary_10X,counts,spca-batch,48,0.47680340809213706
seuclidean,TabulaMuris_Mammary_10X,counts,zifa,4,0.4656845033193325
seuclidean,TabulaMuris_Mammary_10X,counts,zifa,32,0.557742436781019
seuclidean,TabulaMuris_Mammary_10X,counts,zifa,2,0.3970317963433034
seuclidean,TabulaMuris_Mammary_10X,counts,zifa,16,0.6157501279212793
seuclidean,TabulaMuris_Mammary_10X,counts,zifa,8,0.5615152843303153
seuclidean,TabulaMuris_Mammary_10X,counts,nsnmf,4,0.1713109099651612
seuclidean,TabulaMuris_Mammary_10X,counts,nsnmf,32,0.26192865362774415
seuclidean,TabulaMuris_Mammary_10X,counts,nsnmf,2,0.18889675568543537
seuclidean,TabulaMuris_Mammary_10X,counts,nsnmf,16,0.27163886818914434
seuclidean,TabulaMuris_Mammary_10X,counts,nsnmf,96,0.2809119097328507
seuclidean,TabulaMuris_Mammary_10X,counts,nsnmf,8,0.2556281931792419
seuclidean,TabulaMuris_Mammary_10X,counts,nsnmf,48,0.26219002125041696
seuclidean,TabulaMuris_Mammary_10X,counts,vpac,4,0.3540163748050106
seuclidean,TabulaMuris_Mammary_10X,counts,vpac,32,0.37160434686095734
seuclidean,TabulaMuris_Mammary_10X,counts,vpac,2,0.27505803113810834
seuclidean,TabulaMuris_Mammary_10X,counts,vpac,16,0.39106482974064594
seuclidean,TabulaMuris_Mammary_10X,counts,vpac,96,0.4410394467137056
seuclidean,TabulaMuris_Mammary_10X,counts,vpac,8,0.3560409493515154
seuclidean,TabulaMuris_Mammary_10X,counts,vpac,48,0.3222458338471055
seuclidean,TabulaMuris_Mammary_10X,counts,umap,4,0.15442449028681665
seuclidean,TabulaMuris_Mammary_10X,counts,umap,32,0.06735583423009658
seuclidean,TabulaMuris_Mammary_10X,counts,umap,2,0.09091307012071231
seuclidean,TabulaMuris_Mammary_10X,counts,umap,16,0.16924189083732177
seuclidean,TabulaMuris_Mammary_10X,counts,umap,96,0.0960334971789824
seuclidean,TabulaMuris_Mammary_10X,counts,umap,8,0.05605928463821617
seuclidean,TabulaMuris_Mammary_10X,counts,umap,48,0.14574272741635855
seuclidean,TabulaMuris_Mammary_10X,counts,kpca-sig,4,nan
seuclidean,TabulaMuris_Mammary_10X,counts,kpca-sig,32,nan
seuclidean,TabulaMuris_Mammary_10X,counts,kpca-sig,2,nan
seuclidean,TabulaMuris_Mammary_10X,counts,kpca-sig,16,nan
seuclidean,TabulaMuris_Mammary_10X,counts,kpca-sig,96,nan
seuclidean,TabulaMuris_Mammary_10X,counts,kpca-sig,8,nan
seuclidean,TabulaMuris_Mammary_10X,counts,kpca-sig,48,nan
seuclidean,TabulaMuris_Mammary_10X,counts,nmf2,4,0.12029691111255689
seuclidean,TabulaMuris_Mammary_10X,counts,nmf2,32,0.1582218404842034
seuclidean,TabulaMuris_Mammary_10X,counts,nmf2,2,0.19639650115713797
seuclidean,TabulaMuris_Mammary_10X,counts,nmf2,16,0.1786387635661892
seuclidean,TabulaMuris_Mammary_10X,counts,nmf2,96,0.15269312989886125
seuclidean,TabulaMuris_Mammary_10X,counts,nmf2,8,0.1665277852077527
seuclidean,TabulaMuris_Mammary_10X,counts,nmf2,48,0.15327412188282602
seuclidean,TabulaMuris_Mammary_10X,counts,srp,4,0.26921208195701635
seuclidean,TabulaMuris_Mammary_10X,counts,srp,32,0.49479939996198874
seuclidean,TabulaMuris_Mammary_10X,counts,srp,2,0.14511564765162752
seuclidean,TabulaMuris_Mammary_10X,counts,srp,16,0.4306066855238059
seuclidean,TabulaMuris_Mammary_10X,counts,srp,96,0.5462938727533826
seuclidean,TabulaMuris_Mammary_10X,counts,srp,8,0.32664585190971024
seuclidean,TabulaMuris_Mammary_10X,counts,srp,48,0.4827920038499862
seuclidean,TabulaMuris_Mammary_10X,counts,psmf,4,0.39367528594432105
seuclidean,TabulaMuris_Mammary_10X,counts,psmf,32,0.5171362313830059
seuclidean,TabulaMuris_Mammary_10X,counts,psmf,2,0.3151239632076674
seuclidean,TabulaMuris_Mammary_10X,counts,psmf,16,0.46024447125379175
seuclidean,TabulaMuris_Mammary_10X,counts,psmf,96,0.6133704297309435
seuclidean,TabulaMuris_Mammary_10X,counts,psmf,8,0.4164140863137302
seuclidean,TabulaMuris_Mammary_10X,counts,psmf,48,0.5505276803362098
seuclidean,TabulaMuris_Mammary_10X,counts,fica,4,0.33351062163506634
seuclidean,TabulaMuris_Mammary_10X,counts,fica,32,0.49254354743188716
seuclidean,TabulaMuris_Mammary_10X,counts,fica,2,0.26928772810817087
seuclidean,TabulaMuris_Mammary_10X,counts,fica,16,0.47494996788187704
seuclidean,TabulaMuris_Mammary_10X,counts,fica,96,0.48050826264822166
seuclidean,TabulaMuris_Mammary_10X,counts,fica,8,0.42436640044494844
seuclidean,TabulaMuris_Mammary_10X,counts,fica,48,0.49773342144656635
seuclidean,TabulaMuris_Mammary_10X,counts,lle,4,0.23929789711598876
seuclidean,TabulaMuris_Mammary_10X,counts,lle,32,0.32108437563197967
seuclidean,TabulaMuris_Mammary_10X,counts,lle,2,0.16820674539424516
seuclidean,TabulaMuris_Mammary_10X,counts,lle,16,0.2500578853860698
seuclidean,TabulaMuris_Mammary_10X,counts,lle,96,0.2593408740534435
seuclidean,TabulaMuris_Mammary_10X,counts,lle,8,0.30250290223401116
