metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Mammary_FACS,logcounts,spca,4,0.27409648142285786
seuclidean,TabulaMuris_Mammary_FACS,logcounts,spca,32,0.44875762138089514
seuclidean,TabulaMuris_Mammary_FACS,logcounts,spca,2,0.1816724350258727
seuclidean,TabulaMuris_Mammary_FACS,logcounts,spca,16,0.40497254744273775
seuclidean,TabulaMuris_Mammary_FACS,logcounts,spca,96,0.41963527652938964
seuclidean,TabulaMuris_Mammary_FACS,logcounts,spca,8,0.3308154964800344
seuclidean,TabulaMuris_Mammary_FACS,logcounts,spca,48,0.5122384162915237
seuclidean,TabulaMuris_Mammary_FACS,logcounts,tsvd,4,0.34754264955721265
seuclidean,TabulaMuris_Mammary_FACS,logcounts,tsvd,32,0.4806306956834995
seuclidean,TabulaMuris_Mammary_FACS,logcounts,tsvd,2,0.17894894541535325
seuclidean,TabulaMuris_Mammary_FACS,logcounts,tsvd,16,0.432925246929399
seuclidean,TabulaMuris_Mammary_FACS,logcounts,tsvd,96,0.3680997223130451
seuclidean,TabulaMuris_Mammary_FACS,logcounts,tsvd,8,0.42848574021453106
seuclidean,TabulaMuris_Mammary_FACS,logcounts,tsvd,48,0.47830224927701587
seuclidean,TabulaMuris_Mammary_FACS,logcounts,spca-batch,4,0.23780676325074926
seuclidean,TabulaMuris_Mammary_FACS,logcounts,spca-batch,32,0.3146157979413587
seuclidean,TabulaMuris_Mammary_FACS,logcounts,spca-batch,2,0.19395382380372117
seuclidean,TabulaMuris_Mammary_FACS,logcounts,spca-batch,16,0.34419978287049474
seuclidean,TabulaMuris_Mammary_FACS,logcounts,spca-batch,96,0.3629187999666435
seuclidean,TabulaMuris_Mammary_FACS,logcounts,spca-batch,8,0.20000451435255967
seuclidean,TabulaMuris_Mammary_FACS,logcounts,spca-batch,48,0.35909618822798606
seuclidean,TabulaMuris_Mammary_FACS,logcounts,zifa,4,0.17370314114802032
seuclidean,TabulaMuris_Mammary_FACS,logcounts,zifa,32,0.2445565033450585
seuclidean,TabulaMuris_Mammary_FACS,logcounts,zifa,2,0.13809052676230218
seuclidean,TabulaMuris_Mammary_FACS,logcounts,zifa,16,0.3118923880365297
seuclidean,TabulaMuris_Mammary_FACS,logcounts,zifa,8,0.2926239070487071
seuclidean,TabulaMuris_Mammary_FACS,logcounts,nsnmf,4,0.26006493328812935
seuclidean,TabulaMuris_Mammary_FACS,logcounts,nsnmf,32,0.4633539239482772
