metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Marrow_10X,logcounts,spca,4,0.10427934394503169
seuclidean,TabulaMuris_Marrow_10X,logcounts,spca,32,0.6667376638151995
seuclidean,TabulaMuris_Marrow_10X,logcounts,spca,2,0.046437523921314686
seuclidean,TabulaMuris_Marrow_10X,logcounts,spca,16,0.5598074330113186
seuclidean,TabulaMuris_Marrow_10X,logcounts,spca,96,0.6913666779248001
seuclidean,TabulaMuris_Marrow_10X,logcounts,spca,8,0.3136774298526789
seuclidean,TabulaMuris_Marrow_10X,logcounts,spca,48,0.7022718351132826
seuclidean,TabulaMuris_Marrow_10X,logcounts,tsvd,4,0.15478623137163688
seuclidean,TabulaMuris_Marrow_10X,logcounts,tsvd,32,0.7019216025391685
seuclidean,TabulaMuris_Marrow_10X,logcounts,tsvd,2,0.2188226072518056
seuclidean,TabulaMuris_Marrow_10X,logcounts,tsvd,16,0.6313742086282708
seuclidean,TabulaMuris_Marrow_10X,logcounts,tsvd,96,0.6282314755680466
seuclidean,TabulaMuris_Marrow_10X,logcounts,tsvd,8,0.3879898292004552
seuclidean,TabulaMuris_Marrow_10X,logcounts,tsvd,48,0.6996316486242943
seuclidean,TabulaMuris_Marrow_10X,logcounts,spca-batch,4,0.24042026790281706
seuclidean,TabulaMuris_Marrow_10X,logcounts,spca-batch,32,0.49306018434363497
seuclidean,TabulaMuris_Marrow_10X,logcounts,spca-batch,2,0.19444491711023412
seuclidean,TabulaMuris_Marrow_10X,logcounts,spca-batch,16,0.4243225846144874
seuclidean,TabulaMuris_Marrow_10X,logcounts,spca-batch,96,0.6853317595731007
seuclidean,TabulaMuris_Marrow_10X,logcounts,spca-batch,8,0.3630474488480823
seuclidean,TabulaMuris_Marrow_10X,logcounts,spca-batch,48,0.54730523195905
seuclidean,TabulaMuris_Marrow_10X,logcounts,zifa,4,0.05707931220447244
seuclidean,TabulaMuris_Marrow_10X,logcounts,zifa,2,-0.1321907649018727
seuclidean,TabulaMuris_Marrow_10X,logcounts,zifa,8,0.34554385011603644
seuclidean,TabulaMuris_Marrow_10X,logcounts,nsnmf,4,0.38057304750698323
seuclidean,TabulaMuris_Marrow_10X,logcounts,nsnmf,32,0.5376577181389408
seuclidean,TabulaMuris_Marrow_10X,logcounts,nsnmf,2,0.3191483477148459
seuclidean,TabulaMuris_Marrow_10X,logcounts,nsnmf,16,0.48340350845761015
seuclidean,TabulaMuris_Marrow_10X,logcounts,nsnmf,96,0.6255650539275894
seuclidean,TabulaMuris_Marrow_10X,logcounts,nsnmf,8,0.4064629364428526
seuclidean,TabulaMuris_Marrow_10X,logcounts,nsnmf,48,0.6125782503384984
seuclidean,TabulaMuris_Marrow_10X,logcounts,vpac,4,-0.3857519623044289
seuclidean,TabulaMuris_Marrow_10X,logcounts,vpac,32,0.5857932107362848
seuclidean,TabulaMuris_Marrow_10X,logcounts,vpac,2,0.2778112143721495
seuclidean,TabulaMuris_Marrow_10X,logcounts,vpac,16,0.4283415854981354
seuclidean,TabulaMuris_Marrow_10X,logcounts,vpac,96,0.7283659001376033
seuclidean,TabulaMuris_Marrow_10X,logcounts,vpac,8,-0.14993706365288492
seuclidean,TabulaMuris_Marrow_10X,logcounts,vpac,48,0.6468886575119048
seuclidean,TabulaMuris_Marrow_10X,logcounts,umap,4,0.42216388968186525
seuclidean,TabulaMuris_Marrow_10X,logcounts,umap,32,0.4379654607686237
seuclidean,TabulaMuris_Marrow_10X,logcounts,umap,2,0.39296983433651933
seuclidean,TabulaMuris_Marrow_10X,logcounts,umap,16,0.3918314289304854
seuclidean,TabulaMuris_Marrow_10X,logcounts,umap,96,0.46030807527470663
seuclidean,TabulaMuris_Marrow_10X,logcounts,umap,8,0.3767143091321052
seuclidean,TabulaMuris_Marrow_10X,logcounts,umap,48,0.48480814547091106
seuclidean,TabulaMuris_Marrow_10X,logcounts,kpca-sig,4,-0.3916151268827325
seuclidean,TabulaMuris_Marrow_10X,logcounts,kpca-sig,32,-0.47739057789602873
seuclidean,TabulaMuris_Marrow_10X,logcounts,kpca-sig,2,-0.3438098861448418
seuclidean,TabulaMuris_Marrow_10X,logcounts,kpca-sig,16,-0.3986454974131512
seuclidean,TabulaMuris_Marrow_10X,logcounts,kpca-sig,96,-0.552414311079699
seuclidean,TabulaMuris_Marrow_10X,logcounts,kpca-sig,8,-0.36583918017645467
seuclidean,TabulaMuris_Marrow_10X,logcounts,kpca-sig,48,-0.5129653339694401
seuclidean,TabulaMuris_Marrow_10X,logcounts,nmf2,4,0.22322250656406403
seuclidean,TabulaMuris_Marrow_10X,logcounts,nmf2,32,0.42373808836997334
seuclidean,TabulaMuris_Marrow_10X,logcounts,nmf2,2,0.04672364121361789
seuclidean,TabulaMuris_Marrow_10X,logcounts,nmf2,16,0.2350384779068966
seuclidean,TabulaMuris_Marrow_10X,logcounts,nmf2,96,0.522543366130402
seuclidean,TabulaMuris_Marrow_10X,logcounts,nmf2,8,0.11346453864705003
seuclidean,TabulaMuris_Marrow_10X,logcounts,nmf2,48,0.4889062650695643
seuclidean,TabulaMuris_Marrow_10X,logcounts,srp,4,0.14899511344486524
seuclidean,TabulaMuris_Marrow_10X,logcounts,srp,32,0.48275631180591616
seuclidean,TabulaMuris_Marrow_10X,logcounts,srp,2,0.16537249671813967
seuclidean,TabulaMuris_Marrow_10X,logcounts,srp,16,0.35328031881785577
seuclidean,TabulaMuris_Marrow_10X,logcounts,srp,96,0.6152374630300645
seuclidean,TabulaMuris_Marrow_10X,logcounts,srp,8,0.34142175945853676
seuclidean,TabulaMuris_Marrow_10X,logcounts,srp,48,0.556525470774651
seuclidean,TabulaMuris_Marrow_10X,logcounts,psmf,4,0.18207163110494023
seuclidean,TabulaMuris_Marrow_10X,logcounts,psmf,32,0.24497565384987782
seuclidean,TabulaMuris_Marrow_10X,logcounts,psmf,2,0.08218490130295328
seuclidean,TabulaMuris_Marrow_10X,logcounts,psmf,16,0.1774405853612008
seuclidean,TabulaMuris_Marrow_10X,logcounts,psmf,96,0.14183407335004847
seuclidean,TabulaMuris_Marrow_10X,logcounts,psmf,8,0.2615114134736258
seuclidean,TabulaMuris_Marrow_10X,logcounts,psmf,48,0.22314006469742423
seuclidean,TabulaMuris_Marrow_10X,logcounts,fica,4,0.20140625078899008
seuclidean,TabulaMuris_Marrow_10X,logcounts,fica,32,0.6843459245299519
seuclidean,TabulaMuris_Marrow_10X,logcounts,fica,2,0.08717352445826874
seuclidean,TabulaMuris_Marrow_10X,logcounts,fica,16,0.6272569283500976
seuclidean,TabulaMuris_Marrow_10X,logcounts,fica,96,0.6137380801235416
seuclidean,TabulaMuris_Marrow_10X,logcounts,fica,8,0.3878584949649935
seuclidean,TabulaMuris_Marrow_10X,logcounts,fica,48,0.6844459978706161
seuclidean,TabulaMuris_Marrow_10X,logcounts,lle,4,0.44336474027780215
seuclidean,TabulaMuris_Marrow_10X,logcounts,lle,32,0.3431994319206373
seuclidean,TabulaMuris_Marrow_10X,logcounts,lle,2,0.4995426658663339
seuclidean,TabulaMuris_Marrow_10X,logcounts,lle,16,0.4096038240312205
seuclidean,TabulaMuris_Marrow_10X,logcounts,lle,96,0.07282777027334361
seuclidean,TabulaMuris_Marrow_10X,logcounts,lle,8,0.4657473014815545
seuclidean,TabulaMuris_Marrow_10X,logcounts,lle,48,0.28534383161750815
seuclidean,TabulaMuris_Marrow_10X,logcounts,lsnmf,4,0.13315451015960075
seuclidean,TabulaMuris_Marrow_10X,logcounts,lsnmf,32,0.24465352195229012
seuclidean,TabulaMuris_Marrow_10X,logcounts,lsnmf,2,0.043625947096295276
seuclidean,TabulaMuris_Marrow_10X,logcounts,lsnmf,16,0.39050487681090074
seuclidean,TabulaMuris_Marrow_10X,logcounts,lsnmf,96,0.26816502631288064
seuclidean,TabulaMuris_Marrow_10X,logcounts,lsnmf,8,0.2893222668411638
seuclidean,TabulaMuris_Marrow_10X,logcounts,lsnmf,48,0.2326697427591975
seuclidean,TabulaMuris_Marrow_10X,logcounts,phate,4,0.04235328047782198
