metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Marrow_FACS,counts,spca,4,-0.14100892388014222
seuclidean,TabulaMuris_Marrow_FACS,counts,spca,32,0.04641172260865341
seuclidean,TabulaMuris_Marrow_FACS,counts,spca,2,-0.016763806447491873
seuclidean,TabulaMuris_Marrow_FACS,counts,spca,16,-0.053074455203615686
seuclidean,TabulaMuris_Marrow_FACS,counts,spca,96,0.2903258030464131
seuclidean,TabulaMuris_Marrow_FACS,counts,spca,8,-0.08810385981784148
seuclidean,TabulaMuris_Marrow_FACS,counts,spca,48,0.09523296441776355
seuclidean,TabulaMuris_Marrow_FACS,counts,tsvd,4,-0.14290551060423856
seuclidean,TabulaMuris_Marrow_FACS,counts,tsvd,32,0.04411232686204979
seuclidean,TabulaMuris_Marrow_FACS,counts,tsvd,2,0.026190848561323057
seuclidean,TabulaMuris_Marrow_FACS,counts,tsvd,16,-0.021681831378749652
seuclidean,TabulaMuris_Marrow_FACS,counts,tsvd,96,0.2793266236092197
seuclidean,TabulaMuris_Marrow_FACS,counts,tsvd,8,-0.0867988007561215
seuclidean,TabulaMuris_Marrow_FACS,counts,tsvd,48,0.08486374281802883
seuclidean,TabulaMuris_Marrow_FACS,counts,spca-batch,4,0.04408700957553484
seuclidean,TabulaMuris_Marrow_FACS,counts,spca-batch,32,-0.021833126443164114
seuclidean,TabulaMuris_Marrow_FACS,counts,spca-batch,2,-0.05597882975026613
seuclidean,TabulaMuris_Marrow_FACS,counts,spca-batch,16,-0.034309706847215626
seuclidean,TabulaMuris_Marrow_FACS,counts,spca-batch,96,0.04181399501656125
seuclidean,TabulaMuris_Marrow_FACS,counts,spca-batch,8,-0.03495940349854844
seuclidean,TabulaMuris_Marrow_FACS,counts,spca-batch,48,0.075718228845433
seuclidean,TabulaMuris_Marrow_FACS,counts,zifa,4,0.03488632653539762
seuclidean,TabulaMuris_Marrow_FACS,counts,zifa,2,0.0017724363015842052
seuclidean,TabulaMuris_Marrow_FACS,counts,zifa,16,0.26703669747098163
seuclidean,TabulaMuris_Marrow_FACS,counts,zifa,8,0.27146717402405374
seuclidean,TabulaMuris_Marrow_FACS,counts,nsnmf,4,-0.02886170221963735
seuclidean,TabulaMuris_Marrow_FACS,counts,nsnmf,32,0.21492471649131678
seuclidean,TabulaMuris_Marrow_FACS,counts,nsnmf,2,-0.02645088584927689
seuclidean,TabulaMuris_Marrow_FACS,counts,nsnmf,16,0.172044277166502
seuclidean,TabulaMuris_Marrow_FACS,counts,nsnmf,96,0.26146972793955564
seuclidean,TabulaMuris_Marrow_FACS,counts,nsnmf,8,0.05330776266956237
seuclidean,TabulaMuris_Marrow_FACS,counts,nsnmf,48,0.19932854624670307
seuclidean,TabulaMuris_Marrow_FACS,counts,vpac,4,-0.17293931533107368
seuclidean,TabulaMuris_Marrow_FACS,counts,vpac,32,-0.18659748950260452
seuclidean,TabulaMuris_Marrow_FACS,counts,vpac,2,-0.1473703322790975
seuclidean,TabulaMuris_Marrow_FACS,counts,vpac,16,-0.03484641797255779
seuclidean,TabulaMuris_Marrow_FACS,counts,vpac,96,-0.15189492068085414
seuclidean,TabulaMuris_Marrow_FACS,counts,vpac,8,-0.03660115982807191
seuclidean,TabulaMuris_Marrow_FACS,counts,vpac,48,-0.22655670304816683
seuclidean,TabulaMuris_Marrow_FACS,counts,umap,4,-0.11999535206996434
