metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Muscle_FACS,counts,spca,4,-0.022184441373813316
seuclidean,TabulaMuris_Muscle_FACS,counts,spca,32,0.07343722699083421
seuclidean,TabulaMuris_Muscle_FACS,counts,spca,2,0.022307287111940875
seuclidean,TabulaMuris_Muscle_FACS,counts,spca,16,0.047335529767328986
seuclidean,TabulaMuris_Muscle_FACS,counts,spca,96,0.16922507637591652
seuclidean,TabulaMuris_Muscle_FACS,counts,spca,8,0.07851769958701521
seuclidean,TabulaMuris_Muscle_FACS,counts,spca,48,0.0758564833031972
seuclidean,TabulaMuris_Muscle_FACS,counts,tsvd,4,-0.0994776144043444
seuclidean,TabulaMuris_Muscle_FACS,counts,tsvd,32,0.04770321987074062
seuclidean,TabulaMuris_Muscle_FACS,counts,tsvd,2,0.02177361543984983
seuclidean,TabulaMuris_Muscle_FACS,counts,tsvd,16,0.020153319358407747
seuclidean,TabulaMuris_Muscle_FACS,counts,tsvd,96,0.12492661227209662
seuclidean,TabulaMuris_Muscle_FACS,counts,tsvd,8,0.04859193562118151
seuclidean,TabulaMuris_Muscle_FACS,counts,tsvd,48,0.04524615145663474
seuclidean,TabulaMuris_Muscle_FACS,counts,spca-batch,4,-0.05880153666411091
seuclidean,TabulaMuris_Muscle_FACS,counts,spca-batch,32,0.03012238399946131
seuclidean,TabulaMuris_Muscle_FACS,counts,spca-batch,2,-0.03944615613191698
seuclidean,TabulaMuris_Muscle_FACS,counts,spca-batch,16,0.0667129477667851
seuclidean,TabulaMuris_Muscle_FACS,counts,spca-batch,96,0.14607442303436222
seuclidean,TabulaMuris_Muscle_FACS,counts,spca-batch,8,0.03688082485245233
seuclidean,TabulaMuris_Muscle_FACS,counts,spca-batch,48,0.0633186625565757
seuclidean,TabulaMuris_Muscle_FACS,counts,zifa,4,0.317163055903562
seuclidean,TabulaMuris_Muscle_FACS,counts,zifa,32,0.5499253281988064
seuclidean,TabulaMuris_Muscle_FACS,counts,zifa,2,0.18464430937727816
seuclidean,TabulaMuris_Muscle_FACS,counts,zifa,16,0.469696414886481
seuclidean,TabulaMuris_Muscle_FACS,counts,zifa,8,0.3971427420188492
seuclidean,TabulaMuris_Muscle_FACS,counts,zifa,48,0.5461687793325848
seuclidean,TabulaMuris_Muscle_FACS,counts,nsnmf,4,0.0348132897648447
seuclidean,TabulaMuris_Muscle_FACS,counts,nsnmf,32,0.1969430662066722
seuclidean,TabulaMuris_Muscle_FACS,counts,nsnmf,2,-0.0023715906658938264
seuclidean,TabulaMuris_Muscle_FACS,counts,nsnmf,16,0.17733887423728834
seuclidean,TabulaMuris_Muscle_FACS,counts,nsnmf,96,0.29430573307985597
seuclidean,TabulaMuris_Muscle_FACS,counts,nsnmf,8,0.1468657146404706
seuclidean,TabulaMuris_Muscle_FACS,counts,nsnmf,48,0.2796570909661451
seuclidean,TabulaMuris_Muscle_FACS,counts,vpac,4,0.27397204060097907
seuclidean,TabulaMuris_Muscle_FACS,counts,vpac,32,0.22440106661356635
seuclidean,TabulaMuris_Muscle_FACS,counts,vpac,2,-0.022851108010148696
seuclidean,TabulaMuris_Muscle_FACS,counts,vpac,16,0.14989963915507584
seuclidean,TabulaMuris_Muscle_FACS,counts,vpac,96,0.1609057088327925
seuclidean,TabulaMuris_Muscle_FACS,counts,vpac,8,0.2298496922344748
seuclidean,TabulaMuris_Muscle_FACS,counts,vpac,48,0.18127494601262226
seuclidean,TabulaMuris_Muscle_FACS,counts,umap,4,0.00589518786971485
seuclidean,TabulaMuris_Muscle_FACS,counts,umap,32,0.0009909254411919505
seuclidean,TabulaMuris_Muscle_FACS,counts,umap,2,-0.020373038682756694
seuclidean,TabulaMuris_Muscle_FACS,counts,umap,16,-0.006797095535573161
seuclidean,TabulaMuris_Muscle_FACS,counts,umap,96,-0.0015907608015073799
seuclidean,TabulaMuris_Muscle_FACS,counts,umap,8,0.07732652774810636
seuclidean,TabulaMuris_Muscle_FACS,counts,umap,48,0.014333437237011538
seuclidean,TabulaMuris_Muscle_FACS,counts,kpca-sig,4,nan
seuclidean,TabulaMuris_Muscle_FACS,counts,kpca-sig,32,nan
seuclidean,TabulaMuris_Muscle_FACS,counts,kpca-sig,2,nan
seuclidean,TabulaMuris_Muscle_FACS,counts,kpca-sig,16,nan
seuclidean,TabulaMuris_Muscle_FACS,counts,kpca-sig,96,nan
seuclidean,TabulaMuris_Muscle_FACS,counts,kpca-sig,8,nan
seuclidean,TabulaMuris_Muscle_FACS,counts,kpca-sig,48,nan
seuclidean,TabulaMuris_Muscle_FACS,counts,nmf2,4,-0.09674908459099907
seuclidean,TabulaMuris_Muscle_FACS,counts,nmf2,32,-0.08893909391312364
seuclidean,TabulaMuris_Muscle_FACS,counts,nmf2,2,-0.10263442452862592
seuclidean,TabulaMuris_Muscle_FACS,counts,nmf2,16,-0.11703395575572408
seuclidean,TabulaMuris_Muscle_FACS,counts,nmf2,96,-0.14286672405235926
seuclidean,TabulaMuris_Muscle_FACS,counts,nmf2,8,-0.179204952996671
seuclidean,TabulaMuris_Muscle_FACS,counts,nmf2,48,-0.14270967033917634
seuclidean,TabulaMuris_Muscle_FACS,counts,srp,4,0.02057759253068219
seuclidean,TabulaMuris_Muscle_FACS,counts,srp,32,0.2842338128051263
seuclidean,TabulaMuris_Muscle_FACS,counts,srp,2,0.06630216497925649
seuclidean,TabulaMuris_Muscle_FACS,counts,srp,16,0.2975433966397517
seuclidean,TabulaMuris_Muscle_FACS,counts,srp,96,0.4158000532529088
seuclidean,TabulaMuris_Muscle_FACS,counts,srp,8,0.3788079732549743
seuclidean,TabulaMuris_Muscle_FACS,counts,srp,48,0.30773792218673246
seuclidean,TabulaMuris_Muscle_FACS,counts,psmf,4,0.1959581558656487
seuclidean,TabulaMuris_Muscle_FACS,counts,psmf,32,0.4094388671139197
seuclidean,TabulaMuris_Muscle_FACS,counts,psmf,2,0.035266104952066446
seuclidean,TabulaMuris_Muscle_FACS,counts,psmf,16,0.3611144721652375
seuclidean,TabulaMuris_Muscle_FACS,counts,psmf,96,0.5551347344895378
seuclidean,TabulaMuris_Muscle_FACS,counts,psmf,8,0.3555001829655697
seuclidean,TabulaMuris_Muscle_FACS,counts,psmf,48,0.42412810879432605
seuclidean,TabulaMuris_Muscle_FACS,counts,fica,4,-0.022182881450969895
