metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Pancreas_FACS,counts,spca,4,-0.35186253447993554
seuclidean,TabulaMuris_Pancreas_FACS,counts,spca,32,-0.06556479844449704
seuclidean,TabulaMuris_Pancreas_FACS,counts,spca,2,-0.2133410891045613
seuclidean,TabulaMuris_Pancreas_FACS,counts,spca,16,-0.036129610951940457
seuclidean,TabulaMuris_Pancreas_FACS,counts,spca,96,0.20501046711254287
seuclidean,TabulaMuris_Pancreas_FACS,counts,spca,8,-0.06377716768234122
seuclidean,TabulaMuris_Pancreas_FACS,counts,spca,48,-0.021842140646611902
seuclidean,TabulaMuris_Pancreas_FACS,counts,tsvd,4,-0.3080165637680979
seuclidean,TabulaMuris_Pancreas_FACS,counts,tsvd,32,-0.09544650489995125
seuclidean,TabulaMuris_Pancreas_FACS,counts,tsvd,2,-0.18389475675083794
seuclidean,TabulaMuris_Pancreas_FACS,counts,tsvd,16,-0.11727359585630483
seuclidean,TabulaMuris_Pancreas_FACS,counts,tsvd,96,0.1426850623096866
seuclidean,TabulaMuris_Pancreas_FACS,counts,tsvd,8,-0.1485327932325766
seuclidean,TabulaMuris_Pancreas_FACS,counts,tsvd,48,-0.04566608593818819
seuclidean,TabulaMuris_Pancreas_FACS,counts,spca-batch,4,-0.1700220739086279
seuclidean,TabulaMuris_Pancreas_FACS,counts,spca-batch,32,-0.2689654719813664
seuclidean,TabulaMuris_Pancreas_FACS,counts,spca-batch,2,-0.20482443173869938
seuclidean,TabulaMuris_Pancreas_FACS,counts,spca-batch,16,-0.022225071602714842
seuclidean,TabulaMuris_Pancreas_FACS,counts,spca-batch,96,-0.050158417994453565
seuclidean,TabulaMuris_Pancreas_FACS,counts,spca-batch,8,-0.23507761828232196
seuclidean,TabulaMuris_Pancreas_FACS,counts,spca-batch,48,-0.12065180606240702
seuclidean,TabulaMuris_Pancreas_FACS,counts,zifa,4,0.627124817920441
seuclidean,TabulaMuris_Pancreas_FACS,counts,zifa,32,0.7746585243637774
seuclidean,TabulaMuris_Pancreas_FACS,counts,zifa,2,0.41621693394157644
seuclidean,TabulaMuris_Pancreas_FACS,counts,zifa,16,0.7167224286095355
seuclidean,TabulaMuris_Pancreas_FACS,counts,zifa,8,0.7345633241343877
seuclidean,TabulaMuris_Pancreas_FACS,counts,zifa,48,0.8091041112464119
seuclidean,TabulaMuris_Pancreas_FACS,counts,nsnmf,4,0.05652749962804048
seuclidean,TabulaMuris_Pancreas_FACS,counts,nsnmf,32,0.47785461254780515
seuclidean,TabulaMuris_Pancreas_FACS,counts,nsnmf,2,0.060470201880280204
seuclidean,TabulaMuris_Pancreas_FACS,counts,nsnmf,16,0.4016163246074894
seuclidean,TabulaMuris_Pancreas_FACS,counts,nsnmf,96,0.4391525736709583
seuclidean,TabulaMuris_Pancreas_FACS,counts,nsnmf,8,0.12906012312987628
seuclidean,TabulaMuris_Pancreas_FACS,counts,nsnmf,48,0.3833864700570018
seuclidean,TabulaMuris_Pancreas_FACS,counts,vpac,4,-0.12977602435645455
seuclidean,TabulaMuris_Pancreas_FACS,counts,vpac,32,0.5726621589333241
seuclidean,TabulaMuris_Pancreas_FACS,counts,vpac,2,-0.10635340646285131
seuclidean,TabulaMuris_Pancreas_FACS,counts,vpac,16,0.369570619299809
seuclidean,TabulaMuris_Pancreas_FACS,counts,vpac,96,0.669729311638012
seuclidean,TabulaMuris_Pancreas_FACS,counts,vpac,8,0.25301691308271124
seuclidean,TabulaMuris_Pancreas_FACS,counts,vpac,48,0.6634505041177385
seuclidean,TabulaMuris_Pancreas_FACS,counts,umap,4,-0.12812963522314627
seuclidean,TabulaMuris_Pancreas_FACS,counts,umap,32,-0.1678131866881533
seuclidean,TabulaMuris_Pancreas_FACS,counts,umap,2,-0.19472953210762817
seuclidean,TabulaMuris_Pancreas_FACS,counts,umap,16,-0.1812496854361033
seuclidean,TabulaMuris_Pancreas_FACS,counts,umap,96,-0.24810766351050925
seuclidean,TabulaMuris_Pancreas_FACS,counts,umap,8,-0.11881043617683497
seuclidean,TabulaMuris_Pancreas_FACS,counts,umap,48,-0.16843872529421283
seuclidean,TabulaMuris_Pancreas_FACS,counts,kpca-sig,4,nan
seuclidean,TabulaMuris_Pancreas_FACS,counts,kpca-sig,32,nan
seuclidean,TabulaMuris_Pancreas_FACS,counts,kpca-sig,2,nan
seuclidean,TabulaMuris_Pancreas_FACS,counts,kpca-sig,16,nan
seuclidean,TabulaMuris_Pancreas_FACS,counts,kpca-sig,96,nan
seuclidean,TabulaMuris_Pancreas_FACS,counts,kpca-sig,8,nan
seuclidean,TabulaMuris_Pancreas_FACS,counts,kpca-sig,48,nan
seuclidean,TabulaMuris_Pancreas_FACS,counts,nmf2,4,-0.338907207856214
seuclidean,TabulaMuris_Pancreas_FACS,counts,nmf2,32,-0.2540597744737828
seuclidean,TabulaMuris_Pancreas_FACS,counts,nmf2,2,-0.14718888408142566
seuclidean,TabulaMuris_Pancreas_FACS,counts,nmf2,16,-0.27038874430951637
seuclidean,TabulaMuris_Pancreas_FACS,counts,nmf2,96,-0.25022837440474416
seuclidean,TabulaMuris_Pancreas_FACS,counts,nmf2,8,-0.34403272331834045
seuclidean,TabulaMuris_Pancreas_FACS,counts,nmf2,48,-0.2597658316113508
seuclidean,TabulaMuris_Pancreas_FACS,counts,srp,4,0.39238180723504246
seuclidean,TabulaMuris_Pancreas_FACS,counts,srp,32,0.3335019953778857
seuclidean,TabulaMuris_Pancreas_FACS,counts,srp,2,0.36025704299283645
seuclidean,TabulaMuris_Pancreas_FACS,counts,srp,16,0.4400222239847472
seuclidean,TabulaMuris_Pancreas_FACS,counts,srp,96,0.4504345035499067
seuclidean,TabulaMuris_Pancreas_FACS,counts,srp,8,0.4144533049152821
seuclidean,TabulaMuris_Pancreas_FACS,counts,srp,48,0.46225609230270404
seuclidean,TabulaMuris_Pancreas_FACS,counts,psmf,4,0.447548933734839
seuclidean,TabulaMuris_Pancreas_FACS,counts,psmf,32,0.6302132820056335
seuclidean,TabulaMuris_Pancreas_FACS,counts,psmf,2,0.1636257516086599
seuclidean,TabulaMuris_Pancreas_FACS,counts,psmf,16,0.5671996851399956
seuclidean,TabulaMuris_Pancreas_FACS,counts,psmf,96,0.6690312176695125
seuclidean,TabulaMuris_Pancreas_FACS,counts,psmf,8,0.5414726850639432
seuclidean,TabulaMuris_Pancreas_FACS,counts,psmf,48,0.613891334506495
seuclidean,TabulaMuris_Pancreas_FACS,counts,fica,4,-0.3518624605217588
seuclidean,TabulaMuris_Pancreas_FACS,counts,fica,32,-0.06556080799088396
seuclidean,TabulaMuris_Pancreas_FACS,counts,fica,2,-0.21334098189932463
seuclidean,TabulaMuris_Pancreas_FACS,counts,fica,16,-0.03613139717776414
seuclidean,TabulaMuris_Pancreas_FACS,counts,fica,96,0.15242416157803895
seuclidean,TabulaMuris_Pancreas_FACS,counts,fica,8,-0.06377844445651129
seuclidean,TabulaMuris_Pancreas_FACS,counts,fica,48,-0.040307242014803166
seuclidean,TabulaMuris_Pancreas_FACS,counts,lle,4,-0.253261766998756
seuclidean,TabulaMuris_Pancreas_FACS,counts,lle,32,0.11618599489275928
seuclidean,TabulaMuris_Pancreas_FACS,counts,lle,2,-0.18743556684303242
seuclidean,TabulaMuris_Pancreas_FACS,counts,lle,16,0.14938315425290433
seuclidean,TabulaMuris_Pancreas_FACS,counts,lle,96,-0.03927510681761273
seuclidean,TabulaMuris_Pancreas_FACS,counts,lle,8,0.08545848493127775
seuclidean,TabulaMuris_Pancreas_FACS,counts,lle,48,0.059193613073997495
seuclidean,TabulaMuris_Pancreas_FACS,counts,lsnmf,4,-0.00018120153324852908
seuclidean,TabulaMuris_Pancreas_FACS,counts,lsnmf,32,0.002521934885894693
seuclidean,TabulaMuris_Pancreas_FACS,counts,lsnmf,2,-0.002346330997739005
seuclidean,TabulaMuris_Pancreas_FACS,counts,lsnmf,16,0.024596405500183403
seuclidean,TabulaMuris_Pancreas_FACS,counts,lsnmf,96,0.007503626585222551
seuclidean,TabulaMuris_Pancreas_FACS,counts,lsnmf,8,-0.008305689096023113
seuclidean,TabulaMuris_Pancreas_FACS,counts,lsnmf,48,0.012661387824539504
seuclidean,TabulaMuris_Pancreas_FACS,counts,phate,4,-0.00142023877098435
seuclidean,TabulaMuris_Pancreas_FACS,counts,phate,32,0.14199479683053445
seuclidean,TabulaMuris_Pancreas_FACS,counts,phate,2,-0.040556715659656455
