metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,spca,4,0.41735365753705256
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,spca,32,0.5915032926471969
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,spca,2,0.3232477074343829
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,spca,16,0.49872255993123704
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,spca,96,0.7060759068623041
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,spca,8,0.46663791766805496
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,spca,48,0.6853521908394093
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,tsvd,4,0.2680513345774612
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,tsvd,32,0.7259124297987641
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,tsvd,2,0.21807967488120597
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,tsvd,16,0.6153336974081443
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,tsvd,96,0.688390816898286
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,tsvd,8,0.5336757978370725
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,tsvd,48,0.7331329211652453
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,spca-batch,4,0.3062918340384709
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,spca-batch,32,0.40419197929057027
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,spca-batch,2,0.1357149965412118
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,spca-batch,16,0.41501180330156145
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,spca-batch,96,0.6373259513382364
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,spca-batch,8,0.3321283742649277
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,spca-batch,48,0.6009747936003759
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,zifa,4,0.4428884932054857
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,zifa,32,0.6017202762149467
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,zifa,2,0.27040547225298406
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,zifa,16,0.6340177307206007
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,zifa,8,0.5397896327247634
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,nsnmf,4,0.21500578428815054
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,nsnmf,32,0.43309605937010487
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,nsnmf,2,0.10237325660627164
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,nsnmf,16,0.4689314157958182
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,nsnmf,96,0.3407338756286817
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,nsnmf,8,0.3169391377351018
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,nsnmf,48,0.39027538446232396
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,vpac,4,0.15665611359576348
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,vpac,32,0.6349426867201825
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,vpac,2,-0.03927287331631709
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,vpac,16,0.4643534822726469
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,vpac,96,0.6741975296765806
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,vpac,8,0.26067945447962676
seuclidean,TabulaMuris_Pancreas_FACS,logcounts,vpac,48,0.6551651482939289
