metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Skin_FACS,logcounts,spca,4,0.2091427281309468
seuclidean,TabulaMuris_Skin_FACS,logcounts,spca,32,0.4573359707022503
seuclidean,TabulaMuris_Skin_FACS,logcounts,spca,2,0.20522936789821747
seuclidean,TabulaMuris_Skin_FACS,logcounts,spca,16,0.39430355872461753
seuclidean,TabulaMuris_Skin_FACS,logcounts,spca,96,0.3338888800849776
seuclidean,TabulaMuris_Skin_FACS,logcounts,spca,8,0.28821638391695287
seuclidean,TabulaMuris_Skin_FACS,logcounts,spca,48,0.4484342235705025
seuclidean,TabulaMuris_Skin_FACS,logcounts,tsvd,4,0.251812338610495
seuclidean,TabulaMuris_Skin_FACS,logcounts,tsvd,32,0.45672734770530693
seuclidean,TabulaMuris_Skin_FACS,logcounts,tsvd,2,0.19915844989143455
seuclidean,TabulaMuris_Skin_FACS,logcounts,tsvd,16,0.4330089634453662
seuclidean,TabulaMuris_Skin_FACS,logcounts,tsvd,96,0.29460550342035197
seuclidean,TabulaMuris_Skin_FACS,logcounts,tsvd,8,0.2949785405222499
seuclidean,TabulaMuris_Skin_FACS,logcounts,tsvd,48,0.4184985229172645
seuclidean,TabulaMuris_Skin_FACS,logcounts,spca-batch,4,0.22056399322827555
seuclidean,TabulaMuris_Skin_FACS,logcounts,spca-batch,32,0.3039393987789403
seuclidean,TabulaMuris_Skin_FACS,logcounts,spca-batch,2,0.21115958573922408
seuclidean,TabulaMuris_Skin_FACS,logcounts,spca-batch,16,0.24155679583955728
seuclidean,TabulaMuris_Skin_FACS,logcounts,spca-batch,96,0.3227184862888399
seuclidean,TabulaMuris_Skin_FACS,logcounts,spca-batch,8,0.2670646595471002
seuclidean,TabulaMuris_Skin_FACS,logcounts,spca-batch,48,0.2625040422273651
seuclidean,TabulaMuris_Skin_FACS,logcounts,zifa,4,0.10699697667446242
seuclidean,TabulaMuris_Skin_FACS,logcounts,zifa,32,0.2783852316898346
seuclidean,TabulaMuris_Skin_FACS,logcounts,zifa,2,0.14250836444280823
seuclidean,TabulaMuris_Skin_FACS,logcounts,zifa,16,0.3112385975444274
seuclidean,TabulaMuris_Skin_FACS,logcounts,zifa,8,0.2533624371564409
seuclidean,TabulaMuris_Skin_FACS,logcounts,zifa,48,0.28006906178147845
seuclidean,TabulaMuris_Skin_FACS,logcounts,nsnmf,4,0.2845461248132637
seuclidean,TabulaMuris_Skin_FACS,logcounts,nsnmf,32,0.45795281485856904
seuclidean,TabulaMuris_Skin_FACS,logcounts,nsnmf,2,0.2480908403176843
seuclidean,TabulaMuris_Skin_FACS,logcounts,nsnmf,16,0.41351022183280617
seuclidean,TabulaMuris_Skin_FACS,logcounts,nsnmf,96,0.5327064605521478
seuclidean,TabulaMuris_Skin_FACS,logcounts,nsnmf,8,0.3173111259367456
seuclidean,TabulaMuris_Skin_FACS,logcounts,nsnmf,48,0.5078905315353756
seuclidean,TabulaMuris_Skin_FACS,logcounts,vpac,4,0.19536000796557948
seuclidean,TabulaMuris_Skin_FACS,logcounts,vpac,32,0.37669921292367076
seuclidean,TabulaMuris_Skin_FACS,logcounts,vpac,2,0.17478488311345378
seuclidean,TabulaMuris_Skin_FACS,logcounts,vpac,16,0.21882798324350505
seuclidean,TabulaMuris_Skin_FACS,logcounts,vpac,96,0.3396256389844712
seuclidean,TabulaMuris_Skin_FACS,logcounts,vpac,8,0.05248769205778843
seuclidean,TabulaMuris_Skin_FACS,logcounts,vpac,48,0.3204378901180382
seuclidean,TabulaMuris_Skin_FACS,logcounts,umap,4,0.04551418045714667
seuclidean,TabulaMuris_Skin_FACS,logcounts,umap,32,0.06337628851887643
seuclidean,TabulaMuris_Skin_FACS,logcounts,umap,2,0.08916216283524334
seuclidean,TabulaMuris_Skin_FACS,logcounts,umap,16,0.0370066032922441
seuclidean,TabulaMuris_Skin_FACS,logcounts,umap,96,0.050341819820708664
seuclidean,TabulaMuris_Skin_FACS,logcounts,umap,8,0.025669118875895604
seuclidean,TabulaMuris_Skin_FACS,logcounts,umap,48,0.06306888320759482
seuclidean,TabulaMuris_Skin_FACS,logcounts,kpca-sig,4,-0.05154703835802421
seuclidean,TabulaMuris_Skin_FACS,logcounts,kpca-sig,32,-0.004079346948008868
seuclidean,TabulaMuris_Skin_FACS,logcounts,kpca-sig,2,0.06453390102191316
seuclidean,TabulaMuris_Skin_FACS,logcounts,kpca-sig,16,0.03187541562373728
seuclidean,TabulaMuris_Skin_FACS,logcounts,kpca-sig,96,-0.07215703550595591
seuclidean,TabulaMuris_Skin_FACS,logcounts,kpca-sig,8,0.024925876141249796
seuclidean,TabulaMuris_Skin_FACS,logcounts,kpca-sig,48,-0.02697249628667409
seuclidean,TabulaMuris_Skin_FACS,logcounts,nmf2,4,0.19001846390024607
seuclidean,TabulaMuris_Skin_FACS,logcounts,nmf2,32,0.2595803667341994
seuclidean,TabulaMuris_Skin_FACS,logcounts,nmf2,2,0.18402019691489369
seuclidean,TabulaMuris_Skin_FACS,logcounts,nmf2,16,0.267897443978111
seuclidean,TabulaMuris_Skin_FACS,logcounts,nmf2,96,0.3311579738947683
seuclidean,TabulaMuris_Skin_FACS,logcounts,nmf2,8,0.20949689364121493
seuclidean,TabulaMuris_Skin_FACS,logcounts,nmf2,48,0.2720156882805782
seuclidean,TabulaMuris_Skin_FACS,logcounts,srp,4,0.037513908503849884
seuclidean,TabulaMuris_Skin_FACS,logcounts,srp,32,0.17206362647213216
seuclidean,TabulaMuris_Skin_FACS,logcounts,srp,2,0.02867015721837393
seuclidean,TabulaMuris_Skin_FACS,logcounts,srp,16,0.1453231824694614
seuclidean,TabulaMuris_Skin_FACS,logcounts,srp,96,0.275975845322816
seuclidean,TabulaMuris_Skin_FACS,logcounts,srp,8,0.05478077051918415
seuclidean,TabulaMuris_Skin_FACS,logcounts,srp,48,0.21777049289717954
seuclidean,TabulaMuris_Skin_FACS,logcounts,psmf,4,0.25112507965617364
seuclidean,TabulaMuris_Skin_FACS,logcounts,psmf,32,0.3135151632603887
seuclidean,TabulaMuris_Skin_FACS,logcounts,psmf,2,0.2437294151326698
seuclidean,TabulaMuris_Skin_FACS,logcounts,psmf,16,0.32348009725571664
seuclidean,TabulaMuris_Skin_FACS,logcounts,psmf,96,0.3138459980640227
seuclidean,TabulaMuris_Skin_FACS,logcounts,psmf,8,0.2666488183684664
seuclidean,TabulaMuris_Skin_FACS,logcounts,psmf,48,0.3190639105015664
seuclidean,TabulaMuris_Skin_FACS,logcounts,fica,4,0.20517380548988054
seuclidean,TabulaMuris_Skin_FACS,logcounts,fica,32,0.42877660804362167
seuclidean,TabulaMuris_Skin_FACS,logcounts,fica,2,0.20560091580877735
seuclidean,TabulaMuris_Skin_FACS,logcounts,fica,16,0.4181480378018959
seuclidean,TabulaMuris_Skin_FACS,logcounts,fica,96,0.26858531285463216
seuclidean,TabulaMuris_Skin_FACS,logcounts,fica,8,0.27952013078125837
seuclidean,TabulaMuris_Skin_FACS,logcounts,fica,48,0.3854023850870729
seuclidean,TabulaMuris_Skin_FACS,logcounts,lle,4,0.1101497742429844
seuclidean,TabulaMuris_Skin_FACS,logcounts,lle,32,0.15469713070748678
seuclidean,TabulaMuris_Skin_FACS,logcounts,lle,2,0.25172294959043023
seuclidean,TabulaMuris_Skin_FACS,logcounts,lle,16,0.21427856055085884
seuclidean,TabulaMuris_Skin_FACS,logcounts,lle,96,0.08928595478958512
seuclidean,TabulaMuris_Skin_FACS,logcounts,lle,8,0.21881805572748986
seuclidean,TabulaMuris_Skin_FACS,logcounts,lle,48,0.1255157601105071
seuclidean,TabulaMuris_Skin_FACS,logcounts,lsnmf,4,0.23008408443601822
seuclidean,TabulaMuris_Skin_FACS,logcounts,lsnmf,32,0.22303749200109993
seuclidean,TabulaMuris_Skin_FACS,logcounts,lsnmf,2,0.17056920258553168
seuclidean,TabulaMuris_Skin_FACS,logcounts,lsnmf,16,0.22284843530487985
seuclidean,TabulaMuris_Skin_FACS,logcounts,lsnmf,96,-0.00033976465649734015
seuclidean,TabulaMuris_Skin_FACS,logcounts,lsnmf,8,0.11338330308947966
seuclidean,TabulaMuris_Skin_FACS,logcounts,lsnmf,48,0.2066033077354235
seuclidean,TabulaMuris_Skin_FACS,logcounts,phate,4,0.11685229121565188
seuclidean,TabulaMuris_Skin_FACS,logcounts,phate,32,0.29180242382221944
seuclidean,TabulaMuris_Skin_FACS,logcounts,phate,2,0.10388912649685819
seuclidean,TabulaMuris_Skin_FACS,logcounts,phate,16,0.2651228102250242
seuclidean,TabulaMuris_Skin_FACS,logcounts,phate,96,0.20860117154639254
seuclidean,TabulaMuris_Skin_FACS,logcounts,phate,8,0.19596975448831258
seuclidean,TabulaMuris_Skin_FACS,logcounts,phate,48,0.2799021061077768
seuclidean,TabulaMuris_Skin_FACS,logcounts,kpca-rbf,4,0.11970308533162276
seuclidean,TabulaMuris_Skin_FACS,logcounts,kpca-rbf,32,0.2693924337251025
seuclidean,TabulaMuris_Skin_FACS,logcounts,kpca-rbf,2,0.12503556983078654
seuclidean,TabulaMuris_Skin_FACS,logcounts,kpca-rbf,16,0.2211936713383703
seuclidean,TabulaMuris_Skin_FACS,logcounts,kpca-rbf,96,0.0032908017884258223
seuclidean,TabulaMuris_Skin_FACS,logcounts,kpca-rbf,8,0.10457263870870234
seuclidean,TabulaMuris_Skin_FACS,logcounts,kpca-rbf,48,0.2181617128162638
seuclidean,TabulaMuris_Skin_FACS,logcounts,isomap,4,0.24176204308025093
seuclidean,TabulaMuris_Skin_FACS,logcounts,isomap,32,0.24777946127441727
seuclidean,TabulaMuris_Skin_FACS,logcounts,isomap,2,0.28099679192492183
seuclidean,TabulaMuris_Skin_FACS,logcounts,isomap,16,0.279568802201344
seuclidean,TabulaMuris_Skin_FACS,logcounts,isomap,96,0.1773537213005275
seuclidean,TabulaMuris_Skin_FACS,logcounts,isomap,8,0.2837964643534072
seuclidean,TabulaMuris_Skin_FACS,logcounts,isomap,48,0.21460741865531924
seuclidean,TabulaMuris_Skin_FACS,logcounts,saucie,4,-0.0016568720512538022
seuclidean,TabulaMuris_Skin_FACS,logcounts,saucie,32,-0.011218317467927742
seuclidean,TabulaMuris_Skin_FACS,logcounts,saucie,2,-0.0139255673773724
seuclidean,TabulaMuris_Skin_FACS,logcounts,saucie,16,0.001842948620607483
seuclidean,TabulaMuris_Skin_FACS,logcounts,saucie,96,-0.01668853297817992
seuclidean,TabulaMuris_Skin_FACS,logcounts,saucie,8,-0.0014367076372730637
seuclidean,TabulaMuris_Skin_FACS,logcounts,saucie,48,0.019832438540996405
seuclidean,TabulaMuris_Skin_FACS,logcounts,bd,4,0.12060377925864792
seuclidean,TabulaMuris_Skin_FACS,logcounts,bd,32,0.471951867331349
seuclidean,TabulaMuris_Skin_FACS,logcounts,bd,2,0.15563916794018468
seuclidean,TabulaMuris_Skin_FACS,logcounts,bd,16,0.36602009740538993
seuclidean,TabulaMuris_Skin_FACS,logcounts,bd,96,0.4506333212200484
seuclidean,TabulaMuris_Skin_FACS,logcounts,bd,8,0.27285516286445427
seuclidean,TabulaMuris_Skin_FACS,logcounts,bd,48,0.4562602428192809
seuclidean,TabulaMuris_Skin_FACS,logcounts,lda,4,0.14490262139354992
seuclidean,TabulaMuris_Skin_FACS,logcounts,lda,32,0.15118476419185112
seuclidean,TabulaMuris_Skin_FACS,logcounts,lda,2,0.09115376013460842
seuclidean,TabulaMuris_Skin_FACS,logcounts,lda,16,0.19559324516042628
seuclidean,TabulaMuris_Skin_FACS,logcounts,lda,96,0.21476085522202404
seuclidean,TabulaMuris_Skin_FACS,logcounts,lda,8,0.1558223483419585
seuclidean,TabulaMuris_Skin_FACS,logcounts,lda,48,0.2973146781586672
seuclidean,TabulaMuris_Skin_FACS,logcounts,spectral,4,0.31879450839010637
seuclidean,TabulaMuris_Skin_FACS,logcounts,spectral,32,0.3109737669423454
seuclidean,TabulaMuris_Skin_FACS,logcounts,spectral,2,0.24383629791091155
seuclidean,TabulaMuris_Skin_FACS,logcounts,spectral,16,0.3606792418800363
seuclidean,TabulaMuris_Skin_FACS,logcounts,spectral,96,0.2294190528015313
