metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Spleen_10X,counts,zifa,2,0.22039673817784494
seuclidean,TabulaMuris_Spleen_10X,counts,zifa,4,0.2984193122572104
seuclidean,TabulaMuris_Spleen_10X,counts,zifa,8,0.3120562856588187
seuclidean,TabulaMuris_Spleen_10X,counts,zifa,16,0.36394829462768796
seuclidean,TabulaMuris_Spleen_10X,counts,vasc,96,nan
seuclidean,TabulaMuris_Spleen_10X,counts,vasc,48,nan
seuclidean,TabulaMuris_Spleen_10X,counts,vasc,32,nan
seuclidean,TabulaMuris_Spleen_10X,counts,vasc,2,0.08463720129827314
seuclidean,TabulaMuris_Spleen_10X,counts,vasc,4,0.12146213066302192
seuclidean,TabulaMuris_Spleen_10X,counts,vasc,8,0.16420428559337508
seuclidean,TabulaMuris_Spleen_10X,counts,vasc,16,nan
seuclidean,TabulaMuris_Spleen_10X,counts,lle,96,0.1835766056786577
seuclidean,TabulaMuris_Spleen_10X,counts,lle,48,0.1463208084064886
seuclidean,TabulaMuris_Spleen_10X,counts,lle,32,0.15532301499538984
seuclidean,TabulaMuris_Spleen_10X,counts,lle,2,0.24534843982283502
seuclidean,TabulaMuris_Spleen_10X,counts,lle,4,0.09175546551923387
seuclidean,TabulaMuris_Spleen_10X,counts,lle,8,0.04122720909007811
seuclidean,TabulaMuris_Spleen_10X,counts,lle,16,0.032766670058594696
seuclidean,TabulaMuris_Spleen_10X,counts,kpca-cos,96,0.4858610216400169
seuclidean,TabulaMuris_Spleen_10X,counts,kpca-cos,48,0.4484489020853742
seuclidean,TabulaMuris_Spleen_10X,counts,kpca-cos,32,0.41426619632459194
seuclidean,TabulaMuris_Spleen_10X,counts,kpca-cos,2,0.2128432814232693
seuclidean,TabulaMuris_Spleen_10X,counts,kpca-cos,4,0.3229533251164315
seuclidean,TabulaMuris_Spleen_10X,counts,kpca-cos,8,0.3087228457322831
seuclidean,TabulaMuris_Spleen_10X,counts,kpca-cos,16,0.3413118153859398
seuclidean,TabulaMuris_Spleen_10X,counts,grp,96,0.43193293124031906
seuclidean,TabulaMuris_Spleen_10X,counts,grp,48,0.449585159711801
seuclidean,TabulaMuris_Spleen_10X,counts,grp,32,0.4072732489193044
seuclidean,TabulaMuris_Spleen_10X,counts,grp,2,0.23469444680573254
seuclidean,TabulaMuris_Spleen_10X,counts,grp,4,0.3295420997051933
seuclidean,TabulaMuris_Spleen_10X,counts,grp,8,0.334256123277405
seuclidean,TabulaMuris_Spleen_10X,counts,grp,16,0.3836072545103924
seuclidean,TabulaMuris_Spleen_10X,counts,pmf,96,0.3542897394562118
seuclidean,TabulaMuris_Spleen_10X,counts,pmf,48,0.30510878236384015
seuclidean,TabulaMuris_Spleen_10X,counts,pmf,32,0.31956110768469526
seuclidean,TabulaMuris_Spleen_10X,counts,pmf,2,0.3097911333289511
seuclidean,TabulaMuris_Spleen_10X,counts,pmf,4,0.2595331665978219
seuclidean,TabulaMuris_Spleen_10X,counts,pmf,8,0.24826956247063597
seuclidean,TabulaMuris_Spleen_10X,counts,pmf,16,0.30517480714973994
seuclidean,TabulaMuris_Spleen_10X,counts,ipca,96,0.49537424457732454
seuclidean,TabulaMuris_Spleen_10X,counts,ipca,48,0.4530964345273647
seuclidean,TabulaMuris_Spleen_10X,counts,ipca,32,0.4232229183837454
seuclidean,TabulaMuris_Spleen_10X,counts,ipca,2,0.03047821809890795
seuclidean,TabulaMuris_Spleen_10X,counts,ipca,4,0.32596379205030024
seuclidean,TabulaMuris_Spleen_10X,counts,ipca,8,0.3450666109517297
seuclidean,TabulaMuris_Spleen_10X,counts,ipca,16,0.33837702131026387
seuclidean,TabulaMuris_Spleen_10X,counts,lda,96,0.4503131207749117
seuclidean,TabulaMuris_Spleen_10X,counts,lda,48,0.3583781982369293
seuclidean,TabulaMuris_Spleen_10X,counts,lda,32,0.39557483827566803
seuclidean,TabulaMuris_Spleen_10X,counts,lda,2,0.05695838301088038
seuclidean,TabulaMuris_Spleen_10X,counts,lda,4,0.180569413784824
seuclidean,TabulaMuris_Spleen_10X,counts,lda,8,0.23519142005182025
seuclidean,TabulaMuris_Spleen_10X,counts,lda,16,0.3193323677584437
seuclidean,TabulaMuris_Spleen_10X,counts,kpca-sig,96,nan
seuclidean,TabulaMuris_Spleen_10X,counts,kpca-sig,48,nan
seuclidean,TabulaMuris_Spleen_10X,counts,kpca-sig,32,nan
