metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Spleen_10X,logcounts,zifa,2,0.27823554348146357
seuclidean,TabulaMuris_Spleen_10X,logcounts,zifa,4,0.4754091187536488
seuclidean,TabulaMuris_Spleen_10X,logcounts,zifa,8,0.4690837446208194
seuclidean,TabulaMuris_Spleen_10X,logcounts,zifa,16,0.4785273492556928
seuclidean,TabulaMuris_Spleen_10X,logcounts,vasc,96,nan
seuclidean,TabulaMuris_Spleen_10X,logcounts,vasc,48,0.4598013603503118
seuclidean,TabulaMuris_Spleen_10X,logcounts,vasc,32,0.5219273031200605
seuclidean,TabulaMuris_Spleen_10X,logcounts,vasc,2,0.4759465292923735
seuclidean,TabulaMuris_Spleen_10X,logcounts,vasc,4,0.5179769356420217
seuclidean,TabulaMuris_Spleen_10X,logcounts,vasc,8,0.4851111181525801
seuclidean,TabulaMuris_Spleen_10X,logcounts,vasc,16,0.5549884205419033
seuclidean,TabulaMuris_Spleen_10X,logcounts,lle,96,0.4178435341471603
seuclidean,TabulaMuris_Spleen_10X,logcounts,lle,48,0.31311702839244115
seuclidean,TabulaMuris_Spleen_10X,logcounts,lle,32,0.2157354154742912
seuclidean,TabulaMuris_Spleen_10X,logcounts,lle,2,0.11843897940912733
seuclidean,TabulaMuris_Spleen_10X,logcounts,lle,4,0.41991510373463187
seuclidean,TabulaMuris_Spleen_10X,logcounts,lle,8,0.24221597899105868
seuclidean,TabulaMuris_Spleen_10X,logcounts,lle,16,0.1573067674599778
seuclidean,TabulaMuris_Spleen_10X,logcounts,kpca-cos,96,-0.12862416493053333
seuclidean,TabulaMuris_Spleen_10X,logcounts,kpca-cos,48,0.1866222170492161
seuclidean,TabulaMuris_Spleen_10X,logcounts,kpca-cos,32,0.3592257213007805
seuclidean,TabulaMuris_Spleen_10X,logcounts,kpca-cos,2,0.3582969798798079
seuclidean,TabulaMuris_Spleen_10X,logcounts,kpca-cos,4,0.4813071016641514
seuclidean,TabulaMuris_Spleen_10X,logcounts,kpca-cos,8,0.47091004038179235
seuclidean,TabulaMuris_Spleen_10X,logcounts,kpca-cos,16,0.484866911577589
seuclidean,TabulaMuris_Spleen_10X,logcounts,grp,96,0.4328221651546405
seuclidean,TabulaMuris_Spleen_10X,logcounts,grp,48,0.3323009079695422
seuclidean,TabulaMuris_Spleen_10X,logcounts,grp,32,0.26569816648736794
seuclidean,TabulaMuris_Spleen_10X,logcounts,grp,2,0.048664408799298974
seuclidean,TabulaMuris_Spleen_10X,logcounts,grp,4,0.05712633929239311
seuclidean,TabulaMuris_Spleen_10X,logcounts,grp,8,0.1193460123772214
seuclidean,TabulaMuris_Spleen_10X,logcounts,grp,16,0.20068667327455358
seuclidean,TabulaMuris_Spleen_10X,logcounts,pmf,96,0.6386711107427456
seuclidean,TabulaMuris_Spleen_10X,logcounts,pmf,48,0.5987469947647128
seuclidean,TabulaMuris_Spleen_10X,logcounts,pmf,32,0.6014190064606721
seuclidean,TabulaMuris_Spleen_10X,logcounts,pmf,2,0.4050482407106632
seuclidean,TabulaMuris_Spleen_10X,logcounts,pmf,4,0.4820378226266968
seuclidean,TabulaMuris_Spleen_10X,logcounts,pmf,8,0.5258419829111797
seuclidean,TabulaMuris_Spleen_10X,logcounts,pmf,16,0.5864031710640721
seuclidean,TabulaMuris_Spleen_10X,logcounts,ipca,96,0.43820958219531964
seuclidean,TabulaMuris_Spleen_10X,logcounts,ipca,48,0.5300389540824227
seuclidean,TabulaMuris_Spleen_10X,logcounts,ipca,32,0.5780530945560775
seuclidean,TabulaMuris_Spleen_10X,logcounts,ipca,2,0.40728842453809605
seuclidean,TabulaMuris_Spleen_10X,logcounts,ipca,4,0.5413487291094938
seuclidean,TabulaMuris_Spleen_10X,logcounts,ipca,8,0.5503855537262508
seuclidean,TabulaMuris_Spleen_10X,logcounts,ipca,16,0.5964097539130016
seuclidean,TabulaMuris_Spleen_10X,logcounts,lda,96,0.23546451592446352
seuclidean,TabulaMuris_Spleen_10X,logcounts,lda,48,0.2504165316114141
seuclidean,TabulaMuris_Spleen_10X,logcounts,lda,32,0.3055689152270224
seuclidean,TabulaMuris_Spleen_10X,logcounts,lda,2,0.3071848000222406
seuclidean,TabulaMuris_Spleen_10X,logcounts,lda,4,0.44174811165807343
seuclidean,TabulaMuris_Spleen_10X,logcounts,lda,8,0.4340429332271677
seuclidean,TabulaMuris_Spleen_10X,logcounts,lda,16,0.2402236723733412
seuclidean,TabulaMuris_Spleen_10X,logcounts,kpca-sig,96,-0.3271990494529188
seuclidean,TabulaMuris_Spleen_10X,logcounts,kpca-sig,48,-0.2155494624860744
