metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Thymus_10X,counts,spca,4,0.14557571632488245
seuclidean,TabulaMuris_Thymus_10X,counts,spca,32,0.497716052375983
seuclidean,TabulaMuris_Thymus_10X,counts,spca,2,0.13524895004510476
seuclidean,TabulaMuris_Thymus_10X,counts,spca,16,0.2903240336308269
seuclidean,TabulaMuris_Thymus_10X,counts,spca,96,0.7637798851985019
seuclidean,TabulaMuris_Thymus_10X,counts,spca,8,0.26286383798330504
seuclidean,TabulaMuris_Thymus_10X,counts,spca,48,0.6360853185867146
seuclidean,TabulaMuris_Thymus_10X,counts,tsvd,4,0.06892968265862023
seuclidean,TabulaMuris_Thymus_10X,counts,tsvd,32,0.47887168037948874
seuclidean,TabulaMuris_Thymus_10X,counts,tsvd,2,0.10829676527483491
seuclidean,TabulaMuris_Thymus_10X,counts,tsvd,16,0.2634523329606308
seuclidean,TabulaMuris_Thymus_10X,counts,tsvd,96,0.7518643833533474
seuclidean,TabulaMuris_Thymus_10X,counts,tsvd,8,0.23367257888658946
seuclidean,TabulaMuris_Thymus_10X,counts,tsvd,48,0.6189898585792998
seuclidean,TabulaMuris_Thymus_10X,counts,spca-batch,4,0.25368403618187324
seuclidean,TabulaMuris_Thymus_10X,counts,spca-batch,32,0.4245520580083542
seuclidean,TabulaMuris_Thymus_10X,counts,spca-batch,2,0.06572479850298935
seuclidean,TabulaMuris_Thymus_10X,counts,spca-batch,16,0.3233314117129026
seuclidean,TabulaMuris_Thymus_10X,counts,spca-batch,96,0.5788888672947838
seuclidean,TabulaMuris_Thymus_10X,counts,spca-batch,8,0.31838070525981554
seuclidean,TabulaMuris_Thymus_10X,counts,spca-batch,48,0.479772101372965
seuclidean,TabulaMuris_Thymus_10X,counts,zifa,4,0.09062353976265773
seuclidean,TabulaMuris_Thymus_10X,counts,zifa,32,0.6924096537427951
seuclidean,TabulaMuris_Thymus_10X,counts,zifa,2,-0.04301321807896022
seuclidean,TabulaMuris_Thymus_10X,counts,zifa,16,0.41275499521373255
seuclidean,TabulaMuris_Thymus_10X,counts,zifa,96,0.7585670409828018
seuclidean,TabulaMuris_Thymus_10X,counts,zifa,8,0.23321381177840825
seuclidean,TabulaMuris_Thymus_10X,counts,zifa,48,0.7610662859931479
seuclidean,TabulaMuris_Thymus_10X,counts,nsnmf,4,0.01648475642050864
seuclidean,TabulaMuris_Thymus_10X,counts,nsnmf,32,0.3497239398092194
seuclidean,TabulaMuris_Thymus_10X,counts,nsnmf,2,0.03986884072222025
seuclidean,TabulaMuris_Thymus_10X,counts,nsnmf,16,0.2049000907355513
