metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Thymus_10X,logcounts,spca,4,0.49231051285545274
seuclidean,TabulaMuris_Thymus_10X,logcounts,spca,32,0.4715316080105383
seuclidean,TabulaMuris_Thymus_10X,logcounts,spca,2,0.3802405847210694
seuclidean,TabulaMuris_Thymus_10X,logcounts,spca,16,0.6402004329390361
seuclidean,TabulaMuris_Thymus_10X,logcounts,spca,96,-0.08776751684103679
seuclidean,TabulaMuris_Thymus_10X,logcounts,spca,8,0.5757241185217357
seuclidean,TabulaMuris_Thymus_10X,logcounts,spca,48,0.2663065321920132
seuclidean,TabulaMuris_Thymus_10X,logcounts,tsvd,4,0.4673408608128518
seuclidean,TabulaMuris_Thymus_10X,logcounts,tsvd,32,0.3273157386056294
seuclidean,TabulaMuris_Thymus_10X,logcounts,tsvd,2,0.4506105073880794
seuclidean,TabulaMuris_Thymus_10X,logcounts,tsvd,16,0.5495493267101543
seuclidean,TabulaMuris_Thymus_10X,logcounts,tsvd,96,-0.027147286993248938
seuclidean,TabulaMuris_Thymus_10X,logcounts,tsvd,8,0.5190824864910296
seuclidean,TabulaMuris_Thymus_10X,logcounts,tsvd,48,0.16704232888614481
seuclidean,TabulaMuris_Thymus_10X,logcounts,spca-batch,4,0.41194032163586436
seuclidean,TabulaMuris_Thymus_10X,logcounts,spca-batch,32,0.46189718428810433
seuclidean,TabulaMuris_Thymus_10X,logcounts,spca-batch,2,0.46377163499871804
seuclidean,TabulaMuris_Thymus_10X,logcounts,spca-batch,16,0.44266355138704383
seuclidean,TabulaMuris_Thymus_10X,logcounts,spca-batch,96,nan
seuclidean,TabulaMuris_Thymus_10X,logcounts,spca-batch,8,0.43527418471215384
seuclidean,TabulaMuris_Thymus_10X,logcounts,spca-batch,48,0.3820917088743417
seuclidean,TabulaMuris_Thymus_10X,logcounts,zifa,4,0.34720717227836906
seuclidean,TabulaMuris_Thymus_10X,logcounts,zifa,32,0.5153630956083032
seuclidean,TabulaMuris_Thymus_10X,logcounts,zifa,2,0.3583480478402659
seuclidean,TabulaMuris_Thymus_10X,logcounts,zifa,16,0.4538937476381009
seuclidean,TabulaMuris_Thymus_10X,logcounts,zifa,96,0.007122695556322362
seuclidean,TabulaMuris_Thymus_10X,logcounts,zifa,8,0.4155394878276864
seuclidean,TabulaMuris_Thymus_10X,logcounts,zifa,48,0.25919103221707307
seuclidean,TabulaMuris_Thymus_10X,logcounts,nsnmf,4,0.4727550985830127
seuclidean,TabulaMuris_Thymus_10X,logcounts,nsnmf,32,0.6848112062197134
seuclidean,TabulaMuris_Thymus_10X,logcounts,nsnmf,2,0.4531513369801438
seuclidean,TabulaMuris_Thymus_10X,logcounts,nsnmf,16,0.6348330597065894
seuclidean,TabulaMuris_Thymus_10X,logcounts,nsnmf,96,0.7526833201196336
seuclidean,TabulaMuris_Thymus_10X,logcounts,nsnmf,8,0.5685816851540225
seuclidean,TabulaMuris_Thymus_10X,logcounts,nsnmf,48,0.732259343357468
seuclidean,TabulaMuris_Thymus_10X,logcounts,vpac,4,-0.01938384499175223
seuclidean,TabulaMuris_Thymus_10X,logcounts,vpac,32,0.4505588054905115
seuclidean,TabulaMuris_Thymus_10X,logcounts,vpac,2,0.4697318671556291
seuclidean,TabulaMuris_Thymus_10X,logcounts,vpac,16,0.43353354636229013
seuclidean,TabulaMuris_Thymus_10X,logcounts,vpac,96,0.5100543727684914
seuclidean,TabulaMuris_Thymus_10X,logcounts,vpac,8,0.2842683950086557
seuclidean,TabulaMuris_Thymus_10X,logcounts,vpac,48,0.537016889242025
seuclidean,TabulaMuris_Thymus_10X,logcounts,umap,4,0.27274181839444317
seuclidean,TabulaMuris_Thymus_10X,logcounts,umap,32,0.28532535258136615
seuclidean,TabulaMuris_Thymus_10X,logcounts,umap,2,0.25907619927002296
seuclidean,TabulaMuris_Thymus_10X,logcounts,umap,16,0.25765503222273767
seuclidean,TabulaMuris_Thymus_10X,logcounts,umap,96,0.2727399537618057
seuclidean,TabulaMuris_Thymus_10X,logcounts,umap,8,0.2729588332532793
seuclidean,TabulaMuris_Thymus_10X,logcounts,umap,48,0.3580588661953979
seuclidean,TabulaMuris_Thymus_10X,logcounts,kpca-sig,4,-0.06801852517541496
seuclidean,TabulaMuris_Thymus_10X,logcounts,kpca-sig,32,-0.30260337894491435
seuclidean,TabulaMuris_Thymus_10X,logcounts,kpca-sig,2,-0.0057543959227101685
seuclidean,TabulaMuris_Thymus_10X,logcounts,kpca-sig,16,-0.22905006911025447
seuclidean,TabulaMuris_Thymus_10X,logcounts,kpca-sig,96,-0.3605399718825252
seuclidean,TabulaMuris_Thymus_10X,logcounts,kpca-sig,8,-0.1369673601502506
seuclidean,TabulaMuris_Thymus_10X,logcounts,kpca-sig,48,-0.32680513518398696
seuclidean,TabulaMuris_Thymus_10X,logcounts,nmf2,4,0.36426919609688385
seuclidean,TabulaMuris_Thymus_10X,logcounts,nmf2,32,0.4673773591896462
seuclidean,TabulaMuris_Thymus_10X,logcounts,nmf2,2,0.4248613187522821
seuclidean,TabulaMuris_Thymus_10X,logcounts,nmf2,16,0.36963811897890025
seuclidean,TabulaMuris_Thymus_10X,logcounts,nmf2,96,0.5335545012265345
seuclidean,TabulaMuris_Thymus_10X,logcounts,nmf2,8,0.4285503541657495
seuclidean,TabulaMuris_Thymus_10X,logcounts,nmf2,48,0.4606825659011673
seuclidean,TabulaMuris_Thymus_10X,logcounts,srp,4,0.08062319850104158
seuclidean,TabulaMuris_Thymus_10X,logcounts,srp,32,0.15168703415608145
seuclidean,TabulaMuris_Thymus_10X,logcounts,srp,2,0.04445787379439147
seuclidean,TabulaMuris_Thymus_10X,logcounts,srp,16,0.10241279821757739
seuclidean,TabulaMuris_Thymus_10X,logcounts,srp,96,0.24480264037711882
seuclidean,TabulaMuris_Thymus_10X,logcounts,srp,8,0.005534978489687637
seuclidean,TabulaMuris_Thymus_10X,logcounts,srp,48,0.19606429004144468
seuclidean,TabulaMuris_Thymus_10X,logcounts,psmf,4,0.48341832467170515
seuclidean,TabulaMuris_Thymus_10X,logcounts,psmf,32,0.5638594818912736
seuclidean,TabulaMuris_Thymus_10X,logcounts,psmf,2,0.4134668216760935
seuclidean,TabulaMuris_Thymus_10X,logcounts,psmf,16,0.5556119399668892
seuclidean,TabulaMuris_Thymus_10X,logcounts,psmf,96,0.3656851450928796
seuclidean,TabulaMuris_Thymus_10X,logcounts,psmf,8,0.5562277263823577
seuclidean,TabulaMuris_Thymus_10X,logcounts,psmf,48,0.49900446230873174
seuclidean,TabulaMuris_Thymus_10X,logcounts,fica,4,0.46558580522598547
seuclidean,TabulaMuris_Thymus_10X,logcounts,fica,32,0.2798926561137556
seuclidean,TabulaMuris_Thymus_10X,logcounts,fica,2,0.39190689320488914
seuclidean,TabulaMuris_Thymus_10X,logcounts,fica,16,0.48899244893956034
seuclidean,TabulaMuris_Thymus_10X,logcounts,fica,96,-0.071350255626706
seuclidean,TabulaMuris_Thymus_10X,logcounts,fica,8,0.4689550742164988
