metric,dataset,count,method,dimensions,rho
seuclidean,TabulaMuris_Thymus_FACS,logcounts,spca,4,0.2673129089620191
seuclidean,TabulaMuris_Thymus_FACS,logcounts,spca,32,0.526696700574644
seuclidean,TabulaMuris_Thymus_FACS,logcounts,spca,2,0.2285143660744984
seuclidean,TabulaMuris_Thymus_FACS,logcounts,spca,16,0.5008774453632343
seuclidean,TabulaMuris_Thymus_FACS,logcounts,spca,96,0.4405340175620204
seuclidean,TabulaMuris_Thymus_FACS,logcounts,spca,8,0.4137789938902177
seuclidean,TabulaMuris_Thymus_FACS,logcounts,spca,48,0.5256285364315125
seuclidean,TabulaMuris_Thymus_FACS,logcounts,tsvd,4,0.3383640138840492
seuclidean,TabulaMuris_Thymus_FACS,logcounts,tsvd,32,0.5636365579379966
seuclidean,TabulaMuris_Thymus_FACS,logcounts,tsvd,2,0.2932943334108755
seuclidean,TabulaMuris_Thymus_FACS,logcounts,tsvd,16,0.5479701912890405
seuclidean,TabulaMuris_Thymus_FACS,logcounts,tsvd,96,0.4626322334901044
seuclidean,TabulaMuris_Thymus_FACS,logcounts,tsvd,8,0.4675910161913477
seuclidean,TabulaMuris_Thymus_FACS,logcounts,tsvd,48,0.5311225967987697
seuclidean,TabulaMuris_Thymus_FACS,logcounts,spca-batch,4,0.18694276917874292
seuclidean,TabulaMuris_Thymus_FACS,logcounts,spca-batch,32,0.37460432778005587
seuclidean,TabulaMuris_Thymus_FACS,logcounts,spca-batch,2,0.198655562365939
seuclidean,TabulaMuris_Thymus_FACS,logcounts,spca-batch,16,0.21899698774066126
seuclidean,TabulaMuris_Thymus_FACS,logcounts,spca-batch,96,0.4773256488905111
seuclidean,TabulaMuris_Thymus_FACS,logcounts,spca-batch,8,0.2338060896114659
seuclidean,TabulaMuris_Thymus_FACS,logcounts,spca-batch,48,0.4049711016426719
seuclidean,TabulaMuris_Thymus_FACS,logcounts,zifa,4,0.31736697463946895
seuclidean,TabulaMuris_Thymus_FACS,logcounts,zifa,32,0.48222985060525025
seuclidean,TabulaMuris_Thymus_FACS,logcounts,zifa,2,0.09119734394962468
seuclidean,TabulaMuris_Thymus_FACS,logcounts,zifa,16,0.45134020719423934
seuclidean,TabulaMuris_Thymus_FACS,logcounts,zifa,8,0.4217208366392962
seuclidean,TabulaMuris_Thymus_FACS,logcounts,zifa,48,0.4949936506273109
seuclidean,TabulaMuris_Thymus_FACS,logcounts,nsnmf,4,0.3766653485115594
seuclidean,TabulaMuris_Thymus_FACS,logcounts,nsnmf,32,0.5442778277484841
seuclidean,TabulaMuris_Thymus_FACS,logcounts,nsnmf,2,0.3094761448334373
seuclidean,TabulaMuris_Thymus_FACS,logcounts,nsnmf,16,0.4634567782530007
seuclidean,TabulaMuris_Thymus_FACS,logcounts,nsnmf,96,0.5802991727328197
seuclidean,TabulaMuris_Thymus_FACS,logcounts,nsnmf,8,0.45144522354938765
seuclidean,TabulaMuris_Thymus_FACS,logcounts,nsnmf,48,0.5859395365310979
seuclidean,TabulaMuris_Thymus_FACS,logcounts,vpac,4,0.0809059038813243
seuclidean,TabulaMuris_Thymus_FACS,logcounts,vpac,32,0.5446581687472231
seuclidean,TabulaMuris_Thymus_FACS,logcounts,vpac,2,0.13795499044838508
seuclidean,TabulaMuris_Thymus_FACS,logcounts,vpac,16,0.5001902456730483
seuclidean,TabulaMuris_Thymus_FACS,logcounts,vpac,96,0.5249255935737905
seuclidean,TabulaMuris_Thymus_FACS,logcounts,vpac,8,0.3210693619338797
seuclidean,TabulaMuris_Thymus_FACS,logcounts,vpac,48,0.5530959145557378
seuclidean,TabulaMuris_Thymus_FACS,logcounts,umap,4,0.2914173192387343
seuclidean,TabulaMuris_Thymus_FACS,logcounts,umap,32,0.28985745982612016
seuclidean,TabulaMuris_Thymus_FACS,logcounts,umap,2,0.3192319728323859
seuclidean,TabulaMuris_Thymus_FACS,logcounts,umap,16,0.2749493391732139
seuclidean,TabulaMuris_Thymus_FACS,logcounts,umap,96,0.2714889052210182
seuclidean,TabulaMuris_Thymus_FACS,logcounts,umap,8,0.3191653885758228
seuclidean,TabulaMuris_Thymus_FACS,logcounts,umap,48,0.27341977006307455
seuclidean,TabulaMuris_Thymus_FACS,logcounts,kpca-sig,4,0.03616093339581884
seuclidean,TabulaMuris_Thymus_FACS,logcounts,kpca-sig,32,-0.025466190912043326
seuclidean,TabulaMuris_Thymus_FACS,logcounts,kpca-sig,2,-0.06397204343163405
seuclidean,TabulaMuris_Thymus_FACS,logcounts,kpca-sig,16,0.07113978846497435
seuclidean,TabulaMuris_Thymus_FACS,logcounts,kpca-sig,96,-0.13063788626152362
seuclidean,TabulaMuris_Thymus_FACS,logcounts,kpca-sig,8,0.10001861799833978
seuclidean,TabulaMuris_Thymus_FACS,logcounts,kpca-sig,48,-0.0726847498108491
seuclidean,TabulaMuris_Thymus_FACS,logcounts,nmf2,4,0.2878834315163893
seuclidean,TabulaMuris_Thymus_FACS,logcounts,nmf2,32,0.3542479376831336
seuclidean,TabulaMuris_Thymus_FACS,logcounts,nmf2,2,0.21780588886463162
seuclidean,TabulaMuris_Thymus_FACS,logcounts,nmf2,16,0.3638746942859001
seuclidean,TabulaMuris_Thymus_FACS,logcounts,nmf2,96,0.46366937752850085
seuclidean,TabulaMuris_Thymus_FACS,logcounts,nmf2,8,0.30253516888072074
seuclidean,TabulaMuris_Thymus_FACS,logcounts,nmf2,48,0.4094766214050039
seuclidean,TabulaMuris_Thymus_FACS,logcounts,srp,4,0.25581124293618196
seuclidean,TabulaMuris_Thymus_FACS,logcounts,srp,32,0.29372924093453473
seuclidean,TabulaMuris_Thymus_FACS,logcounts,srp,2,0.14697878000664075
seuclidean,TabulaMuris_Thymus_FACS,logcounts,srp,16,0.2459345797656132
seuclidean,TabulaMuris_Thymus_FACS,logcounts,srp,96,0.4687022043103022
seuclidean,TabulaMuris_Thymus_FACS,logcounts,srp,8,0.20538925940880498
seuclidean,TabulaMuris_Thymus_FACS,logcounts,srp,48,0.33826329004330496
seuclidean,TabulaMuris_Thymus_FACS,logcounts,psmf,4,0.35905899720418427
seuclidean,TabulaMuris_Thymus_FACS,logcounts,psmf,32,0.38072781824756
seuclidean,TabulaMuris_Thymus_FACS,logcounts,psmf,2,0.2802195307288519
seuclidean,TabulaMuris_Thymus_FACS,logcounts,psmf,16,0.3884116534598526
seuclidean,TabulaMuris_Thymus_FACS,logcounts,psmf,96,0.35519045743033517
seuclidean,TabulaMuris_Thymus_FACS,logcounts,psmf,8,0.36287168335997466
seuclidean,TabulaMuris_Thymus_FACS,logcounts,psmf,48,0.37755244602018107
seuclidean,TabulaMuris_Thymus_FACS,logcounts,fica,4,0.368229238944591
seuclidean,TabulaMuris_Thymus_FACS,logcounts,fica,32,0.5483615929914939
seuclidean,TabulaMuris_Thymus_FACS,logcounts,fica,2,0.23612707542359124
seuclidean,TabulaMuris_Thymus_FACS,logcounts,fica,16,0.5618916278544254
seuclidean,TabulaMuris_Thymus_FACS,logcounts,fica,96,0.44708659048124955
seuclidean,TabulaMuris_Thymus_FACS,logcounts,fica,8,0.4971504892226868
seuclidean,TabulaMuris_Thymus_FACS,logcounts,fica,48,0.5094982124776275
seuclidean,TabulaMuris_Thymus_FACS,logcounts,lle,4,0.3159048228871202
seuclidean,TabulaMuris_Thymus_FACS,logcounts,lle,32,0.10402501899173491
seuclidean,TabulaMuris_Thymus_FACS,logcounts,lle,2,0.2616273749351213
seuclidean,TabulaMuris_Thymus_FACS,logcounts,lle,16,0.200901206804035
seuclidean,TabulaMuris_Thymus_FACS,logcounts,lle,96,0.14594337870088506
seuclidean,TabulaMuris_Thymus_FACS,logcounts,lle,8,0.285604111880235
seuclidean,TabulaMuris_Thymus_FACS,logcounts,lle,48,0.12404070558319397
seuclidean,TabulaMuris_Thymus_FACS,logcounts,lsnmf,4,0.35827410488592065
seuclidean,TabulaMuris_Thymus_FACS,logcounts,lsnmf,32,0.4953264325377034
seuclidean,TabulaMuris_Thymus_FACS,logcounts,lsnmf,2,0.15651880906242913
seuclidean,TabulaMuris_Thymus_FACS,logcounts,lsnmf,16,0.026175576481362216
seuclidean,TabulaMuris_Thymus_FACS,logcounts,lsnmf,96,-0.008163957038415399
seuclidean,TabulaMuris_Thymus_FACS,logcounts,lsnmf,8,0.20677453493903003
seuclidean,TabulaMuris_Thymus_FACS,logcounts,lsnmf,48,0.1356097054227786
seuclidean,TabulaMuris_Thymus_FACS,logcounts,phate,4,0.2849623024152306
seuclidean,TabulaMuris_Thymus_FACS,logcounts,phate,32,0.4643937692200232
seuclidean,TabulaMuris_Thymus_FACS,logcounts,phate,2,0.057551794049144664
seuclidean,TabulaMuris_Thymus_FACS,logcounts,phate,16,0.465860114524667
seuclidean,TabulaMuris_Thymus_FACS,logcounts,phate,96,0.3956560675322417
seuclidean,TabulaMuris_Thymus_FACS,logcounts,phate,8,0.39262213989954
seuclidean,TabulaMuris_Thymus_FACS,logcounts,phate,48,0.43796434665639344
seuclidean,TabulaMuris_Thymus_FACS,logcounts,kpca-rbf,4,0.15373965917119084
seuclidean,TabulaMuris_Thymus_FACS,logcounts,kpca-rbf,32,0.3499830076731254
seuclidean,TabulaMuris_Thymus_FACS,logcounts,kpca-rbf,2,0.053159752214400974
seuclidean,TabulaMuris_Thymus_FACS,logcounts,kpca-rbf,16,0.4359446169258177
seuclidean,TabulaMuris_Thymus_FACS,logcounts,kpca-rbf,96,-0.039724112323821184
seuclidean,TabulaMuris_Thymus_FACS,logcounts,kpca-rbf,8,0.26159753967479216
seuclidean,TabulaMuris_Thymus_FACS,logcounts,kpca-rbf,48,0.18153601601541489
seuclidean,TabulaMuris_Thymus_FACS,logcounts,isomap,4,0.399296322513983
seuclidean,TabulaMuris_Thymus_FACS,logcounts,isomap,32,0.3749779678667549
seuclidean,TabulaMuris_Thymus_FACS,logcounts,isomap,2,0.3713155999338515
seuclidean,TabulaMuris_Thymus_FACS,logcounts,isomap,16,0.393727563031934
seuclidean,TabulaMuris_Thymus_FACS,logcounts,isomap,96,0.368260419602397
seuclidean,TabulaMuris_Thymus_FACS,logcounts,isomap,8,0.4049301722304095
seuclidean,TabulaMuris_Thymus_FACS,logcounts,isomap,48,0.3783170953845352
seuclidean,TabulaMuris_Thymus_FACS,logcounts,saucie,4,-0.004632983084780096
seuclidean,TabulaMuris_Thymus_FACS,logcounts,saucie,32,-0.024890099715351385
seuclidean,TabulaMuris_Thymus_FACS,logcounts,saucie,2,0.007507910267511653
seuclidean,TabulaMuris_Thymus_FACS,logcounts,saucie,16,0.015951985788162107
seuclidean,TabulaMuris_Thymus_FACS,logcounts,saucie,96,-0.004921446090073624
seuclidean,TabulaMuris_Thymus_FACS,logcounts,saucie,8,0.010541633983765644
seuclidean,TabulaMuris_Thymus_FACS,logcounts,saucie,48,0.011758793523333373
seuclidean,TabulaMuris_Thymus_FACS,logcounts,bd,4,0.2863314441016339
seuclidean,TabulaMuris_Thymus_FACS,logcounts,bd,32,0.5450167844590853
seuclidean,TabulaMuris_Thymus_FACS,logcounts,bd,2,0.27523418363036867
seuclidean,TabulaMuris_Thymus_FACS,logcounts,bd,16,0.5004006657978567
seuclidean,TabulaMuris_Thymus_FACS,logcounts,bd,96,0.4829611264125465
seuclidean,TabulaMuris_Thymus_FACS,logcounts,bd,8,0.32111691281690913
seuclidean,TabulaMuris_Thymus_FACS,logcounts,bd,48,0.5113103388409809
seuclidean,TabulaMuris_Thymus_FACS,logcounts,lda,4,0.2041168420922944
seuclidean,TabulaMuris_Thymus_FACS,logcounts,lda,32,0.09220731558767613
seuclidean,TabulaMuris_Thymus_FACS,logcounts,lda,2,0.16187588247333018
seuclidean,TabulaMuris_Thymus_FACS,logcounts,lda,16,0.19033702479632925
seuclidean,TabulaMuris_Thymus_FACS,logcounts,lda,96,0.027417213042551587
seuclidean,TabulaMuris_Thymus_FACS,logcounts,lda,8,0.3292609590095174
seuclidean,TabulaMuris_Thymus_FACS,logcounts,lda,48,0.19781606326985582
seuclidean,TabulaMuris_Thymus_FACS,logcounts,spectral,4,0.2499413282699909
seuclidean,TabulaMuris_Thymus_FACS,logcounts,spectral,32,0.2643818452723498
seuclidean,TabulaMuris_Thymus_FACS,logcounts,spectral,2,0.26502016798094313
seuclidean,TabulaMuris_Thymus_FACS,logcounts,spectral,16,0.3198550259589802
seuclidean,TabulaMuris_Thymus_FACS,logcounts,spectral,96,0.19920448313236436
seuclidean,TabulaMuris_Thymus_FACS,logcounts,spectral,8,0.3296397501116523
seuclidean,TabulaMuris_Thymus_FACS,logcounts,spectral,48,0.22643013291623104
seuclidean,TabulaMuris_Thymus_FACS,logcounts,grp,4,0.15250247577155263
seuclidean,TabulaMuris_Thymus_FACS,logcounts,grp,32,0.36167909268517956
seuclidean,TabulaMuris_Thymus_FACS,logcounts,grp,2,0.12042649452148999
seuclidean,TabulaMuris_Thymus_FACS,logcounts,grp,16,0.24618949971495627
seuclidean,TabulaMuris_Thymus_FACS,logcounts,grp,96,0.44989075435855325
seuclidean,TabulaMuris_Thymus_FACS,logcounts,grp,8,0.18765758086764844
seuclidean,TabulaMuris_Thymus_FACS,logcounts,grp,48,0.39589096471236357
seuclidean,TabulaMuris_Thymus_FACS,logcounts,fa,4,0.4040105998265165
seuclidean,TabulaMuris_Thymus_FACS,logcounts,fa,32,0.5280870760246887
seuclidean,TabulaMuris_Thymus_FACS,logcounts,fa,2,0.4039764553240941
seuclidean,TabulaMuris_Thymus_FACS,logcounts,fa,16,0.410523753269006
seuclidean,TabulaMuris_Thymus_FACS,logcounts,fa,96,0.8160942395239016
seuclidean,TabulaMuris_Thymus_FACS,logcounts,fa,8,0.4107455905510065
seuclidean,TabulaMuris_Thymus_FACS,logcounts,fa,48,0.6439076603528605
seuclidean,TabulaMuris_Thymus_FACS,logcounts,mctsne,4,0.29526221985241347
seuclidean,TabulaMuris_Thymus_FACS,logcounts,mctsne,32,nan
seuclidean,TabulaMuris_Thymus_FACS,logcounts,mctsne,2,0.33863666218204824
seuclidean,TabulaMuris_Thymus_FACS,logcounts,mctsne,96,nan
seuclidean,TabulaMuris_Thymus_FACS,logcounts,mctsne,8,0.36173270055305207
seuclidean,TabulaMuris_Thymus_FACS,logcounts,mctsne,48,nan
seuclidean,TabulaMuris_Thymus_FACS,logcounts,nmf,4,0.319011493180497
seuclidean,TabulaMuris_Thymus_FACS,logcounts,nmf,32,0.5251359402860933
seuclidean,TabulaMuris_Thymus_FACS,logcounts,nmf,2,0.28680323021988247
seuclidean,TabulaMuris_Thymus_FACS,logcounts,nmf,16,0.5096770628977962
seuclidean,TabulaMuris_Thymus_FACS,logcounts,nmf,96,0.4821441704737718
seuclidean,TabulaMuris_Thymus_FACS,logcounts,nmf,8,0.42171430255670656
seuclidean,TabulaMuris_Thymus_FACS,logcounts,nmf,48,0.5291412645533399
seuclidean,TabulaMuris_Thymus_FACS,logcounts,kpca-pol,4,0.3924315480693369
seuclidean,TabulaMuris_Thymus_FACS,logcounts,kpca-pol,32,0.5344131626653339
seuclidean,TabulaMuris_Thymus_FACS,logcounts,kpca-pol,2,0.34461640037141344
seuclidean,TabulaMuris_Thymus_FACS,logcounts,kpca-pol,16,0.5210829299430427
seuclidean,TabulaMuris_Thymus_FACS,logcounts,kpca-pol,96,0.5560236740288912
seuclidean,TabulaMuris_Thymus_FACS,logcounts,kpca-pol,8,0.48857580663000316
seuclidean,TabulaMuris_Thymus_FACS,logcounts,kpca-pol,48,0.5430340189257823
seuclidean,TabulaMuris_Thymus_FACS,logcounts,vasc,4,0.4530177558738021
seuclidean,TabulaMuris_Thymus_FACS,logcounts,vasc,32,0.37873510751524025
seuclidean,TabulaMuris_Thymus_FACS,logcounts,vasc,2,0.3527118047524528
